abadetarra,abadetar
borla,borla
botea,bote
brindisa,brindis
brinkoa,brinko
bufoia,bufoi
bufoikeria,bufoikeria
buiatu,buiatu
buiatua,buiatu
bukaera,bukaera
bukatu,bukatu
bukatua,bukatu
bularrezurra,bularrezur
bultzada,bultzada
bultzatu,bultzatu
bultzatua,bultzatu
burdinola,burdinola
burezurra,burezur
burlatia,burlati
burmuina,burmuin
burruntzalia,burruntzali
burubidea,burubide
burugabea,burugabe
burusia,burusi
burutaldia,burutaldi
bustialdia,bustialdi
buzkantza,buzkantz
buztanikara,buztanikara
buztinkia,buztinki
buztinola,buztinola
buztintsua,buztintsu
damaskoa,damasko
danbolina,danbolin
dardara,dardara
dardaratu,dardaratu
deabruduna,deabrudun
deigarria,deigarri
dendatu,dendatu
dendatua,dendatu
desagertu,desagertu
desberdindu,desberdindu
desegokia,desegoki
desengainatu,desengainatu
desengainua,desengainu
deserria,deserri
deserritu,deserritu
deserritua,deserritu
deserrotu,deserrotu
desestali,desestali
desestalia,desestali
desitsatsi,desitsatsi
deslaia,deslai
deslaitu,deslaitu
deslaitua,deslaitu
desleialtasuna,desleialtasun
desloratu,desloratu
deslotu,deslotu
desobeditu,desobeditu
desordua,desordu
dialektika,dialektika
dindirria,dindirri
diosala,diosal
diosalak,diosal
dirualdia,dirualdi
dunbotsa,dunbots
durundia,durundi
ebasketa,ebasketa
edarra,edarra
edontzia,edontzi
egiaztatu,egiaztatu
egikaritu,egikaritu
egikaritua,egikaritu
egitura,egitura
egoera,egoera
egurastu,egurastu
egurastua,egurastu
egurgilea,egurgile
eguzkitu,eguzkitu
eguzkitua,eguzkitu
elbarri,elbarri
elbarria,elbarri
elbarritasuna,elbarritasun
elbarritu,elbarritu
elbarritua,elbarritu
elkargoa,elkargo
elkargoak,elkargo
elkartea,elkarte
eltxoa,eltxo
eltzegilea,eltzegile
emakumetu,emakumetu
emakumetua,emakumetu
entregatu,entregatu
epaiketa,epaiketa
epaitu,epaitu
epaitua,epaitu
era,era
eraa,era
erabaki,erabaki
erabakia,erabaki
erabidea,erabide
eradoski,eradoski
eradoskia,eradoski
eraldatu,eraldatu
eraldatua,eraldatu
erantsi,erantsi
erantsia,erantsi
erasan,erasan
erasotzailea,erasotzaile
erausi,erausi
erausia,erausi
erausiak,erausi
erauslea,erausle
erbatza,erbatz
erbeste,erbeste
erbestea,erbeste
erbikumea,erbikume
erbinude,erbinude
erbinudea,erbinude
erikorra,erikor
eritegia,eritegi
erizaina,erizain
erlezaina,erlezain
erlikia,erlikia
ernegatu,ernegatu
erorketa,erorketa
erosketa,erosketa
erosta,erosta
erpurua,erpuru
errakia,erraki
erratza,erratz
erratzak,erratz
erraustegia,erraustegi
errebelatu,errebelatu
errebelatua,errebelatu
errebotea,errebote
errematea,erremate
errementaria,errementari
