beguiroc,begirok
abetoa,abetoa
embetunar,enbetunar
oitu,oitu
aci,azi
acitú,azitu
oitua,oitua
gzizqui acia,gzizki azia
gaizqu oitua dago,gaizk oitua dago
oitueguia,oituegia
Jndietara bialdu zuten,Jndietara bialdu zuten
norbait norabait ornituric bialdu egorri,norbait norabait orniturik bialdu egorri
bideraco ornitua,biderako ornitua
chit gaizqui ornitua bialdu deie,txit gaizki ornitua bialdu deie
beti dabil ondo ornitua,beti dabil ondo ornitua
talde baten,talde baten
edo erdibaten lapurrá,edo erdibaten lapurra
gay ajutuá,gai ajutua
ezta orretaraco gay,ezta orretarako gai
guſtiraco da,gustirako da
entreg,entreg
gucitaraco ſertua,guzitarako sertua
gayeguia,gaiegia
cintzoeguia,zintzoegia
entregueguia,entregegia
vrlia da cintzotaſun andicoa,urlia da zintzotasun andikoa
gay eguin,gai egin
gay eguindute,gai egindute
gaey eguiña,gaei egina
gayró,gairo
cinzor,zintzor
abatir,abatir
teſtamentu bague,testamentu bage
teſtamenturic eguingabe,testamenturik egingabe
juramentuz,juramentuz
deſerraná,deserrana
elaya andiagoa,elaia andiagoa
leiza,leiza
ondaleceá,ondalezea
leice ondar baguea,leize ondar bagea
leiza ondoric baguea,leiza ondorik bagea
eroria nago,eroria nago
ondatua nago baguetaſunen,ondatua nago bagetasunen
ta nequeen leice batean iñon diran miſerien,ta nekeen leize batean inon diran miserien
ta calte gucien leicean nátza,ta kalte guzien leizean natza
gaiztaquerien leice@bat da,gaiztakerien leize@bat da
Jaincoa da ontaſunaren,Jainkoa da ontasunaren
on gucien leice bat,on guzien leize bat
leizatu,leizatu
leicean ondatu,leizean ondatu
leizatu naiz,leizatu naiz
leicean ondatua,leizean ondatua
ſomindúa egotea,somindua egotea
habitar,habitar
habito,habito
habituar,habituar
avivar,abibar
hablar,hablar
beraatú,beraatu
biguindú,bigindu
bigunduegui,bigunduegi
arriac bigunduco ditu,arriak bigunduko ditu
gogorr dago,gogorr dago
bañan ſamurtuco da,bainan samurtuko da
endulzar,endultzar
enternecer,enternezer
molſo bat da,moltso bat da
guelbera bat da,gelbera bat da
beraatu,beraatu
cera da,zera da
aventar,abentar
aventador,abentador
bere burua ucatzea,bere burua ukatzea
bere burua ucatú,bere burua ukatu
embobarſe,enbobartse
bobo,bobo
ozcatu,ozkatu
orzaz artu,ortzaz artu
avocar,abokar
ſutumpa@zucendu,sutunpa@zuzendu
aurqueratu,aurkeratu
aurquetu,aurketu
aurcatu,aurkatu
an aurquetu ciran,an aurketu ziran
aozbildua,aozbildua
lamberotu,lanberotu
ſargorituegui,sargorituegi
chit dago ſargori,txit dago sargori
guizona dago ſargoritua,gizona dago sargoritua
ſargoritueguia,sargorituegia
maſallean,masailean
belarondoan,belarondoan
bearriz aldean jo,bearriz aldean jo
bufetatu,bufetatu
bofetada,bofetada
maſalleanñ,masaileanin
Letradunac@darabilten beargaya,Letradunak@darabilten beargaia
Yirgiña da gure birtartecoa,Yirjina da gure birtartekoa
auzijarraya,auzijarraia
Juriſperito,Jurisperito
norbaitegatic eſcatú,norbaitegatik eskatu
norbaitequico arteco@izan,norbaitekiko arteko@izan
nai,nai
aucietan iñoren favore hitzeguitea,auzietan inoren fabore hitzegitea
aitonen etorquia,aitonen etorkia
linage,linaje
bollo,boilo
abollatu,aboilatu
zacondu,zakondu
zotondu,zotondu
maliatu,maliatu
abollatua,aboilatua
zacondua,zakondua
abollatzallea,aboilatzailea
zacontzallea,zakontzailea
zocontzallea,zokontzailea
maliatzallea,maliatzailea
abollaria,aboilaria
zacona ria,zakona ria
abollantza,aboilantza
zacona,zakona
abollatzea,aboilatzea
zacontzea,zakontzea
zocontzea,zokontzea
coſcatzea,koskatzea
maliatzea,maliatzea
mallatzea,mailatzea
bolſatua,boltsatua
bolſaquin dagoana,boltsakin dagoana
uabatſa,uabatsa
nauſea,nausea
baſcas,baskas
nazcagarriro,nazkagarriro
nagagarriro,nagagarriro
nagatſuró,nagatsuro
nazca aundi bat da,nazka aundi bat da
naga andi bat dat,naga andi bat dat
nazca aundi btecoa da,nazka aundi btekoa da
nga aundi batecoa da,nga aundi batekoa da
Nazcatu,Nazkatu
nazcatzen det pecatua,nazkatzen det pekatua
nazcatzen nau pecatuác,nazkatzen nau pekatuak
naſcatzen nau urdaqueriac,naskatzen nau urdakeriak
nazcatzen naiz pecatuáz,nazkatzen naiz pekatuaz
urdaqueriaz,urdakeriaz
me ofendo mucho de el pecado,me ofendo mutxo de el pekado
de la perqueria,de la perkeria
abominar,abominar
eguraldia ondu,eguraldia ondu
ondotu,ondotu
iñaurquindu,inaurkindu
baſaratú,basaratu
eſtercolar,esterkolar
ontzatú,ontzatu
ontzát emán,ontzat eman
ontzatu cion cóntuetan diru hurá,ontzatu zion kontuetan diru hura
ontzat artu cion,ontzat artu zion
eztu iñoren ontzateren bearric,eztu inoren ontzateren bearrik
oneguitu,onegitu
oneguitzat eman,onegitzat eman
baſaratua,basaratua
ngarria,ngarria
abundamiento,abundamiento
abundar,abundar
iorí,iori
Cimaurrá,Cimaurra
iñaurqui-,inaurki-
cimaurlea,zimaurlea
cimaurtzallea,zimaurtzailea
borde,borde
bordo,bordo
ontzi bat beſteari alderatzea,ontzi bat besteari alderatzea
alboratzea,alboratzea
ta ertzaz ertzari dichecala jartea,ta ertzaz ertzari ditxekala jartea
ertzatu,ertzatu
ertzatu dirade,ertzatu dirade
ertzaz ertzari alderatua,ertzaz ertzari alderatua
ertzatzea,ertzatzea
ertzaera,ertzaera
ontzian egotea,ontzian egotea
ontzira joatea,ontzira joatea
bordonear,bordonear
higuindu,higindu
gaitſerizcoa,gaitserizkoa
gaitziriztea izan,gaitziriztea izan
iduqui,iduki
gorrotatzen nazu,gorrotatzen nazu
gorrotatzen zaitut gaitzeſten nazu,gorrotatzen zaitut gaitzesten nazu
gaitzeſten zaitut,gaitzesten zaitut
gaitziriztea didazu,gaitziriztea didazu
gaitziriztea dizut,gaitziriztea dizut
gaitzeſia,gaitzesia
gaitzeſitua,gaitzesitua
au da nere erabea,au da nere erabea
gaizteſiera,gaiztesiera
bertitzá eguin,bertitza egin
bertitzaz erditzea,bertitzaz erditzea
mugaitzean erditzea,mugaitzean erditzea
ſeiiña eguitea,seiina egitea
humea botatzea,humea botatzea
aſcotan humea@bota du,askotan humea@bota du
edariac arzen ditu humea botatzeco,edariak artzen ditu humea botatzeko
gaizqui erditzeco,gaizki erditzeko
bertizteco,bertizteko
mugaitzean jaioa,mugaitzean jaioa
hume botatua,hume botatua
