LAR_EUS_EGOK	LAR_EUS_ORIG	LAR_EUS_UNIDECODE	SARASOLA	SARASOLA1745	WIKIDATA	OEH
ilegar	llegar	llegar				
batzailea	batzallea	batzállea	batzaile	batzaile		batzaile
biltzailea	biltzallea	biltzállea	biltzaile		biltzaile	biltzaile
zaietan	zayetan	zayetan				
zur	zur	zur	zur		zur	zur
irinetan	irinetan	iriñetan				
ero	ero	eró	ero		ero	ero
irinetan@zogi	irinetan@zogui	iriñetan@zogui				
biribi-	biribi-	biribi-				
ldlatzea	ldlatzea	ldlatzea				
jarraiak	jarrayac	jarrayac	jarrai		jarrai	jarrai
bertze	berce	berce	bertze			
aldetik	aldetic	aldetic				
ostean	ostean	oſtean				
eanpora	eampora	eampora				
antxe	anche	anché				
bertan	bertan	bertán	bertan			
andikan	andican	andican				
andikantxe	andicanche	andicanche				
andixek	andisyec	andisyec				
emen	emen	emén				
belarlatza	belarlatza	belarlatza				
sapabeilarra	sapabellarra	ſapabellarra				
almendra	almendra	almendra	almendra		almendra	almendra
berdea	verdea	verdea	berde		berde	berde
almendraria	almendraria	almendraria				
almendrategia	almendrateguia	almendrateguia				
basalmenkra	basalmencra	baſalmencra				
astalmendra	astalmendra	aſtalmendra				
arima	arima	arima	arima		arima	arima
anima	anima	anima				
agiri	aguiri	aguiri	agiri		agiri	agiri
giza-tontoa	guiza-tontoa	guiza-tontoa				
gaitzgilea	gaitzguillea	gaitzguillea				gaitzgile
esia	esia	eſia				
arresia	arresia	arreſia				
likale	licale	licale				
muintegia	muinteguia	muinteguia				muintegi
artzaz	arzaz	arzáz				
lurrindua	lurrindua	lurrinduá	lurrindu		lurrindu	lurrindu
landareen	landareen	landareen				
fail	faill	faill				
osoa	osoa	oſoa	oso		oso	oso
burnimailua	burnimallua	burnimallua				
burdin	burdin	burdin				
mailuki@andi	malluqui@andi	malluqui@andi				
meatzea	meatzea	meatzea	meatze		meatze	meatze
atuntokia	atuntoquia	atuntoquia				
atun	atun	atun	atun		atun	atun
arrantza	arranza	arranza	arrantza		arrantza	arrantza
ilaskia	illasquia	illaſquia				ilaski
ulaskia	ulasquia	ulaſquia				ulaski
oltzolak	olzolac	olzolac				
lugorria	lugorria	lugorria	lugorri		lugorri	lugorri
lugorritu	lugorritu	lugorritú				
tugorritua	tugorritua	tugorritua				
mee	mee	mee				
ounezko	ounezco	ounezco				
astalgaina	astalgaina	aſtalgaiña				
almalafa	almalafa	almalafa				
egunaria	egunaria	egunaria	egunari	egunari		egunari
almagre	almagre	almagre				
almaziga	almaciga	almaciga				
hirugia	hiruguia	hiruguia				hirugi
armarioa	armarioa	armarioa	armario			armario
orma	orma	ormá				
belardia	belardia	belardia	belardi	belardi	belardi	belardi
aindurrina	aindurrina	aindurriná				
erregatzeko	erregatzeco	erregatzeco				
marrega	marrega	marrega	marrega	marrega	marrega	marrega
zepa	cepa	cepá	zepa	zepa	zepa	zepa
zidarra	cidarra	cidarrá				zidar
sarraa	sarraa	ſarraá				sarra
burusoka	burusoca	buruſoca				
olio	olio	olio	olio		olio	olio
igara	igara	igará	igara	igara		igar
zertegia	certeguia	certeguia	zertegi	zertegi		zertegi
zertegian	certeguian	certeguian				
sartu	sartu	ſartú	sartu		sartu	sartu
azalmea	azalmea	azalmea				
lastameta	lastameta	laſtameta				
belarmeta	belarmeta	belarmeta				
txirlak	chirlac	chirlac	txirl	txirl	txirl	txirl
mena	mena	mena	men	men	men	men
almena	almena	almená	almena	almen	almena	almena
almenea	almenea	almeneá				
almena	almena	almena	almena	almen	almena	almena
almendrea	almendrea	almendrea				
alik	alic	alic				
mendrea	mendrea	mendrea	mendre		mendre	mendre
almendrada	almendrada	almendrada				
almendradea	almendradea	almendradea				
almendradia	almendradia	almendradia				
almendregia	almendreguia	almendreguia				
almendrua	almendrua	almendrua				
bkrri	bcrri	bcrri				
gezurtiai	guezurtiai	guezurtiai				
alaxe	alasye	alasye				
zaie	zaye	zaye				
ailoza	alloza	alloza				
burnizko	burnizco	burnizco				
burukoa	burucoa	burucoa	buruko		buruko	buruko
meegia	meeguia	meeguia				
me-esia	me-esia	me-eſia				
almeza	almeza	almezá				
urazukrea	urazucrea	urazucrea			urazukre	
azukrelika	azucrelica	azucrelicá				
urazukrez	urazucrez	urazucrez				
urazukretua	urazucretua	urazucretua				
amiruna	amiruna	amiruna	amirun	amirun		amirun
almidoia	almidoya	almidoya	almidoi	almidoi	almidoi	almidoi
amirundu	amirundu	amirundu				
almidoatu	almidoatu	almidoatu	almidoatu	almidoatu		
enpesatu	empesatu	empeſatu	enpesatu			
amirund@a	amirund@a	amirund@a				
almidoatua	almidoatua	almidoatua	almidoatu	almidoatu		
enpesatua	empesatua	empeſatua	enpesatu			enpesatu
almila	almilla	almilla				
almilea	almillea	almillea				
almirantearen	almirantearen	almirantearen				
ontzia	oncia	onciá	ontzi		ontzi	ontzi
almiranta	almiranta	almirantá				
zuzenpidea	zucenpidea	zucenpidea				
itsasoan	itsasoan	itſaſoan				
agintari	aguintari	aguintari	agintari		agintari	agintari
agindea	aguindea	aguindea	aginde	aginde		aginde
almirantea	almirantea	almirantea	almirante		almirante	almirante
amireza	amireza	amireza				
menastazko	menastazco	menaſtazco				
motrairua	motrairua	motrairua	motrairu	motrairu		
motrailuaren	motralluaren	motralluaren				
motrairuaren	motrairuaren	motrairuaren				
kirtena	quirtena	quirtena	kirten	kirten	kirten	kirten
amizklea	amizclea	amizclea				amizkle
zornurrina	zornurrina	zornurrina				zornurrin
amizkleduna	amizcleduna	amizcleduna				
zornurrinduna	zornurrinduna	zornurrinduna				
urtsagua	ursagua	urſagua				
Soldaduen	Soldaduen	Soldaduen				
buruzagia	buruzaguia	buruzaguia	buruzagi		buruzagi	buruzagi
jorraia	jorraya	jorraya	jorrai		jorrai	jorrai
muna	muna	muná	mun			
muna	muna	muñá	mun			
gazta	gazta	gaztá	gazta		gazta	gazta
naskia	nasquia	naſquia	naski			naski
almirez	almirez	almirez	almirez			
lurkonka	lurconca	lurconcá				
zorroa	zorroa	zorroa	zorro		zorro	zorro
bikdeko	bicdeco	bicdeco				
tresnazala	tresnazala	treſnazalá				
@oldadu	@oldadu	@oldadu				
zar	zar	zar	zar			
latzak	latzac	latzac	latz		latz	latz
portitzak	portitzac	portitzac				portitz
burkua	burcua	burcua				
burupea	burupea	burupea	burupe			burupe
aurdikoa	aurdicoa	aurdicoa	aurdiko	aurdiko		
joskunen	joscunen	joſcunen				
karatosa	caratosa	caratoſá	karatosa			
budortza	budortza	budortzá				
karatostu	caratostu	caratoſtu				
budortzatu	budortzatu	budortzatu				
budortzaa	budortzaa	budortzáa				
karatostua	caratostua	caratoſtua				
budortzatua	budortzatua	budortzatua				
budortzaz	budortzaz	budortzaz				
karatosle	caratosle	caratosle				
budortzalea	budortzalea	budortzalea				
gaztataloa	gaztataloa	gaztataloa				
gaztopila	gaztopilla	gaztopillá				
oraguria	oraguria	oraguria				oraguri
atunpuka	atunpuca	atunpuca				
txaboiola	chaboiola	chaboiola				
txaboeikintza	chaboeiquintza	chaboeiquintza				
albondiga	albondiga	albondiga				
almoneda	almoneda	almoneda				
almonedan	almonedan	almonedan				
saltzea	saltzea	ſaltzea				saltze
mendaroa	mendaroa	mendaroa				mendaro
odoluzkia	odoluzquia	odoluzquia				odoluzki
ilarlatzak	illarlatzac	illarlatzac				
eskubien	escubien	eſcubien				
kabialdia	cabialdia	cabialdia				
gosaldu	gosaldu	goſaldu	gosaldu		gosaldu	gosaldu
pisuzaia	pisuzaya	piſuzaya				
neurrizaia	neurrizaya	neurrizaya				
neurrizaien	neurrizayen	neurrizayen				
ekintza	equinza	equinza	ekintza		ekintza	ekintza
Espanara	Espanara	Eſpañara				
datozen	datozen	datozen				
dijoazen	dijoacen	dijoacen				
gauzakgatik	gauzacgatic	gauzacgatic				
sartu-irtenen	sartu-irtenen	ſartu-irtenen				
irtenen	irtenen	irtenen				
zaitzen	zaitzen	zaitzen				
lakaria	lacaria	lacaria	lakari	lakari	lakari	lakari
garigordairua	garigordairua	garigordairua				
alpetxin	alpechin	alpechin				
semeizuna	semeizuna	ſemeizuna				
txopeta	chopeta	chopeta				
kontsuelda	consuelda	conſuelda				
eroskoa	eroscoa	eroſcoa				
eroskotea	eroscotea	eroſcotea				
txoro	choro	choro	txoro	txoro	txoro	txoro
auza	auza	auza				
duea	duea	duea				
txoralda	choralda	choraldá				
zumintza	zumintza	zumintzá	zumintz	zumintz		
belarmintza	belarmintza	belarmintza	belarmintz	belarmintz		belarmintz
zabila	zabila	zabila				
petxinas	pechinas	pechinas				
aloxa	aloxa	aloxa				
ostatua	ostatua	oſtatua	ostatu		ostatu	ostatu
etxabarrunbean	echabarrumbean	echabarrumbean				
begaiztua	begaiztua	begaiztua				
begiztatua	beguiztatua	beguiztatua	begiztatu		begiztatu	begiztatu
S@oldaduen	S@oldaduen	S@oldaduen				
etzinlekua	etzinlecua	etzinlecua				
egoitza	egoitza	egoitzá	egoitza		egoitza	egoitza
atxedenlekua	achedenlecua	achedenlecua	atxedenleku	atxedenleku		
txoriandra	choriandra	choriandrá				
urrundu	vrrundu	vrrundu	urrundu		urrundu	urrundu
urrutiratu	urrutiratu	urrutiratú	urrutiratu	urrutiratu	urrutiratu	urrutiratu
ezkabia	ezcabia	ezcabia	ezkabia		ezkabia	ezkabia
ardo	ardo	ardó	ardo		ardo	ardo
ardau	ardau	ardáu				
arno	arno	arnó	arno			
gorria	gorria	gorria	gorri		gorri	gorri
Sabalo	Sabalo	Sabalo				
ureztia	ureztia	ureztia				
ureztitegia	ureztiteguia	ureztiteguia				
ureztikina	ureztiquina	ureztiquiña				
ureztigilea	ureztiguillea	ureztiguillea				
partzeria	parceria	parceria				
espartina	espartina	eſpartina	espartin	espartin	espartin	espartin
kalamuzko	calamuzco	calamuzco				
espartzuzko	esparzuzco	eſparzuzco				
ointzola	oinzola	oinzola				
espartingilea	espartinguillea	eſpartinguillea	espartingile	espartingile		espartingile
ointzolgilea	oinzolguillea	oinzolguillea				
olioaren	olioaren	olioaren				
liak	liac	liac				li
ondakina	ondaquina	ondaquina				
alopezia	alopecia	alopecia			alopezia	alopezia
abezea	abecea	abeceá	abeze		abeze	abeze
kohonbro	cohombro	cohombro				
alpistea	alpistea	alpiſtea			alpiste	
irin	irin	irin	irin		irin	irin
taloa	taloa	taloa	talo		talo	talo
opila	opilla	opillá	opil		opil	opil
baserria	baserria	baſerria	baserri		baserri	baserri
etxaldea	echaldea	echaldea	etxalde	etxalde	etxalde	etxalde
borda	borda	bordá	borda		borda	borda
marroa	marroa	marroa	marro		marro	marro
eguardi	eguardi	eguardi				
sonekoa	sonecoa	ſoñecoa				
jantzigaia	jancigaya	jancigaya				jantzigai
alkia	alquia	alquia				alki
banko	banco	banco	banko			
alki	alqui	alqui				
alkigaina	alquigaina	alquigaiña				
alkilatu	alquilatu	alquilatu				
alogeratu	alogueratu	alogueratu	alogeratu	alogeratu		
alokatu	alocatu	alocatu	alokatu		alokatu	alokatu
alkilatua	alquilatua	alquilatua				
alokatua	alocatua	alocatua	alokatu		alokatu	alokatu
alkilatzailea	alquilatzallea	alquilatzallea				
alogeratzailea	alogueratzallea	alogueratzallea				alogeratzaile
alokatzailea	alocatzallea	alocatzallea			alokatzaile	
alkilera	alquilera	alquilera				
alokaira	alocaira	alocairá				
alkilagarri	alquilagarri	alquilagarri				
alogeragarri	alogueragarri	alogueragarri				
alokagarria	alocagarria	alocagarria				
brea	brea	breá	brea		brea	brea
sugaia	sugaya	ſugaya	sugai	sugai	sugai	sugai
sukorra	sucorra	ſucorra	sukor	sukor		sukor
breaztatu	breaztatu	breaztatu				
pikeztatu	piqueztatu	piqueztatu	pikeztatu	pikeztatu		
sukorrez	sucorrez	ſucorrez				
gaindu	gaindu	gaindu	gaindu			
busti	busti	buſti	busti		busti	busti
breaztatua	breaztatua	breaztatua				breaztatu
pikeztatua	piqueztatua	piqueztatua	pikeztatu	pikeztatu		
breaz	breaz	breaz				
pikez	piquez	piquez				
gaindua	gaindua	gaindua	gaindu			gaindu
bustia	bustia	buſtia	busti		busti	busti
sagubedarra	sagubedarra	ſagubedarra	sagubedar	sagubedar		
dantza	danza	danzá	dantza		dantza	dantza
zeritzana	ceritzana	ceritzaná				
lastotarrea	lastotarrea	laſtotarrea				
zumeotarrea	zumeotarrea	zumeotarrea				
lastasaskia	lastasasquia	laſtaſaſquia				
zumesaskia	zumesasquia	zumeſaſquia				
barrena	barrena	barrena	barrena		barrena	barrena
barrua	barrua	barrua	barru		barru	barru
gaindiro	gaindiro	gaindiró				
gaintiro	gaintiro	gaintiró				
garairo	garairo	garairó				
artemisa	artemisa	artemiſa				
eizagoitia	eizagoitia	eizagoitia				
eizagoia	eizagoia	eizagoia				
goitustea	goitustea	goituſtea				goituste
goitusteduna	goitusteduna	goituſteduna				goitustedun
aldarea	aldarea	aldarea	aldare		aldare	aldare
altarea	altarea	altarea				altare
aldare	aldare	aldare	aldare		aldare	aldare
altaregilea	altareguillea	altareguillea				
aldaretxoa	aldarechoa	aldarechoa	aldaretxo			aldaretxo
aldakorra	aldacorra	aldacorra	aldakor	aldakor	aldakor	aldakor
aldandea	aldandea	aldandea				aldande
aldandetu	aldandetu	aldandetu				
aldandetua	aldandetua	aldandetua				aldandetu
leia	leya	leyá	lei		lei	lei
porfia	porfia	porfia				
leiatu	leyatu	leyatu				
leiatua	leyatua	leyatua				
aldiakera	aldiaquera	aldiaquera				
aldiakatzea	aldiacatzea	aldiacatzea				
aldizka	aldizca	aldizca	aldizka			
aldiak	aldiac	aldiac	aldi		aldi	aldi
aldiakatu	aldiacatu	aldiacatu				
aldizkatu	aldizcatu	aldizcatu	aldizkatu		aldizkatu	aldizkatu
aldiakatua	aldiacatua	aldiacatua				aldiakatu
aldizkatua	aldizcatua	aldizcatua	aldizkatu		aldizkatu	aldizkatu
aldiaker	aldiaquer	aldiaquer				
alternadamente	alternadamente	alternadamente				
aldiazkoa	aldiazcoa	aldiazcoa				
goia	goia	goia	goi		goi	goi
goiendea	goiendea	goiendea	goiende	goiende		goiende
gaindea	gaindea	gaindea				gainde
garaitza	garaitza	garaitza			garaitza	garaitza
goraberak	goraberac	goraberac				
goia	goya	goya	goi		goi	goi
goikoa	goicoa	goicoa	goiko			goiko
goitustez	goitustez	goituſtez				
audiaka	audiaca	audiaca				
antustez	antustez	antuſtez				
audid	audid	audid				
goitustedun	goitustedun	goituſtedun				
antusteduna	antusteduna	antuſteduna				
audiatia	audiatia	audiatia				
goilardina	goillardina	goillardiná				
goia	goia	goiá	goi		goi	goi
goratua	goratua	goratua	goratu		goratu	goratu
goititua	goititua	goititua	goititu		goititu	goititu
luzea	lucea	luceá	luze		luze	luze
soilerua	soillerua	ſoillerua				soileru
boizitza	voicitza	voicitzá				
goitikoa	goiticoa	goiticoa	goitiko			goitiko
goazen	goacen	goacen				
gaindik	gaindic	gaindic				
ateratu	ateratu	ateratu			ateratu	ateratu
erdietsi	erdietsi	erdietſi	erdietsi		erdietsi	erdietsi
agit	aguit	aguit				
gora	gora	gorá	gora		gora	gora
mintzatu	minzatu	minzatu	mintzatu		mintzatu	mintzatu
berbegin	verbeguin	verbeguin				
araldeak	araldeac	araldeac	aralde			aralde
ertza	ertza	ertza	ertz		ertz	ertz
goitiko	goitico	goitico	goitiko			
mendiska	mendisca	mendiſcá	mendiska			
muniska	munisca	muniſcá				
orriteskua	orritescua	orriteſcua				orritesku
ostatxea	ostachea	oſtachea				ostatxe
alteza	alteza	alteza				
baberrumak	baberrumac	baberrumac	baberrum	baberrum		
india	india	india				
babak	babac	babac	bab		bab	bab
mailarrak	maillarrac	maillarrac	bab			mailar
gautxori	gauchori	gauchori	gautxori	gautxori	gautxori	gautxori
txingurri	chingurri	chingurri	txingurri	txingurri		
txindurri	chindurri	chindurri	txindurri			
inurri	inurri	inurri	inurri		inurri	inurri
adierazi	adieraci	adieraci	adierazi		adierazi	adierazi
ukitzeaz	uquitzeaz	uquitzeaz				
argitzailea	arguitzallea	arguitzallea	argitzaile		argitzaile	argitzaile
argitzea	arguitzea	arguitzea				argitze
argiera	arguiera	arguiera				
argiustea	arguiustea	arguiuſtea				argiuste
irudia	irudia	irudia	irudi		irudi	irudi
irudipena	irudipena	irudipena	irudipen	irudipen	irudipen	irudipen
aurgite	aurguite	aurguite				
argiegin	arguieguin	arguieguin				
argi	argui	argui	argi		argi	argi
argiegina	arguieguina	arguieguiña				
sugatzarra	sugatzarra	ſugatzarrá				sugatzar
amianto	amianto	amianto	amianto		amianto	amianto
asbesto	asbesto	aſbeſto	asbesto		asbesto	asbesto
sugatzarrobia	sugatzarrobia	ſugatzarrobia				sugatzarrobi
anoduna	anoduna	anoduna				anodun
ikaslea	icaslea	icáslea	ikasle		ikasle	ikasle
ilargitua	illarguitua	illarguitua				ilargitu
ilargiak	illarguiac	illárguiac	ilargi		ilargi	ilargi
adiera	adiera	adiera	adiera	adiera	adiera	adiera
adieratsua	adieratsua	adieratſua				adieratsu
distierazo	distierazo	diſtierazo				
distiarazi	distiaraci	diſtiaraci	distiarazi			
distierazoa	distierazoa	diſtierazoa				
distiarazia	distiaracia	diſtiaracia	distiarazi			
distieratzailea	distieratzallea	diſtieratzallea				
distiaratzailea	distiaratzallea	diſtiaratzallea				
madre	madre	madre				
ilarra	illarra	illarra	ilar		ilar	ilar
ilarra	ilarra	ilarra	ilar		ilar	ilar
ilarregia	illarreguia	illarreguia				ilarregi
ilartegia	ilarteguia	ilarteguia				
latxortena	lachortena	lachortená				
altzaga	altzaga	altzaga				
lepoaren	lepoaren	lepoaren				
idunaren	idunaren	idunaren				
altxagarria	alchagarria	alchagarria	altxagarri		altxagarri	altxagarri
apelazion	apelacion	apelacion				
erakusgarria	eracusgarria	eracuſgarria	erakusgarri		erakusgarri	erakusgarri
altzadura	altzadura	altzadura				
altzaera	altzaera	altzaera				
altza	altza	altza				
altxatzea	alchatzea	alchatzea				altxatze
altza	alza	alza				
remia	remia	remia				
premia	premia	premiá	premia		premia	premia
altzapremia	alzapremia	alzapremia	altzapremia	altzapremia		
espeka	especa	eſpecá			espeka	espeka
altzapremiatu	altzapremiatu	altzapremiatu	altzapremiatu	altzapremiatu		
altzapremiaz	altzapremiaz	altzapremiaz				
andiren	andiren	andiren				
bai	bai	bai	bai		bai	bai
mugitu	muguitu	muguitu	mugitu		mugitu	mugitu
altxatu	alchatu	alchatu	altxatu		altxatu	altxatu
altzatu	altzatu	altzatú			altzatu	altzatu
altxatu	alchatu	alchatú	altxatu		altxatu	altxatu
altzatu	altzatu	altzatu			altzatu	altzatu
altzia	alcia	alcia	altzi			altzi
altxa	alcha	alcha				
edi	edi	edi				
altxazaite	alchazaite	alchazaite				
barbetxar	barvechar	barvechar				
ama	ama	amá	ama		ama	ama
inudea	inudea	inudea	inude		inude	inude
amainudea	amainudea	amaiñudea				amainude
an	an	añ				
agama	agama	agamá				
ktxeko	ccheco	ccheco				
jabea	jabea	jabea	jabe		jabe	jabe
giltzazaia	guiltzazaya	guiltzazaya				
giltzazaina	guiltzazaina	guiltzazaina				
gakozaina	gacozayna	gacozayna				
amagarritasun	amagarritasun	amagarritaſun				
maitagarritasun	maitagarritasun	maitagarritaſun	maitagarritasun		maitagarritasun	maitagarritasun
onesgarritasuna	onesgarritasuna	oneſgarritaſuna				onesgarritasun
amagarria	amagarria	amagarria	amagarri			amagarri
maitagarria	maitagarria	maitagarria	maitagarri		maitagarri	maitagarri
amagarriro	amagarriro	amagarriró				
onesgarriro	onesgarriro	oneſgarriro				
hamaka	hamaca	hamaca			hamaka	hamaka
aran	aran	aran	aran		aran	aran
amaszena	amascena	amaſcena				
Damaskoarra	Damascoarra	Damaſcoarra				
mailujka	mallujca	mallujca				
amatzailea	amatzallea	amatzallea	amatzaile	amatzaile		amatzaile
onestzailea	onestzallea	oneſtzallea				onestzaile
zuloaai	zuloaai	zuloaai				
ezitu	ecitu	ecitu				
ematu	ematu	ematu	ematu		ematu	ematu
erakuskera	eracusquera	eracuſquera				
maisuera	maisuera	maiſuera				
maisueratu	maisueratu	maiſueratu				
maisueratua	maisueratua	maiſueratua				
keinatu	queinatu	queinatu	keinatu		keinatu	keinatu
jooage	jooague	jooague				
keinatua	queinatua	queinatuá	keinatu		keinatu	keinatu
aa	aa	aa	a			a
ueina	ueina	ueiná				
irria	irria	irria	irri		irri	irri
irriatu	irriatu	irriatu	irriatu	irriatu		
sukar	sucar	ſucar	sukar		sukar	sukar
irriatua	irriatua	irriatua	irriatu	irriatu		irriatu
erodis	erodis	erodiſ				
titia	titia	titia	titi	titi	titi	titi
ugaltza	ugaltza	ugaltza				
gaztelimuria	gaztelimuria	gaztelimuria				
oakidagoa	oaquidagoa	oaquidagoa				
gaztelimuritu	gaztelimuritu	gaztelimuritu				
oakidatu	oaquidatu	oaquidatu				
gaztelimuritua	gaztelimuritua	gaztelimurituá				gaztelimuritu
oakidatua	oaquidatua	oaquidatua				
egundu	egundu	egundu	egundu	egundu		
eguna	eguna	eguna	egun		egun	egun
eguan-	eguan-	eguan-				
eatu	eatu	eatu				
megindu	meguindu	meguindú				
maltsotua	malsotua	malſotua	maltsotu	maltsotu		
ezituae	ecituae	ecituæ				
eata	eata	eata				
errukibage	erruquibague	erruquibague				
kupidabage	cupidabague	cupidabague				
eskuordea	escuordea	eſcuordea				eskuorde
saiatu	sayatu	ſayatu	saiatu	saiatu	saiatu	saiatu
oit	oit	oit				
xetzen	syetzen	ſyetzen				
oitua	oitua	oituá				
mana	mana	maña	mana		mana	mana
maak	maac	maac	ma			ma
maa	maa	maa	ma			ma
amanoa	amanoa	amañoa				
emaloa	emaloa	emaloa				
emalope	emalope	emalope				
ema	ema	ema				em
lopa	lopa	lopa				
lopea	lopea	lopea				lope
emalopa	emalopa	emalopa				
lobelarra	lobelarra	lobelarra				
lobedarra	lobedarra	lobedarra				
amare	amare	amare				
dilijere	diligere	diligere				
erat	erat	erat				
ki	qui	qui				
putaret	putaret	putaret				
ad	ad	ad				
eum	eum	eum				
amorem	amorem	amorem				
kem	quem	quem				
erga	erga	erga				
te	te	te	te	te	te	te
habebam	habebam	habebam				
posze	posce	poſce				
alikidakzedere	aliquidaccedere	aliquidaccedere				
tantum	tantum	tantum				
tamen	tamen	tamen				
akzesit	accessit	acceſsit				
ut	ut	ut				
mihi	mihi	mihi	mihi		mihi	mihi
denike	denique	denique				
nunk	nunc	nunc				
bidear	videar	videar				
ante	ante	ante			ante	ante
dileris-	dileris-	dileriſ-				
amatu	amatu	amatu	amatu			
onetsi	onetsi	onetſi	onetsi		onetsi	onetsi
maite	maite	maite	maite		maite	maite
amatua	amatua	amatua	amatu			amatu
onetsia	onetsia	onetſia	onetsi		onetsi	onetsi
maitea	maitea	maitea	maite		maite	maite
oneslea	oneslea	oneslea	onesle			onesle
onirislea	onirislea	oniriſlea				
maitzatzailea	maitzatzallea	maitzatzallea				
girlanda	guirlanda	guirlandá	girlanda	girlanda	girlanda	girlanda
minki	minqui	minqui	minki			
minkiro	minquiro	minquiró				
saminki	saminqui	ſaminqui	saminki	saminki		
saminkiro	saminquiro	ſaminquiró	saminkiro	saminkiro		
mindu	mindu	mindu	mindu		mindu	mindu
samindu	samindu	ſamindu			samindu	samindu
samina	samina	ſamiñá	samin		samin	samin
karmindu	carmindu	carmindu	karmindu		karmindu	karmindu
karastu	quarastu	quaraſtú				
samindua	samindua	ſaminduá			samindu	samindu
karmindua	carmindua	carminduá	karmindu		karmindu	karmindu
karastua	quarastua	quaraſtua				
karmina	carmina	carminá	karmin		karmin	karmin
na	na	ná				
samina	samina	ſaminá	samin		samin	samin
karatsa	quaratsa	quaratſa	karats			
mindura	mindura	mindura	mindura			
samintasuna	samintasuna	ſamintaſuna	samintasun		samintasun	samintasun
samindura	samindura	ſamindura	samindura		samindura	samindura
karmia	carmia	carmia				
karmindura	carmindura	carmindura	karmindura		karmindura	karmindura
karmintasuna	carmintasuna	carmintaſuna	karmintasun		karmintasun	karmintasun
karastasuna	quarastasuna	quaraſtaſuna				
oritu	oritu	oritu	oritu		oritu	oritu
ubeldu	ubeldu	ubeldu	ubeldu		ubeldu	ubeldu
oritasuna	oritasuna	oritaſuna				
ubeltasuna	ubeltasuna	ubeltaſuna	ubeltasun	ubeltasun		ubeltasun
oria	oria	oriá				ori
urrekolorea	urrecolorea	urrecolorea				
marra	marra	marrá	marra		marra	marra
amarrar	amarrar	amarrar				
amu	amu	amú	amu		amu	amu
amarra	amarra	amarra	amarra		amarra	amarra
marratu	marratu	marratú	marratu		marratu	marratu
amarratua	amarratua	amarratua	amarratu		amarratu	amarratu
lotua	lotua	lotuá	lotu		lotu	lotu
amarratzailea	amarratzallea	amarratzallea				
lotutzailea	lotutzallea	lotutzallea				lotutzaile
amarrak	amarrac	amarrac	amarr		amarr	amarr
bagak	bagac	bagac	bag		bag	bag
amarras	amarras	amarras				
damutua	damutua	damutua	damutu		damutu	damutu
damuz	damuz	damuz				
amarazi	amaraci	amaraci				
amerazo	amerazo	amerazó				
amarazlea	amarazlea	amarazlea				
amerazlea	amerazlea	amerazlea				
prestatu	prestatu	preſtatú	prestatu		prestatu	prestatu
prestatua	prestatua	preſtatuá	prestatu		prestatu	prestatu
oratu	oratu	oratú	oratu		oratu	oratu
oratua	oratua	oratuá	oratu		oratu	oratu
oratzailea	oratzallea	oratzallea	oratzaile		oratzaile	oratzaile
orakina	oraquina	oraquiña				orakin
oradura	oradura	oradurá				
eguna	eguna	eguñá	egun		egun	egun
naspila	naspilla	naſpilla				
odolardistea	odolardistea	odolardiſtea				
maitagilea	maitaguillea	maitaguillea				maitagile
amodiogilea	amodioguillea	amodioguillea				amodiogile
inguruak	inguruac	inguruac	inguru		inguru	inguru
bonekausa	bonecausa	bonecausá				
arrituduna	arrituduna	arrituduna				
antusia	antusia	antuſia				
andinaia	andinaya	andinaya				
omenaia	omenaya	omenaya				
andigura	andigura	andigura				
irritsa	irritsa	irritsá	irrits		irrits	irrits
antusiduna	antusiduna	antuſiduna				
irritsaria	irritsaria	irritſaria				
bieskuia	biescuya	bieſcuya				
bieskuma	biescuma	bieſcuma				
inguratzen	inguratzen	inguratzen				
gaituen	gaituen	gaituen				
bimoldero	bimoldero	bimolderó				
bitara	bitara	bitará	bitara		bitar	
bialdera	bialdera	bialderá				
bimoldea	bimoldea	bimoldeá				bimolde
bitaradea	bitaradea	bitaradea				
bialdea	bialdea	bialdeá				
bimoldezkoa	bimoldezcoa	bimoldezcoa				
bitarazko	bitarazco	bitarazco				
bialdezkoa	bialdezcoa	bialdezcoa				
itxertza	icherza	icherzá				
ingurua	ingurua	inguruá	inguru		inguru	inguru
obtusangulo	obtusangulo	obtuſangulo				
biok	bioc	bioc				
abroila	abrolla	abrolla				
nasmena	nasmena	naſmena	nasmen			
enbroilar	embrollar	embrollar				
Jainkoen	Jaincoen	Jaincoen				
edaria	edaria	edaria	edari		edari	edari
anbrosia	ambrosia	ambroſiá				
ibilinaia	ibillinaya	ibillinaya				
ibiligura	ibilligura	ibilligura				
ibilizalea	ibillizalea	ibillizalea	ibilizale	ibilizale		
zukuruztu	zucuruztu	zucuruztú	zukuruztu	zukuruztu		
ikaratua	icaratua	icaratua	ikaratu		ikaratu	ikaratu
beldurtua	beldurtua	beldurtua	beldurtu		beldurtu	beldurtu
izutua	izutua	izutuá	izutu	izutu	izutu	izutu
zukuruztua	zucuruztua	zucuruztua	zukuruztu	zukuruztu		zukuruztu
ameloa	ameloa	ameloa				
meloi	meloi	meloi	meloi		meloi	meloi
alan	alan	alan				
dela	dela	dela	dela			
meatxa	meacha	meachá				
keina	queina	queiná	keina	keina		
meatxalea	meachalea	meachalea				
keinatzalea	queinatzalea	queinatzalea				
