LAR_EUS_EGOK	LAR_EUS_ORIG	LAR_EUS_UNIDECODE	SARASOLA	SARASOLA1745	WIKIDATA	OEH
egitea	eguitea	eguitea	egite		egite	egite
artzea	artzea	artzea	artze	artze		
asko	asco	aſco	asko			
abarkatzea	abarcatzea	abarcatzea				
gitxi	guichi	guichi				
estutzea	estutzea	eſtutzea				estutze
sko	sco	ſco				
egin	eguin	eguin	egin		egin	egin
nai	nai	nai				
bai	bay	bay	bai		bai	bai
etxoletan	echoletan	echoletan				
txaoletan	chaoletan	chaoletan				
amantzebartse	amancebarse	amancebarſe				
barragan	barragan	barragan				
abereak	abereac	abéreac	abere		abere	abere
lur	lur	lur	lur		lur	lur
epaki	epaqui	epaqui	epaki			
zulodunetan	zulodunetan	zulodúnetan				
sartzea	sartzea	ſártzea				sartze
epaizulotu	epaizulotu	epaizulotú				
zenternatu	centernatu	centernatú				
barranko	barranco	barranco				
barrizjo	barrizjo	barrizjo				
u	u	u				
berrizjo	berrizjo	berrizjo				
barrizko	barrizco	barrizco				
berrizko	berrizco	berrizco	berrizko			
barritsu	barritsu	barritſu				
berritsu	berritsu	berritſu	berritsu		berritsu	berritsu
guzia	gucia	guciá				
batera	batera	baterá	batera			
naroro	naroro	naroro	naroro	naroro		
ugari	ugari	ugari	ugari		ugari	ugari
mukuru	mucuru	mucuru	mukuru		mukuru	mukuru
muru	muru	murú				
naroa	naroa	naroa	naro	naro		naro
ugaria	ugaria	ugaria	ugari		ugari	ugari
ioria	ioria	ioria				
mukurua	mucurua	mucurua	mukuru		mukuru	mukuru
murua	murua	murua				muru
otorantza	otoranza	otoranzá				
beardanez	beardanez	beardanez				
ornitzea	ornitzea	ornitzea				
jalariaren	jalariaren	jalariaren				
ornidura	ornidura	ornidurá				
ornitu	ornitu	ornitu				
bear	bear	bear				
guziaz	guciaz	guciaz				
zuzkitu	zuzquitu	zuzquitu	zuzkitu	zuzkitu		
bete	bete	beté	bete		bete	bete
ondasiunez	ondasiunez	ondaſiúnez				
ornitua	ornitua	ornituá				
zuzkitua	zuzquitua	zuzquituá	zuzkitu	zuzkitu		zuzkitu
betea	betea	beteá	bete		bete	bete
ornituegia	ornitueguia	ornitueguia				
janariz	janariz	janariz				
ornitu	ornitu	ornitú				
ornitua	ornitua	ornitua				
Batan	Batan	Batan				
Boilatu	Bollatu	Bollatú				
oialak	oyalac	oyalac				
tunpaka	tumpaca	túmpaca				
garbitu	garbitu	garbitu	garbitu		garbitu	garbitu
trinkatu	trincatu	trincatu	trinkatu	trinkatu	trinkatu	trinkatu
boilatua	bollatua	bollatuá				
