source_id,wikibase_lexeme,p6st
5085,L92069,L92069-35BB9B19-B47E-4D9C-850A-CFEBA6BF7B32
5086,L92070,L92070-44F5ADE2-09B6-46E0-A40A-F0B8DC6B30F0
5087,L92071,L92071-4EE8DA12-E3F4-47D5-8F52-C94BFBEE20DF
5088,L92072,L92072-845EC9D4-1723-4A3B-A462-FAD11236B6B3
5089,L92073,L92073-216578F6-DDC1-4067-ADEE-7191291DCD97
5090,L92074,L92074-8B292CF9-59E9-49A6-8DF9-8178D7CD47E8
5091,L92075,L92075-1B96DF06-F104-4B63-9CB0-6A856B984F62
5092,L92076,L92076-EA67195A-9411-49F3-AA5B-6F50657D5203
5093,L92077,L92077-F1D44CED-46BA-4362-ADCA-74D5E422DFA7
5094,L92078,L92078-A1131D0B-DC72-4C48-B734-C829F5C9F9EF
5095,L92079,L92079-CF3CEE56-28C1-4C4F-B0AC-8EF4B762C405
5096,L92080,L92080-344A6AA5-4573-494F-93BD-9C4CAD1E131E
5097,L92081,L92081-686D7832-CBB9-416B-AAA4-00A28C680EF1
5098,L92082,L92082-1A375FBD-0284-4586-B637-2256DA798105
5099,L92083,L92083-0259C550-9C65-4165-A594-C777E4E9333A
5100,L92084,L92084-FC0B2F58-989F-4FAE-B9A4-A3A99D4BA8D4
5101,L92085,L92085-A86B4E3C-9C95-40DE-AAFB-DB22CAC5A4D5
5102,L92086,L92086-3CEA8201-780F-4357-96A6-B41C63F2C94C
5103,L92087,L92087-FF370B0C-3D14-4473-BCEC-1EB2ABD58ED0
5104,L92088,L92088-37B3A896-13AF-47C3-8579-16C9E222CC5A
5105,L92089,L92089-966AEF2C-0355-4948-A606-FF933860E5C9
5106,L92090,L92090-C20C55F7-AE01-481A-BF00-29EC6BB5B7DA
5107,L92091,L92091-B6D1592E-F5B5-421F-9E09-6E56B1500968
5108,L92092,L92092-712B45BD-7791-4740-BB1F-FB57CDCE0692
5109,L92093,L92093-1DFF3064-5352-4B9D-B5B6-B0735843B39B
5110,L92094,L92094-084FECE9-938E-43A5-8B4D-4C44182BB5B5
5111,L92095,L92095-65066C68-C97A-47DF-A59F-D8C6B3132709
5112,L92096,L92096-D30B7844-EF59-4525-A3BE-A52C4951E16A
5113,L92097,L92097-3AC8C887-54A6-40EF-BAA9-E5E6F4E20A31
5114,L92098,L92098-037EA4C7-09CC-4214-A099-03D7E1592958
5115,L92099,L92099-BD070C37-E805-4354-AFB9-59FBAF2283E3
5116,L92100,L92100-26A6DCFC-F9EB-461C-9864-2DD4B37EEDFA
5117,L92101,L92101-171B3A65-49BA-4CAA-8233-44247E72F852
5118,L92102,L92102-6A371C12-A638-473B-B3E9-2B127D352969
5119,L92103,L92103-23EF1930-9182-447C-89FF-FED200ECF49E
5120,L92104,L92104-FED9F478-DBFF-448B-B02F-D9EF1B6497AB
5121,L92105,L92105-15C04FFB-2137-4836-80A9-99695CD090E2
5122,L92106,L92106-89D186C1-F4E3-4534-8090-EF6F1183F6C0
5123,L92107,L92107-58D75A45-1F88-4BC0-9935-745AF4E63DD2
5124,L92108,L92108-C1DC2F54-C888-4CFE-A15D-A2E708A9BAB1
5125,L92109,L92109-E624BC9A-BF66-4D58-8007-E68638EE2C36
5126,L92110,L92110-D6A46FB2-D5C2-41B3-B1AF-429BABAA41D3
5127,L92111,L92111-F28504A3-F023-49D9-ACD0-8A4E0E4F4391
5128,L92112,L92112-9B7B0966-E576-4D65-A0E7-63897A45238E
5129,L92113,L92113-823B6BAE-263A-4348-98BC-A5B8C3DB4C44
5130,L92114,L92114-9B1767BB-1964-41C5-893A-05FA43ECC9BF
5131,L92115,L92115-C78A6AF3-B239-4096-90E7-5C54B579FD3D
5132,L92116,L92116-930F73A6-EB4F-45C6-B7BA-22759D926C85
5133,L92117,L92117-B80506C0-2709-4B9D-A414-E7A37CED93F5
5134,L92118,L92118-24F828B4-7000-4C49-B24D-F6FD25DFF15B
5135,L92119,L92119-C54989FA-4D20-4C56-83F4-FBE814512645
5136,L92120,L92120-850C58FE-3256-4F4B-A497-895E2E752F31
5137,L92121,L92121-52E64CCD-0732-4A46-91EC-8A2536FD2301
5138,L92122,L92122-6F3FE426-6F7A-47CE-A4CC-FFE888F3F8B9
5139,L92123,L92123-F88BD0AD-EF8D-4320-B751-435F08B3B1F4
5140,L92124,L92124-C20DA53A-8F70-4AA4-A316-D8C4B6675EBC
5141,L92125,L92125-728DD496-D9CD-4914-AA3D-10FE885D319C
5142,L92126,L92126-CC0C2924-21B7-47FB-AB05-C249FC322297
5143,L92127,L92127-46C41000-BBA1-4095-BD53-1DC1500D9760
5144,L92128,L92128-F9EC2D45-6819-4032-8673-5654FFC58833
5145,L92129,L92129-F2EAFC3B-1766-4403-B64C-847E1ED1AAAB
5146,L92130,L92130-BF6FE88B-2CE0-4A4C-B74D-786932E00F9C
5147,L92131,L92131-6D19E1BC-6F60-4B7B-AB11-454564C681D3
5148,L92132,L92132-D98FA6DB-01C8-458C-A5AE-489FEDFF3BC3
5149,L92133,L92133-F00857D8-D934-4900-8D8D-74D70C7EF867
5150,L92134,L92134-9099DBD3-514D-480C-9FFD-835F52A5D02C
5151,L92135,L92135-88416852-A845-41AF-B7AA-68064EA8F45A
5152,L92136,L92136-7A83208F-CFE6-494A-8043-02A205057777
5153,L92137,L92137-0817D1EB-5EAF-4327-9389-DF2F4686B3AF
5154,L92138,L92138-738CFF41-214F-4377-A2AD-2BDCEFEE44AD
5155,L92139,L92139-2ABD5A4C-FD6F-4DD6-A382-423BAD19DA5E
5156,L92140,L92140-E2EED0BF-7FE5-4FD7-B652-908650B15550
5157,L92141,L92141-70D51A6E-F592-472A-B66F-A62228BC728B
5158,L92142,L92142-2BA7387C-4DF0-4EF0-A420-F7F7FDB9FDB0
5159,L92143,L92143-C3795855-22F9-4008-91C5-54ED693F366E
5160,L92144,L92144-B22CD476-8201-47A3-A769-19D829631DB0
5161,L92145,L92145-C6850930-0F60-4A2A-9F8B-DBF919515F33
5162,L92146,L92146-2139578B-C571-4258-93A4-B3868A7F5972
5163,L92147,L92147-EB6145F8-1BBE-48B0-92DC-85F7EE61064F
5164,L92148,L92148-82C2195A-60AE-4F5A-994B-F4C1DA3DE030
5165,L92149,L92149-9161FA86-DF60-4EB8-BC46-AFF415498A68
5166,L92150,L92150-739C4269-AC9A-4788-A356-67A3F31FE53C
5167,L92151,L92151-A36D0AF3-C318-4739-8236-0AA9D9905436
5168,L92152,L92152-D2B79775-D044-4BF7-B63A-6BBDE614BE32
5169,L92153,L92153-398846C4-8439-4DE7-B238-B60F10084A1F
5170,L92154,L92154-DAF67579-2F2A-46C0-964D-ABC9DE8C3760
5171,L92155,L92155-109EEC96-F42C-42FA-89C3-3B1720227631
5172,L92156,L92156-2F4A5E1B-80E1-4A46-9FA4-E200A241D6A7
5173,L92157,L92157-D7F3ABD7-6F2C-4353-8937-3E1CD46417AB
5174,L92158,L92158-76EEB17E-76D4-4D45-9B16-570BDC18A67B
5175,L92159,L92159-DDDCDAA9-2AA1-4E3D-8D7F-8E56E778AEC5
5176,L92160,L92160-08E72549-B192-4B5E-9BDB-358EEECFA795
5177,L92161,L92161-D9FDF19B-F71F-4BBA-A01B-29401CD86AB3
5178,L92162,L92162-A8201263-FE3C-4FB4-AC47-19658DA6AEA9
5179,L92163,L92163-636850A8-DEEC-40B6-B064-FA7CAF2E0506
5180,L92164,L92164-04DA5F98-3749-4B97-B96B-7452ABC3A6E8
5181,L92165,L92165-ED8FDCD6-BFFA-43F8-A072-4641D8AC0074
5182,L92166,L92166-6730AE55-2A71-475F-A9EC-B0B9A951816D
5183,L92167,L92167-BC1CA7FF-20A2-49E3-907E-E3DC13C3B733
5184,L92168,L92168-A37004FF-08BE-4426-8820-76D1CD81639A
5185,L92169,L92169-407CBE3F-A27C-458D-BFF3-AF415438FD71
5186,L92170,L92170-28CA7E6F-6657-433A-9D45-D9C3F84CB76A
5187,L92171,L92171-ED54E3AF-970F-48F5-9006-9543D6715679
5188,L92172,L92172-91CAF035-DE76-434D-BA03-04B0EB413BAF
5189,L92173,L92173-B2061FD7-594A-42C1-8618-6B23FAFCA3D8
5190,L92174,L92174-25C8678A-BE71-4A8D-A0F5-81CAF86891C9
5191,L92175,L92175-17209EC3-1E9F-46BA-BBB2-2349FC08F2F4
5192,L92176,L92176-A92C298B-C508-448B-B718-033498115151
5193,L92177,L92177-5BB90CA9-57B3-4035-B061-4349B3244A59
5194,L92178,L92178-F9B96055-24C9-47A8-A027-CA96C262788C
5195,L92179,L92179-683361F5-F464-4E94-82FF-36BF6FED7CB4
5196,L92180,L92180-BF5B4F0A-E58E-4C7D-99E0-DFDCC5FB4421
5197,L92181,L92181-026094F0-A592-4182-93EF-CBA4DD4BBAF5
5198,L92182,L92182-6D775096-66DE-446A-A9AE-9F70C337D05C
5199,L92183,L92183-7167EFC9-ECB5-454F-A22D-5C5AB4FC07AE
5200,L92184,L92184-7BF69513-DFA3-4575-AE02-73CABDA56F48
5201,L92185,L92185-B5775AA4-26CF-4620-A320-2C93C2991399
5202,L92186,L92186-8336A895-56C3-4516-9EFD-EAF8BA79043F
5203,L92187,L92187-21980A8A-FA2D-4783-8003-8C583785888B
5204,L92188,L92188-4D7B9E01-0DB1-4CAB-9A2C-35FA7F16F85A
5205,L92189,L92189-98C7FFD3-A809-468E-A488-068AE65BEF1B
5206,L92190,L92190-4C21FE18-3FD7-45A5-A92A-43427DE130D5
5207,L92191,L92191-71A93079-8CE5-4875-9600-ADC279147C78
5208,L92192,L92192-DB701B6D-7E62-433A-8A2F-B418A24F600D
5209,L92193,L92193-CD9DBCF6-6F1E-41A3-AAB4-322CA25195A2
5210,L92194,L92194-14D50694-6136-44A3-87FE-61B5A9636F7A
5211,L92195,L92195-BE9D467D-E74C-490B-A31C-BAC6307744DC
5212,L92196,L92196-7E03FD13-6098-455A-8912-740A6495EF1A
5213,L92197,L92197-A81C705E-DAD8-43D2-B160-D6FB5903A803
5214,L92198,L92198-218FD03E-4E1C-4BFB-836A-BD431686DA3C
5215,L92199,L92199-12DA1C83-7FE0-4F15-97CA-5D3589D7E5BE
5216,L92200,L92200-B2FC6828-D22E-4976-AFB3-41F8068367D8
5217,L92201,L92201-426D7262-D65E-44F0-A0A1-C33352422CCC
5218,L92202,L92202-A95A7D19-EC91-4AC4-BF1C-C0B632A41A9A
5219,L92203,L92203-D52B93A6-D611-4850-8951-B8AB60C0AE6B
5220,L92204,L92204-2B4ECB3E-2D40-4876-B38D-DD134CF805FF
5221,L92205,L92205-E228CF99-7595-421A-9AD2-AC6D2301532C
5222,L92206,L92206-8E761A4C-F114-4174-B54C-8A6EC6D05BB9
5223,L92207,L92207-0EE37829-7CE0-4A3F-9C0B-B80587F1A7E5
5224,L92208,L92208-F77039DF-2596-48D4-8863-478C270091B2
5225,L92209,L92209-2E2A381A-46A8-4889-85E9-54CBB86761AF
5226,L92210,L92210-EFA51639-FBC3-487D-82D1-9852DCF4426D
5227,L92211,L92211-1CCCD11D-7C25-4600-8DBA-35E784D0534D
5228,L92212,L92212-DA737081-29D8-425C-B01B-FA8F1760F1C4
5229,L92213,L92213-3761ED93-AEA6-43F9-9B62-C8C35A955D7A
5230,L92214,L92214-CC59FFC2-12D2-4920-A9C1-9F112D9B6924
5231,L92215,L92215-BB95A3B1-C22A-4A8E-806C-1CDCE4B727D0
5232,L92216,L92216-20A749C2-6A01-40FE-8750-59FD1D658D43
5233,L92217,L92217-864CB4A7-C023-43F6-80C4-30AA0DDC3D36
5234,L92218,L92218-33E1A03E-D1E7-4026-8300-B0D612179D90
5235,L92219,L92219-FD75FC48-4574-47EE-B05B-2B8930F89FDF
5236,L92220,L92220-5DA2B4F5-9612-4BC0-BF23-A9F8A5EA7A3C
5237,L92221,L92221-6128022B-BF37-452D-B753-D75B74A1B518
5238,L92222,L92222-B1DBB634-75D8-4063-AAB9-5DF885CB3BBB
5239,L92223,L92223-BBF1A3EE-8E97-4CD2-9AD2-226789DB7AED
5240,L92224,L92224-72F4E58A-AA7C-44ED-8FE8-E9F3530197EA
5241,L92225,L92225-02CAB331-05F8-4D15-B375-18A17C9C360E
5242,L92226,L92226-8D4A1A50-7B06-47B8-83AE-5BB858195CA7
5243,L92227,L92227-14033981-42F2-4099-9C61-C461942A6040
5244,L92228,L92228-4001F099-7878-47E5-8C81-069ED5FE7A87
5245,L92229,L92229-B03F7B58-47B6-4FA1-A02B-02A682022466
5246,L92230,L92230-64E52BE5-4B69-4E7B-A19C-9479794E3A6B
5247,L92231,L92231-3ACAC01A-93B6-4FDA-97FC-20E3D89F7679
5248,L92232,L92232-B77AAD43-F832-432E-8604-465A9E065B90
5249,L92233,L92233-CAD7F546-19E8-4B68-9E8B-45A98E5BFB50
5250,L92234,L92234-4A184A1D-0F5D-4AAB-A80F-1D95B6A9A26D
5251,L92235,L92235-A4B2FBE6-B622-4987-A77F-05ADC896178D
5252,L92236,L92236-55A7B90C-621B-4836-BA90-0E1F4D143B8D
5253,L92237,L92237-8D1C1B12-34BD-435D-8715-69B01A8D54B5
5254,L92238,L92238-8D5FADD3-079B-4BAF-B250-644C738705FF
5255,L92239,L92239-1A3E1FFD-A324-433A-8258-502CB7BAF32E
5256,L92240,L92240-9B30E191-6CAA-4F52-9B08-70D59D6E4E94
5257,L92241,L92241-8F87081C-2A1E-4AE8-93AB-5A773593D6A3
5258,L92242,L92242-8A34306F-AAB8-468F-A64F-307200A1EFEC
5259,L92243,L92243-EEC81032-6B25-4EE6-8915-E47063D08143
5260,L92244,L92244-E8D6408B-BA81-4EED-880C-08EBF647E60F
5261,L92245,L92245-DE5A0AD5-590A-4F5D-89B4-81D3344FE4A6
5262,L92246,L92246-D21F647A-6ADE-44FB-B529-48E634AA3226
5263,L92247,L92247-45CBD24C-019D-4319-A4E0-04CE98E34B68
5264,L92248,L92248-A7222B0B-760A-4A2C-93D9-F1004E4261CC
5265,L92249,L92249-B69AD450-859F-4851-B62D-0CD39753F07D
5266,L92250,L92250-BB444257-5B95-4EAD-B138-E3ADF44BCA9D
5267,L92251,L92251-B8F0AE07-869F-466C-9048-F6175882280F
5268,L92252,L92252-99FF19FF-BB29-4D7B-AE1D-DB4C86602F7C
5269,L92253,L92253-4A2F9EF6-7171-44B0-956C-9968914DB0F4
5270,L92254,L92254-CC3C28E1-1BBC-47D8-929D-73349EF433CC
5271,L92255,L92255-DBA87341-42B5-4E14-9F4B-44BB5A06FFA1
5272,L92256,L92256-B2BEF5FE-55E8-44C3-A7A6-A446BCAAE36D
5273,L92257,L92257-BA0D7DEC-F04C-42FE-9089-7573B213A53A
5274,L92258,L92258-01D57E4F-9920-47E3-9EF6-3968CCA3D6D4
5275,L92259,L92259-A472C2F9-FDBC-4BB9-BB47-D0431F5E98A2
5276,L92260,L92260-F4889243-1B68-4588-9B38-92A9C8D39750
5277,L92261,L92261-4BFCF738-AB94-4A10-B4D0-C88BEE342C05
5278,L92262,L92262-014E5DE9-765F-4766-9E79-2BDF7F09F3D6
5279,L92263,L92263-FF03AC85-D3CE-4C31-976F-78528FCF2796
5280,L92264,L92264-4E2BF7E7-7B31-47FE-BD9E-7141DFBE83E2
5281,L92265,L92265-40F047A1-3DAC-4913-BD05-9EB0C62B4CA0
5282,L92266,L92266-BB84806E-E562-443E-A095-B0690D13FB15
5283,L92267,L92267-17F2EB3D-5E91-4D14-9290-7622E6C7C62B
5284,L92268,L92268-7F79B19A-7947-4749-A778-C66892BD40C3
5285,L92269,L92269-4C8CBC50-7B35-4362-8CD1-B429AAE7167E
5286,L92270,L92270-71489DB2-7045-425D-BBF0-F287BED8D23E
5287,L92271,L92271-179D82D1-AC97-40A7-A1C0-B0BB3429F380
5288,L92272,L92272-1551664F-6B48-4DCE-9A3F-ACD8ADD358F1
5289,L92273,L92273-025F56A2-0F26-4B97-AB3D-5137D9844F64
5290,L92274,L92274-307207E0-4548-4FB6-9BD0-0B664A484CAB
5291,L92275,L92275-303574BD-1C72-47F3-9503-BEEDCD16A758
5292,L92276,L92276-DE3F9E19-55EE-4F6C-BDDC-B83BB639210F
5293,L92277,L92277-5B656DC0-8212-4F70-AB40-6F3B528E0C5B
5294,L92278,L92278-A32DE58A-F579-4BAF-B867-42173C27F49C
5295,L92279,L92279-BE9F434F-4BAA-4C0C-A0C1-37DF447C2B4C
5296,L92280,L92280-16BD51DF-AD59-4710-A893-6243317AE414
5297,L92281,L92281-8D815FF4-FFD1-4379-8E87-41D63D9DDFC7
5298,L92282,L92282-38CBBE46-F624-4F92-B94D-8AAD183CAA73
5299,L92283,L92283-81DFDC07-72F4-46B1-90B4-146D0DDB5E3A
5300,L92284,L92284-914E7B05-5D41-4846-B2F1-A9BD18EAEF94
5301,L92285,L92285-889B65C6-F7C7-4A63-8D26-FEA7C6B6F981
5302,L92286,L92286-E40DE25C-C2F5-4DDB-9F1E-2B34C434EB6B
5303,L92287,L92287-78FE56AA-EF07-481C-908E-F92C88780470
5304,L92288,L92288-8219F8E5-D80E-4C3E-BD70-F408DEE701AD
5305,L92289,L92289-1266C8A4-5EC1-4157-ADE3-FE3F0B4349E1
5306,L92290,L92290-43EF933F-15E0-4AC8-8C8D-DE3FC0534F70
5307,L92291,L92291-F1C38BFE-009B-4FBE-9902-CA302795A0B1
5308,L92292,L92292-2D95EF4D-74DB-4925-896D-1430BC54B13F
5309,L92293,L92293-A5E4561B-081B-460A-9BD1-6C0BF844011C
5310,L92294,L92294-50C26289-6C2C-432B-B88E-C78D32B98396
5311,L92295,L92295-61D71DC5-9BFD-42A0-8DDD-FF51467EF90C
5312,L92296,L92296-01F00514-A9B2-4BE5-BD6A-4831715BDC5F
5313,L92297,L92297-823FC884-EC7A-4C4F-AB99-1AD216F522B9
5314,L92298,L92298-2BBAEAC6-EE3B-4977-BA61-B3AD07C02F94
5315,L92299,L92299-E57EA852-8BF2-4057-84AC-2C2A21654A80
5316,L92300,L92300-3A7574D6-9C67-4D68-B4F3-8F2632FA89B9
5317,L92301,L92301-2AADA5CA-B6C9-4FF4-8EFF-622B2A314DE0
5318,L92302,L92302-F7D4F22A-91D6-4A5A-8FE0-D30026FA2E07
5319,L92303,L92303-75C50137-53E5-4CAC-89C6-4980CBF4065E
5320,L92304,L92304-387635C7-861C-4C04-B78B-115020B60AEB
5321,L92305,L92305-56778159-6466-422D-94AA-F9EF86FE6237
5322,L92306,L92306-8B820D6E-F3D9-4DF0-89A8-0637FF79EF82
5323,L92307,L92307-7173D49C-1707-4CCD-80BA-44127CC62EB0
5324,L92308,L92308-84C47C06-26A6-4D9C-9D10-69E3EC0B2877
5325,L92309,L92309-0DC432D8-D282-4B2B-8DA8-DE4F775D7332
5326,L92310,L92310-DC7FA259-0677-4ABA-92FC-91AD214C8510
5327,L92311,L92311-3F2295FD-0CF3-48E9-B58A-8D90FDBAAF13
5328,L92312,L92312-8A7A8D42-06F1-46D5-9E59-6692A11B39A1
5329,L92313,L92313-AB79026F-6A32-4864-918C-8EFB733C328D
5330,L92314,L92314-04DDB056-D8AC-48A1-91AA-4FCD0A730146
5331,L92315,L92315-E246AFD2-EF8F-413A-A31B-066928C78D3F
5332,L92316,L92316-94EC4BFE-7205-4293-AF17-ED927F600B68
5333,L92317,L92317-B715EF6F-A6E2-4E0E-ABD5-EBA2FADC8365
5334,L92318,L92318-15292AE8-95A1-4EE6-BCD4-C00829AF6C1E
5335,L92319,L92319-FB3892C6-5457-40DD-98CA-15FE769910E5
5336,L92320,L92320-C26B58A9-C934-49EC-8FE8-F40F9CA6179E
5337,L92321,L92321-06AC2D24-0B7E-4F05-BE98-513F4E0ED229
5338,L92322,L92322-9B1844E4-E6B7-466A-A479-FFD68C2013A8
5339,L92323,L92323-05C88451-0878-4A05-9700-72FCEB19274F
5340,L92324,L92324-263F0227-245D-42DB-ADE8-FD8EAE0C68BA
5341,L92325,L92325-1B6DA056-6F86-4038-B5BB-6AAD02F96767
5342,L92326,L92326-1DCC1963-52FC-4F1A-B601-8A0AD69FBCAB
5343,L92327,L92327-BF88C5C1-8DEA-4B1E-809B-B3BB5A4DC89C
5344,L92328,L92328-BF3196BC-F1B2-47FD-A7FD-2892A886EAA1
5345,L92329,L92329-6D89EA7D-2DB5-44A8-BDFC-F2F800AA14A9
5346,L92330,L92330-FDEE0413-A6B7-4D9D-BDEB-578DA4A106FD
5347,L92331,L92331-9A4D99F9-9315-4767-8F3F-D69620818593
5348,L92332,L92332-97F4F9DE-5B05-441D-88EF-96AD79DD0D96
5349,L92333,L92333-FD617832-89E5-49A0-BAD6-D3AC190EF6F0
5350,L92334,L92334-41A08681-CE8C-4C9F-B04F-F8BF8EAC1503
5351,L92335,L92335-AC947278-4078-40FC-ACAD-D28916902A11
5352,L92336,L92336-2C4AE22A-D2DF-475D-8CB7-ECA03DBFECE0
5353,L92337,L92337-11C6848F-DF97-4926-BE45-FBA34EFBDC59
5354,L92338,L92338-E32EC125-0CEB-4018-B35E-9319963AD280
5355,L92339,L92339-F42BEFB8-F3BB-4448-B3F8-467EE3638AFD
5356,L92340,L92340-FE0085E1-12F5-417D-ADCA-6652A8C25610
5357,L92341,L92341-04CC25C2-7114-4E0E-AEE3-D6BBD54C32DC
5358,L92342,L92342-B2928D02-2560-4CAA-973D-CEEDA86E460D
5359,L92343,L92343-8F752239-3C09-4DED-B375-20F74D42DC69
5360,L92344,L92344-7E600ED4-A2B5-4491-8064-035E5D181D57
5361,L92345,L92345-ADC59A58-9CA8-4CA5-A55F-E4D1F5FF89A5
5362,L92346,L92346-A428DC25-FFA3-4DC7-8B04-D687E842BDF7
5363,L92347,L92347-68D5DAE2-6EEE-4116-AD54-C4B8EA7E4765
5364,L92348,L92348-A74BCE55-CD51-4909-B0E9-0315F25C848F
5365,L92349,L92349-A58FA22D-3337-4138-A3F8-6752F5521AE4
5366,L92350,L92350-51E97A10-5F13-41DB-81B8-359A526E1FEF
5367,L92351,L92351-803F6591-3880-45E8-93D1-B3D40B7CEA1B
5368,L92352,L92352-C4B11653-FE24-48F0-BC5A-20E1B2C21AED
5369,L92353,L92353-C3317EF3-0DA9-49DA-889C-83DEF4E95092
5370,L92354,L92354-FACA5A27-0869-4DAC-9638-1EE995171DF5
5371,L92355,L92355-3902D0BF-0EA2-4C1F-996B-DFE8810D268D
5372,L92356,L92356-B9802EDD-4E27-42E7-BC9F-EF46FC1AFCE9
5373,L92357,L92357-57C5FE16-8F68-47A4-BC51-29CE4B8CD9DF
5374,L92358,L92358-6EE05D1C-025B-463B-9B37-5E2492296276
5375,L92359,L92359-85ECC96E-4E62-492B-A023-030DF4533C31
5376,L92360,L92360-107F40D6-AA24-48B0-8BCD-B979E6332430
5377,L92361,L92361-C1B961E4-2D21-459F-9F1D-CBE2B313D20B
5378,L92362,L92362-2075E7F8-C09F-49F6-9ADC-5FBEE09C856A
5379,L92363,L92363-B88357FD-90EE-4CF2-BE5F-DC16CD80777D
5380,L92364,L92364-3D510A4F-69D0-4455-B468-4915475E04B3
5381,L92365,L92365-14E5FE2B-C0E0-41FF-9888-0EEF8394C423
5382,L92366,L92366-D59A4A53-01AB-45CE-BB30-60C79F00C9AD
5383,L92367,L92367-EBBFE318-6D77-4843-9BBB-EC399B2C7A0A
5384,L92368,L92368-515BB8A0-1493-4545-9C14-F94C9C6CCEDD
5385,L92369,L92369-F6BAC6B6-D5D3-430D-8266-6DA0048E1FD7
5386,L92370,L92370-E8CB5F2C-7568-4913-AB89-554BB7F340B9
5387,L92371,L92371-708152B1-AE48-474A-B4B5-3D122F2C2E7E
5388,L92372,L92372-3A2890D7-4572-439A-9DD3-8EF8572CCB4E
5389,L92373,L92373-C408895C-8F99-474F-B6BE-FA1EBF6D48AB
5390,L92374,L92374-514C6913-33AB-4D5A-B7C6-339D337E69B6
5391,L92375,L92375-7C5AC588-6C1F-45DE-9D83-59140695CCE8
5392,L92376,L92376-C4E7D190-5CBA-458F-8EA1-060D47411895
5393,L92377,L92377-B09881CB-76AF-40C0-B054-CC66F7350412
5394,L92378,L92378-E0C14EC1-95DE-4309-BA54-826DEC27ADAC
5395,L92379,L92379-21109030-A443-443A-B470-900F98737EAB
5396,L92380,L92380-E04E68ED-2012-4DE2-9BB4-54F8D0B21AB3
5397,L92381,L92381-FC158D93-E8E6-4AE6-BA50-8D4AFBEE2C15
5398,L92382,L92382-EB2013E1-3B36-41FE-B874-9B4E666E9390
5399,L92383,L92383-8F1044E6-69A9-44C3-B972-0C1BEC2CA83D
5400,L92384,L92384-6FBFBAC4-7DDC-45A9-A129-4BFEEC68C7DC
5401,L92385,L92385-76011278-6DE6-4B95-8022-91ED5B67FF98
5402,L92386,L92386-80F50220-215E-44C6-9022-DB61D687B36B
5403,L92387,L92387-98A8FBCB-D594-48CE-95CA-8B79290AAA68
5404,L92388,L92388-6A0AD453-5FEF-4BDD-A1AE-C408B0768DC8
5405,L92389,L92389-6BD5A97D-B3BD-4A07-B497-F98F72FA0469
5406,L92390,L92390-10FFEA1F-ABF1-4551-A979-2C103A50871C
5407,L92391,L92391-2419C09C-402B-4496-BA08-7500DEBF361C
5408,L92392,L92392-3064C83D-CD9A-4CF1-809C-D3A01AB96426
5409,L92393,L92393-183D893D-5E1A-4141-9B51-E67229488A6A
5410,L92394,L92394-FA163C7C-E410-4FF2-88DA-C28C1749ADBB
5411,L92395,L92395-01D065FD-BB63-4B40-8051-2D0C53FCEEFC
5412,L92396,L92396-216B4B31-58B3-4514-BA43-D6743665F865
5413,L92397,L92397-902D22FD-47FC-4BB0-866F-4BACED5F4AF7
5414,L92398,L92398-068D14A2-7963-434D-96D3-4D5B6D5C10B2
5415,L92399,L92399-A5744BC4-76BA-479A-A2AF-C597109584EB
5416,L92400,L92400-EE347CB0-6BB8-427B-A43C-573C9F9E5F5C
5417,L92401,L92401-55FDDEE2-08FC-4AEB-B32E-4605CADD3DD3
5418,L92402,L92402-1EAEF1AB-F143-4706-AA60-C66289D5C6DE
5419,L92403,L92403-C8F748E6-9283-41D7-98A6-EE64DA013F84
5420,L92404,L92404-80CC7B4F-949C-43ED-8713-D321F9DC04D6
5421,L92405,L92405-FC6DCBEA-F93D-406C-9C99-1428688EBD58
5422,L92406,L92406-7726AB75-63EE-4EF5-AF11-646CD9E16C50
5423,L92407,L92407-983B5D16-31D3-468A-A714-153B3B10E574
5424,L92408,L92408-4ADE988C-A45C-4DD6-A677-9077A391268D
5425,L92409,L92409-F8628B2A-9153-4BCA-AD42-226A1F1E1CF5
5426,L92410,L92410-D937419B-48B6-4D6B-9BBF-A065BFD7C36F
5427,L92411,L92411-A22E2AF6-ADC0-4C3F-AF1D-3AF6832F9362
5428,L92412,L92412-CD591523-AEC8-47BF-8F9B-CD64C92CBF7E
5429,L92413,L92413-E3762DC1-10FC-4DC2-BB11-E898B73D7177
5430,L92414,L92414-7E4361E7-E3A1-4CF5-BD1A-D060C28E94F4
5431,L92415,L92415-32F262C6-E3E7-4C99-808C-F48B2AD0BFD2
5432,L92416,L92416-C2E33E7E-8144-43A4-B997-F558469CBE8F
5433,L92417,L92417-D3B7B9FF-750C-4E76-9B03-2986E3D99376
5434,L92418,L92418-4B8335D4-5140-4D67-B59A-77A69B4EB6E3
5435,L92419,L92419-AECF1A4C-148F-4648-9137-7EAB3C4BEE8E
5436,L92420,L92420-6767A5DE-FCE1-4B04-92B7-2AC63F985C47
5437,L92421,L92421-F86FE62A-B51C-4FA6-B2E8-D48FA0083288
5438,L92422,L92422-4470AB04-C40D-4113-89FE-E69D3A3BC378
5439,L92423,L92423-A939D7C6-737B-455E-BC8B-FA96F331F3B5
5440,L92424,L92424-274EA74B-344E-416B-8140-78EA3A44A78E
5441,L92425,L92425-927F33FF-8070-4FDA-B708-3953C86D4889
5442,L92426,L92426-4D8F51B7-4189-4879-B639-577E769722DC
