source_id,wikibase_lexeme,p6st
85,L87069,L87069-B55D607A-50D6-4F6B-BCC7-94D8835405C9
86,L87070,L87070-2379D904-88D7-477E-A708-A4B25E5E28A6
87,L87071,L87071-F0F88F98-844F-4B1A-8EE9-83747281600F
88,L87072,L87072-DF79EEC2-A021-49CC-88E9-843DC77AD41E
89,L87073,L87073-E28E53A0-A032-4F97-A8A6-3F8E6320DA9C
90,L87074,L87074-02732832-C044-4A43-B4B6-D7A38374A49F
91,L87075,L87075-D5D178F5-22C3-44E1-A4FF-BAD4D3CB0F94
92,L87076,L87076-55F42F14-A008-42A0-BDFD-5522C5598566
93,L87077,L87077-F03B6D34-906A-4FA4-9787-90A8A2B0E4AB
94,L87078,L87078-6CA53353-DE2B-47B2-97C5-105E5EA76A2E
95,L87079,L87079-29973A99-5DEB-4360-8581-8F0FA40C1855
96,L87080,L87080-49B40874-F86A-45FD-8AE9-D83A0366FC24
97,L87081,L87081-0BC16B9E-160A-4A1C-AEEE-05C14756DE60
98,L87082,L87082-8977C2A5-82C6-46DC-85FE-02F3CF2081E1
99,L87083,L87083-C1C196CD-4CE7-4A92-AA71-9DA7D24C5BAC
100,L87084,L87084-E8FD20B0-0C2B-4AAE-915D-AA6C521BF6E7
101,L87085,L87085-A6FBC37A-B718-4048-9286-94FE152CAFBC
102,L87086,L87086-51E303DE-3EDB-443A-82AF-CBB524185058
103,L87087,L87087-E05C5F4E-D005-4177-9F20-EC1EE76206EB
104,L87088,L87088-7C62991B-4E3C-403D-9E80-5C1C865E856A
105,L87089,L87089-1B342204-063C-45AC-8C98-962345DA9B71
106,L87090,L87090-942C70F2-4EA8-4E90-B3F8-4A018E7135BF
107,L87091,L87091-C715921F-EBB3-4669-8FDB-6B50FB8B189A
108,L87092,L87092-D6D8D8A2-0739-40F5-9F51-0705758B829F
109,L87093,L87093-02AA4A6B-2FC8-40C6-81E5-526BFA998477
110,L87094,L87094-8121005E-FF9F-426E-9E54-820B20756241
111,L87095,L87095-E878FDA4-B1AD-4E18-936F-6BDA41BA11C0
112,L87096,L87096-0A5DE90F-7AA8-4B63-A9A3-BFD0641D85A6
113,L87097,L87097-7C44D2B2-8BB2-4D1D-8C0D-667CDB22664A
114,L87098,L87098-E14832D0-F5E0-48A4-9F0A-995CB1ECA56A
115,L87099,L87099-28D90868-7467-47DF-946B-932CE88E6726
116,L87100,L87100-BA4C662B-A339-4866-9FF3-806820CE11AC
117,L87101,L87101-03391B2C-4BCD-4233-91D3-31E4D30A14F5
118,L87102,L87102-C6524D69-3738-4A28-A8FA-C99E9CC11D0E
119,L87103,L87103-1AFFEAB6-9990-451C-B067-ACD4D6F17AF2
120,L87104,L87104-D4E3C93E-96F8-4937-BD47-71B1BE4EDED9
121,L87105,L87105-185B3C2B-BB2F-4F58-A42A-12F28B943587
122,L87106,L87106-6AC836BF-C15C-48AE-98AE-2936DC185B86
123,L87107,L87107-A0102B0F-DE91-4B7F-95E2-BA8E26F3629A
124,L87108,L87108-12CFCEF2-4E94-48F6-976E-F2F63E641ADE
125,L87109,L87109-BC063D1E-2558-495B-B1C1-124EA9FE5E4E
126,L87110,L87110-FB8980EA-1586-4C48-B4C7-CDCD0D32DCAF
127,L87111,L87111-B4A7725C-0E9C-497C-A58C-E4C45ADC338A
128,L87112,L87112-D2BFC7DA-CF09-4216-9CED-E2308ADB2445
129,L87113,L87113-C8705B29-48D9-43B7-862E-ABB6302EE7F4
130,L87114,L87114-F0AE212C-10E6-4C10-B4FF-21F10D6F7985
131,L87115,L87115-590279DB-88B5-4A3F-B5C5-BE5EDEC17F63
132,L87116,L87116-8CE70E30-4303-44F4-8D9E-43DA603628D0
133,L87117,L87117-52352407-328F-4DF6-898C-A97EA304C18C
134,L87118,L87118-C1800D49-4C7B-49D6-BE54-6B578D206CA0
135,L87119,L87119-C7EE557D-E84E-4106-B021-6EDB92BF8ACF
136,L87120,L87120-6BF60C5B-ABA5-4626-AF65-0517B3A4D59B
137,L87121,L87121-001328AD-60BD-4FA6-88FA-1CAC0625973E
138,L87122,L87122-EA642CB2-D9B0-4B75-A7C4-11658926B215
139,L87123,L87123-1FCA3A8E-C502-4726-8922-7A11A1A55076
140,L87124,L87124-6F321644-4A4E-4840-94A4-90669B50DB08
141,L87125,L87125-45764E35-88C3-4764-AB2D-20F09902EE54
142,L87126,L87126-354FF2F2-8257-4C5B-BB5B-91C12F2C6ECE
143,L87127,L87127-2B6A0B23-106A-448A-85D7-CE970C9A4351
144,L87128,L87128-881DC708-86EC-41B4-8895-BEDCD70CAFEF
145,L87129,L87129-22D27E25-E503-468C-BD24-9E48D7E5747A
146,L87130,L87130-6FD2C366-D7FC-4485-8E92-6C3211EF616F
147,L87131,L87131-60D0A580-68D2-4DB6-9F1B-628805BE35F3
148,L87132,L87132-020190ED-51B4-430B-9C84-DD8658DDBEC0
149,L87133,L87133-760F9FD1-1695-4AF2-8E50-450345143781
150,L87134,L87134-E47E43A0-267F-46A2-81BD-A7B388AD8A4C
151,L87135,L87135-61805C45-1CB2-4B71-AA18-03296FA0D391
152,L87136,L87136-764280AF-3499-4969-8D6A-9E6AFAA3B6A1
153,L87137,L87137-DA8F57DB-5DBA-49E9-8405-5D469C0A8078
154,L87138,L87138-456335CF-ED49-4E9D-93D8-A73DD09EAC46
155,L87139,L87139-31E27532-AA27-476C-9DE0-A3D8EDD53ADC
156,L87140,L87140-73D9B85F-21DA-45B2-A0B1-E189F2C17631
157,L87141,L87141-D5BEDD8C-A36C-4571-BEBA-0B0BC53A262D
158,L87142,L87142-9B7A2BAE-AFFB-46E5-9A17-0C9D26616499
159,L87143,L87143-FF2DA8C1-EB45-4798-A59C-2016F6D887CD
160,L87144,L87144-6CAD8D83-EFB8-4CA0-AC53-22EB0CAE2580
161,L87145,L87145-145F5374-1773-4A61-B747-7D2CAE1CE48F
162,L87146,L87146-2E4C5C2D-A065-4AED-A120-B573320BEB2F
163,L87147,L87147-0DF03D58-A2C4-47C9-80D5-C2B1AA1ACF22
164,L87148,L87148-51290AAB-5650-4D24-ACAF-73CB57FE74DC
165,L87149,L87149-AFC9632E-8023-4925-98E7-78E83215D01C
166,L87150,L87150-5C82A078-9C77-429C-BB0C-3490C384D42E
167,L87151,L87151-710A8F02-979C-4E10-8A80-C65DA6ED6DBE
168,L87152,L87152-77A296A3-D8A9-47E1-8EFB-AC92DC8EA1A6
169,L87153,L87153-2B1BE3A3-2725-472D-81A0-0976AF7ECE2E
170,L87154,L87154-69894A62-2E49-4AD2-834E-982341229D10
171,L87155,L87155-D28DA7CB-8B2B-4FCB-8267-9D294A729310
172,L87156,L87156-92C236E7-E377-48D7-BEFE-8FA72F2C0995
173,L87157,L87157-614C12E4-CC4B-4AB6-B1CB-48D5EB5186E6
174,L87158,L87158-00ED1F2D-F12F-4C46-8E92-913D45E297A5
175,L87159,L87159-62A95C3D-2C1C-4DBF-8715-390A8CFF926B
176,L87160,L87160-AEA5C408-AA26-4584-A44D-054BDC2533E8
177,L87161,L87161-C68F415A-088B-4480-AC1E-D2D031A79A28
178,L87162,L87162-EA077059-5528-4F40-991E-F6EFDFF2D91B
179,L87163,L87163-95262407-6FCC-47C6-A137-B0F4B2A617FC
180,L87164,L87164-093638FE-EE9F-48BA-8C1E-F3BF4D86DB15
181,L87165,L87165-FA178494-4449-445E-B57A-F1501E1CCF22
182,L87166,L87166-14F9F94E-CE96-4384-B2DA-65F8FA6BE217
183,L87167,L87167-289661D0-EC2D-442B-85FC-E1EEB8A97201
184,L87168,L87168-A61F779C-7E14-4796-8928-6771E02FB2E0
185,L87169,L87169-48024BA4-0E80-4DF7-9139-703620F4007E
186,L87170,L87170-544D4E67-B1DD-4CFD-BE4B-1AE4E72CFF9E
187,L87171,L87171-2AB1466F-0AC0-46DF-9783-315827728A3B
188,L87172,L87172-5F5866B1-0D20-4CE4-B5A7-5349A6F8ED4E
189,L87173,L87173-E8A80256-C07B-47AE-9C3B-F7E94180CF40
190,L87174,L87174-CCA44E6F-C5E6-4B50-BCA9-57F52EE7C3CC
191,L87175,L87175-A4E2598E-696C-462F-80B3-97A238E1A410
192,L87176,L87176-AB2B450D-790A-434C-BE0E-0CBB138E3BF0
193,L87177,L87177-30B57EC7-F6FD-44E5-B067-6B643D7575D6
194,L87178,L87178-7364FF53-3E6C-424D-B3DF-0F6C26C743F6
195,L87179,L87179-B293F477-2747-4B4E-A2D0-B75B65D1C68B
196,L87180,L87180-1357C147-AB43-4C9D-8254-3C2EDCBC7C72
197,L87181,L87181-567F21D0-181D-4200-888D-71D05267EDF8
198,L87182,L87182-9BE78ADF-31FE-4703-98DD-BB9A8F9FC7E0
199,L87183,L87183-A3BC8FD1-98DE-4EC3-852F-726DFD4FD180
200,L87184,L87184-BAD35353-FFD1-4ADD-807A-C0CA6F7FC63A
201,L87185,L87185-AB3DB328-10FF-4233-920F-DA2F17FE3E21
202,L87186,L87186-8C89A34A-16CA-4463-98DA-4FB44CBAC511
203,L87187,L87187-B8A8EAAB-2319-4688-9947-4C97BBBC2A77
204,L87188,L87188-97AC21C6-D1C3-41FD-BCAA-C4EC4166964A
205,L87189,L87189-E67A0D56-02D5-48AA-BBF1-6C3B10868FE2
206,L87190,L87190-580906AF-D81F-482D-ADB3-E33EB138B55E
207,L87191,L87191-916F6A79-110B-49FB-A3D1-53C50BED1C45
208,L87192,L87192-1BE0D028-8457-48D3-A1DC-C0E99E64595E
209,L87193,L87193-78B94849-44D6-4E8F-947C-91C6DA9726C1
210,L87194,L87194-75845284-5F09-4A0A-B361-84A8E0E10948
211,L87195,L87195-1A3F598A-C241-459D-80C4-F30562032E62
212,L87196,L87196-354DCA8C-07EF-4296-92A4-7CD454767F40
213,L87197,L87197-7A17233A-8E2F-4D62-B237-46A1049C586D
214,L87198,L87198-7ABEB9C3-4E4D-4C56-8F35-F912B7FB9398
215,L87199,L87199-0366DCE3-3D92-49AA-9A52-04042172B5A4
216,L87200,L87200-52B43B12-FD65-41BC-993C-12A0F8EC9F3A
217,L87201,L87201-F8639F38-6E3C-4804-B270-B52CCA891A1C
218,L87202,L87202-55CB1661-4287-45FF-8FF0-F886A39A6D62
