id	lemmaRaw	wr	upostag	lilaRef	matchType	modLemma
1	A, a:	a	NOUN	lemma/90942	ONE	NULL
2	ā, ab, abs,	a	NULL	lemma/86824,lemma/90942,lemma/90943	*many*	NULL
3	abactus, -a, -um:	abactus	ADJ	hypolemma/65	ONE	NULL
4	abacus, -i,	abacus	NOUN	lemma/86829	ONE	NULL
5	abaliēnātio, -ōnis,	abalienatio	NOUN	lemma/86839	ONE	NULL
6	abaliēno	abalieno	NULL	lemma/86840	*one*	NULL
7	abavunculus, -i,	abauunculus	NOUN	lemma/86851	ONE	NULL
8	abavus, -i,	abauus	NOUN	lemma/86852	ONE	NULL
9	abbrevio	abbreuio	NULL	lemma/86856	*one*	NULL
10	abdicatio, -ōnis,	abdicatio	NOUN	lemma/86857	ONE	NULL
11	abdico	abdico	NULL	lemma/86860,lemma/86861	*many*	NULL
12	abdīco, -dixi, -dictum	abdico	VERB	lemma/86860,lemma/86861	MANY	NULL
13	abdidi	abdidi	NULL	lemma/86865	*one*	NULL
14	abditē	abdite	NULL	hypolemma/115516	*one*	NULL
15	abditus, -a, -um:	abditus	ADJ	hypolemma/30	ONE	NULL
16	abdo, -didi, -ditum	abdo	VERB	lemma/86865	ONE	NULL
17	abdōmen, -inis,	abdomen	NOUN	lemma/86866	ONE	NULL
18	abdūco, -duxi, -ductum	abduco	VERB	lemma/86867	ONE	NULL
19	abēgi	abegi	NULL	lemma/86895	*one*	NULL
20	abeo, -ii, -itum	abeo	VERB	lemma/86873	ONE	NULL
21	abequito	abequito	NULL	lemma/86874	*one*	NULL
22	aberro	aberro	NULL	lemma/86876	*one*	NULL
23	abeuntis	abeuntis	NULL	lemma/86873	*one*	NULL
24	abhinc:	abhinc	NULL	lemma/86879	*one*	NULL
25	abhorreo, -uī	abhorreo	NOUN	lemma/86880	*one*	NULL
26	abicio	abicio	NULL	lemma/86884	*one*	NULL
27	abiēci	abieci	NULL	lemma/86884	*one*	NULL
28	abiectio, -ōnis,	abiectio	NOUN	lemma/86885	ONE	NULL
29	abiectus, -a, -um:	abiectus	ADJ	hypolemma/54	ONE	NULL
30	abiegnus, -a, -um:	abiegnus	ADJ	lemma/86886	ONE	NULL
31	abiens	abiens	NULL	hypolemma/107078,hypolemma/107081,hypolemma/110489	*many*	NULL
32	abiēs, -etis,	abies	NOUN	lemma/26190,lemma/86888	MANY	NULL
33	abigo, -ēgi, -actum	abigo	VERB	lemma/26192,lemma/86895	MANY	NULL
34	abii	abii	NULL	lemma/5275	*one*	NULL
35	abitus, -ūs,	abitus	NOUN	lemma/91167	ONE	NULL
36	abiūdico	abiudico	NULL	lemma/86899	*one*	NULL
37	abiungo, -iunxi, -iunctum	abiungo	VERB	lemma/86901	ONE	NULL
38	abiūro	abiuro	NULL	lemma/86905	*one*	NULL
39	ablātus, -a, -um:	ablatus	ADJ	hypolemma/3871	ONE	NULL
40	ablēgo	ablego	NULL	lemma/86916	*one*	NULL
41	abligu(r)rio	abligurrio	NULL	lemma/86919	*one*	NULL
42	ablūdo	abludo	NULL	lemma/86924	*one*	NULL
43	abluo, -lūi, -lūtum	abluo	VERB	lemma/91082	ONE	NULL
44	abnego	abnego	NULL	lemma/86934	*one*	NULL
45	abnormis, -e:	abnormis	NOUN	lemma/86940	*one*	NULL
46	abnuo, -nui, —	abnuo	VERB	lemma/86946	ONE	NULL
47	aboleo, -ēvi, -itum 2	aboleo	VERB	lemma/86951	ONE	NULL
48	abolesco, -ēvi, —	abolesco	VERB	lemma/88756	ONE	NULL
49	abolēvi	aboleui	NULL	lemma/86951,lemma/88756	*many*	NULL
50	abolitio, -ōnis,	abolitio	NOUN	lemma/86952	ONE	NULL
51	abōminor	abominor	NULL	lemma/86957	*one*	NULL
52	aborigines, -um,	aborigines	NOUN	lemma/26295	ONE	NULL
53	abortus, -ūs,	abortus	NOUN	lemma/86965	ONE	NULL
54	abrādo, -rāsi, -rāsum	abrado	VERB	lemma/86971	ONE	NULL
55	abreptus, -a, -um:	abreptus	ADJ	hypolemma/166	ONE	NULL
56	abripio, -ripui, -reptum	abripio	VERB	lemma/86978	ONE	NULL
57	abrōdo, -rōsi, -rōsum	abrodo	VERB	lemma/86979	ONE	NULL
58	abrogo	abrogo	NULL	lemma/86981	*one*	NULL
59	abrōsi	abrosi	NULL	lemma/86979	*one*	NULL
60	abrōsus, -a, -um:	abrosus	ADJ	hypolemma/169	ONE	NULL
61	abrumpo, -rūpi, -ruptum	abrumpo	VERB	lemma/86983	ONE	NULL
62	abrūpi	abrupi	NULL	lemma/86983	*one*	NULL
63	abruptus, -a, -um:	abruptus	ADJ	hypolemma/177	ONE	NULL
64	abs	abs	NULL	lemma/86824	*one*	NULL
65	abscēdo, -cessi, -cessum	abscedo	VERB	lemma/86985	ONE	NULL
66	abscessi	abscessi	NULL	lemma/86985	*one*	NULL
67	abscessus, -a, -um:	abscessus	ADJ	hypolemma/93387	ONE	NULL
68	abscessus, -ūs,	abscessus	NOUN	lemma/86999	ONE	NULL
69	abscīdi	abscidi	NULL	lemma/26368,lemma/86987,lemma/86988	*many*	NULL
70	abscidi	abscidi	NULL	lemma/26368,lemma/86987,lemma/86988	*many*	NULL
71	abscīdo, -cidi, -cīsum	abscido	VERB	lemma/86987	ONE	NULL
72	abscindo, -scidi, -scissum	abscindo	VERB	lemma/86988	ONE	NULL
73	abscīsus, -a, -um:	abscisus	ADJ	hypolemma/182	ONE	NULL
74	abscissus, -a, -um:	abscissus	ADJ	hypolemma/185	ONE	NULL
75	abscondo, -condi, -conditum	abscondo	VERB	lemma/86994	ONE	NULL
76	absens, -sentis:	absens	NOUN	lemma/14868,lemma/26387	*many*	NULL
77	absentia, -ae,	absentia	NOUN	lemma/87024	ONE	NULL
78	absimilis, -e:	absimilis	NOUN	lemma/87005	*one*	NULL
79	absinthium, -i,	absinthium	NOUN	lemma/88231	ONE	NULL
80	absisto, -stiti	absisto	NOUN	lemma/87008	*one*	NULL
81	absolūtio, -ōnis,	absolutio	NOUN	lemma/87013	ONE	NULL
82	absolūtōrius, -a, -um:	absolutorius	ADJ	lemma/87016	ONE	NULL
83	absolūtus, -a, -um:	absolutus	ADJ	hypolemma/228	ONE	NULL
84	absolvo, -solvi, -solūtum	absoluo	VERB	lemma/87018	ONE	NULL
85	absonus, -a, -um:	absonus	ADJ	lemma/87020	ONE	NULL
86	absorbeo, -bui, —	absorbeo	VERB	lemma/87021	ONE	NULL
87	absque	absque	NULL	lemma/87023	*one*	NULL
88	abstēmius, -a, -um:	abstemius	ADJ	lemma/87025	ONE	NULL
89	abstergeo, -tersi, -tersum 2	abstergeo	VERB	lemma/87027	ONE	NULL
90	abstersi	abstersi	NULL	lemma/87027,lemma/89375	*many*	NULL
91	abstersus, -a, -um:	abstersus	ADJ	hypolemma/239,hypolemma/242	MANY	NULL
92	abstinens, -entis:	abstinens	NOUN	hypolemma/252	*one*	NULL
93	abstinentia, -ae,	abstinentia	NOUN	lemma/87030	ONE	NULL
94	abstineo, -tinui, -tentum	abstineo	VERB	lemma/87031	ONE	NULL
95	abstiti	abstiti	NULL	lemma/26428,lemma/87008	*many*	NULL
96	absto, —, —	absto	VERB	lemma/26419,lemma/87032	MANY	NULL
97	abstractus, -a, -um:	abstractus	ADJ	hypolemma/256	ONE	NULL
98	abstraho, -traxi, -tractum	abstraho	VERB	lemma/87035	ONE	NULL
99	abstraxi	abstraxi	NULL	lemma/87035	*one*	NULL
100	abstrūdo, -trūsi, -trūsum	abstrudo	VERB	lemma/87036	ONE	NULL
101	abstuli	abstuli	NULL	lemma/87039,lemma/90671	*many*	NULL
102	absum, āfui, —	absum	VERB	lemma/87040	ONE	NULL
103	absūmo, -sumpsi, -sumptum	absumo	VERB	lemma/87042	ONE	NULL
104	absurdus, -a, -um:	absurdus	ADJ	lemma/87045	ONE	NULL
105	abundē	abunde	NULL	hypolemma/277	*one*	NULL
106	abundo	abundo	NULL	lemma/87053	*one*	NULL
107	abūtor, -ūsus	abutor	NOUN	lemma/87058	*one*	NULL
108	ac	ac	NULL	lemma/90490	*one*	NULL
109	acalanthis, -idis,	acalanthis	NOUN	lemma/87060	ONE	NULL
110	acanthus, -i,	acanthus	NOUN	lemma/87068	ONE	NULL
111	accēdo, -cessi, -cessum	accedo	VERB	lemma/87084,lemma/87112	MANY	NULL
112	accelero	accelero	NULL	lemma/87087	*one*	NULL
113	accendo, -cendi, -censum	accendo	VERB	lemma/87089	ONE	NULL
114	accensus, -a, -um:	accensus	ADJ	hypolemma/312,hypolemma/315	MANY	NULL
115	accensus, -i,	accensus	NOUN	lemma/91060	ONE	NULL
116	accentus, -ūs,	accentus	NOUN	lemma/91169	ONE	NULL
117	accēpi	accepi	NULL	lemma/87119	*one*	NULL
118	acceptio, -ōnis,	acceptio	NOUN	lemma/87100	ONE	NULL
119	acceptus, -a, -um:	acceptus	ADJ	hypolemma/343	ONE	NULL
120	accerso	accerso	NULL	lemma/89811	*one*	NULL
121	accessi	accessi	NULL	lemma/87084	*one*	NULL
122	accesio, -ōnis,	accesio	NOUN	NULL	ZERO	NULL
123	accessus, -a, -um:	accessus	ADJ	hypolemma/306,hypolemma/93480	MANY	NULL
124	accessus, -ūs,	accessus	NOUN	lemma/87083	ONE	NULL
125	accido, -cidi, —	accido	VERB	lemma/87112,lemma/87113	MANY	NULL
126	accīdo, -cīdi,- cīsum	accido	VERB	lemma/87112,lemma/87113	MANY	NULL
127	accinctus, -a, -um:	accinctus	ADJ	hypolemma/337	ONE	NULL
128	accingo, -cinxi, -cinctum	accingo	VERB	lemma/87116	ONE	NULL
129	accinxi	accinxi	NULL	lemma/87116	*one*	NULL
130	accio, -cīvi, -cītum	accio	VERB	lemma/87118	ONE	NULL
131	accipio, -cēpi, -ceptum	accipio	VERB	lemma/87119	ONE	NULL
132	accipiter, -tris,	accipiter	NOUN	lemma/87120	ONE	NULL
133	acclāmo	acclamo	NULL	lemma/87127	*one*	NULL
134	acclīnis, -e:	acclinis	NOUN	lemma/87131	*one*	NULL
135	acclīno	acclino	NULL	lemma/87132	*one*	NULL
136	acclīvis, -e:	accliuis	NOUN	lemma/87134	*one*	NULL
137	accola, -ae,	accola	NOUN	lemma/87137	ONE	NULL
138	accolo, -colui, -cultum	accolo	VERB	lemma/87139	ONE	NULL
139	accommodo	accommodo	NULL	lemma/87143	*one*	NULL
140	accrēdo, -didi, -ditum	accredo	VERB	lemma/87146	ONE	NULL
141	accrēvi	accreui	NULL	lemma/87148	*one*	NULL
142	accresco, -crēvi, -crētum	accresco	VERB	lemma/87148	ONE	NULL
143	accrētus, -a, -um:	accretus	ADJ	hypolemma/385	ONE	NULL
144	accubitus, -a, -um:	accubitus	ADJ	hypolemma/395	ONE	NULL
145	accubo, —, —	accubo	VERB	lemma/87156	ONE	NULL
146	accubui	accubui	NULL	lemma/87159	*one*	NULL
147	accumbo, -cubui, -cubitum	accumbo	VERB	lemma/87159	ONE	NULL
148	accūro	accuro	NULL	lemma/87165	*one*	NULL
149	accurro, -(cu)curri, -cursum	accurro	VERB	lemma/87166	ONE	NULL
150	accūso	accuso	NULL	lemma/87175	*one*	NULL
151	acer, -eris,	acer	NOUN	lemma/167084,lemma/26759,lemma/26760,lemma/87182	MANY	NULL
152	ācer, acris, acre:	acer	ADJ	lemma/87184	ONE	NULL
153	acerbitās, -ātis,	acerbitas	NOUN	lemma/87188	ONE	NULL
154	acerbo	acerbo	NULL	lemma/87190	*one*	NULL
155	acerbus, -a, -um:	acerbus	ADJ	lemma/87191	ONE	NULL
156	acernus, -a, -um:	acernus	ADJ	lemma/87192	ONE	NULL
157	acerra, -ae,	acerra	NOUN	lemma/87194	ONE	NULL
158	acervātim	aceruatim	NULL	lemma/87198	*one*	NULL
159	acervo	aceruo	NULL	lemma/78,lemma/87200	*many*	NULL
160	acervus, -i,	aceruus	NOUN	lemma/87201	ONE	NULL
161	acētum, -i,	acetum	NOUN	lemma/87211	ONE	NULL
162	acidus, -a, -um:	acidus	ADJ	lemma/87229	ONE	NULL
163	aciēs, -ēi,	acies	NOUN	lemma/87231	ONE	NULL
164	acīnaces, -is,	acinaces	NOUN	lemma/87232	ONE	NULL
165	acinus, -i,	acinus	NOUN	lemma/87238	ONE	NULL
166	acipenser, -eris,	acipenser	NOUN	lemma/87240	ONE	NULL
167	aclys, -ydis,	aclys	NOUN	lemma/87244	ONE	NULL
168	aconītum, -i,	aconitum	NOUN	lemma/87252	ONE	NULL
169	acor, -ōris,	acor	NOUN	lemma/87257	ONE	NULL
170	acquiesco, -quiēvi, -quiētum	acquiesco	VERB	lemma/87263	ONE	NULL
171	acquiētus, -a, -um:	acquietus	ADJ	NULL	ZERO	NULL
172	acquiēvi	acquieui	NULL	lemma/87263	*one*	NULL
173	acquīro, -quīsīvi, -quīsītum	acquiro	VERB	lemma/87264	ONE	NULL
174	acquīsitus, -a, -um:	acquisitus	ADJ	hypolemma/493	ONE	NULL
175	acquīsīvi	acquisiui	NULL	lemma/87264	*one*	NULL
176	acrātophoron, -i,	acratophoron	NOUN	lemma/87271	ONE	NULL
177	acrimōnia, -ae,	acrimonia	NOUN	lemma/87276	ONE	NULL
178	acriter	acriter	NULL	hypolemma/427	*one*	NULL
179	acroāma, -atis,	acroama	NOUN	lemma/87281	ONE	NULL
180	acroāsis, -is,	acroasis	NOUN	lemma/87282	ONE	NULL
181	acta, -ae,	acta	NOUN	lemma/87297	ONE	NULL
182	acta, -ōrum,	acta	NOUN	lemma/156571,lemma/87297	MANY	NULL
183	actio, -ōnis,	actio	NOUN	lemma/87302	ONE	NULL
184	actor, -ōris,	actor	NOUN	lemma/87309	ONE	NULL
185	actuāria, -ae,	actuaria	NOUN	lemma/87315	ONE	NULL
186	actuārius, -a, -um:	actuarius	ADJ	lemma/87314	ONE	NULL
187	actuōsus, -a, -um:	actuosus	ADJ	lemma/87317	ONE	NULL
188	actus, -a, -um:	actus	ADJ	hypolemma/1518	ONE	NULL
189	actus, -ūs,	actus	NOUN	lemma/91175	ONE	NULL
190	actūtum	actutum	NULL	lemma/27065,lemma/87318	*many*	NULL
191	acui	acui	NULL	lemma/87180,lemma/87327,lemma/87333	*many*	NULL
192	aculeātus, -a, -um:	aculeatus	ADJ	lemma/87322	ONE	NULL
193	aculeus, -i,	aculeus	NOUN	lemma/87323	ONE	NULL
194	acūmen, -inis,	acumen	NOUN	lemma/87325	ONE	NULL
195	acuo, -ui, -ūtum	acuo	VERB	lemma/156497,lemma/87327	MANY	NULL
196	acupenser	acupenser	NULL	lemma/87240	*one*	NULL
197	acus, -ūs,	acus	NOUN	lemma/87333	ONE	NULL
198	acūtus, -a, -um:	acutus	ADJ	hypolemma/547	ONE	NULL
199	ad	ad	NULL	lemma/87344,lemma/87415	*many*	NULL
200	adactio, -ōnis,	adactio	NOUN	lemma/87345	ONE	NULL
201	adactus, -a, -um:	adactus	ADJ	hypolemma/709	ONE	NULL
202	adaequē	adaeque	NULL	lemma/87347	*one*	NULL
203	adaequo	adaequo	NULL	lemma/87348	*one*	NULL
204	adaggero	adaggero	NULL	lemma/87352	*one*	NULL
205	adalligo	adalligo	NULL	lemma/87357	*one*	NULL
206	adamantēus	adamanteus	NULL	lemma/87358	*one*	NULL
207	adamās, -antis,	adamas	NOUN	lemma/87361	ONE	NULL
208	adamo	adamo	NULL	lemma/87365	*one*	NULL
209	adaperio, -rui, -rtum	adaperio	VERB	lemma/87367	ONE	NULL
210	adapertus, -a, -um:	adapertus	ADJ	hypolemma/595	ONE	NULL
211	adaperui	adaperui	NULL	lemma/87367	*one*	NULL
212	adaquor	adaquor	NULL	lemma/87371	*one*	NULL
213	adauctus, -a, -um:	adauctus	ADJ	hypolemma/615	ONE	NULL
214	adaugeo, -auxi, -auctum	adaugeo	VERB	lemma/87378	ONE	NULL
215	adaugesco	adaugesco	NULL	lemma/87379	*one*	NULL
216	adauxi	adauxi	NULL	lemma/87378	*one*	NULL
217	adaxint	adaxint	NULL	lemma/87453	*one*	NULL
218	adbibo	adbibo	NULL	lemma/87382	*one*	NULL
219	adc-...:	adc	NULL	NULL	ZERO	NULL
220	addenseo	addenseo	NULL	lemma/87391	*one*	NULL
221	addīco, -dixi, -dictum	addico	VERB	lemma/87393	ONE	NULL
222	addictus, -a, -um:	addictus	ADJ	hypolemma/627	ONE	NULL
223	addidi	addidi	NULL	lemma/87401	*one*	NULL
224	addidici	addidici	NULL	lemma/87396	*one*	NULL
225	additio, -ōnis,	additio	NOUN	lemma/87399	ONE	NULL
226	addisco, -didici, —	addisco	VERB	lemma/87396	ONE	NULL
227	additamentum, -i,	additamentum	NOUN	lemma/87397	ONE	NULL
228	additus, -a, -um:	additus	ADJ	hypolemma/635	ONE	NULL
229	addixi	addixi	NULL	lemma/87393	*one*	NULL
230	addo, -didi, -ditum	addo	VERB	lemma/87401	ONE	NULL
231	addoceo, -docui, -doctum	addoceo	VERB	lemma/87402	ONE	NULL
232	addubito	addubito	NULL	lemma/87409	*one*	NULL
233	addūco, -duxi, -ductum	adduco	VERB	lemma/87410	ONE	NULL
234	adductus, -a, -um:	adductus	ADJ	hypolemma/647	ONE	NULL
235	adduxi	adduxi	NULL	lemma/87410	*one*	NULL
236	adedo, -ēdi, -ēsum	adedo	VERB	lemma/87414	ONE	NULL
237	adēgi	adegi	NULL	lemma/87453	*one*	NULL
238	adēmi	ademi	NULL	lemma/87456	*one*	NULL
239	ademptio, -ōnis,	ademptio	NOUN	lemma/87418	ONE	NULL
240	ademptus, -a, -um:	ademptus	ADJ	hypolemma/715	ONE	NULL
241	adeo, -ii, -itum	adeo	VERB	lemma/87421	ONE	NULL
242	adeo	adeo	NULL	lemma/87420,lemma/87421	*many*	NULL
243	adeps, -ipis,	adeps	NOUN	lemma/87422	ONE	NULL
244	adeptio, -ōnis,	adeptio	NOUN	lemma/87423	ONE	NULL
245	adeptus, -a, -um:	adeptus	ADJ	hypolemma/742	ONE	NULL
246	adequito	adequito	NULL	lemma/87424	*one*	NULL
247	adēsus, -a, -um:	adesus	ADJ	hypolemma/653	ONE	NULL
248	adf-...:	adf	NULL	NULL	ZERO	NULL
249	adg-...:	adg	NULL	NULL	ZERO	NULL
250	adhaereo, -haesi, -haesum	adhaereo	VERB	lemma/87429	ONE	NULL
251	adhaeresco, -haesi, -haesum	adhaeresco	VERB	lemma/88896	ONE	NULL
252	adhaesi	adhaesi	NULL	lemma/87429,lemma/88896	*many*	NULL
253	adhaesio, -ōnis,	adhaesio	NOUN	lemma/87431	ONE	NULL
254	adhaesus, -a, -um:	adhaesus	ADJ	hypolemma/671,hypolemma/674	MANY	NULL
255	adhibeo, -hibui, -hibitum	adhibeo	VERB	lemma/87433	ONE	NULL
256	adhortātio, -ōnis,	adhortatio	NOUN	lemma/87437	ONE	NULL
257	adhortor	adhortor	NULL	lemma/87441	*one*	NULL
258	adhuc	adhuc	NULL	lemma/87443	*one*	NULL
259	adiaceo	adiaceo	NULL	lemma/87445	*one*	NULL
260	adiēci	adieci	NULL	lemma/87454	*one*	NULL
261	adiectus, -a, -um:	adiectus	ADJ	hypolemma/712	ONE	NULL
262	adii	adii	NULL	lemma/27350,lemma/27365,lemma/3704,lemma/87421	*many*	NULL
263	adiicio, -iēci, -iectum	adiicio	VERB	lemma/87454	ONE	NULL
264	adigo, -ēgi, -actum	adigo	VERB	lemma/87453	ONE	NULL
265	adimo, -ēmi, -emptum	adimo	VERB	lemma/87456	ONE	NULL
266	adipiscor, adeptus	adipiscor	NOUN	lemma/87476	*one*	NULL
267	aditus, -ūs,	aditus	NOUN	lemma/91181	ONE	NULL
268	adiūdico	adiudico	NULL	lemma/87487	*one*	NULL
269	adiūmentum, -i,	adiumentum	NOUN	lemma/87489	ONE	NULL
270	adiunctio, -ōnis,	adiunctio	NOUN	lemma/87490	ONE	NULL
271	adiunctus, -a, -um:	adiunctus	ADJ	hypolemma/761	ONE	NULL
272	adiungo, -iunxi, -iunctum	adiungo	VERB	lemma/27361,lemma/87493	MANY	NULL
273	adiunxi	adiunxi	NULL	lemma/87493	*one*	NULL
274	adiūro	adiuro	NULL	lemma/87498	*one*	NULL
275	adiūtor, -ōris,	adiutor	NOUN	lemma/87502	ONE	NULL
276	adiūtus, -a, -um:	adiutus	ADJ	hypolemma/777	ONE	NULL
277	adiūvi	adiuui	NULL	lemma/87510	*one*	NULL
278	adiuvo, -iūvi, -iūtum	adiuuo	VERB	lemma/87510	ONE	NULL
279	adl-...:	adl	NULL	NULL	ZERO	NULL
280	admensus, -a, -um:	admensus	ADJ	hypolemma/785	ONE	NULL
281	admētior, -mensus	admetior	NOUN	lemma/87518	*one*	NULL
282	adminiculum, -i,	adminiculum	NOUN	lemma/87749	ONE	NULL
283	administer, -tri,	administer	NOUN	lemma/87528	ONE	NULL
284	administro	administro	NULL	lemma/87535	*one*	NULL
285	admiror	admiror	NULL	lemma/87541	*one*	NULL
286	admisceo, -miscui, -mixtum	admisceo	VERB	lemma/87543	ONE	NULL
287	admīsi	admisi	NULL	lemma/87551	*one*	NULL
288	admissio, -ōnis,	admissio	NOUN	lemma/87546	ONE	NULL
289	admissum, -i,	admissum	NOUN	lemma/91182	ONE	NULL
290	admissus, -a, -um:	admissus	ADJ	hypolemma/828	ONE	NULL
291	admistus, -a, -um:	admistus	ADJ	hypolemma/818	ONE	NULL
292	admitto, -mīsi, -missum	admitto	VERB	lemma/87551	ONE	NULL
293	admixtio, -ōnis,	admixtio	NOUN	lemma/87552	ONE	NULL
294	admixtus, -a, -um:	admixtus	ADJ	hypolemma/818	ONE	NULL
295	admodum	admodum	NULL	lemma/87557	*one*	NULL
296	admoneo, -ui, -itum	admoneo	VERB	lemma/87560	ONE	NULL
297	admordeo, -mordi, -morsum	admordeo	VERB	lemma/87566	ONE	NULL
298	admordi	admordi	NULL	lemma/87566	*one*	NULL
299	admorsus, -a, -um:	admorsus	ADJ	hypolemma/843	ONE	NULL
300	admōtus, -a, -um:	admotus	ADJ	hypolemma/846	ONE	NULL
301	admoveo, -mōvi, -mōtum	admoueo	VERB	lemma/87568	ONE	NULL
302	admōvi	admoui	NULL	lemma/87568	*one*	NULL
303	admurmuro	admurmuro	NULL	lemma/87574	*one*	NULL
304	adn-...:ann-.	adnann	NULL	NULL	ZERO	NULL
305	adoleo, —, adultum	adoleo	VERB	lemma/88892	ONE	NULL
306	adolescens, -entis:	adolescens	NOUN	hypolemma/559,hypolemma/910	*many*	NULL
307	adōlescentia, -ae,	adolescentia	NOUN	lemma/91156	ONE	NULL
308	adolesco, adolēvi, adultum	adolesco	VERB	lemma/87336,lemma/87605	MANY	NULL
309	adoperio, -rui, -rtum	adoperio	VERB	lemma/87607	ONE	NULL
310	adopertus, -a, -um:	adopertus	ADJ	hypolemma/912	ONE	NULL
311	adoperui	adoperui	NULL	lemma/87607	*one*	NULL
312	adopto	adopto	NULL	lemma/87620	*one*	NULL
313	ador, -ōris,	ador	NOUN	lemma/87622	ONE	NULL
314	adōrea, -ae,	adorea	NOUN	lemma/87630	ONE	NULL
315	adorior, -ortus	adorior	NOUN	lemma/87631	*one*	NULL
316	adorno	adorno	NULL	lemma/87633	*one*	NULL
317	adortus, -a, -um:	adortus	ADJ	hypolemma/940	ONE	NULL
318	adōro	adoro	NULL	lemma/87634	*one*	NULL
319	adp-...:	adp	NULL	NULL	ZERO	NULL
320	adr-...:	adr	NULL	NULL	ZERO	NULL
321	ads-...:	ads	NULL	NULL	ZERO	NULL
322	adsc-...:	adsc	NULL	NULL	ZERO	NULL
323	adsp-...:	adsp	NULL	NULL	ZERO	NULL
324	adst-...:	adst	NULL	NULL	ZERO	NULL
325	adt-...:	adt	NULL	NULL	ZERO	NULL
326	adsum	adsum	NULL	lemma/87642	*one*	NULL
327	adūlescens, -entis,	adulescens	NOUN	lemma/4593,hypolemma/910	*many*	NULL
328	adulescentia, -ae,	adulescentia	NOUN	lemma/91156	ONE	NULL
329	adūlor	adulor	NULL	lemma/87696	*one*	NULL
330	adulter, -era, -erum:	adulter	ADJ	lemma/87699	ONE	NULL
331	adulter, -eri,	adulter	NOUN	lemma/87701	ONE	NULL
332	adulterium, -i,	adulterium	NOUN	lemma/87708	ONE	NULL
333	adultus, -a, -um:	adultus	ADJ	hypolemma/555,hypolemma/558,hypolemma/909	MANY	NULL
334	adumbrātio, -ōnis,	adumbratio	NOUN	lemma/91128	ONE	NULL
335	adumbro	adumbro	NULL	lemma/87712	*one*	NULL
336	aduncus, -a, -um:	aduncus	ADJ	lemma/87716	ONE	NULL
337	adūno	aduno	NULL	lemma/91145	*one*	NULL
338	adurgeo, -ursi, —	adurgeo	VERB	lemma/87725	ONE	NULL
339	adūro, -ussi, -ustum	aduro	VERB	lemma/87726	ONE	NULL
340	adussi	adussi	NULL	lemma/87726	*one*	NULL
341	adusque	adusque	NULL	lemma/90917,lemma/90918	*many*	NULL
342	adustus, -a, -um:	adustus	ADJ	hypolemma/1072	ONE	NULL
343	advectus, -a, -um:	aduectus	ADJ	hypolemma/970	ONE	NULL
344	adveho, -vexi, -vectum	adueho	VERB	lemma/87647	ONE	NULL
345	advēlo	aduelo	NULL	lemma/87649	*one*	NULL
346	advena, -ae,	aduena	NOUN	lemma/87650	ONE	NULL
347	advenio, -vēni, -ventum	aduenio	VERB	lemma/87654	ONE	NULL
348	advento	aduento	NULL	lemma/87657	*one*	NULL
349	adventus, -ūs,	aduentus	NOUN	lemma/91028	ONE	NULL
350	adversarius, -a, -um:	aduersarius	ADJ	lemma/87629	ONE	NULL
351	adversor	aduersor	NULL	lemma/87677	*one*	NULL
352	adversus	aduersus	NULL	lemma/87680,lemma/87681,lemma/89303,hypolemma/1008	*many*	NULL
353	adversus, -a, -um:	aduersus	ADJ	hypolemma/1008	ONE	NULL
354	adverto, -verti, -versum	aduerto	VERB	lemma/87682	ONE	NULL
355	advesperascit, -āvit, —	aduesperascit	NULL	lemma/87683	*one*	NULL
356	advexi	aduexi	NULL	lemma/87647	*one*	NULL
357	advoco	aduoco	NULL	lemma/87719	*one*	NULL
358	advolo	aduolo	NULL	lemma/87722	*one*	NULL
359	advolūtus, -a, -um:	aduolutus	ADJ	hypolemma/1068	ONE	NULL
360	advolvo, -volvi, -volūtum	aduoluo	VERB	lemma/87723	ONE	NULL
361	adytum	adytum	NULL	lemma/87729	*one*	NULL
362	aedēs	aedes	NULL	lemma/87733	*one*	NULL
363	aedifico	aedifico	NULL	lemma/87744	*one*	NULL
364	aedilis, -is,	aedilis	NOUN	lemma/87747	ONE	NULL
365	aedilitās, -ātis,	aedilitas	NOUN	lemma/87748	ONE	NULL
366	aedilitius	aedilitius	NULL	lemma/89149	*one*	NULL
367	aeger, -gra, -grum:	aeger	ADJ	lemma/87761	ONE	NULL
368	aegis, -idis,	aegis	NOUN	lemma/87769	ONE	NULL
369	aegrē	aegre	NULL	hypolemma/1101	*one*	NULL
370	aegresco	aegresco	NULL	lemma/87781	*one*	NULL
371	aegrimōnia, -ae,	aegrimonia	NOUN	lemma/87782	ONE	NULL
372	aegritūdo, -inis,	aegritudo	NOUN	lemma/87787	ONE	NULL
373	aegrōto	aegroto	NULL	lemma/87792	*one*	NULL
374	aegrōtus, -a, -um:	aegrotus	ADJ	lemma/87793	ONE	NULL
375	aemulor	aemulor	NULL	lemma/87803	*one*	NULL
376	aemulus, -a, -um:	aemulus	ADJ	lemma/87805	ONE	NULL
377	aēneus, -a, -um:	aeneus	ADJ	lemma/89359	ONE	NULL
378	aenigma, -atis,	aenigma	NOUN	lemma/27736,lemma/87811	MANY	NULL
379	aēnum, -i,	aenum	NOUN	lemma/89343	ONE	NULL
380	aēnus, -a, -um:	aenus	ADJ	lemma/89359	ONE	NULL
381	aequābilis, -e:	aequabilis	NOUN	lemma/87818	*one*	NULL
