id	lemmaRaw	wr	upostag	lilaRef	matchType	modLemma
3891	dērectus, -a, -um: directus.	derectus	ADJ	hypolemma/12568	ONE	NULL
3892	dērelictio, -ōnis,	derelictio	NOUN	lemma/98823	ONE	NULL
3893	dērelictus, -a, -um:	derelictus	ADJ	hypolemma/11760	ONE	NULL
3894	dērelinquo, -līqui, -lictum	derelinquo	VERB	lemma/98824	ONE	NULL
3895	dērelīqui	dereliqui	NULL	lemma/98824	*one*	NULL
3896	dērepente	derepente	NULL	hypolemma/113097	*one*	NULL
3897	dērēpo, -repsi, —	derepo	VERB	lemma/98825	ONE	NULL
3898	dēreptus, -a, -um:	dereptus	ADJ	hypolemma/11772	ONE	NULL
3899	dērīdeo, -rīsi, -rīsum	derideo	VERB	lemma/98827	ONE	NULL
3900	dērīdiculus, -a, -um:	deridiculus	ADJ	lemma/98828	ONE	NULL
3901	dērigesco, -rigui, —	derigesco	VERB	lemma/98831	ONE	NULL
3902	dērigo	derigo	NULL	lemma/99575	*one*	NULL
3903	dēripio, -ripui, -reptum	deripio	VERB	lemma/98832	ONE	NULL
3904	dēripui	deripui	NULL	lemma/98832	*one*	NULL
3905	dērīsi	derisi	NULL	lemma/98827	*one*	NULL
3906	dērīsor, -ōris,	derisor	NOUN	lemma/98835	ONE	NULL
3907	dērīsus, -a, -um:	derisus	ADJ	hypolemma/11764	ONE	NULL
3908	dērīsus, -ūs,	derisus	NOUN	lemma/100410	ONE	NULL
3909	dērīvātio, -ōnis,	deriuatio	NOUN	lemma/98839	ONE	NULL
3910	dērīvo	deriuo	NULL	lemma/46823,lemma/98843	*many*	NULL
3911	dērōdo, -rōsi, -rōsum	derodo	VERB	lemma/98844	ONE	NULL
3912	dērogātio, -ōnis,	derogatio	NOUN	lemma/98845	ONE	NULL
3913	dērogo	derogo	NULL	lemma/98850	*one*	NULL
3914	dērōsi	derosi	NULL	lemma/98844	*one*	NULL
3915	dērōsus, -a, -um:	derosus	ADJ	hypolemma/11786	ONE	NULL
3916	dēruo, —, —	deruo	VERB	lemma/98853	ONE	NULL
3917	dērūpi	derupi	NULL	NULL	ZERO	NULL
3918	dēruptus, -a, -um:	deruptus	ADJ	lemma/98854	ONE	NULL
3919	dēsaevio	desaeuio	NULL	lemma/98857	*one*	NULL
3920	descendo, -scendi, -scensum	descendo	VERB	lemma/98862	ONE	NULL
3921	descensio, -ōnis,	descensio	NOUN	lemma/98863	ONE	NULL
3922	descensus, -a, -um:	descensus	ADJ	hypolemma/11818	ONE	NULL
3923	descii	descii	NULL	lemma/46890,lemma/98866	*many*	NULL
3924	descisco, -scīvi	descisco	NOUN	lemma/98866	*one*	NULL
3925	descītus, -a, -um:	descitus	ADJ	hypolemma/11824,hypolemma/79078	MANY	NULL
3926	descīvi	desciui	NULL	lemma/46890,lemma/98866	*many*	NULL
3927	descrībo, -scripsi, -scriptum	describo	VERB	lemma/98869	ONE	NULL
3928	descriptio, -ōnis,	descriptio	NOUN	lemma/98870	ONE	NULL
3929	dēseco, -secui, -sectum	deseco	VERB	lemma/98877	ONE	NULL
3930	dēsectus, -a, -um:	desectus	ADJ	hypolemma/11838	ONE	NULL
3931	dēsecui	desecui	NULL	lemma/98877	*one*	NULL
3932	dēsēdi	desedi	NULL	lemma/98895,lemma/98905	*many*	NULL
3933	dēsenesco, -senui, —	desenesco	VERB	lemma/98880	ONE	NULL
3934	dēsenui	desenui	NULL	lemma/98880	*one*	NULL
3935	dēsero, -serui, -sertum	desero	VERB	lemma/46913,lemma/98882,lemma/98883	MANY	NULL
3936	dēsertor, -ōris,	desertor	NOUN	lemma/98887	ONE	NULL
3937	dēsertus, -a, -um:	desertus	ADJ	hypolemma/11845	ONE	NULL
3938	dēserui	deserui	NULL	lemma/98882,lemma/98889	*many*	NULL
3939	dēservio	deseruio	NULL	lemma/98889	*one*	NULL
3940	dēses, -sidis:	deses	NOUN	lemma/98891	*one*	NULL
3941	dēsideo, -sēdi, -sessum	desideo	VERB	lemma/98895	ONE	NULL
3942	dēsīderābilis, -e:	desiderabilis	NOUN	lemma/98896	*one*	NULL
3943	dēsiderātio, -ōnis,	desideratio	NOUN	lemma/98897	ONE	NULL
3944	dēsīderium, -i,	desiderium	NOUN	lemma/98899	ONE	NULL
3945	dēsīdero	desidero	NULL	lemma/98900	*one*	NULL
3946	dēsidia, -ae,	desidia	NOUN	lemma/100458,lemma/98902	MANY	NULL
3947	dēsidiōsus, -a, -um:	desidiosus	ADJ	lemma/98904	ONE	NULL
3948	dēsīdo, -sēdi, —	desido	VERB	lemma/98905	ONE	NULL
3949	dēsignātio, -ōnis,	designatio	NOUN	lemma/98907	ONE	NULL
3950	dēsignātor, -ōris,	designator	NOUN	lemma/99801	ONE	NULL
3951	dēsigno	designo	NULL	lemma/98908	*one*	NULL
3952	dēsii	desii	NULL	lemma/98910	*one*	NULL
3953	dēsilio, -silui, -sultum	desilio	VERB	lemma/98909	ONE	NULL
3954	dēsino, -sii, -situm	desino	VERB	lemma/46945,lemma/98910	MANY	NULL
3955	dēsipio, —, —	desipio	VERB	lemma/98912	ONE	NULL
3956	dēsisto, -stiti, -stitum	desisto	VERB	lemma/98913	ONE	NULL
3957	dēsitus, -a, -um:	desitus	ADJ	hypolemma/11848,hypolemma/11885	MANY	NULL
3958	dēsōlo	desolo	NULL	lemma/98921	*one*	NULL
3959	despecto	despecto	NULL	lemma/98929	*one*	NULL
3960	despectus, -a, -um:	despectus	ADJ	hypolemma/11921	ONE	NULL
3961	despectus, -ūs,	despectus	NOUN	lemma/100413	ONE	NULL
3962	desperanter	desperanter	NULL	hypolemma/114032	*one*	NULL
3963	despērātio, -ōnis,	desperatio	NOUN	lemma/98934	ONE	NULL
3964	despēro	despero	NULL	lemma/98936	*one*	NULL
3965	despexi	despexi	NULL	lemma/98940	*one*	NULL
3966	despicātio, -ōnis,	despicatio	NOUN	lemma/98939	ONE	NULL
3967	despicātus, -ūs,	despicatus	NOUN	lemma/100363	ONE	NULL
3968	despicientia, -ae,	despicientia	NOUN	lemma/100460	ONE	NULL
3969	despicio, -spexi, -spectum	despicio	VERB	lemma/98940	ONE	NULL
3970	despolio	despolio	NULL	lemma/98944	*one*	NULL
3971	despondeo, -ndi	despondeo	NOUN	lemma/98945	*one*	NULL
3972	despondi	despondi	NULL	lemma/98945	*one*	NULL
3973	desponso	desponso	NULL	lemma/98948	*one*	NULL
3974	desponsus, -a, -um:	desponsus	ADJ	hypolemma/11928	ONE	NULL
3975	despopondi	despopondi	NULL	lemma/98945	*one*	NULL
3976	despūmo	despumo	NULL	lemma/98950	*one*	NULL
3977	despuo, —, —	despuo	VERB	lemma/98951	ONE	NULL
3978	destillātio, -ōnis,	destillatio	NOUN	lemma/98957	ONE	NULL
3979	destillo	destillo	NULL	lemma/98958	*one*	NULL
3980	destinātio, -ōnis,	destinatio	NOUN	lemma/98961	ONE	NULL
3981	destino	destino	NULL	lemma/98963	*one*	NULL
3982	destituo, -stitui, -stitūtum	destituo	VERB	lemma/98965	ONE	NULL
