id	qid	text
44	L87028	abnego1: uko egin, ukatu, errefusatu.
45	L87029	abnormis, -e: araugabe(a), arauz kanpoko; ez dena talde edo eskola batekoa.
46	L87030	abnuo, -nui, — 3: ukatu; errefusatu.
47	L87031	aboleo, -ēvi, -itum 2: suntsitu; indargabetu, baliogabetu; kendu.
48	L87032	abolesco, -ēvi, —3: desagertu, iraungi.
49	L87033	abolēvi: perf., ikus abolesco eta -oleo
50	L87034	abolitio, -ōnis, f.: indargabetze, baliogabetze; abolizio; amnistia.
51	L87035	abōminor1: gorrotatu, gaitzetsi.
52	L87036	aborigines, -um, m. pl.: herrialde bateko lehen biztanleak; bertakoak.
53	L87037	abortus, -ūs, m.: abortu.
54	L87038	abrādo, -rāsi, -rāsum 3: arradatu, soildu, moztu; ebatsi, kendu.
55	L87039	abreptus, -a, -um: pp., ikus abripio
56	L87040	abripio, -ripui, -reptum 3: indarrez harrapatu, arrastatu; kendu, lapurtu; se abripere: ihes egin.
57	L87041	abrōdo, -rōsi, -rōsum 3: karraskatu, hortzikatu; karraskatuz higatu, hortzikatuz hondatu.
58	L87042	abrogo1: kendu (alicui aliquid: norbaiti zerbait); indargabetu (aliquid: zerbait).
59	L87043	abrōsi: perf., ikus abrōdo
60	L87044	abrōsus, -a, -um: pp., ikus abrōdo
61	L87045	abrumpo, -rūpi, -ruptum 3: apurtuz bereizi (aliquid a re edo re), urratu, erauzi; bortizki eten.
62	L87046	abrūpi: perf., ikus abrumpo
63	L87047	abruptus, -a, -um: pp., ikus abrumpo. — Adj.: maldatsu, ebaki, malkartsu, zakar, aldapatsu.
64	L87048	abs, prep.: ā, ab, c, q eta t letren aurretik.
65	L87049	abscēdo, -cessi, -cessum 3: joan, urrundu; alde egin (ab aliquo, ab, ex, de re); etsi (re: zerbaitetan); galdu, desbideratu.
66	L87050	abscessi: perf., ikus abscēdo
67	L87051	abscessus, -a, -um: pp., ikus abscēdo
68	L87052	abscessus, -ūs, m.: abiatze, urruntze; urrunaldi, ez egote, absentzia.
69	L87053	abscīdi: perf., ikus abscīdo
70	L87054	abscidi: perf., ikus abscindo
71	L87055	abscīdo, -cidi, -cīsum3: moztuz bereizi.
72	L87056	abscindo, -scidi, -scissum 3: urratuz bereizi, ireki (venas: zainak); galarazi, eragotzi.
73	L87057	abscīsus, -a, -um: pp., ikus abscīdo
74	L87058	abscissus, -a, -um: pp., ikus abscindo
75	L87059	abscondo, -condi, -conditum3: ezkutatu, gorde (aliquid in re edo re).
76	L87060	absens, -sentis: ez dagoen(a), urrun dagoen(a).
77	L87061	absentia, -ae, f.: ez egote, absentzia, urrunaldi.
78	L87062	absimilis, -e: desberdin (patris edo patri: aitaren aldean).
79	L87063	absinthium, -i, n.: asentsio-belar.
80	L87064	absisto, -stiti 3: joan, urrundu, aldendu (a re); etsi (re: zerbaitetan).
81	L87065	absolūtio, -ōnis, f.: absoluzio; perfekzio.
82	L87066	absolūtōrius, -a, -um:absoluziozko, absoluzio-.
83	L87067	absolūtus, -a, -um: pp., ikus absolvo. — Adj.: erabateko, baldintzarik gabeko, mugagabe; bukatu(a), perfektu.
84	L87068	absolvo, -solvi, -solūtum 3: aske utzi, askatu, jaregin, askatu(aliquem cura: norbait ardura batetik); absolbitu (aliquem alicuius rei: norbait zerbaitetatik; a. crimine: absolbitu akusaziotik, absolbitu akusazioaz; a.de praevaricatione: absolbitu prebarikazio-akusaziotik), bukatu, amaitu; azaldu, adierazi (paucis verum absolvam: hitz gutxitan azalduko dut egia)
85	L87069	absonus, -a, -um:disonante, bat ez datorren(a); bateraezin (a re edo re).
86	L87070	absorbeo, -bui, — 2: xurgatu, irentsi.
87	L87071	absque, prep. abl.: gabe(absque argumento:edukirik gabe); [ark.] ez ba-... -gatik (absque te esset:ez balitz zugatik).
88	L87072	abstēmius, -a, -um:abstemio, neurritsu, edana ez dagoen(a).
89	L87073	abstergeo, -tersi, -tersum 2: xukatu, lehortu, garbitu; hautsi (remos: arraunak).
90	L87074	abstersi: perf., ikus abstergeo
91	L87075	abstersus, -a, -um: pp., ikus abstergeo
92	L87076	abstinens, -entis: abstinente; desinteresatu; kasto.
93	L87077	abstinentia, -ae, f.: abstinentzia, neurritasun; eskuzabaltasun, urritasun.
94	L87078	abstineo, -tinui, -tentum 2: eutsi, apartatu (aliquem a re edore); ez egin dagokion ekintza, ez ukitu, ez jarri eskuak zerbaiten gainean [abl.; a +abl.]
95	L87079	abstiti: perf., ikus absto eta absisto
96	L87080	absto, —, — 1: urrun egon.
97	L87081	abstractus, -a, -um: pp., ikus abstraho
98	L87082	abstraho, -traxi, -tractum 3: bereizi, banandu.
99	L87083	abstraxi: perf., ikus abstraho
100	L87084	abstrūdo, -trūsi, -trūsum 3: ezkutatu, gorde.
101	L87085	abstuli: perf., ikus aufero
102	L87086	absum, āfui, —: ez egon; urrun egon, [hainbestera] egon (a re);multum abest, ut: asko falta da zerbaitetarako; non multum abest, quin: ez da asko falta zerbaitetarako.
103	L87087	absūmo, -sumpsi, -sumptum 3: kontsumitu; gastatu; xahutu, eralgi; suntsitu, birrindu; pas.: hil.
104	L87088	absurdus, -a, -um:disonante; zentzugabe(a); alferrikako, desegoki.
105	L87089	abundē, adb.: oparotasunez; nahiko, aski.
106	L87090	abundo1: gainezka egin, ugari izan [+abl.].
107	L87091	abūtor, -ūsus 3: erabili, baliatu; gehiegi erabili, abusatu[+abl.].
108	L87092	ac:eta[ikusatque]
109	L87093	acalanthis, -idis, f.: kardantxilo.
110	L87094	acanthus, -i, m.: akanto; f.: akazia.
111	L87095	accēdo, -cessi, -cessum 3: gerturatu (ad); sartu [in,+ ak.]; bat egin (ad); -en antza izan [ad edo datiboa]; gaineratu (accedit ut edo quod: honi gaineratzen zaio ezen); eraso.
112	L87096	accelero1: bizkortu, azkartu; presaka ibili, bizkor ibili.
113	L87097	accendo, -cendi, -censum 3: piztu, argitu, sutu; kitzikatu (aliquem ad edo in aliquid); hazi, handiagotu.
114	L87098	accensus, -a, -um: pp., ikus accendo
115	L87099	accensus, -i, m.: Erromako magistratu batzuei jartzen zaien ofizial laguntzailea; erreserbako soldadu.
116	L87100	accentus, -ūs, m.: azentu, doinu, tonu.
117	L87101	accēpi: perf., ikus accipio
118	L87102	acceptio, -ōnis, f.: onarpen, jasotze.
119	L87103	acceptus, -a, -um: pp., ikus accipio. — Adj.: zale, atsegin, maite [dat.].
120	L87104	accerso3:arcesso.
121	L87105	accessi: perf., ikus accēdo
122	L87106	accesio, -ōnis, f.: hurbiltze; sarbide, audientzia; -aldi; gehigarri; luzakin, eranskin; areagotze, handiagotze; aurrerapen.
123	L87107	accessus, -a, -um: pp., ikus accēdo
124	L87108	accessus, -ūs, m.: sarbide, sarrera, audientzia; inklinazio (ad).
125	L87109	accido, -cidi, — 3: gainera erori; ahuspeztu; iritsi (ad aures: belarrietara); gertatu (accidit ut: gertatu zen ezen); topo egin, aurkitu (aliquem);bene, male accidit, quod, gauza ona da..., gauza txarra da...
126	L87110	accīdo, -cīdi,- cīsum 3: ebaki, moztu, pikatu; kontsumitu; ahuldu, agortu.
127	L87111	accinctus, -a, -um: pp., ikus accingo
128	L87112	accingo, -cinxi, -cinctum 3: gerrian jarri, inguratu; -z hornitu, armatu, zuzkitu (aliquem re);se accingere edo pas.; norbera armatu, prestatu zerbaitetarako [ad edo dat.]
129	L87113	accinxi: perf., ikus accingo
130	L87114	accio, -cīvi, -cītum 4: etorrarazi, deiarazi.
131	L87115	accipio, -cēpi, -ceptum 3: jaso, onartu; norbere gain hartu; onartu; onetsi; ostatu eman; ongi edo gaizki tratatu; sumatu, entzun, jakin (aliquid ex aliquo); ulertu, aditu.
132	L87116	accipiter, -tris, m.: gabirai.
133	L87117	acclāmo1: ozen dei egin; aldarrikatu.
134	L87118	acclīnis, -e: bermatu(a), -en kontra ezarri(a); -rako joera duen(a) [dat.].
135	L87119	acclīno1: -rako joera izan; -en kontra ezarri, -en gainean jarri, -n bermatu [dat.].
136	L87120	acclīvis, -e: maldatsu aldats goran, aldats goran dagoen(a).
137	L87121	accola, -ae, m.: auzoko.
138	L87122	accolo, -colui, -cultum 3: -en ondoan bizi [ak.].
139	L87123	accommodo1: moldatu, egokitu, doitu.
140	L87124	accrēdo, -didi, -ditum 3: sinetsi.
141	L87125	accrēvi: perf., ikus accresco
142	L87126	accresco, -crēvi, -crētum 3: areagotu, handiagotu.
