id	qid	text
1770	L88754	castus, -a, -um: kasto; ohitura garbiko, xalo, garbi; neurrizko; eskuzabal; errukior, bertutetsu, jainkozale.
1771	L88755	cāsus, -a, -um: pp., ikus cado
1772	L88756	cāsus, -ūs, m.: erortze, erorketa; kasu, gertaera; ondorio; kasualitate; aukera; ezbehar; hondamen, heriotza.
1773	L88757	catagraphus, -a, -um: brodatu(a); margotu(a), lar apaindu(a).
1774	L88758	cataphractēs, -ae, f.: kota, koraza, armadura.
1775	L88759	cataplus, -i, m.: porturatze, lehorreratze.
1776	L88760	catapulta, -ae, f.: katapulta (gerrako makina).
1777	L88761	cataracta, -ae, f.: ur-jauzi; ur-biltegi; burdin-sare (gotorlekuko edo zubiko sarrerakoa).
1778	L88762	catēia, -ae, f.: kateia (jaurtigaia, jaurtitzaileak, soka bati esker, berreskuratu ahal zuena).
1779	L88763	catēlla, -ae, f.: katetxo.
1780	L88764	catellus, -i, m.: txakurtxo.
1781	L88765	catēna, -ae, f.: kate; lokarri, uztarri; hesi.
1782	L88766	catēnātus, -a, -um: kateatu(a).
1783	L88767	caterva, -ae, f.: talde, andana; pilo; tropel, samalda, aldra; soldadutalde, eskuadroi, batailoi; antzeztalde.
1784	L88768	catervātim, adb.: taldean, tropelean; taldeka.
1785	L88769	cathedra, -ae, f.: besaulki, jarleku; besaulki eroso; katedra.
1786	L88770	cathedrārius, -a, -um: katedrari dagokion(a); irakasle.
1787	L88771	catillus, -i, m.: platertxo, kazolatxo.
1788	L88772	catīnus, -i, m.: plater, kazola.
1789	L88773	catōnium, -i, n.: infernu.
1790	L88774	catula, -ae, f.: txakurtxo eme, txakurkume eme.
1791	L88775	catulus, -i, m.: txakurkume, txakurtxo.
1792	L88776	catus, -a, -um: adimentsu, erne; maltzur.
1793	L88777	cauda, -ae, f.: buztan, isats.
1794	L88778	caudex, -icis, m.: enbor; liburu, koaderno; ohar-liburu; artaburu, ergel.
1795	L88779	caulae, -ārum, f. pl.: artegi, korta, saroi; barrunbeak.
1796	L88780	caulis, -is, m.: aza.
1797	L88781	caupo, -ōnis, m.: dendari; tabernari, ostalari.
1798	L88782	caupōna, -ae, f.: taberna, ostatu.
1799	L88783	caupōnor 1: tratutan ibili, -kin trafikatu [ak.].
1800	L88784	caurus[etacōrus], -i, m.: kauro, ipar-mendebal, ipar-mendebaldeko haize.
1801	L88785	causa, -ae, f.: kausa, arrazoi, zergati, egoera; aitzakia; desenkusa; gauza; objektu; prozesu, auzi; puntu eztabaidatu, arazo; interes; negozio; gai, kontu; egokiera, erlazio; —causā, gen.-aren ondoren, preposizio gisa: -(en)gatik, -en ondorioz, -en kausaz, -(e)la kausa.
1802	L88786	causārius, -a, -um: gaixobera, ezindu(a).
1803	L88787	causidicus, -i, m.: abokatu.
1804	L88788	causor 1: argudiatu, aitzakia jarri, azaldu.
1805	L88789	causula, -ae, f.: arrazoi txiki; prozesu hutsal.
1806	L88790	cautēs, -is, f.: haitz puntazorrotz; arrezife, uharri.
1807	L88791	cautim, adb.: zuhurtasunez.
1808	L88792	cautio, -ōnis, f.: arreta, kontu, zuhurtzia; kauzio, fidantza; betebehar, kreditu.
1809	L88793	cautor, -ōris, m.: babesle, defendatzaile.
1810	L88794	cautus, -a, -um: pp., ikus caveo. — Adj.: zuhur, arretatsu; maltzur; seguru, bermatu(a).
1811	L88795	cavea, -ae, f.: barrunbe; [piztien] kaiola; erlauntz, kofoin; antzokiko harmailak [ikusleentzako tokia]; antzoki osoa; ikusleak.
1812	L88796	caveo, cavi, cautum 2: aurreikusi, neurriak hartu; -tik babestu (aliquem edo ab aliquo);cavere ut[subj.-arekin]: -t(z)eko neurriak hartu; cavere ne edo ut ne[subj.-arekin]: erne ibili ez ...-t(z)eko; cave inf.-arekin edo subj.-arekin, ezeztapen indartsua adierazteko (cave vereri: ez izan beldur; cave credas: ez ezazu sinetsi); ziurtatu, hornitu, bermatu; agindu, xedatu.
1813	L88797	caverna, -ae, f.: leize, barrunbe.
1814	L88798	cāvi: perf., ikus caveo
1815	L88799	cavillātio, -ōnis, f.: iseka, eztenkada; ironia, ateraldi; arrazoiketa sofistikoak erabiltzea.
1816	L88800	cavillātor, -ōris, m.: umorista, isekari; sofista.
1817	L88801	cavillor 1: -i barre egin, -i iseka egin (aliquem, in edo cum aliquo); ihesbideak bilatu, sofismak erabili.
1818	L88802	cavo 1: aitzurtu, zulatu; zeharkatu; egin (naves ex arboribus: txalupak egin zuhaitzak zulatuz).
1819	L88803	cavum, -i, n.: barrunbe.
1820	L88804	cavus, -a, -um: huts, barnehuts, ahur, sakon; mehe, ahul; hutsal.
1821	L88805	cecidi: perf., ikus cado
1822	L88806	cecīdi: perf., ikus caedo
1823	L88807	cecini: perf., ikus cano
1824	L88808	cēdo, cessi, cessum 3: atzera egin, alde egin; etsi; joan, igaro, iritsi; amore eman; men egin; kaskarragoa izan; eskubide bat (edo jabetza bat) utzi; eman, aitortu; (ongi edo gaizki) atera, gertatu; balio izan, -tzat eduki, egokitu; ... bihurtu; desagertu.
1825	L88809	cedō eta pl. cette [agint.]: eman ezazu, esan ezazu; eman ezazue.
1826	L88810	cedrus, -i, f.: zedro.
1827	L88811	celeber, -bris, -bre: ugari; jendetsu, animatu; hotsandiko; ospetsu, entzutetsu; maiz errepikatu(a), oso erabili(a).
1828	L88812	celebrātio, -ōnis, f.: ugari etortze, ugari biltze, jendetza; jai, ospakizun, hotsandiko ekitaldi.
1829	L88813	celebrātus, -a, -um: jendetsu; ohiko, arrunt, oso errepikatu(a); ospetsu; hotsandiko, bikain.
1830	L88814	celebritās, -ātis, f.: giro jendetsu, giro bizi; ospakizun, jai; jendetza, jende, jendarte; ohiko errepikapen; ospe, entzute, ospearen hedadura.
1831	L88815	celebro 1: jende asko joan/bildu/bertaratu; sarri bisitatu; sarritan errepikatu; bete, ospatu; hedatu, zabaldu; goraipatu.
1832	L88816	celer, -eris, -ere: azkar, bizkor, arin; bizi, odolbero, sutsu; bat-bateko, ustekabeko.
1833	L88817	celeripēs, -pedis: oin arineko, oin-arin, bizkor.
1834	L88818	celeritās, -ātis, f.: azkartasun, bizkortasun, abiadura, arintasun, zalutasun, lastertasun, bizitasun, presa.
1835	L88819	celero 1: bizkortu, azkartu, arindu; presatu.
1836	L88820	cella, -ae, f.: biltegi; gela; gelaxka, logela; janaritegi, despentsa; kapera, santutegi; erlazulo.
1837	L88821	cellārius, -i, m.: biltegizain, jakitegizain, ardandegi-zain; sukaldari-buru.
1838	L88822	cēlo 1: ezkutatu (aliquem aliquid edo aliquem de aliqua re: norbaiti zerbait).
1839	L88823	celox, -ōcis, f.: itsasontzi bizkor, txalupa txiki.
1840	L88824	celsītūdo, -inis, f.: garaiera handi; goitartasun.
1841	L88825	celsus, -a, -um: garai, altu, tente; handi, bikain; harro, hantuste.
1842	L88826	cēna, -ae, f.: bazkari [erromatarren artean, arratsaldeko hirurak inguruan]
1843	L88827	cēnāculum, -i, n.: jantoki.
1844	L88828	cēnātio, -ōnis, f.: jantoki.
1845	L88829	cēnātus, -a, -um: jan duen(a).
1846	L88830	cēnito 1: sarri jan.
1847	L88831	cēno 1: jan.
1848	L88832	censeo, censui, censum 2: zenbatetsi, kontatu, zenbatu; balioztatu, balioetsi; tasatu; errolda eratu; norberaren ondasunak aitortu; uste izan, epaitu; bozkatu, iritzia eman; dekretuz agindu, erabaki.
1849	L88833	censor, -ōris, m.: zentsore (magistratu erromatarra); kritikari.
1850	L88834	censōrius, -a, -um: zentsoreari dagokion(a), zentsore-; c. homo: zentsore ohi.
1851	L88835	censūra, -ae, f.: zentsura, zentsorearen dignitatea eta lanbidea; epai gogor, kritika gogor; gogor epaitzeko eskubidea.
1852	L88836	census, -a, -um: pp., ikus censeo
1853	L88837	census, -ūs, m.: errolda; erroldako zerrenda; ondasun(ak), ogasun, ondare.
1854	L88838	centaurēa, -ae, f., eta centaurēum [eta -ium, -i], n.: astuzker [landarea].
1855	L88839	centēni, -ae, -a: ehunaka, ehunako multzoetan; ehuna, bakoitzak/bakoitzari ehun; ehun.
1856	L88840	centēsimus, -a, -um: ehungarren.
1857	L88841	centiceps, -cipitis: ehun buruko.
1858	L88842	centiens [eta centiēs], adb.: ehun aldiz; HS centiens[centena milia ulertu behar da]: 10 milioi sestertzio.
1859	L88843	centimanus, -a, -um: ehun eskuko.
1860	L88844	cento, -ōnis, m.: ipingidun oihal zatia; zati askorekin egindako lana; lastaira, koltxoi; konpilazio, pasarte-bilduma; gezur, asmakeria.
1861	L88845	centum: ehun.
1862	L88846	centumgeminus, -a, -um: ehun besoko; ehunkoitz.
1863	L88847	centumvir, -viri, m.: centumviro (magistratu erromatarra).
1864	L88848	centuria, -ae, f.: zenturia (legio baten zatia).
1865	L88849	centuriātim, adb.: zenturiaka.
1866	L88850	centuriātus, -ūs, m.: zenturiatan antolatutako banaketa (legioan); zenturioi maila.
1867	L88851	centurio 1: zenturiatan banatu.
1868	L88852	centurio, -ōnis, m.: zenturioi (zenturia-burua).
1869	L88853	centuriōnātus, -ūs, m.: zenturioi maila; zenturioien hautaketa.
1870	L88854	cēnum, -i, n.: basa, lokatz.
1871	L88855	cēpa, -ae, f., eta cēpē, -is, n.: tipula.
1872	L88856	cēpi: perf., ikus capio
1873	L88857	cēra, -ae, f.: argizari; argizarizko zigilu; oholtxo ezkoztatua (idazteko); orrialde; pl.: argizarizko irudiak.
1874	L88858	cērārium, -i, n.: argizariaren zerga (zigilu-eskubideak izateko).
1875	L88859	cerastēs, -ae, f.: zerastes (sugegorrien familiako generoa).
1876	L88860	cerasum, -i, n.: gerezi.
1877	L88861	cerasus, -i, f.: gereziondo.
1878	L88862	cercius: ikuscircius.
1879	L88863	cerebrōsus, -a, -um: odolbero, zoro.
1880	L88864	cerebrum, -i, n.: garun, burmuin; adimen; gaitasun, zentzu, talentu; haserrealdi, amorru bizi.
1881	L88865	ceremōnia: ikuscaerimonia.
1882	L88866	cēreus, -a, -um: argizarizko, ezkozko; argizaria bezain bigun, malgu.
1883	L88867	cēreus, -i, m.: tortxa, zuzi, argizarizko kandela.
1884	L88868	cerno, crēvi, crētum 3: bereizi, bahetu, galbahetu; ikusi, hauteman, ezagutu; begiratu, aztertu; ulertu; erabaki, zehaztu; jaso (hereditatem: herentzia bat); borrokatu (de, pro laude, vitam: loriagatik, bizitzagatik).
1885	L88869	cernuus, -a, -um: buruz (erortzen dena); aurrerantza makurtu(a), aurrerantza okertu(a).
1886	L88870	cēro 1: ezkoztatu, argizaria eman; argizariz itsatsi.
1887	L88871	cerrītus, -a, -um: amorratu(a), ero.
1888	L88872	certāmen, -inis, n.: borroka, borrokaldi; lehiaketa; eztabaida; lehia; gerra.
1889	L88873	certātim, adb.: lehian, norgehiagoka.
1890	L88874	certātio, -ōnis, f.: borroka, borrokaldi; eztabaida; negoziazio publiko.
1891	L88875	certē, adb.: seguru, ziur, zalantzarik gabe.
1892	L88876	certior, -ius:certusen konp.; jakitun (facere aliquem certiorem: norbait jakitun egin).
1893	L88877	certō, adb.: seguru, ziur, zalantzarik gabe.
1894	L88878	certo 1: borroka egin, borrokatu, eztabaidatu; auzitan ibili; lehiatu; zerbaitengatik ahalegindu.
1895	L88879	certus, -a, -um: zalantzarik gabeko, seguru, ziur; ausart, deliberatu(a); egiazko; egiati; ongi informatu(a).
1896	L88880	cērula, -ae, f.: argizari zatitxo; c. miniata: arkatz gorri (akatsak adierazteko).
1897	L88881	cērussa, -ae, f.: zerusa, berun-zuri.
1898	L88882	cerva, -ae, f.: orein eme.
1899	L88883	cervīcal, -ālis, n.: burko.
1900	L88884	cervisia, -ae, f.: garagardo.
1901	L88885	cervix, -īcis, f.: lepondo, kokote, sama; buru, indar, kemen.
1902	L88886	cervus, -i, m.: orein ar.
1903	L88887	cessātio, -ōnis, f.: ez aritze, gelditasun; alfertasun, nagitasun, festa, lanik eza.
1904	L88888	cessātor, -ōris, m.: alfer, nagi.
1905	L88889	cessi: perf., ikus cēdo
1906	L88890	cessio, -ōnis, f.: lagapen, emate.
1907	L88891	cesso 1: ez agertu; falta izan; atzeratu, atzean gelditu, berandutu; eten, uko egin; ezer ere ez egin, egonean egon, atseden hartu.
1908	L88892	cessus, -a, -um: pp., ikus cēdo
1909	L88893	cestrosphendonē, -ēs, f.: katapulta, dardo-jaurtigailu (gerrako makina).
1910	L88894	cētārium, -i, n.: arrain-haztegi, arrain handien urmael.
1911	L88895	cētārius, -i, m.: arrain-saltzaile.
1912	L88896	cētē: ikus cētus
1913	L88897	cēterōqūiedo ceterōqūin, adb.: gainontzean, osterantzean.
1914	L88898	cēterum, adb.: gainerakoan, osterantzean.
1915	L88899	cēterus, -a, -um [eskuarki pl. ceteri, -ae, -a]: gelditzen den(a), gainerakoak; besteak
1916	L88900	cētra, cetrātus: ikus caetra, caetratus.
1917	L88901	cētus, -i, m. [nom. eta ak. pl. cētē, n.]: zetazeo, itsas munstro (balea, izurde, etab.).
1918	L88902	ceu, adb.: bezala; konj.: ba-... bezala.
1919	L88903	chalcaspis, -idis, m.: brontzezko ezkutuz armatutako soldadu.
1920	L88904	chalybēius, -a, -um: altzairuzko.
1921	L88905	chalybs, -ybis (y laburra) m.: altzairu; altzairuzko objektu.
1922	L88906	chaos[abl. chao] n.: kaos; infernu.
1923	L88907	chara, -ae, f.: txarpoil.
1924	L88908	charta, -ae, f.: papiro-orri, paper; idazki, gutun, poesia, etab.
1925	L88909	chēlae, -ārum, f. pl.: Scorpius konstelazioaren matxardak.
1926	L88910	chelydrus, -i, m.: suge pozoitsu.
1927	L88911	chelys, -yos[ak. -yn; abl. -y], f.: dortoka; lira.
1928	L88912	chīliarchēs, -ae [eta-us, -i], m.: kiliarka mila soldaduren buru, persiarren artean); kantziler, bisir handi.
1929	L88913	chiragra, -ae, f.: eskuetako hezueria.
1930	L88914	chīrographum, -i, n.: norberaren eskuz idatzi(a), autografo, eskuizkribu; obligazio, kreditu; ordainagiri.
1931	L88915	chīrurgia, -ae, f.: kirurgia.
1932	L88916	chlamydātus, -a, -um: klamidearekin jantzi(a).
1933	L88917	chlamys, -ydys (y laburra), f.: klamide, luxuzko longain militar.
1934	L88918	chorda, -ae, f.: (musika-tresnen) soka; pl.: sokazko tresnen musika.
1935	L88919	chorea, -ae, f.: biribilean egiten den dantza.
1936	L88920	chorēus, -i, m.: koreo edo trokeo (silaba luze batez eta labur batez osatutako oin metrikoa).
1937	L88921	chorus, -i, m.: biribilean egiten den dantza; astroen mugimendu ordenatu; koru (abesten eta dantzatzen duen talde handia); tragediako koru; jendetza, jende mordo.
1938	L88922	chrysolithus, -i, m. eta f.: krisolitu (harribitxia).
1939	L88923	cibāria, -ōrum, n. pl.: elikagaiak, janariak; adj.: arrunt, kalitate gutxiko.
1940	L88924	cibo 1: gizendu, jaten eman.
1941	L88925	cibōrium, -i, n.: kopa.
1942	L88926	cibus, -i, m.: janari; beita; erakargarritasun.
1943	L88927	cicāda, -ae, f.: txitxar.
1944	L88928	cicātrix, -īcis, f.: orbain, ebaki; aurpegiko orbain luze.
1945	L88929	cicer, -eris, m.: txitxirio, garbantzu.
1946	L88930	cichorēum, -i, n.: txikoria.
1947	L88931	cicōnia, -ae, f.: zikoina, amiamoko.
1948	L88932	cicur, -uris: otzan, etxekotu(a).
1949	L88933	cicūta, -ae, f.: astaperrexil; artzain-txirula; astaperrexilaren zurtoina, artzain-txirula egiteko erabiltzen zena.
1950	L88934	cieo, cīvi, citum 2: mugiarazi, astindu, inarrosi, dardarazi; deitu; animatu; eragin, -arazi; hasi; hunkitu; ekoitzi, jariatu.
1951	L88935	cimex, -icis, m.: zimitz.
1952	L88936	cinaedus, -i, m.: emagizon; lotsa gutxiko, lizun, lizunkoi; dantza lizunen dantzari.
1953	L88937	cinara, -ae, f.: orburu, alkatxofa.
1954	L88938	cincinnātus, -a, -um: ile kizkurreko.
1955	L88939	cincinnus, -i, m.: kizkur, begizta, adats.
1956	L88940	cinctūra, -ae, f.: gerriko.
1957	L88941	cinctus, -a, -um: pp., ikus cingo
1958	L88942	cinctus, -ūs, m.: toga lotzea; gerriko.
1959	L88943	cinctūtus, -a, -um: lotu(a), estutu(a); antzinako (artean tunikarik erabiltzen ez zuen erromatarra, gerrikoa erabiltzen zuena).
1960	L88944	cingo, cinxi, cinctum 3: lotu, estutu; inguratu; lagundu.
1961	L88945	cingulum, -i, n.: gerriko, gerriko kordoi; paxa.
1962	L88946	cingulus, -i, m.: (lur-) eremu.
1963	L88947	ciniflo, -flōnis, m.: ile-apaintzaile.
1964	L88948	cinis, -eris, m. [eta f.]: errauts; pl.: ehorzleku; errautsak.
1965	L88949	cinnamum, -i, n.: kanela.
1966	L88950	cinxi: perf., ikus cingo
1967	L88951	cio: ikuscieo.
1968	L88952	cippus, -i, m.: hileta-obelisko; oholesi, zuresi.
1969	L88953	circā, prep. ak.: -tik gertu, -en ondoan, -en inguruan; inguruan, aldera; inguru, gutxi gorabehera; -i buruz, -i dagokionez. — adb.: gertu.
1970	L88954	circāmoerium, -i, n.: harresi-ondo [harresiaren ondo-ondoko espazioa, hormaren alde bietatik].
1971	L88955	circensis, -e: zirkuari eta zirkuko jokoei dagokien(a), zirkuko, zirku-.
1972	L88956	circino 1: biribilean ibili.
1973	L88957	circinus, -i, m.: konpas.
1974	L88958	circiter, prep. ak.: -tik gertu, -tik hurbil; inguruan, aldera. — adb.: inguruan, alde guztietatik; gutxi gorabehera, hor nonbait.
1975	L88959	circius, -i, m.: ziertzo, mistral (Gallia Narbonensis probintzian, ipar-mendebaldeko haizea).
1976	L88960	circlus: ikus circulus.
1977	L88961	circueo:ikus circumeo.
1978	L88962	circuitio, -ōnis, f.: erronda [militar]; ingurabide; zeharka aritze.
1979	L88963	circuitus, -ūs, m.: itzulinguru, ingurumari; biraketa; periodo.
1980	L88964	circulātor, -ōris, m.: hitzontzi, azokako hizlari; trapuketari.
1981	L88965	circulātōrius, -a, -um: berritsu-.
1982	L88966	circulor 1: talde txikietan bildu; biribilean elkartu, berriketan egiteko.
1983	L88967	circulus, -i, m.:zirkulu; perimetro; orbita; objektu zirkular (eraztunak, kateak, uztaiak...); batzar, talde.
1984	L88968	circum, prep. ak.: -en inguruan, -en bi aldeetan; -tik gertu. — adb.: inguruan.
1985	L88969	circumactus, -a, -um: pp., ikus circumago
1986	L88970	circumago, -ēgi, -actum 3: uztaitu, zirkulu forma eman; buelta eman, irauli; birarazi, toki batetik beste batera eraman; circumagi edo se circumagere: pasatu, bukatu, biratu, eramaten utzi.
1987	L88971	circumcīdi: perf., ikus circumcīdo
1988	L88972	circumcīdo, -cīdi,- cīsum 3: (-en inguruan) moztu; ingurebaki, zirkunzidatu; mugatu, moteldu, ahuldu; laburtu.
1989	L88973	circumcircā, adb.: inguru guztian.
1990	L88974	circumcīsus, -a, -um: pp., ikus circumcīdo. — Adj.: -en inguruan ebaki(a); pikotxez ebaki(a), oso malkartsu; labur, motz.
1991	L88975	circumclūdo, -clūsi, -clūsum 3: itxian sartu, (ingurua) apaindu; setiatu, jazarri.
1992	L88976	circumcolo 3: -en inguruan bizi izan.
1993	L88977	circumdedi: perf., ikus circumdo
1994	L88978	circumdo, -dedi, -datum 1: inguruan jarri(chlamydem circumdata: (Didok) klamidea soinean zuela); inguratu, hesitu, itxi. 
1995	L88979	circumdūco, -duxi, -ductum 3: inguruan edo hara eta hona eraman, inguratu; luzatu (silaba bat); engainatu, iruzur egin.
1996	L88980	circumductus, -a, -um: pp., ikus circumduco
1997	L88981	circumduxi: perf., ikus circumduco
1998	L88982	circumēgi: perf., ikus circumago
1999	L88983	circumeo, -ii, -itum 4: inguruan ibili, inguratu; -en ondoan igaro (bira emanez); itzulingurua egin, saihestu, -engandik ihes egin; engainatu; setiatu, jazarri; erronda [militarra] egin; bisitatu, -ra sarri joan.
2000	L88984	circumequito 1: -en inguruan zamalkatu.
2001	L88985	circumerro 1: -en inguruan ibili, nora ezean ibili.
2002	L88986	circumfero, -tuli, -lātum 3: -en inguruan edo hara eta hona mugitu, eraman; inguratu; hedatu.
2003	L88987	circumflecto 3: bihurgunea hartu; ibilbidea okertu; luzatu (silaba bat).
2004	L88988	circumflexus, -ūs, m.: bihurgune, kurba, bira.
2005	L88989	circumflo 1: -en inguruan putz egin.
2006	L88990	circumfluo, -fluxi, -fluxum 3: -en inguruan korrika joan, -en inguruan jario; inguratu; gainezka egin; ugari izan.
2007	L88991	circumfluus, -a, -um: inguruan doan(a), inguratzen duen(a); inguratu(a).
2008	L88992	circumforāneus, -a, -um: ibiltari; foro inguruan dagoen(a); c. aes: zorrak.
2009	L88993	circumfūdi: perf., ikus circumfundo
2010	L88994	circumfundo, -fūdi, -fūsum 3: -en inguruan edo -en gainean isuri; inguratu, -en gainean erori.
2011	L88995	circumfūsus, -a, -um: pp., ikus circumfundo
2012	L88996	circumgesto 1: toki guztietara eraman, zabaldu.
2013	L88997	circumgredior, -gressus 3: inguratu, setiatu, jazarri.
2014	L88998	circumiaceo 2: -en ondoan egon, -en ondoan bizi izan [dat.].
2015	L88999	circumiēci: perf., ikus circumiicio
2016	L89000	circumiectus, -a, -um: pp., ikus circumiicio. —circumiecta, -ōrum, n. pl: inguruko herrialdeak, herrialde mugakideak.
2017	L89001	circumiectus, -ūs, m.: besarkada; inguruko lur.
2018	L89002	circumiicio, -iēci, -iectum 3: -en inguruan jarri, -en inguruan eraiki; — pas.: kiribildu, korapilatu.
2019	L89003	circumitio: ikus circuitio.
2020	L89004	circumitus: ikus circuitus.
2021	L89005	circumlātus, -a, -um: pp., ikus circumfero
2022	L89006	circumlavo 3: bainatu.
2023	L89007	circumligo 1: lotu, elkarri lotu.
2024	L89008	circumlino, —, -litum 3: igurtzi, itsatsi; estali.
2025	L89009	circumlitus, -a, -um: pp., ikus circumlino
2026	L89010	circumluo 3: bainatu.
2027	L89011	circummīsi: perf., ikus circummitto
2028	L89012	cicummissus, -a, -um: pp., ikus circummitto
2029	L89013	circummitto, -mīsi, -missum 3: zenbait noranzkotan bidali.
2030	L89014	circumpadānus, -a, -um: Po ibaiaren ertzetan dagoen(a).
2031	L89015	circumplector, -plexus 3: besarkatu, inguratu.
2032	L89016	circumplico 1: elkarri lotu.
2033	L89017	circumpositus, -a, -um: pp., ikus circumpōno
2034	L89018	circumposui: perf., ikus circumpōno
2035	L89019	circumpōtātio, -ōnis, f.: (edari-)erronda.
2036	L89020	circumrētio 4: engainatu, iruzur egin.
2037	L89021	circumscindo, -scidi, -scissum 3: -en inguruan urratu.
2038	L89022	circumscrībo, -psi, -ptum 3: zerbaiten inguruan biribil bat osatu, itxi; mugatu, zehaztu, mugarritu; dagozkion mugen barruan eduki; parafraseatu; zirkunskribatu; engainatu, norbait esplotatu; arindu, disimulatu; alde batera utzi, bazter utzi.
2039	L89023	circumscriptio, -ōnis, f.: zirkulu, hedadura, itzulinguru, zirkunskripzio; periodo; engainu, esplotazio, iruzur.
2040	L89024	circumscriptor, -ōris, m.: engainatzaile, iruzurgile, barrabas.
2041	L89025	circumseco, —, -sectum 1: -en inguruan moztu.
2042	L89026	circumsectus, -a, -um: pp., ikus circumseco
2043	L89027	circumsedeo, -sēdi, -sessum 2: -en inguruan eserita egon; setiatu, blokeatu; jazarri.
2044	L89028	circumsilio 4: toki batetik bestera salto egin.
2045	L89029	circumsisto, -steti, — 3: estutu, alboetatik jazarri; inguratu.
2046	L89030	circumsono, -sonui, -sonātum 1: -en inguruan soinua egin, -en inguruan durundatu, burrunba egin.
2047	L89031	circumsonus, -a, -um: -en inguruan soinua egiten duen(a), durunditsu.
2048	L89032	circumspectio, -ōnis, f.: zentzutasun, neurritasun; -en inguruan begiratze.
2049	L89033	circumspecto 1: -en inguruan begiratu, aintzakotzat hartu; begiradarekin bilatu, zain egon, zelatatu.
2050	L89034	circumspectus, -a, -um: zentzudun, arrazoizko, burutsu; zuhur; agurgarri, nabarmen.
2051	L89035	circumspectus, -ūs, m.: gogoeta, hausnarketa; -en inguruan begiratze.
2052	L89036	circumspexi: perf., ikus circumspicio
2053	L89037	circumspicio, -spexi, -spectum 3: -en inguruan ikusi, -en inguruan begiratu; zelatatu, kontuan hartu, gogoeta egin; zain egon; -n arreta jarri, saiatu [ut + subj.]
2054	L89038	circumsteti: perf., ikus circumsisto eta -sto
2055	L89039	circumsto, -steti, — 1: -en inguruan egon, inguratu.
2056	L89040	circumstrictus, -a, -um: pp., ikus circumstringo
2057	L89041	circumstructus, -a, -um: pp., ikus circumstruo
2058	L89042	circumstruxi: perf., ikus circumstruo
2059	L89043	circumtractus, -a, -um: pp., ikus circumtraho
2060	L89044	circumstrepo, -ui, -itum 3: -n durundatu, -n zalaparta egin.
2061	L89045	circumtuli: perf., ikus circumfero
2062	L89046	circumsūtus, -a, -um: -en inguruan josi(a).
2063	L89047	circumtextus, -a, -um: -en inguruan ehundu(a).
2064	L89048	circumtono, -tonui, — 2: -en inguruan trumoia jo; gerra-gogoa biztu.
2065	L89049	circumustus, -a, -um: pp., ikus circumūro
2066	L89050	circumvādo 3: inguratu; inbaditu.
2067	L89051	circumvagus, -a, -um: -en inguruan alderrai dabilen(a), inguratzen duen(a).
2068	L89052	circumvallo 1: inguratu, blokeatu, setiatu.
2069	L89053	circumvectio, -ōnis, f.: garraio; orbita.
2070	L89054	circumvector 1: itzuli (zalgurdiz, itsasontziz, etab.); -n barrena ibili, -n zehar ibili.
2071	L89055	circumvectus, -a, -um: pp., ikus circumveho
2072	L89056	circumvehor, -vectus 3: -en inguruan joan (zalgurdian, zaldiz, etab.).
2073	L89057	circumvēlo 1: -en inguruan estali.
2074	L89058	circumvenio, -vēni, -ventum 4: inguratu; -en gainean erori, jazarri, hesitu; eraso, oldartu; estuago jarri, hertsatu, arriskuan jarri, lakio bat jarri; circumveniri: atzipetua izan, -en biktima izan.
2075	L89059	circumverto, -verti, -versum 3: itzuli; — pas.: (axem: ardatzaren) -en inguruan biratu.
2076	L89060	circumvexi: perf., ikus circumveho
2077	L89061	circumvolito 1: -en inguruan jirabiraka hegaldatu [ak.].
2078	L89062	circumvolo 1: -en inguruan hegan egin, -en gainean airean geldi egon [ak.].
2079	L89063	circumvolūtus, -a, -um: pp., ikus circumvolvo
2080	L89064	circumvolvo, -volvi, -volūtum 3: -en inguruan biraka ibili, biribildu; circumvolvi: bukatu (annum: urtea).
2081	L89065	circus, -i, m.: zirkulu; zirku, lasterketa-eremu; c. candens: Esne Bidea.
2082	L89066	cīris, -is, f.: ziris [itsas hegazti bat]
2083	L89067	cirrātus, -a, -um: trinko, itxi, sastrakaz bete(a).
2084	L89068	cirrus, -i, m.: kizkur, kiribil; zerrenda, lits.
2085	L89069	cis, prep. ak.: -z alde honetako; ... barru [denb.].
2086	L89070	Cisalpīnus, -a, -um: zisalpetar, Alpeez alde honetako [Erroma erreferentzia hartuta]
2087	L89071	cisium, -i, n.: gurpil biko gurdi arin.
2088	L89072	Cisrhenānus, -a, -um: Rhin ibaiaren alde honetako.
2089	L89073	cista, -ae, f.: kaxa, saski; hautetsontzi.
2090	L89074	cisterna, -ae, f.: zisterna, uharka.
2091	L89075	cistophorus, -i, m.: zistoforo (Asiako dirua).
2092	L89076	citātus, -a, -um: bizkor, presatu(a), lauhazka doan(a); bizi, alai.
2093	L89077	citerior, -ius: alde honetan dagoen(a), -z honanzko.
2094	L89078	cithara, -ae, f.: zitara; zitararekin lagunduriko kantua; zitara-jotze.
2095	L89079	citharista, -ae, m.: zitara-jotzaile.
2096	L89080	citharistria, -ae, f.: emakumea zitara-jotzaile.
2097	L89081	citharīzo 1: zitara jo.
2098	L89082	citharoedus, -i, m.: zitararekin lagunduta aritzen den kantari.
2099	L89083	citius, konp. adb.: bizkorrago, arinago; c. dicto: esaten dena baino bizkorrago.
