testu_hitza	lemma	hitz_egokitua	mlv_lexeme	aingura	testuingurua-ezker	testu-hitza	eskuin-testuingurua
nor	nor	nor	https://monumenta.wikibase.cloud/wiki/Lexeme:L58140	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##11	... Icusi ceuan gurutzean, ta guero bere besoetan, 	nor	, edo nola icusi ote ceuan? Pensaezazue astiro ...
nora	nora	nora	https://monumenta.wikibase.cloud/wiki/Lexeme:L58141	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##5	... hori? Cer eguin da zeure beguien gozoa? 	nora	 joan da zeure arpeguico edertasuna? non ...
nora	nora	nora	https://monumenta.wikibase.cloud/wiki/Lexeme:L58141	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##6	... ezpadit laguntzen: ta eztet hura billatzeco 	nora	 nere burua irauli. Belaunico Virgiñaren oñetan ...
nora	nora	nora	https://monumenta.wikibase.cloud/wiki/Lexeme:L58141	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... dago bada hitzic, asnaseric, bicirican bague? 	Nora	 zaca bere záiñetaco odola? Lurrean, baratza, ...
norbaitec	norbaitek	norbait	https://monumenta.wikibase.cloud/wiki/Lexeme:L58171	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##4	... da au, esango dit 	norbaitec	, Virgiña orrec icenic ezteu, beiñ bederic ...
norbaitec	norbaitek	norbait	https://monumenta.wikibase.cloud/wiki/Lexeme:L58171	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##16	... bere dolore gucien artean. Cer bada esango dit 	norbaitec	? ausaz Virgiña quejatu zan iñoiz ere passioco ...
norc	nork	nora	https://monumenta.wikibase.cloud/wiki/Lexeme:L58141	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##6	... alaco negar tantaz beté ta üanditu ciñatenac! 	norc	 emango liquet zuetatic bat, nere ezpañac ...
norc	nork	nora	https://monumenta.wikibase.cloud/wiki/Lexeme:L58141	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##8	... zaistenean. Bada, ô Virgiña guciz santea, 	norc	 esango digu, cembat nai izandu cinion zeure ...
norc	nork	nora	https://monumenta.wikibase.cloud/wiki/Lexeme:L58141	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##13	... Orain bada 	norc	 daqui ceiñ aundiac ciran semearen ...
norc	nork	nora	https://monumenta.wikibase.cloud/wiki/Lexeme:L58141	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##16	... zeure ama gozatzeco ta consolatzeco: 	norc	 nizaz contu iduquico deu, eta zeu il ezquero, ...
norc	nork	nora	https://monumenta.wikibase.cloud/wiki/Lexeme:L58141	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##16	... zeure ama gozatzeco ta consolatzeco: 	norc	 nizaz contu iduquico deu, eta zeu il ezquero, ...
