testu_hitza	lemma	hitz_egokitua	mlv_lexeme	aingura	testuingurua-ezker	testu-hitza	eskuin-testuingurua
niri	niri	ni	https://monumenta.wikibase.cloud/wiki/Lexeme:L57928	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak##5	... bere andíustea, ta beré galdór quiscúr, luceá. 	Niri	 eztagoquidánean, beste Euscáldunen batec ...
nizas	nizas	ni	https://monumenta.wikibase.cloud/wiki/Lexeme:L57928	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... Berriz ere esango lioque amac semeari, norc 	nizas	 contu iduquico deu, norc zaituco nau ni? ...
nizaz	nizaz	ni	https://monumenta.wikibase.cloud/wiki/Lexeme:L57928	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##16	... zeure ama gozatzeco ta consolatzeco: norc 	nizaz	 contu iduquico deu, eta zeu il ezquero, norc ni ...
nizaz	nizaz	ni	https://monumenta.wikibase.cloud/wiki/Lexeme:L57928	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##17	... 	nizaz	 contu iduquico deu? esan cion Virgiñac; eta ...
nizaz	nizaz	ni	https://monumenta.wikibase.cloud/wiki/Lexeme:L57928	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##17	... hura damuturic icusi ta damutzen diranac? Norc 	nizaz	 contu eguingo deu, cigon Virgiñac? ausaz ...
nizaz	nizaz	ni	https://monumenta.wikibase.cloud/wiki/Lexeme:L57928	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... ceregandu dituzunac, eztira malmetitzen, ezteue 	nizaz	 casoric eguiten, ta cer contu besteac eguingo ...
nizaz	nizaz	ni	https://monumenta.wikibase.cloud/wiki/Lexeme:L57928	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... 	nizaz	? ta orra non Escuelaco anayac ere gozatuco ez ...
nizaz	nizaz	ni	https://monumenta.wikibase.cloud/wiki/Lexeme:L57928	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... ceregandu dituzunac, eztira malmetitzen, ezteue 	nizaz	 casoric eguiten, ta cer contu besteac eguingo ...
nizaz	nizaz	ni	https://monumenta.wikibase.cloud/wiki/Lexeme:L57928	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... 	nizaz	? ta orra non Escuelaco anayac ere gozatuco ez ...
noiz	noiz	noiz	https://monumenta.wikibase.cloud/wiki/Lexeme:L58044	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak##6	... ta orain alabaquia, beiñ churí, ta gueró belch: 	noiz	 utzicó dec burú-cóloca farragarri horí? Edó ...
