testu_hitza	lemma	hitz_egokitua	mlv_lexeme	aingura	testuingurua-ezker	testu-hitza	eskuin-testuingurua
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##181	... baiezila 	ezin	 noake hargana eta agian, hark orduian ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##185	... ezin zenzuz 	ezin	 daite goberna, anitzetan honesten du guti ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##185	... ezin zenzuz 	ezin	 daite goberna, anitzetan honesten du guti ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##188	... deraut ebatsi, harzaz orit nadinian deus ere 	ezin	 iretsi; nik hura nola nahi nuke hark banenza ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##188	... 	ezin	 benturatuz nago, beldur dakion gaitzi. ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##188	... deraut ebatsi, harzaz orit nadinian deus ere 	ezin	 iretsi; nik hura nola nahi nuke hark banenza ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##188	... 	ezin	 benturatuz nago, beldur dakion gaitzi. ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##189	... berian nik nakusen harena ere nigana, hutsik 	ezin	 egin nezan behin ere hargana. ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##199	... ene amoria, nola nuzun penatzen, zurekila 	ezin	 batuz bihotzian erratzen: ene gaizki penatzeko ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##206	... ninzanian ez nuien nik faltarik; nik iagoitik 	ezin	 nuke hura bezain maiterik; haren minez orai ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##206	... hilez bizirik. ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##206	... ninzanian ez nuien nik faltarik; nik iagoitik 	ezin	 nuke hura bezain maiterik; haren minez orai ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##206	... hilez bizirik. ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##210	... baninz baninzande ni ere hura gaberik, alabana 	ezin	 utzi behin ere gogotik. ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##211	... xotiltua galdu dudan beldurrez; gaoaz lorik 	ezin	 daidit haren gogoan beharrez; gogoan behar ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##231	... lorik 	ezin	 daidit, bihotzian ez pausurik; haiek biak ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##236	... «Hanbat ere handi tuzu 	ezin	 erran nitzakezu; egiara baziniaki, urrikari ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##257	...otoitzen nitzaitzu, niri uztazu nizaz atseginik 	ezin	 dukezu.» ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##272	... otoi, bide idazu; rnekila minzatziaz gaitzik 	ezin	 dukezu.» ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##273	... enek laido lukeite; zu eta ni elgarreki untsa 	ezin	 ginate; zaude ixilik, zoaz horrat eta hobe ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##276	... zurekila dirade Bihoz eta arima gabe ehor 	ezin	 lizate, zu eta ni elgarreki untsa ahal ginate....
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##279	... dixatakorik? Ni amoriak ez nu maite, nik hura ezin gaitzetsi, uste dizit narraiola 	ezin	 ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##279	... dixatakorik? Ni amoriak ez nu maite, nik hura ezin gaitzetsi, uste dizit narraiola 	ezin	 ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##281	...oroz etsi behar dizit, non baitate hobena; heki 	ezin	 medra naite, bai gal neure arima; bategatik ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##289	... testimoniotik 	ezin	 ehor begira; halaz kondemnatu zuten Jeinkoa ...
ezin	ezin	ezin	https://monumenta.wikibase.cloud/wiki/Lexeme:L26107	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##312	... jendek uste zuten 	ezin	 eskriba zaiteien; orai dute forogatu enganatu ...
ezirade	ezirade	hezi	https://monumenta.wikibase.cloud/wiki/Lexeme:L26080	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##266	... berri? Eztei iraganez gomitu handi; hanbat 	ezirade	 andere larri, merexi duzuna narzake sarri. ...
ezitut	ezitut	ezitu	https://monumenta.wikibase.cloud/wiki/Lexeme:L26143	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##249	... ere gertuz maite bazitut, onerizte gabez uzten 	ezitut	, bana Jeinkoaren nuzu beldurtu, sobera digizi ...
ezkerreko	ezkerreko	ezker	https://monumenta.wikibase.cloud/wiki/Lexeme:L26206	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##83	... ifernuia azpitik, etsai gaitza akusatzen 	ezkerreko	 aldetik, bekatuiak eskuinetik minzaturen ...
ezkiten	ezkiten	ezki	https://monumenta.wikibase.cloud/wiki/Lexeme:L26229	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##71	... bizi dira beti bere aisira; egun hartan gal 	ezkiten	 aitzinetik begira, han orduian ez dukegu ehork ...
