LAR_LEMMA	EGOKITUA	DA_MATCH
He hallado lo que me cumple	he hallado lo que me cumple	he
Cumplir años	cumplir años	cumplir
Cumple años	cumple años	cumple
Cumplir con alguno	cumplir con alguno	cumplir
Cumplir la palabra	cumplir la palabra	cumplir
Cumplido	cumplido	cumplido
Cumulador	cumulador	cumulador
Cuna	cuna	cuna
Cundir	cundir	cundir
Cunera	cunera	cunera
Cuneta	cuneta	cuneta
Cuña	cuña	cuña
Meterſe de cuña	meterse de cuña	meterse
Donde no valen cuñas aprovechan vas	donde no valen cuñas aprovechan vas	donde
Cuñado	cuñado	cuñado
Cuñado de el marido	cuñado de el marido	cuñado
Cuñado de la muger	cuñado de la muger	cuñado
Cuño	cuño	cuño
Cupè	cupe	cupe
Cupulino	cupulino	cupulino
Cura	cura	cura
Cura de almas	cura de almas	cura
Cura economo	cura economo	cura
Cura propio	cura propio	cura
Teniente de Cura	teniente de cura	teniente
Curable	curable	curable
Curadillo	curadillo	curadillo
Curador de peſcados	curador de pescados	curador
Curador	curador	curador
Curador de menores	curador de menores	curador
Curaduria	curaduria	curaduria
Curandero	curandero	curandero
Curar	curar	curar
Curado aſsi	curado asi	curado
Curar	curar	curar
Curar lienzos	curar lienzos	curar
Curativo	curativo	curativo
Curato	curato	curato
Cureña	cureña	cureña
Curia	curia	curia
Curial	curial	curial
Curiana	curiana	curiana
Curioſamente	curiosamente	curiosamente
Curioſidad	curiosidad	curiosidad
Curioſo	curioso	curioso
Curruca	curruca	curruca
Curſar	cursar	cursar
Curſado	cursado	cursado
Curſado hombre	cursado hombre	cursado
Curſante	cursante	cursante
Curſillo	cursillo	cursillo
Curſiva	cursiva	cursiva
Curſo	curso	curso
Curſos	cursos	cursos
Curtidor	curtidor	curtidor
Curtiduria	curtiduria	curtiduria
Curtir	curtir	curtir
Curtido de el Sol	curtido de el sol	curtido
Curuja	curuja	curuja
Curvatura	curvatura	curvatura
Curvilineo	curvilineo	curvilineo
Curvo	curvo	curvo
Cuſculia	cusculia	cusculia
Cuſtodia	custodia	custodia
Cuſtodio	custodio	custodio
Cutaneo	cutaneo	cutaneo
Cutis	cutis	cutis
Cuxa de lanza	cuxa de lanza	cuxa
Cuxa	cuxa	cuxa
Cuyo	cuyo	cuyo
Cuz cuz	cuz cuz	cuz
Cyclo	cyclo	cyclo
L La L	l la l	l
No era dable	no era dable	no
Dàca	daca	daca
En dàca las pajas	en daca las pajas	en
Dàca el gallo	daca el gallo	daca
Dàcio	dacio	dacio
Dadiva	dadiva	dadiva
Dadivas quebrantan peñas	dadivas quebrantan peñas	dadivas
Dadivado	dadivado	dadivado
Dadivoſamente	dadivosamente	dadivosamente
Dadivoſo	dadivoso	dadivoso
Dado	dado	dado
Dado falſo	dado falso	dado
Echar dado falſo	echar dado falso	echar
Dador	dador	dador
Daga	daga	daga
Dagon	dagon	dagon
Daifa	daifa	daifa
Dallador	dallador	dallador
Dalmatica	dalmatica	dalmatica
Dama	dama	dama
Juego de damas	juego de damas	juego
Soplar la dama	soplar la dama	soplar
En dama de tus parientes	en dama de tus parientes	en
Damaſcena	damascena	damascena
Damaſco	damasco	damasco
Damaſquino	damasquino	damasquino
Damaza	damaza	damaza
Dameria	dameria	dameria
Damiſela	damisela	damisela
Damnacion	damnacion	damnacion
Damnificar	damnificar	damnificar
Damnificado	damnificado	damnificado
Danza	danza	danza
Sacar vna danza	sacar vna danza	sacar
El vltimo	el vltimo	el
Mudarſe las manos	mudarse las manos	mudarse
Danza de eſpadas	danza de espadas	danza
Danzador	danzador	danzador
Danzar	danzar	danzar
Danzarin	danzarin	danzarin
Dañador	dañador	dañador
Dañar	dañar	dañar
Dañado	dañado	dañado
Dañino	dañino	dañino
Daño	daño	daño
Dàr	dar	dar
Dañoſamente	dañosamente	dañosamente
Dañoſo	dañoso	dañoso
Dàr	dar	dar
Dame	dame	dame
Otro preſ	otro pres	otro
Dar àa eſcoger	dar aa escoger	dar
Dàr mucho que dezir	dar mucho que dezir	dar
Ha dado mucho que dezir	ha dado mucho que dezir	ha
Dàr en llover	dar en llover	dar
Dàr por bueno	dar por bueno	dar
Dàr à entender	dar a entender	dar
Dàr en que entender	dar en que entender	dar
Dar	dar	dar
Dàr de palos	dar de palos	dar
En el dialecto Labortano ſe hazen lo	en el dialecto labortano se hazen lo	en
Quando vienen con interrogacion	quando vienen con interrogacion	quando
Què ſe me dà à mi?	que se me da a mi?	que
Què ſe te dà à ti Cer	que se te da a ti cer	que
Para el ſujuntivo tiene el miſmo irregu-	para el sujuntivo tiene el mismo irregu-	para
Como ſi ſe me diera algo	como si se me diera algo	como
A quien ſe le dà nada?	a quien se le da nada?	a
Què ſe te dà à ti	que se te da a ti	que
Què ſe te dà à tì?	que se te da a ti?	que
Dàrſe	darse	darse
Eſte verbo	este verbo	este
Dares	dares	dares
Donde las dàn las toman	donde las dan las toman	donde
Mas vale vn toma	mas vale vn toma	mas
Dado	dado	dado
Dardo	dardo	dardo
Data	data	data
Dataria	dataria	dataria
Datario	datario	datario
Datil	datil	datil
De	de	de
De donde ſer :	de donde ser :	de
En reſpueſta	en respuesta	en
De aquì	de aqui	de
De donde	de donde	de
De aquì	de aqui	de
De	de	de
Quando el venir es de alguna perſona	quando el venir es de alguna persona	quando
Por eſſo	por eso	por
De	de	de
De aquì à quando ?	de aqui a quando ?	de
De aquì a poco	de aqui a poco	de
De aquì à tres dias	de aqui a tres dias	de
De oy à rmañana	de oy a rmañana	de
De aqu adelante	de aqu adelante	de
De	de	de
Dea	dea	dea
Dean	dean	dean
Deanato	deanato	deanato
De balde	de balde	de
Debate	debate	debate
Debatir	debatir	debatir
Debaxo	debaxo	debaxo
Debaxo de	debaxo de	debaxo
Debaxo de tu proteccion	debaxo de tu proteccion	debaxo
Debelacion	debelacion	debelacion
Debelar	debelar	debelar
Debelado	debelado	debelado
Deber	deber	deber
Yo debo	yo debo	yo
Yo debiìa	yo debiia	yo
Yo los debo	yo los debo	yo
Yo te debo	yo te debo	yo
Tu me debes	tu me debes	tu
Tambien ſe hazen	tambien se hazen	tambien
Me eſtàs debiendo	me estas debiendo	me
Te eſtoy debiendo	te estoy debiendo	te
Debèr	deber	deber
Y ſe reſponde entonces	y se responde entonces	y
Debidamente	debidamente	debidamente
Debil	debil	debil
Debilidad	debilidad	debilidad
Debilitacion	debilitacion	debilitacion
Debilitar	debilitar	debilitar
Debilmente	debilmente	debilmente
Debito	debito	debito
Debito conjugal	debito conjugal	debito
Decada	decada	decada
Decadencia	decadencia	decadencia
Decaer	decaer	decaer
Decanato	decanato	decanato
Decano	decano	decano
Decantar	decantar	decantar
Decantado	decantado	decantado
Decena	decena	decena
Decenal	decenal	decenal
Decenario	decenario	decenario
Decencia	decencia	decencia
Decendencia	decendencia	decendencia
Decenio	decenio	decenio
Deceno	deceno	deceno
Decentar	decentar	decentar
Decentado	decentado	decentado
Decente	decente	decente
Decentemente	decentemente	decentemente
Decentiſsimo	decentisimo	decentisimo
Dechado	dechado	dechado
Decible	decible	decible
Decideras	decideras	decideras
Decidir	decidir	decidir
Decidido	decidido	decidido
Decidor	decidor	decidor
Decima	decima	decima
Decimal	decimal	decimal
Decimo	decimo	decimo
Decir	decir	decir
Digo	digo	digo
Item	item	item
Quando eſte irregular es determinante	quando este irregular es determinante	quando
Tambien tiene otros dos irregulares	tambien tiene otros dos irregulares	tambien
Quando viene determinado	quando viene determinado	quando
Decir	decir	decir
Decir por decir	decir por decir	decir
Por mejor decir	por mejor decir	por
Dicho	dicho	dicho
Deciſion	decision	decision
Deciſivamente	decisivamente	decisivamente
Deciſivo	decisivo	decisivo
Declamacion	declamacion	declamacion
Declamador	declamador	declamador
Declamar	declamar	declamar
Declamatorio	declamatorio	declamatorio
Declaracion	declaracion	declaracion
Declaradamente	declaradamente	declaradamente
Declarador	declarador	declarador
Declarar	declarar	declarar
Declarado	declarado	declarado
Declararſe	declararse	declararse
Declaratorio	declaratorio	declaratorio
Declinable	declinable	declinable
Declinacion aſsi	declinacion asi	declinacion
Declinacion	declinacion	declinacion
Declinar	declinar	declinar
Declinar en la Gramatica	declinar en la gramatica	declinar
Declinar la calentura	declinar la calentura	declinar
Declinar juriſdicion	declinar jurisdicion	declinar
Declinatoria	declinatoria	declinatoria
Declive	declive	declive
Decoccion	decoccion	decoccion
Decorar	decorar	decorar
Decorado aſsi	decorado asi	decorado
Decoro	decoro	decoro
Decoroſamente	decorosamente	decorosamente
Decremento	decremento	decremento
Decrepito	decrepito	decrepito
Decrepito	decrepito	decrepito
Decrepitud	decrepitud	decrepitud
Decretal	decretal	decretal
Decretar	decretar	decretar
Decretado	decretado	decretado
Decreto	decreto	decreto
Decretorio	decretorio	decretorio
Decubito al eſtomago	decubito al estomago	decubito
Decuria	decuria	decuria
Decurion	decurion	decurion
Decurſo	decurso	decurso
Dedada	dedada	dedada
Dedal	dedal	dedal
Dedicar	dedicar	dedicar
Dedicado	dedicado	dedicado
Dedicacion	dedicacion	dedicacion
Dedicarſe à	dedicarse a	dedicarse
Dedicado aſsi	dedicado asi	dedicado
Dedicante	dedicante	dedicante
Dedicatoria	dedicatoria	dedicatoria
Dedignar	dedignar	dedignar
Dedil	dedil	dedil
Dedillo	dedillo	dedillo
Dedo	dedo	dedo
Dedo pulgar	dedo pulgar	dedo
Dedo indice	dedo indice	dedo
Dedo anular	dedo anular	dedo
Dedo meñique	dedo meñique	dedo
Deduccion	deduccion	deduccion
Deducir	deducir	deducir
Defeccion	defeccion	defeccion
Defectible	defectible	defectible
Defecto	defecto	defecto
Defectuoſo	defectuoso	defectuoso
Defectuoſamente	defectuosamente	defectuosamente
Defendedero	defendedero	defendedero
Defender	defender	defender
Defendido	defendido	defendido
Defender	defender	defender
Defendimiento	defendimiento	defendimiento
Defenſa	defensa	defensa
Defenſable	defensable	defensable
Defenſivo	defensivo	defensivo
Defenſor	defensor	defensor
Defenſorio	defensorio	defensorio
Deferir al juicio	deferir al juicio	deferir
Deficiente	deficiente	deficiente
Definicion	definicion	definicion
Definidor	definidor	definidor
Definir	definir	definir
Definido	definido	definido
Definitivo	definitivo	definitivo
Definitivamente	definitivamente	definitivamente
Definitorio	definitorio	definitorio
Deformacion	deformacion	deformacion
Deformador	deformador	deformador
Deformar	deformar	deformar
Deformado	deformado	deformado
Deformatorio	deformatorio	deformatorio
Deforme	deforme	deforme
Deformidad	deformidad	deformidad
Defraudacion	defraudacion	defraudacion
Defraudador	defraudador	defraudador
Defraudar	defraudar	defraudar
Defraudado	defraudado	defraudado
Defuera	defuera	defuera
Degeneracion	degeneracion	degeneracion
Degenerar	degenerar	degenerar
Degollacion	degollacion	degollacion
Degollacion de San Juan	degollacion de san juan	degollacion
Degolladero	degolladero	degolladero
Degollador	degollador	degollador
Degollar	degollar	degollar
Degollado	degollado	degollado
Degradacion	degradacion	degradacion
Degradar	degradar	degradar
Degradado	degradado	degradado
Deguello	deguello	deguello
Deheſa	dehesa	dehesa
Deicida	deicida	deicida
Deicidio	deicidio	deicidio
Deidad	deidad	deidad
Deificacion	deificacion	deificacion
Deificado	deificado	deificado
Deifico	deifico	deifico
Del	del	del
Delacion	delacion	delacion
Delantal	delantal	delantal
Delante	delante	delante
El de delante	el de delante	el
Dios delante	dios delante	dios
Delantera	delantera	delantera
Coger	coger	coger
Delantero	delantero	delantero
Delatable	delatable	delatable
Delatar	delatar	delatar
Delatante	delatante	delatante
Delatado	delatado	delatado
Delectacion	delectacion	delectacion
Delecto	delecto	delecto
Delegacion	delegacion	delegacion
Delegar	delegar	delegar
Delegante	delegante	delegante
Delegado	delegado	delegado
Deleitable	deleitable	deleitable
Deleitacion	deleitacion	deleitacion
Deleitacion moroſa	deleitacion morosa	deleitacion
Deleitar	deleitar	deleitar
Deleite	deleite	deleite
Deleite ſenſual	deleite sensual	deleite
Deleitoſamente	deleitosamente	deleitosamente
Deleitoſo	deleitoso	deleitoso
Deletrear	deletrear	deletrear
Deletreado	deletreado	deletreado
Deleznable	deleznable	deleznable
Deleznarſe	deleznarse	deleznarse
Delgadamente	delgadamente	delgadamente
Delgadeza	delgadeza	delgadeza
Delgadito	delgadito	delgadito
Delgado	delgado	delgado
Delgazar	delgazar	delgazar
Deliberacion	deliberacion	deliberacion
Deliberadamente	deliberadamente	deliberadamente
Deliberar	deliberar	deliberar
Deliberado	deliberado	deliberado
Deliberativo	deliberativo	deliberativo
Delicadamente	delicadamente	delicadamente
Delicadèz	delicadez	delicadez
Delicadeza	delicadeza	delicadeza
Delicado	delicado	delicado
Al delicado poco mal	al delicado poco mal	al
Delicia	delicia	delicia
Deliciarſe	deliciarse	deliciarse
Delicioſamente	deliciosamente	deliciosamente
Delicioſo	delicioso	delicioso
Delineacion	delineacion	delineacion
Delinear	delinear	delinear
Delineado	delineado	delineado
Delinquimiento	delinquimiento	delinquimiento
Delinquir	delinquir	delinquir
Delinquente	delinquente	delinquente
Deliñado	deliñado	deliñado
Deliquio	deliquio	deliquio
Delirar	delirar	delirar
Delirante	delirante	delirante
Delirio	delirio	delirio
Delito	delito	delito
Delphin	delphin	delphin
Delphin de Francia	delphin de francia	delphin
Delphin conſtelacion	delphin constelacion	delphin
Demanda	demanda	demanda
Demanda en juicio	demanda en juicio	demanda
Demandas	demandas	demandas
Morir en la demanda	morir en la demanda	morir
Demandador	demandador	demandador
Demandar	demandar	demandar
Demandar en lo forenſe	demandar en lo forense	demandar
Demandado	demandado	demandado
Demarcacion	demarcacion	demarcacion
Demarcar	demarcar	demarcar
Demarcado	demarcado	demarcado
Demàs	demas	demas
Demàs de eſſo	demas de eso	demas
Eſtàr	estar	estar
Por demas	por demas	por
Demasìa	demasia	demasia
Demaſiado	demasiado	demasiado
Demediar	demediar	demediar
Demencia	demencia	demencia
Demerito	demerito	demerito
Demiſsion	demision	demision
Democracia	democracia	democracia
Democratico	democratico	democratico
Demoler	demoler	demoler
Demolido	demolido	demolido
Demolicion	demolicion	demolicion
Demoniaco	demoniaco	demoniaco
Demonio	demonio	demonio
Demonſtrable	demonstrable	demonstrable
Demonſtracion	demonstracion	demonstracion
Demonſtrar	demonstrar	demonstrar
Demonſtrado	demonstrado	demonstrado
Demonſtrativo	demonstrativo	demonstrativo
Demòra	demora	demora
Demorar	demorar	demorar
Demudar	demudar	demudar
Denantes	denantes	denantes
Denario	denario	denario
Dende	dende	dende
Denegacion	denegacion	denegacion
Denegar	denegar	denegar
Denegado	denegado	denegado
Denegrecer	denegrecer	denegrecer
Denegrecido	denegrecido	denegrecido
Dengue	dengue	dengue
Denguera	denguera	denguera
Denigrar	denigrar	denigrar
Denodadamente	denodadamente	denodadamente
Denominacion	denominacion	denominacion
Denominador	denominador	denominador
Denominar	denominar	denominar
Denominado	denominado	denominado
Denoſtar	denostar	denostar
Denoſtado	denostado	denostado
Denotar	denotar	denotar
Denſamente en lo no liquido	densamente en lo no liquido	densamente
Denſar	densar	densar
Denſado	densado	densado
Denſar	densar	densar
Denſado	densado	densado
Denſidad	densidad	densidad
Denſo	denso	denso
Dentado	dentado	dentado
Dentadura	dentadura	dentadura
Dental do arado	dental do arado	dental
Dentecer	dentecer	dentecer
Dentellada	dentellada	dentellada
A dentelladas	a dentelladas	a
Dentellado	dentellado	dentellado
Dentellar	dentellar	dentellar
Dentera	dentera	dentera
Dàr dentera	dar dentera	dar
Denton	denton	denton
Dentro	dentro	dentro
Acia dentro	acia dentro	acia
Dentro de	dentro de	dentro
Dentro de pocos dias	dentro de pocos dias	dentro
Entrar	entrar	entrar
Metido dentro	metido dentro	metido
Dentudo	dentudo	dentudo
Denuedo	denuedo	denuedo
Denueſto	denuesto	denuesto
Denunciacion	denunciacion	denunciacion
Denunciador	denunciador	denunciador
Denunciar	denunciar	denunciar
Deparar	deparar	deparar
Dios te la depare buena	dios te la depare buena	dios
Departidamente	departidamente	departidamente
Departimiento	departimiento	departimiento
Departir	departir	departir
Depauperar	depauperar	depauperar
Depauperado	depauperado	depauperado
Dependencia	dependencia	dependencia
Depender	depender	depender
No depende de eſſo	no depende de eso	no
Dependiente	dependiente	dependiente
Deplorable	deplorable	deplorable
Deplorar	deplorar	deplorar
Deplorado	deplorado	deplorado
Deponer	deponer	deponer
Depueſto aſsi	depuesto asi	depuesto
Deponer	deponer	deponer
Depueſto aſsi	depuesto asi	depuesto
Deponer	deponer	deponer
Depueſto aſsi	depuesto asi	depuesto
Deponente	deponente	deponente
Deportacion	deportacion	deportacion
Deportarſe	deportarse	deportarse
Deporte	deporte	deporte
Depoſicion	deposicion	deposicion
Depoſitar	depositar	depositar
Depoſitado	depositado	depositado
Depoſitaria	depositaria	depositaria
Depoſitario	depositario	depositario
De poſito	de posito	de
Depravacion	depravacion	depravacion
Depravadamente	depravadamente	depravadamente
Depravador	depravador	depravador
Depravar	depravar	depravar
Depravado	depravado	depravado
Deprecacion	deprecacion	deprecacion
Deprender	deprender	deprender
Depreſsion	depresion	depresion
Deprimir	deprimir	deprimir
Deprimido	deprimido	deprimido
Depurar	depurar	depurar
Derechamente	derechamente	derechamente
Derechero	derechero	derechero
Derechez	derechez	derechez
Derecho	derecho	derecho
A la derecha	a la derecha	a
A las derechas	a las derechas	a
A tuertas	a tuertas	a
Derecho	derecho	derecho
Segun derecho	segun derecho	segun
Eſtàr à derecho	estar a derecho	estar
Derecho Civil	derecho civil	derecho
Derecho de las Gentes	derecho de las gentes	derecho
Derecho Divino	derecho divino	derecho
Derecho humano	derecho humano	derecho
Derecho natural	derecho natural	derecho
Derecho poſitivo	derecho positivo	derecho
Derecho	derecho	derecho
No tienes derecho alguno à eſto	no tienes derecho alguno a esto	no
Derechos	derechos	derechos
Derecho	derecho	derecho
Ni hagas cohecho	ni hagas cohecho	ni
A tuerto	a tuerto	a
Derechura	derechura	derechura
En derechura	en derechura	en
Derivacion	derivacion	derivacion
Derivar	derivar	derivar
Derivado	derivado	derivado
Derivativo	derivativo	derivativo
Derogacion	derogacion	derogacion
Derogar	derogar	derogar
Derogado	derogado	derogado
Derogatorio	derogatorio	derogatorio
Derrabadura	derrabadura	derrabadura
Derrabar	derrabar	derrabar
Derrabado	derrabado	derrabado
Derrama	derrama	derrama
Derramadamente	derramadamente	derramadamente
Derramador	derramador	derramador
Derramamiento	derramamiento	derramamiento
Derramar	derramar	derramar
Derramado	derramado	derramado
Derramar	derramar	derramar
Derramo	derramo	derramo
Derramo en la Architectura	derramo en la architectura	derramo
Derredor	derredor	derredor
Derrenegar	derrenegar	derrenegar
Derrengadura	derrengadura	derrengadura
Derrengar	derrengar	derrengar
Derrengado	derrengado	derrengado
Derretimiento	derretimiento	derretimiento
Derretir	derretir	derretir
Derretirſe	derretirse	derretirse
Derretido	derretido	derretido
Derribar	derribar	derribar
Derribado aſsi	derribado asi	derribado
Derribar	derribar	derribar
Derribado aſsi	derribado asi	derribado
Derribo	derribo	derribo
Derrocar	derrocar	derrocar
Derrocado	derrocado	derrocado
Derrocar	derrocar	derrocar
Derrota	derrota	derrota
Derrota en la milicia	derrota en la milicia	derrota
Derrotar al enemigo	derrotar al enemigo	derrotar
Derrotado	derrotado	derrotado
Derrotar	derrotar	derrotar
Derrotar el viento à la nave	derrotar el viento a la nave	derrotar
Derrotero	derrotero	derrotero
Derruir	derruir	derruir
Derrumbadero	derrumbadero	derrumbadero
Derrumbamiento	derrumbamiento	derrumbamiento
Derrumbar	derrumbar	derrumbar
Derrumbado	derrumbado	derrumbado
Derruviar	derruviar	derruviar
Des	des	des
Deſabarrancar	desabarrancar	desabarrancar
Deſabarrancado	desabarrancado	desabarrancado
Deſabaſtecer	desabastecer	desabastecer
Deſabollar	desabollar	desabollar
Deſabollado	desabollado	desabollado
Deſabono	desabono	desabono
Deſabotonar	desabotonar	desabotonar
Deſabotonado	desabotonado	desabotonado
Deſabrigar	desabrigar	desabrigar
Deſabrigado	desabrigado	desabrigado
Deſabrigo	desabrigo	desabrigo
Deſabrido	desabrido	desabrido
Deſabrimiento	desabrimiento	desabrimiento
Deſabrochar	desabrochar	desabrochar
Deſabrochado	desabrochado	desabrochado
Deſabrocharſe con alguno	desabrocharse con alguno	desabrocharse
Deſacalorarſe	desacalorarse	desacalorarse
Deſacatadamente	desacatadamente	desacatadamente
Deſacatamiento	desacatamiento	desacatamiento
Deſacatar	desacatar	desacatar
Deſacatado	desacatado	desacatado
Deſacato	desacato	desacato
Deſacertadamente	desacertadamente	desacertadamente
Deſacertar	desacertar	desacertar
Deſacierto	desacierto	desacierto
Deſacomodadamente	desacomodadamente	desacomodadamente
Deſacomodar	desacomodar	desacomodar
Deſacomodado	desacomodado	desacomodado
Deſaconſejar	desaconsejar	desaconsejar
Deſacordadamente	desacordadamente	desacordadamente
Deſacordar	desacordar	desacordar
Deſacordarſe	desacordarse	desacordarse
Deſacorde	desacorde	desacorde
Deſacoſtumbrar	desacostumbrar	desacostumbrar
Deſacoſtumbrado	desacostumbrado	desacostumbrado
Deſacotar	desacotar	desacotar
Deſacreditar	desacreditar	desacreditar
Deſacuerdo	desacuerdo	desacuerdo
Deſaderezar	desaderezar	desaderezar
Deſaderezado	desaderezado	desaderezado
Deſadeudar	desadeudar	desadeudar
Deſadorar	desadorar	desadorar
Deſadormecer	desadormecer	desadormecer
Deſadorno	desadorno	desadorno
Deſadvertidamente	desadvertidamente	desadvertidamente
Deſafear	desafear	desafear
Deſafecto	desafecto	desafecto
Deſaferrar	desaferrar	desaferrar
Deſafiadero	desafiadero	desafiadero
Deſafiador	desafiador	desafiador
Deſafiar	desafiar	desafiar
Deſafiado	desafiado	desafiado
Deſafio	desafio	desafio
Deſaficion	desaficion	desaficion
Deſaficionar	desaficionar	desaficionar
Deſaforadamente	desaforadamente	desaforadamente
Deſaforar	desaforar	desaforar
Deſaforado	desaforado	desaforado
Deſaforrar	desaforrar	desaforrar
Deſafortunado	desafortunado	desafortunado
Deſafuero	desafuero	desafuero
Deſagarrar	desagarrar	desagarrar
Deſagraciar	desagraciar	desagraciar
Deſagradable	desagradable	desagradable
Deſagradablemente	desagradablemente	desagradablemente
Deſagradar	desagradar	desagradar
Deſagradecer	desagradecer	desagradecer
Deſagradecido	desagradecido	desagradecido
Deſagradecimiento	desagradecimiento	desagradecimiento
Deſagrado	desagrado	desagrado
Deſagraviar	desagraviar	desagraviar
Deſagravio	desagravio	desagravio
Deſagregar	desagregar	desagregar
Deſaguadero	desaguadero	desaguadero
Deſaguar	desaguar	desaguar
Deſague	desague	desague
Deſaguiſado	desaguisado	desaguisado
Deſahijar	desahijar	desahijar
Deſahogadamente	desahogadamente	desahogadamente
Deſahogar	desahogar	desahogar
Deſahogo	desahogo	desahogo
Deſahuciadamente	desahuciadamente	desahuciadamente
Deſahuciar	desahuciar	desahuciar
Deſahuciado eſtà	desahuciado esta	desahuciado
Deſahucio	desahucio	desahucio
Deſahumar	desahumar	desahumar
Deſairadamente	desairadamente	desairadamente
Deſairar	desairar	desairar
Deſaire	desaire	desaire
Deſajuſtar	desajustar	desajustar
Deſajuſtarſe	desajustarse	desajustarse
Deſalabar	desalabar	desalabar
Deſalabear	desalabear	desalabear
Deſalar	desalar	desalar
Deſalbardar	desalbardar	desalbardar
Deſalentar	desalentar	desalentar
Deſalforjar	desalforjar	desalforjar
Deſalforjarſe	desalforjarse	desalforjarse
Deſaliento	desaliento	desaliento
Deſaliñadamente	desaliñadamente	desaliñadamente
Deſaliñar	desaliñar	desaliñar
Deſaliño	desaliño	desaliño
Deſalmadamente	desalmadamente	desalmadamente
Deſalmamiento	desalmamiento	desalmamiento
Deſalmar	desalmar	desalmar
Hombre deſalmado	hombre desalmado	hombre
Deſalojar	desalojar	desalojar
Deſalojado	desalojado	desalojado
Deſalumbradamente	desalumbradamente	desalumbradamente
Deſalumbrado	desalumbrado	desalumbrado
Deſalumbramiento	desalumbramiento	desalumbramiento
Deſamable	desamable	desamable
Deſamar	desamar	desamar
Deſamarrar	desamarrar	desamarrar
Deſamiſtarſe	desamistarse	desamistarse
Deſamoldar	desamoldar	desamoldar
Deſamor	desamor	desamor
Deſamoradamente	desamoradamente	desamoradamente
Deſamorado	desamorado	desamorado
Deſamorrar	desamorrar	desamorrar
Deſamparar	desamparar	desamparar
Deſamparo	desamparo	desamparo
Deſancorar	desancorar	desancorar
Deſandar	desandar	desandar
Deſanidar	desanidar	desanidar
Deſanimar	desanimar	desanimar
Deſanudar	desanudar	desanudar
Deſapacible	desapacible	desapacible
Deſapaciblemente	desapaciblemente	desapaciblemente
Deſapacibilidad	desapacibilidad	desapacibilidad
Deſaparear	desaparear	desaparear
Deſaparecer	desaparecer	desaparecer
Deſaparecimiento	desaparecimiento	desaparecimiento
Deſaparejar	desaparejar	desaparejar
Deſapaſsionadamente	desapasionadamente	desapasionadamente
Deſapaſsionar	desapasionar	desapasionar
Deſapaſsionado	desapasionado	desapasionado
Deſapegar	desapegar	desapegar
Deſapego	desapego	desapego
Deſapercebido	desapercebido	desapercebido
Deſapercebimiento	desapercebimiento	desapercebimiento
Deſapeſtar	desapestar	desapestar
Deſapiadadamente	desapiadadamente	desapiadadamente
Deſapiadado	desapiadado	desapiadado
Deſapiolar	desapiolar	desapiolar
Deſaplicacion	desaplicacion	desaplicacion
Deſaplicado	desaplicado	desaplicado
Deſapoderadamente	desapoderadamente	desapoderadamente
Deſapoderamiento	desapoderamiento	desapoderamiento
Deſapoderar	desapoderar	desapoderar
Deſapoderado	desapoderado	desapoderado
Deſapolillar	desapolillar	desapolillar
Deſapoſentar	desaposentar	desaposentar
Deſapoſſeſsionar	desaposesionar	desaposesionar
Deſapoſtura	desapostura	desapostura
Deſapoyar	desapoyar	desapoyar
Deſapreciar	desapreciar	desapreciar
Deſaprender	desaprender	desaprender
Deſaprenſar	desaprensar	desaprensar
Deſapretar	desapretar	desapretar
Deſapriſionar	desaprisionar	desaprisionar
Deſaprobar	desaprobar	desaprobar
Deſapropriamiento	desapropriamiento	desapropriamiento
Deſapropriarſe	desapropriarse	desapropriarse
Deſaproprio	desaproprio	desaproprio
Deſaprovechadamente	desaprovechadamente	desaprovechadamente
Deſaprovechamiento	desaprovechamiento	desaprovechamiento
Deſaprovechar	desaprovechar	desaprovechar
Deſapueſto	desapuesto	desapuesto
Deſapuntalar	desapuntalar	desapuntalar
Deſapuntar	desapuntar	desapuntar
Deſarbolar	desarbolar	desarbolar
Deſarenar	desarenar	desarenar
Deſarmar	desarmar	desarmar
Deſarraigar	desarraigar	desarraigar
Deſarrebozar	desarrebozar	desarrebozar
Deſarrebujar	desarrebujar	desarrebujar
Deſarrimar	desarrimar	desarrimar
Deſarrimo	desarrimo	desarrimo
Deſarrollar	desarrollar	desarrollar
Deſarropar	desarropar	desarropar
Deſaſado	desasado	desasado
Deſaſeadamente	desaseadamente	desaseadamente
Deſaſear	desasear	desasear
Deſaſeo	desaseo	desaseo
Deſaſimiento	desasimiento	desasimiento
Deſaſir	desasir	desasir
Deſaſnar	desasnar	desasnar
Deſaſociable	desasociable	desasociable
Deſaſoſegadamente	desasosegadamente	desasosegadamente
Deſaſoſegar	desasosegar	desasosegar
Deſaſoſiego	desasosiego	desasosiego
Deſaſtradamente	desastradamente	desastradamente
Deſaſtrado	desastrado	desastrado
Deſaſtre	desastre	desastre
Deſatacar	desatacar	desatacar
Deſatar	desatar	desatar
Deſatadamente	desatadamente	desatadamente
Deſatamiento	desatamiento	desatamiento
Deſataſcar	desatascar	desatascar
Deſataviar	desataviar	desataviar
Deſatavìo	desatavio	desatavio
Deſatencion	desatencion	desatencion
Deſatender	desatender	desatender
P @	p @	p
Deſatentamente	desatentamente	desatentamente
Deſatentar	desatentar	desatentar
Deſatento	desatento	desatento
Deſateſado	desatesado	desatesado
Deſatiento	desatiento	desatiento
Deſatinadamente	desatinadamente	desatinadamente
Deſatinar	desatinar	desatinar
