abereac edanerazo,abereak edanerazo
abereac edateratu,abereak edateratu
ederatua,ederatua
edanerazoa,edanerazoa
edaneracia,edanerazia
edateratua,edateratua
abereen edatoquia,abereen edatokia
ederatoquia,ederatokia
chaburtu,txaburtu
chaburtua,txaburtua
laburtaria,laburtaria
chaburtzallea,txaburtzailea
chaburtaria,txaburtaria
laburrera,laburrera
chaburrer,txaburrer
laſterreguizu,lasterregizu
ea agudo,ea agudo
ea laſter,ea laster
alperquerian ſartzea,alperkerian sartzea
alper eguitea,alper egitea
alperquerian vicitzea,alperkerian bizitzea
alperquerian ſartua,alperkerian sartua
icia,izia
alper eguiña,alper egina
nozgueitza,nozgeitza
nozgue-,nozge-
abrigatu,abrigatu
arropaz,arropaz
edo beſtela berotu,edo bestela berotu
naiz,naiz
da,da
otzetic gordetzea,otzetik gordetzea
otza eragoztea,otza eragoztea
nozguetu,nozgetu
lecu ſegurura biribil latzea,leku segurura biribil latzea
lecu ſeguruan gordetzea,leku seguruan gordetzea
lecu beroa,leku beroa
otzetie gordea,otzetie gordea
eguzquiaz,eguzkiaz
ſuaz berotzea,suaz berotzea
pirilla,pirila
burua autſi,burua autsi
ceatu,zeatu
autſitua,autsitua
ceatua,zeatua
idiquiró,idikiro
idequiro,idekiro
ordagoa,ordagoa
idiquitzea,idikitzea
idiquie-,idikie-
idiquipena,idikipena
zabaldura,zabaldura
idiquitzea,idikitzea
miaurtú,miaurtu
azarractu,azarraktu
miaurtuá,miaurtua
azarracátua,azarrakatua
arracatú,arrakatu
hendedura,hendedura
arracá,arraka
indarguetzea,indargetzea
indarbaguetzea,indarbagetzea
legueren bat indarguetú,legeren bat indargetu
indarbaguetñ,indarbagetn
ſaparlarra,saparlarra
burnilarrac,burnilarrak
cedeneztatu,zedeneztatu
cerreneztatu,zerreneztatu
cedenéz,zedenez
cerrenéz beté,zerrenez bete
&c,&k
broqneldu,broqneldu
ezcutuaz eſtaltzea,ezkutuaz estaltzea
ezcutuaz eſtalia,ezkutuaz estalia
chichare belaárra,txitxare belaarra
anditſu zornatua,anditsu zornatua
eſconder,eskonder
auſentarſe,ausentartse
abſolitzea,absolitzea
deslotzea,deslotzea
abſolicioa,absolizioa
aſ-,as-
abſoloigarriac,absoloigarriak
ichir,itxir
ertſiróá,ertsiroa
deblauquiró,deblaukiro
iñori eztichecana,inori eztitxekana
gauzaren batean iñoren bearric ezteuana,gauzaren batean inoren bearrik ezteuana
ichirocó,itxiroko
guciroc eráuſiac,guzirok erausiak
eſác,esak
gucirocó erauſi bátzuequin,guziroko erausi batzuekin
arritu,arritu
cordebaguetuæ bezala,kordebagetuae bezala
ſorrá guelditzea,sorra gelditzea
arritzea,arritzea
cordebaguetzea beézala,kordebagetzea beezala
chucatzaria,txukatzaria
idortaria,idortaria
cerbait eguitetic gordetzea,zerbait egitetik gordetzea
eguiratzea,egiratzea
pecatutic,pekatutik
jocotic,jokotik
ardotic gordetzea,ardotik gordetzea
urriiaria,urriiaria
guichi jaten deuaná,gitxi jaten deuana
urrijaldura,urrijaldura
abſtinennencia,abstinennentzia
urrijalpena,urrijalpena
cordearen galtzeaz,kordearen galtzeaz
cordebaguetzea,kordebagetzea
berequicotzea,berekikotzea
buruaren ajolaz , arduraz bicitzea,buruaren ajolaz , arduraz bizitzea
nere,nere
neurequicotua,neurekikotua
utſeragoa,utseragoa
utſeragotu,utseragotu
egoquibaguea,egokibagea
bearzaquea,beartzakea
bearreztana,bearreztana
egazti aztinanzá gaiztoco bat,egazti aztinantza gaiztoko bat
nola ere dan baſollarrá,nola ere dan basoilarra
amanaguſia,amanagusia
aitanaguſia,aitanagusia
orrequin batean,orrekin batean
orrez naſte,orrez naste
aurpegui ubel,aurpegi ubel
ta uanditua daucana,ta uanditua daukana
ta uanditzea,ta uanditzea
aundiagotu,aundiagotu
andiagotu,andiagotu
gueitu,geitu
gueiagotu,geiagotu
ditu,ditu
lar gueitzen dituz bere gaitzac,lar geitzen dituz bere gaitzak
anditua,anditua
andiagotua,andiagotua
gueitua,geitua
gueiagotua,geiagotua
andi,andi
andiagotzallea,andiagotzailea
gueitzallea,geitzailea
gueiagotzallea,geiagotzailea
aundia,aundia
andia,andia
lodia izatea,lodia izatea
aundia,aundia
lodiada,lodiada
di-,di-
Cein aundi,Cein aundi
cein lodi izango,zein lodi izango
ioria,ioria
iyoria,iioria
ioritaſuna,ioritasuna
iyoritaſuna,iioritasuna
ioritſua,ioritsua
ioriá,ioria
ioriró,ioriro
ugariró naroró,ugariro naroro
ioriqui,ioriki
iori,iori
iori,iori
oparo izan,oparo izan
orapildu,orapildu
gorribeztua,gorribeztua
aſto eguiña,asto egina
aſto biurtua,asto biurtua
aſtotutzea,astotutzea
aſtotzea,astotzea
aſto izatea,asto izatea
biurtzea,biurtzea
gogaitzea,gogaitzea
gogaiteraguin,gogaiteragin
gogaitzea,gogaitzea
gaizqui-vſatzea,gaizki-usatzea
dongaróvſatzea,dongarousatzea
gaizqui erabilli,gaizki erabili
ononz,onontz
unonz,unontz
cabaleguin,kabalegin
cabaldú,kabaldu
chit reſtua,txit restua
ezcutari guiſacoa,ezkutari gisakoa
bu-,bu-
aitu,aitu
azquenáu,azkenau
aſi,asi
ta búca,ta buka
aitua,aitua
aitutzea,aitutzea
acaberazo,akaberazo
aitue razo,aitue razo
ealaſter,ealaster
ea bada , oa,ea bada , oa
joan bear badec,joan bear badek
oran,oran
, zla B,, zla B
aitu dira nere pozac,aitu dira nere pozak
bucatu dira nere atſeguiñac,bukatu dira nere atseginak
aquerguiſacoa,akergisakoa
jaquiñen,jakinen
jaquintſuen,jakintsuen
letradunen ballerá,letradunen bailera
batarrea,batarrea
icaſolacoa,ikasolakoa
icaſolarra,ikasolarra
jaquientſuen balleracoa,jakientsuen bailerakoa
bilgumacoa,bilgumakoa
batzarrecoá,batzarrekoa
ſuertaera,suertaera
jazoaera,jazoaera
acertaera,azertaera
ſuertapena,suertapena
guertapena &c,gertapena &k
cirpitz ederréz ertzatua,zirpitz ederrez ertzatua
oñez,onez
edo beſtela eſtutu,edo bestela estutu
calcaria,kalkaria
calcatzallea,kalkatzailea
eſtutaria,estutaria
calcaraci,kalkarazi
calcaerazo,kalkaerazo
calcaeraguin,kalkaeragin
igildu,ijildu
iſilerazo,isilerazo
igilaraci,ijilarazi
igilerazo,ijilerazo
iſilerazoa,isilerazoa
iſilaracitua,isilarazitua
iſilerazotua,isilerazotua
iſilaracitzallea,isilarazitzailea
iſilerazotzallea,isilerazotzailea
iſileraguillea,isileragilea
ſuquindu,sukindu
etzauntza artu,etzauntza artu
etzauntzac artua,etzauntzak artua
boilluſtu,boilustu
abodiatu,abodiatu
odiatu,odiatu
odiac eguin,odiak egin
boilluſtua,boilustua
abodiatua,abodiatua
odiaz,odiaz
odiacquin eguiña,odiakkin egina
odiatzallea,odiatzailea
criſeldu,kriseldu
cruſeldu,kruseldu
