zorrozkiro,zorrozquiró
aztinantza,aztinanza
zirikatu,ciricatua
mentu,mentuá
zulogile,zuloguillea
alaba ponteko,alaba pontecoa
kordebagetu,cordebaguetua
ozpindu,ozpindua
gogoan jo,gogoan jo
gogoan jo,gogoan joa
itogarri,itogarria
keeztu,queeztuá
keaztatu,queaztatua
erausi,erauſi
egurastu,eguraſtú
eraz,eraz
mastrikatu,maſtricatu
mastrikatu,maſtricatua
alogeratu,alogueratua
alabastro,alabaſtro
arrabio,arrabioa
egaadun,egaaduna
balakari,balacaria
alaja,alaja
alanbre,alambrea
alanbre,alambrea
ezkurdui,ezcurduia
basati,baſatia
karkaba,carcaba
txuri,churia
legen,leguená
txalmatu,chalmatú
txalma,chalmá
txalmatu,chalmatua
bastatu,baſtatua
txalma,chalmá
bastagintza,baſtaguintza
bastagin,baſtaguiña
txalmagin,chalmaguiña
astatipula,aſtatipula
txuritasun,churitaſuna
alborada,alborada
poztu,poztú
poztu,poztua
albiste,albiſtea
estalgile,eſtalguillea
barruti,barrutia
alkanfor,alcanfora
basarto,baſartoa
erdiesle,erdieslea
kako,cacoa
artelatz,artelatza
azaldu,azaldu
azaldu,azaldua
oliontzi,olioncia
kisket,quiſqueta
desalaitu,deſalaitu
izutu,izutú
mugako,mugacoa
ekarrai,ecarraya
poztu,poztú
poztu,poztua
pozik,pozic
alegeria,alegueria
urrutiratu,urrutiratu
urrutiratu,urrutiratu
urrutiratu,urrutiratua
erruz,erruz
alaitu,alaitu
indartu,indartu
alaitu,alaitua
indartu,indartua
isats,iſatſa
buztinola,buztinola
buztingile,buztinguillea
eltzegile,eltzeguillea
ibiki,ibiquia
zerri,cerriá
zakuto,zacutoa
alportxa,alporcha
algaraz,algaráz
ojuka,ojúcá
deadarkari,deadarcaria
gorrindu,gorrindú
aurren,áurren
erantsi,eranſiá
janaritu,janaritua
txukun,chucuná
leuntzaile,leuntzallea
zerrenda,cerrendá
lista,liſtá
maneatu,maneatu
igortzi,igortzia
zelaitu,celaitú
lautu,lautuá
zelaitu,celaitua
batzaile,batzállea
egunari,egunaria
beira belar,beira belarra
igara,igará
zertegi,certeguia
txirla,chirlac
men,mena
almidoatu,almidoatu
almidoatu,almidoatua
aurdiko,aurdicoa
zai,zaya
lakari,lacaria
atxedenleku,achedenlecua
urrutiratu,urrutiratú
espartingile,eſpartinguillea
