EGOKITUA	UNIDECODE	JATORRIZKOA	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
mukuru	mucuru	mucuru	mukuru		mukuru	mukuru	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mukuru
muru	muru	murú					
naroa	naroa	naroa	naro	naro		naro	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=naro
ugaria	ugaria	ugaria	ugari		ugari	ugari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ugari
ioria	ioria	ioria					
mukurua	mucurua	mucurua	mukuru		mukuru	mukuru	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mukuru
murua	murua	murua				muru	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=muru
otorantza	otoranza	otoranzá					
beardanez ornitzea	beardanez ornitzea	beardanez ornitzea					
jalariaren ornidura	jalariaren ornidura	jalariaren ornidurá					
ornitu	ornitu	ornitu					
zuzkitu	zuzquitu	zuzquitu	zuzkitu	zuzkitu			
bete	bete	beté	bete		bete	bete	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bete
ondasiunez ornitua	ondasiunez ornitua	ondaſiúnez ornituá					
zuzkitua	zuzquitua	zuzquituá	zuzkitu	zuzkitu		zuzkitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zuzkitu
betea	betea	beteá	bete		bete	bete	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bete
janariz ornitu	janariz ornitu	janariz ornitú					
Boilatu	Bollatu	Bollatú					
oialak tunpaka garbitu	oyalac tumpaca garbitu	oyalac túmpaca garbitu					
ta trinkatu	ta trincatu	ta trincatu					
boilatua	bollatua	bollatuá					
trinkatua	trincatua	trincatuá	trinkatu	trinkatu	trinkatu	trinkatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=trinkatu
boilatzailea	bollatzallea	bollatzallea					
boilazaina	bollazaina	bollazaina					
trinkatzailea	trincatzallea	trincatzallea					
apaiz soineko laburduna	apaiz soñeco laburduna	apaiz ſoñeco laburduna					
begirok arrapatuko au	beguiroc arrapatuco au	beguiroc arrapatuco au					
norbait azpiratzea	norbait azpiratzea	norbait azpirátzea					
lurreratzea	lurreratzea	lurrerátzea			lurreratze	lurreratze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lurreratze
bzeratzea	bceratzea	bceratzea					
azpiratua	azpiratua	azpiratua			azpiratu	azpiratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azpiratu
lurreratua	lurreratua	lurreratua			lurreratu	lurreratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lurreratu
beeratua	beeratua	beeratua					
azpiratzailea lurreratzailea	azpiratzallea lurreratzallea	azpiratzallea lurreratzallea					
beeratzailea	beeratzallea	beeratzallea					
lurreratu	lurreratu	lurreratú			lurreratu	lurreratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lurreratu
beeatu	beeatu	beeatú					
humilartse	humillarse	humillarſe					
beeratzapena	beeratzapena	beeratzapena					
beeratzea	beeratzea	beeratzea					
beeratu	beeratu	beeratu					
beetitu	beetitu	beetitu					
jatxi	jachi	jachi					
eratxi	erachi	erachi	eratxi	eratxi			
beeratu	beeratu	beeratu					
bean	bean	bean					
beera	beera	beera					
beeti	beeti	beeti					
bezea	becea	beceá					
erlea	erlea	erlea	erle		erle	erle	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erle
erletxoa	erlechoa	erlechoa				erletxo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erletxo
erlezaia	erlezaia	erlezaia	erlezai	erlezai			
erlezaina	erlezaina	erlezaina	erlezain	erlezain	erlezain	erlezain	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erlezain
txori erlejale bat	chori erlejale bat	chori erlejale bat					
erleen galgarria	erleen galgarria	erleen galgarria					
listorra	listorra	liſtorrá				listor	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=listor
erlabioa	erlabioa	erlabioa	erlabio	erlabio		erlabio	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erlabio
listorra	listorra	liſtorra				listor	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=listor
otsa edo soinua gozatzea , gozoro ta emeki , ta leuntxo austea	otsa edo soñua gozatzea , gozoro ta emequi , ta leuncho austea	otſa edo ſoñua gozatzea , gozoró ta emequi , ta leuncho auſtea					
gozatua	gozatua	gozatua	gozatu		gozatu	gozatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gozatu
gozoro autsia	gozoro autsia	gozoró autſia					
betuleak	betuleac	betuleac				betule	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=betule
begirok	beguiroc	beguiroc					
uztarria	uztarria	uztarria	uztarri		uztarri	uztarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=uztarri
lorra	lorra	lorrá	lor		lor	lor	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lor
saiea	sayea	ſayea				saie	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=saie
abetoa	abetoa	abetoa					
,bezatu	,bezatu	,bezatú					
oitu	oitu	oitu					
azi	aci	aci					
azitu	acitu	acitú					
oitua	oitua	oitua					
azitua	acitua	acitua				azitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azitu
norbait norabait orniturik bialdu egorri	norbait norabait ornituric bialdu egorri	norbait norabait ornituric bialdu egorri					
biderako ornitua	bideraco ornitua	bideraco ornitua					
nabarra	navarra	navarrá	nabar		nabar	nabar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=nabar
talde baten	talde baten	talde baten					
edo erdibaten lapurra	edo erdibaten lapurra	edo erdibaten lapurrá					
bigoteduna	bigoteduna	bigoteduna	bigotedun	bigotedun			
abilidadea	abilidadea	abilidadea	abilidade		abilidade	abilidade	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abilidade
gaitasuna	gaytasuna	gaytaſuna	gaitasun		gaitasun	gaitasun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gaitasun
zintzotasuna	cintzotasuna	cintzotaſuna	zintzotasun	zintzotasun	zintzotasun	zintzotasun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zintzotasun
zintzotu	cintzotu	cintzotu	zintzotu	zintzotu	zintzotu	zintzotu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zintzotu
gai egin	gay eguin	gay eguin					
zintzotua	cintzotua	cintzotua	zintzotu	zintzotu	zintzotu	zintzotu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zintzotu
gaei egina	gaey eguiña	gaey eguiña					
gairo	gayro	gayró					
zintzor	cinzor	cinzor					
zintzoki	cintzoqui	cintzoqui	zintzoki	zintzoki			
testamentu bage	testamentu bague	teſtamentu bague					
testamenturik egingabe	testamenturic eguingabe	teſtamenturic eguingabe					
ezeztatzea	ezeztatzea	ezeztatzea				ezeztatze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ezeztatze
desesana	desesana	deſeſaná				desesan	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=desesan
deserrana	deserrana	deſerraná					
sorbeltza	sorbeltza	ſorbeltza	sorbeltz	sorbeltz	sorbeltz	sorbeltz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sorbeltz
