EGOKITUA	UNIDECODE	JATORRIZKOA	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
itxura	ichura	ichurá	itxura		itxura	itxura	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=itxura
kanora	canora	canorá					
agia	aguia	aguiá	agi			agi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=agi
bezerotu	becerotu	becerotú					
bezero norbait egitea	becero norbait eguitea	becero norbait eguitea					
bezerotzat sartzea	becerotzat sartzea	becerotzat ſartzea					
gelditzea	guelditzea	guelditzea				gelditze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gelditze
parte	parte	parte	parte		parte	parte	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=parte
partatu	partatu	partatu					
alderagin	alderaguin	alderaguin	alderagin	alderagin			
bereitu	bereitu	bereitu					
berezi	bereci	bereci	berezi		berezi	berezi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=berezi
apartatua	apartatua	apartatua	apartatu		apartatu	apartatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=apartatu
alderagina	alderaguiña	alderaguiña	alderagin	alderagin			
bereista	bereista	bereiſta					
berezia	berecia	berecia	berezi		berezi	berezi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=berezi
berezitua	berecitua	berecitua	berezitu	berezitu	berezitu		
eskua kendu	escua quendu	eſcua quendu					
atzeratu	atzeratu	atzeratu	atzeratu		atzeratu	atzeratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=atzeratu
idoki	idoqui	idoqui	idoki		idoki	idoki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=idoki
apartatzailea	apartatzallea	apartatzallea					
alderagilea	alderaguillea	alderaguillea				alderagile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=alderagile
bereislea	bereislea	bereislea					
berezitzalea	berecitzalea	berecitzalea					
sala bazterra	sala bazterra	ſala bazterra					
apartamena	apartamena	apartamena					
apartatu	apartatu	apartatu	apartatu		apartatu	apartatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=apartatu
aldegin	aldeguin	aldeguin					
bereistu	bereistu	bereiſtu					
berezi	bereci	bereci	berezi		berezi	berezi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=berezi
aldegin	aldeguin	aldeguin					
aztandu	aztandu	aztandu					
ilki	ilqui	ilqui	ilki		ilki	ilki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ilki
ilkitu	ilquitu	ilquitu					
ken adi ortik	quen adi ortic	quen adi ortic					
idoki adi ortik	idoqui adi ortic	idoqui adi ortic					
aldegik ortik	aldeguic ortic	aldeguic ortic					
es-	es-	eſ-					
iskintxo egin	isquincho eguin	iſquincho eguin					
aparte	aparte	aparte	aparte	aparte			
appart	appart	appart					
berezian	berecian	berecian					
gariak pilatu	gariac pillatu	gariac pillatú					
montoitu	montoitu	montoitu	montoitu	montoitu			
gari pilak	gari pillac	gari pillac				gari pil	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gari pil
montoiak egin	montoyac eguin	montoyac eguin					
biotzaletu	biotzaletu	biotzaletu					
biotzukitu	biotzuquitu	biotzuquitu					
grinaldu	griñaldu	griñaldú					
biotzaletua	biotzaletua	biotzaletua					
biotzukitua	biotzuquitua	biotzuquitua					
grinaldua	griñaldua	griñalduá				grinaldu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=grinaldu
biotzalekiro	biotzalequiro	biotzalequiro					
grinalkiro	griñalquiro	griñalquiro					
sotarria	sotarria	ſotarria			sotarri		
mugatzailea mrratzailea	mugatzallea mrratzallea	mugatzallea mrratzallea					
mugatzea	mugatzea	mugatzea					
mu garritzea	mu garritzea	mu garritzea					
marratzea	marratzea	marratzea				marratze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=marratze
lurrak mugatu	lurrac mugatu	lurrac mugatu					
mugarritu	mugarritu	mugarritu	mugarritu		mugarritu	mugarritu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mugarritu
mugak	mugac	mugac	mug		mug	mug	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mug
mugarriak paratu , if . ini	mugarriac paratu , if . ñi	mugarriac paratu , if . ñi					
marratu	marratu	marratú	marratu		marratu	marratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=marratu
zalditik	zalditic	zalditic					
zamaritik	zamaritic	zamaritic					
edo bestetik	edo bestetic	edo beſtetic					
jatxi	jachi	jachi					
oingainetu	oingañetu	oingañetu					
errotik jakin	errotic jaquin	errotic jaquin					
ezagutu	ezagutu	ezagutu	ezagutu		ezagutu	ezagutu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ezagutu
bulartetu	bulartetu	bulartetu					
bulartetua	bulartetua	bulartetua					
arrikatu	arricatu	arricatu					
arriak tira	arriac tira	arriac tira					
arria	arria	arria	arri				
txingorra	chingorra	chingorra	txingor	txingor	txingor	txingor	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txingor
abazuza erortea	abazuza erortea	abazuza erortea					
txingorrari	chingorrari	chingorrari					
abazuzari erauntstea	abazuzari eraunstea	abazuzari eraunſtea					
txingorrak	chingorrac	chingorrac				txingor	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txingor
abazuzak joa	abazuzac joa	abazuzac joa					
itsaskuna	itsascuna	itſaſcuna				itsaskun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=itsaskun
itxekindea	ichequindea	ichequindea				itxekinde	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=itxekinde
gandeitzea	gandeitzea	gandeitzea					
godeia	godeya	godeya					
gorastea	gorastea	goraſtea					
gandeitu	gandeitu	gandeitu					
godeitu	godeitu	godeitu					
gorasi	gorasi	goraſi					
gorastu	gorastu	goraſtu					
gandeitua	gandeitua	gandeitua					
godeitua	godeitua	godeitua					
gorasia	gorasia	goraſia					
gorastua	gorastua	goraſtua					
gandeitaria	gandeitaria	gandeitaria					
godeitaria	godeitaria	godeitaria					
gorastaria	gorastaria	goraſtaria					
gandeitzailea	gandeitzallea	gandeitzallea					
godeitzailea	godeitzallea	godeitzallea					
gorastailea	gorastallea	goraſtallea					
egoki	egoqui	egoqui	egoki		egoki	egoki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=egoki
osgarria	osgarria	oſgarria					
deigarria	deigarria	deigarria	deigarri	deigarri	deigarri	deigarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=deigarri
larruak	larruac	larruac	larru		larru	larru	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=larru
narruak gantzutu	narruac gantzutu	narruac gantzutú					
ondu	ondu	ondú	ondu		ondu	ondu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ondu
gantzutuaz prestatu	gantzutuaz prestatu	gantzutuáz preſtatú					
eiagoratua	eiagoratua	eiagoratua					
deituaz	deituaz	deituaz					
otsez biribilatua	otsez biribillatua	otſez biribillatua					
bildua	bildua	bildua	bildu		bildu	bildu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bildu
izengaina	icengaña	icengaña	izengain	izengain		izengain	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=izengain
deizinoa	deicinoa	deicinoa	deizino				
izengoitia	icengoitia	icengoitia	izengoiti		izengoiti	izengoiti	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=izengoiti
plastatu	plastatu	plaſtatu					
plastatua	plastatua	plaſtatua				plastatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=plastatu
plastatu	plastatu	plaſtatu					
ondo	ondo	ondó	ondo		ondo	ondo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ondo
ongi	ongui	onguí	ongi		ongi	ongi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ongi
ederto	ederto	edertó	ederto				
ederki	ederqui	ederquí	ederki				
eerara	eerara	eérara					
ozta	ozta	ozta	ozta				
hurren	hurren	hurren	hurren		hurren	hurren	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=hurren
mastrikatu	mastricatu	maſtricatu	mastrikatu	mastrikatu	mastrikatu	mastrikatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mastrikatu
mastrikatua	mastricatua	maſtricatua	mastrikatu	mastrikatu	mastrikatu	mastrikatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mastrikatu
irozgarriak	irozgarriac	irozgarriac	irozgarri	irozgarri	irozgarri	irozgarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=irozgarri
abeak	abeac	abeac					
bordazaia	bordazaya	bordazaya					
bordazaina	bordazaina	bordazaina				bordazain	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bordazain
gurdigilea	gurdiguillea	gurdiguillea	gurdigile	gurdigile		gurdigile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gurdigile
gurdiak egitea	gurdiac eguitea	gurdiac eguitea					
beste lurrak lantzeko lanabesak prestatzea	beste lurrac lantzeco lanabesac prestatzea	beſte lurrac lantzeco lanabeſac preſtatzea					
prestamena	prestamena	preſtamena	prestamen	prestamen	prestamen	prestamen	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=prestamen
agindea	aguindea	aguindea	aginde	aginde		aginde	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aginde
gaztigua	gaztigua	gaztigua	gaztigu		gaztigu	gaztigu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gaztigu
prestatu	prestatu	preſtatu	prestatu		prestatu	prestatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=prestatu
prest iduki	prest iduqui	preſt iduqui					
euki	euqui	euqui			euki	euki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=euki
gertu euki	guertu euqui	guertu euqui					
prestatua	prestatua	preſtatua	prestatu		prestatu	prestatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=prestatu
prest	prest	preſt	prest				
gertu dagoana	guertu dagoana	guertú dagoana					
agin-	aguin-	aguin-					
garbitzailea	garbitzallea	garbitzallea	garbitzaile		garbitzaile	garbitzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=garbitzaile
zankotik	zancotic	zancotic					
aztaletik	aztaletic	aztaletic					
bernetik el	bernetic el	bernetic el					
itsatsi	itsatsi	itſatſi	itsatsi	itsatsi	itsatsi	itsatsi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=itsatsi
itxeki	ichequi	ichequi	itxeki				
zankotik	zancotic	zancotic					
&k	&c	&c					
eldua	eldua	eldua					
itsatsia	itsatsia	itſatſia	itsatsi	itsatsi	itsatsi	itsatsi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=itsatsi
itxekia	ichequia	ichequia	itxeki			itxeki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=itxeki
lur lantzako lanabesa	lur lantzaco lanabesa	lur lantzaco lanabeſa					
txaola	chaola	chaola	txaola	txaola			
etxola	echola	echola	etxola		etxola	etxola	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=etxola
nekatu	necatu	necatu	nekatu		nekatu	nekatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=nekatu
arikatu	aricatu	aricatu	arikatu				
aunatu	aunatu	aunatu			aunatu	aunatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aunatu
unatu	vnatu	vnatu	unatu		unatu	unatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=unatu
auno egin	auno eguin	auno eguin					
nekatua	necatua	necatua	nekatu		nekatu	nekatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=nekatu
irudin ederrez agertu	irudin ederrez aguertu	irudin ederréz aguertú					
irudin ederrekoa	irudin ederrecoa	irudin ederrecoa					
ikasartu	icasartu	icaſartu					
urrikitu	urriquitu	urriquitu	urrikitu		urrikitu	urrikitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urrikitu
damatu	damatu	damatu					
tristatu	tristatu	triſtatu	tristatu		tristatu	tristatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=tristatu
ikasartua	icasartua	icaſartua					
urrikitua	urriquitua	urriquitua	urrikitu		urrikitu	urrikitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urrikitu
damatua	damatua	damatua					
tristatua	tristatua	triſtatua	tristatu		tristatu	tristatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=tristatu
damuz	damuz	damuz					
urrikimenduz	urriquimenduz	urriquimenduz					
berantsi	beransi	beranſi					
beretsi	beretsi	beretſi					
berantsia	beransia	beranſia					
beretsia	beretsia	beretſia				beretsi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=beretsi
izurritu	izurritu	izurritu	izurritu	izurritu	izurritu	izurritu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=izurritu
izurriaz eritu	izurriaz eritu	izurriaz eritu					
gajotu	gajotu	gajotu					
izurritua	izurritua	izurritua	izurritu	izurritu	izurritu	izurritu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=izurritu
izurriaz eritua	izurriaz eritua	izurriaz eritua					
gajotua	gajotua	gajotua					
kirats	quirats	quiratſ	kirats		kirats	kirats	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=kirats
usaia ekarri	usaya ecarri	uſaya ecarri					
gogoz	gogoz	gogoz	gogoz				
gogotik naitu	gogotic naitu	gogotic naitu					
zerbaitez zaletu	cerbaitez zaletu	cerbaitez zaletu					
gogotik ohoreak naitzen ditu	gogotic ohoreac naitzen ditu	gogotic ohoreac naitzen ditu					
ohoreaz zaletzen da	ohoreaz zaletzen da	ohoreaz zaletzen da					
ohoreak nai ditu , ohoreen zale da	ohoreac nai ditu , ohoreen zale da	ohoreac nai ditu , ohoreen zale da					
gogotik naitua	gogotic naitua	gogotic naitua					
zaletua	zaletua	zaletua	zaletu		zaletu	zaletu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zaletu
naitagarria	naitagarria	naitagarria					
zalegarria	zalegarria	zalegarria	zalegarri	zalegarri		zalegarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zalegarri
gogoa	gogoa	gogoa	gogo		gogo	gogo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gogo
naia	naya	naya	naia				
gana	gana	ganá					
zalea	zalea	zalea	zale		zale	zale	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zale
trenpea	trempea	trempea	trenpe			trenpe	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=trenpe
janbidea	jambidea	jambidea				janbide	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=janbide
zalegilea	zaleguillea	zaleguillea				zalegile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zalegile
gangilea	ganguillea	ganguillea					
gogogilea	gogoguillea	gogoguillea					
kilikaria zalegarria	quilicaria zalegarria	quilicaria zalegarria					
astailarra	astaillarra	aſtaillarra	astailar	astailar			
errukitu	erruquitu	erruquitu	errukitu	errukitu	errukitu	errukitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=errukitu
kupidatu gupidetsi	cupidatu gupidetsi	cupidatu gupidetſi					
biotzukitu	biotzuquitu	biotzuquitu					
biotzberatu	biotzberatu	biotzberatu					
errukia	erruquia	erruquia	erruki		erruki	erruki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erruki
kupida	cupida	cupida					
izan	izan	izan	izan		izan	izan	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=izan
iduki	iduqui	iduqui					
euki	euqui	euqui			euki	euki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=euki
lotsabagea	lotsabaguea	lotſabaguea	lotsabage				
galddurra	galyurra	galyurra					
goiarea	goyarea	goyarea				goiare	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=goiare
gana	gana	gana					
gaia	gaia	gaia	gaia		gai	gai	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gai
tontorra	tontorra	tontorra	tontor	tontor	tontor	tontor	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=tontor
kokiloa erpina	coquilloa erpiña	coquilloa erpiña					
kukuiloa	cucuilloa	cucuilloa					
amontonar	amontonar	amontonar					
pilatua	pillatua	pillatua	pilatu	pilatu	pilatu	pilatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pilatu
gaztaina txigoliak	gaztaña chigoliac	gaztaña chigoliac					
txigolduak	chigolduac	chigolduac					
txigoldu	chigoldu	chigoldú					
bildu batu	bildu batu	bildu batu					
elkarganatu	elcarganatu	elcarganatu			elkarganatu	elkarganatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=elkarganatu
bildua	bildua	bildua	bildu		bildu	bildu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bildu
batua	batua	batua	batu		batu	batu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=batu
elkarganatua	elcarganatua	elcarganatua			elkarganatu	elkarganatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=elkarganatu
oinkasftu	oincasftu	oincaſftú					
oinkastua	oincastua	oincaſtuá				oinkastu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=oinkastu
oinkastaria	oincastaria	oincaſtaria					
zorian	zorian	zorian					
ozta	ozta	ozta	ozta				
tu	tu	tu	tu		tu	tu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=tu
iltzeko zorian dago	iltzeco zorian dago	iltzeco zorian dago					
ontzia galtzea	oncia galtzea	oncia galtzea					
ondatzea	ondatzea	ondatzea					
pisoia	pisoya	piſoyá				pisoi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pisoi
pisoitu	pisoytu	piſoytu					
pisoiaz kalkatu	pisoyaz calcatu	piſoyaz calcatu					
trinkatu	trincatu	trincatu	trinkatu	trinkatu	trinkatu	trinkatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=trinkatu
jo	jo	jo	jo		jo	jo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jo
estutu	estutu	eſtutu	estutu	estutu	estutu	estutu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=estutu
ertsi	ertsi	ertſi					
pisoitua	pisoitua	piſoitua				pisoitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pisoitu
aserratu	aserratu	aſerratu	aserratu				
aserretuaz sututzea	aserretuaz sututzea	aſerretuaz ſututzea					
aserratua	asserratua	aſſerratua	aserratu				
aserreaz su tua	asserreaz su tua	aſſerreaz ſu tua					
emagarria	emagarria	emagarria	emagarri		emagarri		
megingartria	meguingartria	meguingartria					
gozagarria	gozagarria	gozagarria	gozagarri		gozagarri	gozagarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gozagarri
ematzailea	ematzallea	ematzallea	ematzaile				
gozatzailea	gozatzallea	gozatzallea	gozatzaile	gozatzaile		gozatzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gozatzaile
emaatu	emaatu	emaatu					
gozatu	gozatu	gozatu	gozatu		gozatu	gozatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gozatu
maltsotu	malsotu	malſotu	maltsotu	maltsotu			
megindu	meguindu	meguindu					
samurtu	samurtu	ſamurtu	samurtu		samurtu	samurtu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=samurtu
emaatua	emaatua	emaatua					
gozatua	gozatua	gozatua	gozatu		gozatu	gozatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gozatu
&k	&c	&c					
oniritzi	oniritzi	oniritzi	oniritzi	oniritzi	oniritzi	oniritzi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=oniritzi
plaundu	plaundu	plaundu					
plaunegin	plauneguin	plauneguin					
lautu	lautu	lautú	lautu	lautu	lautu	lautu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lautu
berdindu	berdindu	berdindu	berdindu		berdindu	berdindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=berdindu
plaundua	plaundua	plaundua					
plaunegina	plauneguiña	plauneguiña					
lautua	lautua	lautua	lautu	lautu	lautu	lautu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lautu
berdindua	berdindua	berdindua	berdindu		berdindu	berdindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=berdindu
erori	erori	erori	erori		erori	erori	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erori
jauzi	jauzi	jauzi	jauzi		jauzi	jauzi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jauzi
goiberatu	goiberatu	goiberatu					
plantxar	planchar	planchar					
plastatua lerdatua	plastatua lerdatua	plaſtatua lerdatua					
dunduriatu	dunduriatu	dunduriatu	dunduriatu	dunduriatu			
olagaratu	olagaratu	olagaratú	olagaratu	olagaratu			
dunduriatua	dunduriatua	dunduriatua	dunduriatu	dunduriatu		dunduriatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=dunduriatu
olagaratua	olagaratua	olagaratuá	olagaratu	olagaratu		olagaratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=olagaratu
dunduria	dunduria	dunduria					
olagara	olagara	olagará	olagara	olagara			
egudeitzea	egudeitzea	egudeitzea					
eguotsa	eguotsa	eguotſa					
egudeitu	egudeitu	egudeitu					
eguotsegin	eguotseguin	eguotſeguin					
egudeitua	egudeitua	egudeitua					
eguotsegina	eguotseguiña	eguotſeguiña					
egokarria	egocarria	egocarria					
ifintea	ifiñtea	ifiñtea					
ibentea	ibentea	ibentea					
paratzea	paratzea	paratzea					
alderatu	alderatu	alderatu	alderatu		alderatu	alderatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=alderatu
alboratu	alboratu	alboratu			alboratu	alboratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=alboratu
urreratu	urreratu	urreratu			urreratu	urreratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urreratu
zerbaiten ondoan ifini , ibeni	cerbaiten ondoan ifiñi , ibeni	cerbaiten ondoan ifiñi , ibeni					
paratu	paratu	paratu	paratu		paratu	paratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=paratu
arretatu	arretatu	arretatu					
oartu	oartu	oartu					
arthatu	arthatu	arthatu					
isia	isia	iſia				isi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=isi
astua	astua	aſtua				astu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=astu
bernn-	bernn-	bernn-					
berungisakoa	berunguisacoa	berunguiſacoa					
berundu	berundu	berundu					
berunez sendotu	berunez sendotu	berunez ſendotu					
osatu	osatu	oſatu	osatu		osatu	osatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=osatu
berundua	berundua	berundua				berundu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=berundu
