arrandegi,arrandeguia
laguntza,laguntza
ondo,ondo
kontseilatu,conſellatú
kontseilatu,conſellatua
kontseilari,conſellaria
gertatu,guertatú
suertatu,ſuertatú
adartu,adartua
beldurtu,beldurtú
ikaratu,icaratú
izutu,izutu
erabaki,erabaquia
akordatu,acordatu
oroitu,oroitu
akordatu,acordatu
oroitu,oroitu
oroitu,oroitua
akordatu,acordatua
oroitza,oroitza
konpondu,compondu
maneatu,maneatu
itxi,ichi
estutu,eſtutu
izutu,izutu
itxi,ichia
estutu,eſtutua
izutu,izutua
izate,izatea
laburtu,laburtu
ebaki,ebaqui
laburtu,laburtua
ebaki,ebaqui
ebaki,ebaqui
makurtu,macurtu
makurtu,macurtua
estu,eſtú
larritu,larritua
estutu,eſtutua
larriagotu,larriagotu
etzauntza,etzauntza
usatu,uſatua
deitu,deitu
balio,balio
egin,eguin
izendatu,icendatu
izendatu,icendatua
garbitu,garbitua
zulatu,zulatu
zauritu,zauritu
zulatu,zulatua
zauritu,zauritua
erretze,erretzea
egile,eguillea
egiteko,eguitecoac
egintz,eguintzac
egile,eguillea
salatzaile,ſalatzallea
orduan,orduan
prestatu,preſtatu
apaindu,apaindu
prestatu,preſtatua
apaindu,apaindua
defendatzaile,defendatzallea
josi,joſia
prisa,priſſa
etorri,etorri
pilatu,pillatua
batu,batua
biribilatu,biribillatua
pilatzaile,pillatzallea
salatu,ſalatu
akusatu,acuſatu
salatu,ſalatua
akusatu,acuſatua
salatzaile,ſalatzallea
akusatzaile,acuſatzallea
salaketa,ſalaqueta
akusazio,acuſacioa
gidari,guidaria
aitzindari,aitzindaria
andere,andere
eder,ederra
edertu,edertua
txukun,chucuna
txukundu,chucundua
polit,polita
adar,adar
estali,eſtalia
ezkutatu,ezcutatua
aurreratu,aurreratu
urratu,urratu
aitzinatu,aitzinatu
aitzindu,aitzindu
aurreratu,aurreratua
aitzinatu,aitzinatua
aitzindu,aitzindua
zorroztu,zorroztu
zeken,cequen
koskatu,coſcatu
akastu,acaſtu
zuzendu,zucendua
afari,afaria
prestatu,preſtatu
konpondu,compondu
maneatu,maneatua
zuzentzaile,zuzentzallea
maneatzaile,maneatzalleá
apaindu,apaindú
apaindu,apaindua
trebatu,trebatú
trebatu,trebatua
arteztu,arteztú
trebatu,trebatú
niganatu,niganatu
nereganatu,nereganatu
neureganatu,neureganatu
hireganatu,hireganatu
niganatu,niganatua
osagarri,oſagarria
dirutu,dirutu
dirutu,dirutua
asmatu,aſmatu
aztiatu,aztiatú
igerri,iguerri
asmatzaile,aſmatzallea
azti,aztia
asmo,aſmoa
elkartu,elcartu
elkartu,elcartua
meneratu,meneratu
meneratu,meneratua
erabili,erabilli
administratu,adminiſtratua
erabili,erabillia
administratzaile,adminiſtratzallea
erabiltzaile,erabiltzallea
begirale,beguiralea
begiratze,beguiratzea
miragarri,miragarria
mirari,miraria
miretsi,miretſi
miretsi,miretſia
miresle,mireslea
ondo,ondó
ondu,ondu
obatu,obatu
ondu,ondua
obatu,obatua
gaztetasun,gaztetaſuna
gaixo,gaisyo
eri,eri
gaixotu,gaisyotu
eritu,eritu
gaizkitu,gaizquitu
euki,euquia
adoratu,adoratú
gurtu,gurtu
gur egin,gur eguin
adoratu,adoratua
adoragarri,adoragarria
gurgarri,gurgarria
loakartu,loacartú
loakartu,loacartua
sortu,ſortu
sortu,ſortua
apaindu,apaindú
edertu,edertú
eder,eder
apaindu,apaindua
edertu,edertua
eder,eder
galant,galant
apaintzaile,apaintzallea
eder,eder
apaingarri,apaingarria
edergarri,edergarria
ederragotu,ederragotu
apaingarri,apaingarri
edergarri,edergarri
irabazi,irabaci
erakarri,eracarri
bilatu,billatu
irabazi,irabacia
erakarri,eracarria
bilatu,billatu
ira,ira
ira,ira
erakargarri,eracargarria
ira,ira
aduana,aduaná
barruti,barrutia
lausengatu,lauſengatu
lausengatu,lauſengatua
lausengari,lauſengaria
lausengatzaile,lauſengatzallea
adulterio,adulterioa
nahasi,nahaſsi
gaztetu,gaztetua
erre,errea
sukartu,ſucartua
etorki,etorquia
arrotz,arrotzá
kanpoko,campocoa
etorrera,etorrera
atsekabe,atſecabea
etsai,etſaya
arerio,arerioa
arreta,arreta
arta,arta
sen,ſená
kontu,contua
abendu,abendua
dei,deya
izen,icena
arraia,arraia
arraitu,arraitu
gozatu,gozatu
famatu,famatuá
omendu,omendua
famatu,famatú
omendu,omendu
egile,eguillea
neke,nequeá
lan,laná
nekatu,necatu
jardun,jardun
ekin,equin
nekatu,necatua
egin,eguin
itsusitu,itſuſitu
itsusitu,itſuſitua
narriatu,narriatua
gogotsu,gogotſua
apaindu,apaindua
edertu,edertua
bizarra kendu,bizarra quendú
egin,eguin
kendu,quendua
bizargile,bizarguillea
iletsu,illetſua
emakumetu,emacumetu
emakumetu,emacumetua
gisa,guiſá
eutsi,eutſi
itsatsi,itſatſi
kako,cacoac
itsatsi,itſatſia
itsatsi,itſatſia
eltze,eltzea
irakin,iraquin
berotu,berotú
gartu,gartú
estutu,eſtutua
eman,eman
eman,emaná
emaile,emallea
amodio,amodioa
jaiera,jayera
zaletu,zaletú
laket izan,laquet izan
ederretsi,ederretſi
jaiera,jayera
ederretsi,ederretſia
jaiera,jaiera
zorroztu,zorroztú
zorroztu,zorroztua
zorrotzaile,zorrotzallea
ergel,erguelá
garbitu,garbitua
berezi,berecia
maneatzaile,maneatzallea
baieztu,bayeztú
baieztatu,bayeztatú
baieztu,bayeztuá
baieztatu,bayeztatua
baieztu,bayeztu
baietz,bayetzá
baiezko,bayezcoa
agertze,aguertzea
atsekabetu,atſecabetu
larritu,larritu
estutu,eſtutu
atsekabetu,atſecabetua
antsiatu,anſiatua
larritu,larritua
estutu,eſtutua
atsekabetu,atſecabetu
antsiatu,anſiatu
jaramon,jaramon
atsekabe,atſecabea
antsia,anſia
larri,larriá
estu,eſtuá
lantu,lantuá
lasaitu,laſaitu
lasai,laſai
lasaitu,laſaitua
lasai,laſai
ugari,ugaria
neurtu,neurtu
paratu,paratu
forru,forrua
azpiko,azpicoá
laido,laidoá
desohore,deſohorea
laidotu,laidotu
desohoratu,deſohoratú
laidotu,laidotua
desohoratu,deſohoratua
desohoragarri,deſohoragarria
aurka,aurcá
paratu,paratu
aurkeztu,aurqueztu
gisa,guiſá
itzuri,itzuri
makurtu,macurtu
lurreratu,lurreratu
isats,iſatſ
lurreratze,lurreratzea
ezkutatu,ezcutatua
lurreratu,lurreratuá
itsatsi,itſatſi
lotu,lotu
itsatsi,itſatſia
lotu,lotuá
zikoitz,cicoitza
itsatsi,itſatſi
lotu,lotu
zirikatu,ciricatu
zulatu,zulatu
zirikatu,ciricatua
zulatu,zulatua
estutu,eſtutu
agata,agata
ibili,ibilli
sartu,ſartu
ibili,ibilli
arin,ariña
biziagotu,viciagotú
arintasun,arintaſuna
lastertasun,laſtertaſuna
bizitasun,vicitaſuna
biziera,viciera
arin,arin
laster,laſter
bizi,vici
zain,zaiñac
makur,macurrá
makurtu,macurtua
kroka,croca
jarri,jarri
orain,orain
azti,aztia
asmatzaile,aſmatzallea
soro,ſoroac
soro,alorrac
agortu,agortua
idortu,idortua
abuztu,abuztua
uzta,uztá
txukatu,chucatú
txukatu,chucatua
txukun,chucuna
polit,politá
otzan,otzana
oniritzi,oniritzi
bat,bat
baiezko,bayezcoa
astundu,aſtundú
pisutu,piſutua
astundu,aſtundua
astungarri,aſtungarri
pisutu,piſutu
astundu,aſtundu
iraindu,iraindu
iraindu,iraindua
irain,irainá
kalte,caltea
zorigabe,zorigabeac
bildu,bildú
batu,batú
biribilatu,biribillatu
bildu,bilduá
batu,batuá
biribilatu,biribillatuá
talde,taldeá
pila,pillá
biltze,biltzea
erasotzaile,eraſotzallea
basati,baſatia
gazi,gaciá
mina,miñá
gazitasun,gacitaſuna
erauntsi,eraunſia
gesal,gueſalá
ur,ura
ureztatu,ureztatú
ureztatu,ureztatua
urdun,urduna
gesal,gueſalá
zingira,cinguirá
zale,zaleá
antsia,anſiá
larri,larriá
gose,goſea
zorrotz,zorrotzá
zirikatu,ciricatua
arrano,arranoa
mentu,mentuá
aitzin,aitzin
zulogile,zuloguillea
zulo,zuloa
zorroztu,zorroztu
estekatu,eſtecatu
estekatu,eſtecatua
or,orrá
or,or
ozpindu,ozpindua
kemen,quemena
gogoan jo,gogoan jo
gogoan jo,gogoan joa
itogarri,itogarria
ito,itó
ito,itoá
ito,itó
urkatu,urcatú
urkatu,urcatuá
urkatu,urcatú
horma,horma
kutxa,cucha
idortu,idortu
ondu,ondú
idortu,idortua
ondu,onduá
lurrindu,lurrindu
lurrindu,lurrindua
iratze,iratzea
une,unea
erausi,erauſi
egurastu,eguraſtú
mastrikatu,maſtricatu
mastrikatu,maſtricatua
baratxuri,barachuria
biska,viſcá
zuhurtu,zuhurtu
zuhur,zuhurra
zuhurtu,zuhurtua
doitu,doitú
doitu,doituá
konpondu,compondua
araudun,arauduna
egiune,eguiunea
hil,hillá
hil,hilá
laudorio,laudorioa
alabatu,alabatu
laudatu,laudatu
alabatu,alabatua
alabatu,alabatu
alabastro,alabaſtro
lantza,lanza
arrabio,arrabioa
balaku,balacua
balakatu,balacatu
balakatu,balacatu
maitatu,maitatú
tu,tua
balakari,balacaria
balaku,balacua
apaindu,apaindua
alanbre,alambrea
alanbre,alambrea
or,orá
abere,aberea
basati,baſatia
luzetu,lucetu
luzatu,luzatu
luzetu,lucetuá
luzatu,luzatua
largatu,largatua
luzetu,lucetu
luzatu,luzatu
aurreratu,aurreratu
aitzinatu,áitzinatu
lurreratze,lurreratzea
albaka,albacá
iragarri,iragarria
sare,ſarea
karkaba,carcaba
zuri,zuria
legen,leguená
basta,baſtá
alper,alperra
txalmatu,chalmatú
txalma,chalmá
paratu,paratú
txalmatu,chalmatua
bastatu,baſtatua
txalma,chalmá
bildu,bildua
azal,azalá
basta,baſtá
ekintza,equintza
itxi,ichia
sartu,ſartu
sartu,ſartua
zuritasun,zuritaſuna
alborada,alborada
borbor,borbora
asaldatu,aſaldatú
asaldatu,aſaldatua
berotu,berotú
poztu,poztú
poztu,poztua
boztu,boztua
albiriste,albiriſtea
albiriste,albiriſtea
albiste,albiſtea
estaltzaile,eſtaltzallea
estalgile,eſtalguillea
ibili,ibilli
alkate,alcatea
barruti,barrutia
zurrun,zurruná
basarto,baſartoa
atzitu,atzitu
iritxi,irichi
iritxi,irichia
erdietsi,erdietſia
iltze,iltzé
kakodun,cacoduna
kako,cacoa
artelatz,artelatza
estali,eſtali
azaldu,azaldu
estali,eſtalia
azaldu,azaldua
leinu,leinua
etorki,etorquia
oliontzi,olioncia
kisketa,quiſqueta
maratila,maratilla
ego,egoac
atseden,atſeden
ikaratu,icaratu
beldurtu,beldurtu
izutu,izutú
muga,muga
mugarri,mugarria
aldeko,aldecoa
mugako,mugacoa
alegeratu,alegueratu
poztu,poztú
boztu,boztú
alegeratu,alegueratu
alegeratu,alegueratua
poztu,poztua
atsegin,atſeguiña
poz,pozá
bozkario,bozcárioa
urrutiratu,urrutiratu
urrundu,urrundu
urruti,urruti
urrun,urrun
egorri,egorri
urrutiratu,urrutiratu
urrundu,urrundu
urrutiratu,urrutiratua
urrundu,urrundua
lela,lela
mau,mauac
alaitu,alaitu
pizkortu,pizcortu
indartu,indartu
alaitu,alaitua
pizkortu,pizcortua
indartu,indartua
egin,eguin
alertze,alercea
artatsu,artatſua
esnatu,eſnatua
ernari,ernaria
leundu,leundua
isats,iſatſa
buztinola,buztinola
eltzegile,eltzeguillea
ateratzaile,ateratzallea
orratz,orratza
zerria,cerriá
jantzi,janciá
zakuto,zacutoa
alportxa,alporcha
maleta,maletá
azoka,azocá
batu,batú
batu,batua
ai,ayá
trebatu,trebatu
lotu,lotua
erantsi,eranſiá
arindu,arindua
laster,laſterrá
arindu,arindua
abere,aberea
bazkatu,bazcatua
janaritu,janaritua
bazka,bazca
janari,janaria
txukun,chucuná
eder,ederrá
polit,politá
apaindu,apaindua
leundu,leundu
leundu,leundua
zerrenda,cerrendá
lista,liſtá
prestatu,preſtatu
maneatu,maneatu
arindu,arindu
arindu,arindua
gozatu,gozatua
atsedendu,atſedendua
atseden,atſedena
erreten,erretena
jantzi,janci
jantzi,jancia
berdindu,berdindú
