arrandegi,arrandeguia
ostatu,oſtatua
eman,eman
ostatu,oſtatua
gela,guelá
ganbara,gambara
tema,tema
paratu,paratu
ezarri,ezarri
apaindu,apaindu
edertu,edertu
apaindu,apaindua
edertu,edertua
irazi,iraci
zornatu,zornatu
zornatu,zornatua
egorri,egorria
mandatari,mandataria
edertasun,edertaſuna
sostengatu,ſoſtengatu
sostengatu,ſoſtengatua
irozgarri,irozgarria
estimagarri,eſtimagarria
prezatu,prezatua
amodio,amodio
ikasi,icaſia
itsatsi,itſatſia
iruditu,iruditu
irudipen,irudipena
irudikor,irudicorra
premiatu,premiatua
premia,premia
ikasi,icaſi
prentsatu,prenſatu
prentsa,prenſa
trinkatu,trincatua
prestatu,preſtatu
prestatu,preſtatua
prestamen,preſtamena
presa,preſá
lasterkatu,laſtercatua
permatu,permatua
estu,eſtu
estu,eſtu
estugarri,eſtugarriac
lokarri,locarriac
estu,eſtu
estutu,eſtutu
estu,eſtu
estutu,eſtutua
zikoitz,cicoitza
zeken,cequena
estura,eſtura
estutasun,eſtutaſuna
lasterka,laſterca
laster,laſter
saletxe,ſalechea
arditegi,arditeguia
estekatu,eſtecatu
estekatu,eſtecatua
prestamen,preſtamena
gertuera,guertuera
prestatu,preſtatu
maneatu,maneatu
prestatu,preſtatua
maneatu,maneatua
meneratu,meneratu
jabetu,jabetú
beretu,beretu
zeuretu,zeuretu
beretu,beretu
probetxu,provechua
probetxatu,provechatu
probetxatu,provechatu
probetxatu,provechatua
zintzotasun,cintzotaſuna
tema,temá
zorroztu,zorroztu
zorroztu,zorroztua
ukitu,uquitu
zuzendu,zucendua
niganatu,niganatu
gureganatu,gureganatu
zeuenganatu,zeuenganatu
itsatsi,itſatſi
itsatsi,itſatſia
eraso,eraſó
ukabilkatu,ucabilcatua
garbigarri,garbigarria
garbitu,garbitu
garbitu,garbitua
txukatu,chucatú
bukatu,bucatú
gogaitu,gogaitua
estutu,eſtutua
pil,pillac
batu,batu
gidatu,guidatu
etzauntza,etzauntza
barrunbe,barrumbea
urtar,urtarra
urdun,urduná
baketu,baquetu
ematu,ematu
gozatu,gozatu
ematu,ematua
urre,urre
zilar,cillar
ipar,iparra
urtsu,urtſuá
aldare,aldarea
zigar,cigarrá
armiarma,armiarma
atzaparkatu,atzaparcatu
atzaparka egin,atzaparca eguin
goldatu,goldatu
erabaki,erabaquia
jaso,jaſó
altxatu,alchatu
goratu,goratu
goititu,goititu
destolestu,deſtoleſtu
apaindu,apaindú
edertu,edertú
arboladi,arboladia
goragale,goragalea
sartu,ſartu
sartu,ſartua
sukartu,ſucartua
izeki,icequi
sukartu,ſucartú
izeki,icequia
gartu,gartua
izeki,icequia
nekez,nequez
nekez,nequeza
gaitz,gaitza
idortu,idortua
ondu,ondua
zatar,zatarrá
ekaitz,ecaitzá
faro,faroá
ote,otea
otadi,otadia
argitu,arguitua
argitzaile,arguitzallea
argitu,arguitu
idortasun,idortaſuna
idor,idorrá
maisu,maiſua
armadura,armadurá
eskeleto,eſqueleto
armategi,armateguia
astindu,aſtindua
arrakad,arracadac
errotu,errotú
sustraitu,ſuſtraitú
erro,erróac
errotu,errotua
sustraitu,ſuſtraitua
errotu,errotu
bakandu,bacandú
irazi,iraci
atera,aterá
ateratu,ateratu
kanporatu,camporatu
arrasatu,arraſatu
arrasatu,arraſatua
arrastatu,arraſtatu
apaindu,apaindu
edertu,edertu
apaindu,apaindua
atzapartu,atzapartu
bildu,bildu
atzapartu,atzapartua
erakarri,eracarri
sor,ſorra
sor,ſor
laster,laſterra
lasterkari,laſtercaria
urduritu,urduritua
arrantzatu,arrantzatu
pizkortu,pizcortu
indartu,indartu
karraspio,carraſpioa
atzeratu,atzeratu
gibeleratu,guibeleratu
atzeratu,atzeratua
arautu,arautu
arautu,arautu
arautu,arautua
zaletu,zaletu
zaletu,zaletua
eseri,eſeri
eraso,eraſo
erauntsi,eraunſi
oratu,oratú
eraso,eraſoá
erauntsi,eraunſia
apain,apaiña
urriki,urriquia
urrikimendu,urriquimendua
damu,damua
garbai,garbaya
urrikitu,urriquitu
damutu,damutu
urriki,urriqui
damu izan,damu izan
urrikitu,urriquitua
damutu,damutua
estutu,eſtutu
erabaki,erabaquia
jaso,jaſó
altxatu,alchatu
goiti,goiti
gora,gorá
goiti,goiti
etorrera,etórrera
itsaski,itſaſquia
arrimatu,arrimatu
alderatu,alderatu
arrimatu,arrimatua
alderatu,alderatua
utzi,utzi
largatu,largatu
utzi,utzia
largatu,largatua
arrimatu,arrimatu
alderatu,alderatu
batu,batú
bildu,bildú
arrimu,arrimua
irozgarri,irozgarria
zokoratu,zocoratu
baztertu,baztertu
bazterreratu,bazterreratu
zokoratu,zocoratua
aberetu,aberetú
egin,eguin
aberetu,aberetua
belaunikatu,belaunicatu
belaunikatu,belaunicatua
erru,errua
bota,bota
botatu,botatu
oldartu,oldartu
botatu,botatua
landu,landu
goldatu,goldatu
arropa,arropa
erreka,errecá
zimur,cimurra
izur,izurra
zimurtu,cimurtú
zimurtu,cimurtu
zimurtu,cimurtua
arteko,arteco
aska,aſca
aske,aſquea
artista,artiſtá
ilar,illarra
astigar,aſtigarrá
eraile,erallea
leinu,leiñua
igo,igo
igoera,igoéra
igande,igándea
jainkotiar,jaincotiarra
maneatu,maneatu
edertu,edertú
apain,apaina
garbitasun,garbitaſuna
asiar,aſiarra
kirten,quirtena
itsatsi,itſatſi
matazatu,matazatua
begitarte,beguitartea
laztasun,laztaſuna
garraztasun,garraztaſuna
lazkeria,lazqueria
garrazkeria,garrazqueria
latz,latzá
erroi,erroya
muker,muquerra
nazkatu,nazcatú
nardatu,nardatú
zikinkeria,ciquinqueria
likiskeria,liquiſqueria
nazkagarri,nazcagarria
nardagarri,nardagarria
urde,urdé
zikin,ciquin
likits,liquits
erregarri,erregarria
erreki,errequia
gezi,guecia
tira,tirá
josi,joſi
erasotzaile,eraſotzallea
eraso,eraſo
erauntsi,eraunſi
eraso,eraſoa
erauntsi,eraunſia
junta,junta
erre,erre
erre,erreá
eraile,erallea
ondoren,ondorena
ondorengo,ondorengoa
garbatu,garbatú
berriztatu,berriztatu
berriz,berriz
berriztatu,berriztatua
sendotu,ſendotu
seguru,ſeguru
irudi,irudia
antz,anza
irudi,irudia
elkarganatu,elcarganatu
zerratoki,cerratoquia
zerrauts,cerrautſa
zerratu,cerratu
zurtu,zurtu
zuhurtu,zuhurtu
zentzatu,zentzatu
zoritu,zoritu
zurtu,zurtua
ekintza,equinza
zuzendu,zucendu
destatu,deſtatu
zuzendu,zucendua
destatu,deſtatua
erran,erran
kondar,condarrá
zentzatu,centzatú
antz,anzá
irudi,irudiá
antz,anzá
lagundu,lagundu
lagundu,lagundua
galgarri,galgarria
lurreratze,lurreratzea
soildu,ſoildua
lurreratu,lurreratua
desegin,deſeguiña
galdu,galduá
gerrari,guerrariac
eguzkitu,eguzquitu
galdu,galdu
eguzkitu,eguzquitua
galdu,galdua
ageri,agueria
agertu,aguertua
soma,ſomá
agertu,aguertu
agertu,aguertua
ikaratu,icaratua
ikaratu,icaratu
ilundu,illundu
miragarri,miragarria
gortu,gortu
gai,gaya
ildaskatu,ildaſcatu
izartxo,izarchoa
estutu,eſtutu
izar,izarra
amarru,amarrua
amarrutsu,amarrutſua
arratz,arratza
atabal,atabalá
eskale,eſcale
eraso,eraſó
erauntsi,eraunſi
ilaun,illauná
gelbera,guelberá
lokarri,locarriac
lokarri,locarria
bildura,bildurá
lotura,lotura
estekadura,eſtecadura
ase,aſea
lotsatu,lotſatu
begiratu,beguiratu
egoki,egoqui
eraso,eraſoa
erauntsi,eraunſia
lotu,lotu
lotu,lotu
lotu,lotua
nabar,navarra
atera,atera
leku,lecua
zatitu,zatitu
puskatu,puſcatu
zipotz,cipotza
tu,tu
eman,eman
lokatza,locatza
bete,bete
trinkatu,trincatu
lokaztu,locaztu
lokaztu,locaztua
apaindu,apaindú
apaindu,apaindua
apainketa,apainqueta
apain,apaina
nazkatu,nazcatua
ikaratu,icaratu
izutu,izutu
ikaratu,icaratua
girotu,guirotu
arotu,arotu
girotu,guirotua
arotu,arotua
arreta,árreta
begirune,beguirunea
euki,euqui
egin,eguin
jarrai,jarrai
jarraitu,jarraitu
orri,orri
bai,bay
artatsu,artatſua
artatsu,artatſua
gogortu,gogortua
sortu,ſortua
lurreratu,lurreratu
desegin,deſeguin
lurreratu,lurreratua
lurreratze,lurreratzea
gogortu,gogortu
gogortu,gogortua
urre,urre
zilar,cillar
bildu,bildua
gorde,gordea
eradoski,eradoſqui
titi,titia
ugatz,ugatza
eradoski,eradoſquia
eraztu,eraztua
apaindu,apaindua
eraztu,eraztua
zorroztu,zorroztu
zorroztu,zorroztua
begietsi,beguietſi
zelatatu,celatatu
begietsi,beguietſia
zelatatu,celatatua
zelatari,celataria
piztu,piztu
biztu,viztu
piztu,piztua
biztu,viztua
espartzu,eſparzua
lokaztu,locaztu
lokaztu,locaztua
sortu,ſortua
fits,fitſa
tontotu,tontotu
tontotu,tontotua
tormentatu,tormentatu
tormentatu,tormentatua
pozoitu,pozoitu
pozoi,pozoya
pozoitu,pozoitua
estutu,eſtutu
larritu,larritu
larritu,larritua
ibili,ibilli
erakarri,eracarri
erakarri,eracarria
ibili,ibilli
atrapatu,atrapatu
atrapatu,atrapatua
atzitu,atzitua
atera,aterá
atzeratu,atzeratu
gibeleratu,guibeleratu
atzeratu,atzeratua
atzeratu,atzeratu
atzerapen,atzerapena
eskas,eſcaſá
ezkel,ezquela
ausart,auſartá
atrebitu,atrebitua
ausartzia,auſarciá
atrebentzia,atrebencia
antsiatu,anſiatu
larritu,larritu
antsiatu,anſiatua
gogoratu,gogoratu
odolgiro,odolguiroa
ideki,idequi
batu,batu
biribilatu,biribillatu
biltze,biltzea
bildu,bildua
urduritu,urduritu
urduritu,urduritua
sumindu,ſumindu
sumindu,ſumindua
atun,atuna
urduritu,urduritua
ile,illea
ebaki,ebaqui
ebaki,ebaquia
aditze,aditzea
aditzaile,aditzalleac
erpin,erpiñá
intziri,inciria
marrubi,marrubia
berretu,berretuá
batu,batu
bildu,bildú
biribilatu,biribillatu
batu,batua
ere,ere
urreztatu,urreztatua
laztasun,laztaſuna
dorpetasun,dorpetaſuna
hildura,hildurá
latz,latzá
ego,egoa
eragile,eraguillea
jabetasun,jabetaſuna
menderatu,menderatu
menderatu,menderatu
ur,urac
eraso,eraſoa
erauntsi,eraunſia
mantal,mantala
aurreratu,aurreratu
aitzinatu,aitzinatu
aurreratu,aurreratua
aitzinatu,aitzinatua
eraso,eraſó
erauntsi,eraunſi
aurrerapen,aurrerapena
gutizia,guticia
lukurari,lucuraria
txar,charra
alderatu,alderatu
alboratu,alboratu
urtu,urtu
alderatu,alderatua
aguretu,aguretu
aguretu,aguretua
ur,urrá
urreratu,urreratu
zimurtu,cimurtú
urreratu,urrératua
olo,oloa
bide,bideac
konpondu,compondu
elkartu,elcartu
bateratu,bateratu
gainditu,gainditu
eragin,eraguin
gainditu,gainditu
eragin,eraguin
gainditu,gainditua
eragin,eraguiña
mentura,mentura
menturatu,menturatu
menturatu,menturatua
lotsatu,lotſatu
ahalketu,ahalquetu
lotsatu,lotſatua
lotsatu,lotſatu
jakingarri,jaquingarria
bekaitz,becaitza
bekaiztu,becaiztua
oker,oquer
okertu,oquertua
landertu,landertú
doilortu,dollortu
landertu,landertua
ozpindu,ozpindu
ozpindu,ozpindua
abisatu,aviſatú
gaztigatu,gaztigatu
abisatu,aviſatua
gaztigatu,gaztigatua
biztu,biztu
piztu,piztu
biztu,biztua
zelatari,celataria
zelatatu,celatatu
erabaki,erabaquia
faro,faroac
atzo,atzó
laguntza,laguntza
laguntzaile,laguntzallea
lagundu,lagundu
lagundu,lagundu
erasan,eraſan
barau,baraua
aitzur,aitzurra
aitzurkada,aitzurcada
limoi,limoi
itxi,ichia
urduritu,urduritua
asti,aſti
azotatu,azotatú
asti,aſtia
azote,azotea
sabai,ſabai
azukre,azucrea
trabes,trabeſa
zeio,ceyoa
sufre,ſufrea
urdin,urdiña
urdindu,urdindu
urdindu,urdindua
pitxer,picherra
trabes,trabeſa
zeio,ceyoa
sufre,ſufrea
urdin,urdiña
urdindu,urdindu
urdindu,urdindua
pitxer,picherra
tonto,tonto
bare,barea
bete,beté
zikindu,ciquindu
zikindu,ciquindua
tripontzi,triponcia
jale,jalea
edale,edalea
bakar,bacara
erausi,erauſi
hitzontzikeria,hitzontziqueria
berritsukeria,berritſuqueria
baldan,baldana
bertzun,berzuna
zain,zayna
dantzari,dantzaria
dantzatu,dantzatu
egin,eguin
dantza,dantzá
pisatu,piſatu
saiakera,ſayaquera
zuresi,zureſia
lor,lorá
balada,baladá
balazo,balazoa
motel,motela
moteldu,moteldu
baranda,barandá
pendiz,pendiza
balkoi,balcoya
elbarri,elbarria
elbarri,elbarri
tu,tua
alper,alperra
nagi,naguia
laido,laidoa
liskar,liſcarra
laidotu,laidotu
liskartu,liſcartu
laidotu,laidotua
liskartu,liſcartua
urin,uriña
balekume,balecumea
baleazale,baleazalea
zorro,zorroa
zaku,zacua
beltz,beltza
otar,otarra
saski,ſaſquia
kiebra,quiebra
tropa,tropa
bandatu,bandatu
bandera,bandera
banderatxo,banderachoa
kanporatu,camporatua
bandolera,bandolera
buzkantz,buzcantzá
bandurria,bandurria
oturuntza,oturunza
mainatu,maiñatua
busti,buſtia
bataio,batayoa
bataiatu,batayatu
bataiatu,batayatua
izendatu,icendatu
zotz,zotzac
nahasi,nahaſi
nahasi,nahaſſi
bizargile,bizarguillea
bizar,bizar
bizartsu,bizartſua
egin,eguin
lubaki,lubaquia
bera,bera
etxola,echola
puskatu,puſcatu
zatitu,zatitu
itxi,ichi
itxi,ichia
eskobatu,eſcobatu
eskobatu,eſcobatua
barrera,barrera
muga,muga
mugarri,mugarria
barrera,barrera
barrika,barrica
barrikada,barricada
sabel,ſabelá
barril,barrila
etxadi,echadia
lokatza,locatza
lupetza,lupetza
buztin,buztiña
buztin,buztina
buztintsu,buztintſua
aska,áſca
euskaldun,euſcaldunac
jauregi,jaureguia
eliza,eliza
nazkatu,nazcatu
narriatu,narriatu
lanabes,lanabeſa
azpildura,azpildura
bastoi,baſtoya
gudatu,gudatu
nahasi,nahaſi
eresi,ereſi
erautsi,erautſi
txarkeria,charqueria
ardandegi,ardandeguia
serorategi,ſerorateguia
esan,eſan
erabaki,erabaqui
zorioneko,zorionecoa
sendagarri,ſendagarriac
edale,edalea
edan,edaná
edari,edaria
zekor,cecorrá
larru,larrua
gerrari,guerraria
gerrari,guerraria
zitalkeria,citalqueria
zital,citala
doilor,dollorra
beila,bellá
edertasun,edertaſuna
eder,ederrá
polit,politá
galant,galantá
ezkur,ezcurra
iltze,iltze
bedeinkatu,bedeincatu
benedikatu,benedicatu
bedeinkatu,bedeincatua
ontzaile,ontzallea
ongile,onguillea
zital,citala
orro,orroa
abere,aberea
aberekeria,aberequeria
musukatu,muſucatu
betun,betuna
liburutegi,liburuteguia
zain,zaina
ondasun,ondaſunac
zoriontasun,zoriontaſunac
ondasun,ondaſunac
zorioneko,zorioneco
zorioneko,zorionecoa
bionbo,biomboa
birla,birlá
txano,chanoa
arbaso,arbaſo
amabisaba,amabiſaba
arbaso,arbaſo
aitabisaba,aitabiſaba
ezkel,ezquela
toki,toquia
bizar,bizarrá
mantar,mantarrá
zuri,zuria
zuri,zuria
jomuga,jomugá
arma,arma
garbi,garbia
zuritasun,zuritaſuna
zalantzatu,zalanzatu
dardaratu,dardaratu
bera,beraá
bigun,biguna
samur,ſamurrá
biguntasun,biguntaſuna
samurtasun,ſamurtaſuna
emetasun,emetaſuna
malgutasun,malgutaſuna
zuritzaile,zuritzallea
zuritu,zuritu
zuritu,zuritua
ubel,ubelá
arnegatu,arnegatú
arnegu,arnegua
arnegari,arnegaria
ingurutu,ingurutu
brida,bridá
sargori,ſargoria
upategi,upateguia
olata,olatá
opil,opillá
birika,birica
gobada,gobadá
zain,zaina
bela,bela
ontasun,ontaſuna
bonete,bonetea
hitzontzi,hitzontzi
berritsu,berritſu
borbor,borbora
bordatu,bordatua
bordari,bordaria
jiratu,giratu
ipar,iparra
borla,borla
jiratu,giratu
jiratu,giratua
borratu,borratu
borratu,borratua
jasa,jasá
erauntsi,erauntſia
eraso,eraſoa
ekaitz,ecaitza
borraja,borraja
arkume,arcumea
astakeria,aſtaqueria
asto,aſtoa
baso,baſoa
iltze,iltze
txoro,choroa
botika,boticá
edaritegi,edariteguia
botin,botiñac
ospil,oſpillá
bolea,bolea
ezpeleta,ezpeletá
arin,ariña
unai,unaya
besakada,beſacada
besaldi,beſaldia
frak,fracac
prak,pracac
galtz,galtzac
brageta,bragueta
eltzagor,eltzagorra
listari,liſtaria
orro,orro
marruma,marruma
brasa,braſa
ibi,ibi
besakada,beſacada
besaldi,beſaldia
lili,liliac
gar,garac
laburtasun,laburtaſuna
laburketa,laburqueta
brebiario,breviarioa
brinko,brincoa
agindu,aguindu
brindis,brindiſa
erru,errua
indartsu,indartſua
errudun,erruduna
izpi,izpia
brontze,broncea
gozakaitz,gozacaitzá
brokel,broquela
irten,irten
urten,urten
jario,jario
kondar,condarra
garbitu,garbitu
neke,nequea
nekaldi,necaldia
nekatu,necatua
leundu,leundu
labaindu,labaindu
leundu,leundua
labaindu,labaindua
latz,latzá
aberekeria,aberequeria
sorginkeria,ſorguinqueria
itsasorratz,itſaſorratza
zelatatu,celatatu
asmatu,aſmatu
igerri,iguerri
bazka,bazca
janari,janaria
ongi,ongui
ondo,ondo
egun,egun
idi,idia
idisko,idiſcoa
maia,maya
maina,maina
bufoikeria,bufoiqueria
zibota,cibota
zain,zaina
zorrotz,zorrotza
sai,ſaya
sodomita,ſodomita
bulda,buldá
iskanbila,iſcambilla
iskanbila,iſcambilla
irakin,iraquin
anpulu,ampulua
marrega,marrega
burla,burlá
iseka,iſecá
trufa,trufa
isekari,iſecaria
burlatu,burlatu
isekatu,iſecatu
musikatu,muſicatu
trufatu,trufatu
bilatzaile,billatzallea
bilatu,billatua
lan,laná
ezpeleta,ezpeleta
ezpeleta,ezpeleta
zamari,zamaria
doi,doia
oso,oſoa
zalduntza,zalduntza
zalditegi,zalditegui
zaldun,zalduna
ezkutari,ezcutaria
zaldi,zaldia
zaldun,zaldunac
zaldizko,zaldizcoac
talde,taldea
zerrendatu,cerrendatu
sendotu,ſendotu
buruko,burucoa
adats,adatſá
ile,illea
bilo,biloa
iletsu,illetſua
bilotsu,bilotſua
buru,burua
buru,burua
buru,burua
buruzagi,buruzaguia
bururatu,bururatu
burukada,burucada
txilar,chillarra
antxume,anchumea
aker,aquerra
erreten,erretena
muturreko,muturrecoa
kate,cateá
erorkor,erorcorra
jauzkor,jauzcorra
lapa,lapá
seinkeria,ſeinqueria
erorkor,erorcorra
jauzkor,jauzcorra
kafe,cafeá
kafeontzi,cafeontzia
pila,pillá
mokordo,mocordoa
kakeri,caqueria
pikorta,picorta
kare,carea
kuia,cuiá
kalabaza,calabaza
bisuts,biſutſa
ziega,ciegá
arranpa,arrampa
lazeria,laceria
ondiko,ondicoa
igerri,iguerria
asmatu,aſmatua
jautsi,jautſi
burezur,burezurra
orpo,orpoa
galdatu,galdatua
pertz,pertza
maskelu,maſquelua
pertzada,pertzada
berotegi,beroteguia
berotu,berotu
berotu,berotu
berotu,berotua
beroaldi,beroaldia
sukar,ſucarrá
bero,beroá
sukardun,ſucarduna
karobi,carobia
buru,burua
astun,aſtuná
egoki,egoquia
ilundu,illundua
ilun,illuna
gautu,gautua
arrastu,arraſtua
entzun,enzun
isildu,iſildua
kalezale,calezalea
aitzakia,aitzaquia
beroki,beroqui
zor,zorrá
galtzerdi,galtzerdiac
galtzada,galtzada
sendotu,ſendotua
kakeri,caqueria
lagun,laguna
gamelu,gamelua
bidatzaile,bidatzallea
bidaldi,bidaldia
gurdibide,gurdibidea
errebelatu,errebelatu
atorra,atorra
etzauntza,etzauntza
ezkila,ezquilla
zoli,zolia
ziur,ciurra
kanpo,campoa
landa,landa
txerri,cherri
dendatu,dendatu
begiratu,beguiratu
arraun,arraun
zizeilu,cicellua
saski,ſaſquia
ataurre,ataurrea
kantziler,cancillera
kandela,candela
serora,ſerora
zutargi,zutarguia
kaiku,caicua
balakari,balacaria
lausengari,lauſengaria
kanela,canela
bernazaki,bernazaquia
zangar,zangarra
kanonizatu,canonizatu
kanonizatu,canonizatua
neke,nequea
nekatu,necatu
unatu,unatu
nekatu,necatu
nekatu,necatua
unatu,unatua
nekagarri,necagarria
unagarri,unagarria
gogaikarri,gogaicarria
kanta,cantá
kantatu,cantatua
pegar,pegarra
kanta,cantá
upategi,upateguia
arpoi,arpoya
kantari,cantaria
kalamu,calamua
kanaberadi,cañaberadia
sare,ſarea
kanoi,canoyac
osagile,oſaguillea
buruzagi,buruzaguia
ebasle,ebáslea
ontzi,ontzi
elkargo,elcargoa
buru,burua
buruzagi,buruzaguia
beltzuri,beltzuria
karabela,carabelá
karabina,carabina
margo,margoa
margo,margoa
garesti,gareſtí
ikatz,icatza
ikaztegi,icazteguia
ikazkin,icazquiña
algara,algará
kartzelari,carcelaria
zeden,cedena
pipi,pipia
kardatu,cardatu
kardatu,cardatua
kuprits,cupritſa
more,morea
betatu,betatu
betatu,betatua
betatu,betatu
euki,euqui
gabe,gabea
kargatu,cargatu
kargatu,cargatua
zamatu,zamatua
segail,ſegallá
amultsu,amultſua
maite,maitea
onetsi,onetſia
oniritzi,oniritzia
txarrantxa,charrancha
astindu,aſtindu
astindu,aſtindua
larru,larru
barru,barrua
okela,oquela
oilaki,ollaquia
artalde,artaldea
aria,ariá
epaile,epaillea
epaile,epallea
sentikor,ſenticorra
lausengari,lauſengaria
arotz,arotza
bide,bidea
burubide,burubidea
zuzenbide,zucembidea
orgabide,orgabidea
masail,maſalla
matrail,matralla
matela,matela
usteldu,uſteldu
galdu,galdu
karroza,carroza
zimurtu,cimurtua
karta,cartá
karter,carterá
kartoi,cartoya
gartu,gartu
ametz,ametzá
etzauntza,etzauntza
ezkongai,ezcongaya
ezkontza,ezcontzá
azal,azalá
baserri,baſerria
etxalde,echaldea
etxondo,echondoa
borda,bordá
lan,lanac
alde,alde
burutaldi,burutaldia
izar,izar
garbi,garbia
ustekabeko,uſtecabecoa
ustekabe,uſtecabea
itxura,ichura
begitarte,beguitartea
lista,liſtá
atask,ataſcac
ekaitz,ecaitzac
lauso,lauſoa
jakinbide,jaquinbidea
kadira,cadirá
jarleku,jarlecua
ugari,ugari
kausatu,cauſatu
sortu,ſortu
erakarri,eracarri
egin,eguin
izeki,icequia
irazeki,iracequia
gatibu,gatibua
zuhur,zuhurra
aitzurtu,aitzurtu
aitzurtu,aitzurtua
kaxa,caxa
eraiki,eraiqui
isilkor,iſilcorra
garagar,garagarrá
bazkatu,bazcatua
tipula,tipula
legatz,legatz
baia,baya
zetabe,cetabea
zedro,cedroa
satitsu,ſatitſua
itsutu,itſutú
itsutu,itſutú
itsutasun,itſutaſuna
bepuru,bepurua
zelata,celata
ospatu,oſpatu
ospatu,oſpatua
lakari,lacaria
laka,lacá
zerutar,cerutarra
ezkongai,ezcongaya
garaitza,garaitza
afari,afaria
afaltegi,afalteguia
lupetza,lupetza
zingira,cinguirá
erraustegi,errauſteguia
errauts,errautſa
txingar,chingarra
txingartu,chingartu
zekale,cecalea
seintzain,ſeinzaina
gerriko,guerricoa
zingila,cinguilla
zerebelo,cerebelo
alde,aldea
albo,alboa
ur,urrá
aldeko,aldecoa
alboko,albocoa
murriztu,murriztu
murritu,murritu
murritu,murritua
egite,eguitea
gerezi,guereci
gerezi,guerecia
txermen,chermena
zero,ceroa
sarraila,ſarrallá
itxiera,ichiera
sarrailagile,ſarrallaguillea
zerratu,cerratu
zarratu,zarratu
gogortu,gogortu
itxi,ichia
zerratu,cerratua
txirri,chirria
gudu,guduá
liskar,liscarrá
lepo,lepoa
idun,iduna
baratu,baratu
geratu,gueratu
gelditu,guelditu
utzi,utzi
otarregile,otarreguillea
txatar,chatarrá
txatxar,chachara
txukun,chucuna
araldi,araldia
gizatxar,guizacharra
zatitu,zatitu
puskatu,puſcatu
upa,upa
txalupa,chalupa
moldakaitz,moldacaitza
zaparrada,zaparrada
lupetza,lupetza
txapin,chapiná
ebaki,ebaqui
murriztu,murriztu
ur,ura
murgildu,murguildu
murgildu,murguildua
berritsu,berritſua
hitzontzi,hitzontzia
arraia,arráya
endibia,endibia
puska,puſca
txilibitu,chilibitua
txistulari,chiſtularia
ezerezkeria,ecerezqueria
txerritoki,cherritoquia
buztanikara,buztanicara
txingar,chingarra
inar,inarra
joan,joan
txistatu,chiſtatu
txiste,chiſtea
txokolate,chocolatea
kopeta,copetá
belaunezur,belaunezurra
arkume,arcume
eri,eriá
giristino,guiriſtiñoa
gizatxar,guizacharra
zanpatu,zampatu
zapaldu,zapaldu
bedaur,bedaurra
edoski,edoſqui
txupatu,chupatu
edoski,edoſquia
txupatu,chupatua
zorri,zorri
isekari,iſecaria
su,ſuac
jakintza,jaquintza
jakintsu,jaquintſua
zain,zayna
makurtu,macurtu
zimel,cimelá
zimendu,cimenduá
kanela,canela
gerriko,guerricoa
artizar,artizarra
zinta,cinta
gerri,guerriá
nekosta,necoſtá
inguru,ingurua
inguratu,inguratu
inguru,ingurua
inguratu,inguratu
sentsu,ſentſuá
aldeko,aldecoa
ingurutu,ingurutu
zutargi,zutarguia
aran,arana
okaran,ocarana
zikindu,ciquindua
beltxarga,belchargá
deitu,deituá
zitara,citara
auhen,auhena
deitore,deitorea
argitu,arguitu
argitu,arguitua
garbitu,garbitu
zoli,zolia
klaustro,clauſtroa
iltzatu,iltzatu
itzatu,itzatu
iltzatu,iltzatua
giltza,guiltzá
gako,gacoa
iltze,ilzea
abadetar,abadetarra
apaizgo,apaizgoá
apaiz,apaizá
abade,abadea
apaiztu,apaiztu
abadetu,abadetu
menpeko,menpecoa
karkaba,carcaba
eragile,eraguillea
gatzatu,gatzatu
gatzatu,gatzatua
murritu,murritu
marratu,marratu
murritu,murritua
marratu,marratua
beldurtu,beldurtu
estalki,eſtalquia
barrunbe,barrumbea
teilatupe,tellatupea
estali,eſtalia
kobratzaile,cobratzallea
kobrantza,cobranza
kobratu,cobratu
koberatu,coberatu
kobratu,cobratua
koberatu,coberatua
egosi,egoſia
ostikatu,oſticatu
egosi,egoſia
elikatu,elicatua
zukutu,zucutua
txerri,cherria
zerria,cerria
urde,urdea
sukalde,ſucaldea
gutiziatu,guticiatu
gutiziatu,guticiatua
irrizkin,irrizquina
ukondo,ucondoa
galeper,galeperra
pospolin,poſpoliná
adinkide,adinquidea
kide,quidea
kofia,cofia
anaikide,anaiquidea
biltzaile,biltzallea
bildu,bildua
idoro,idoroa
arkitu,arquitua
tolestu,toleſtua
izengoiti,icengoitia
kokote,cocoteá
ondore,ondorea
ondoreko,ondorecoa
ondorengo,ondorengoa
luzoker,luzoquerrá
aza,azá
kolazio,colacioa
gobada,gobadá
irazi,iraci
koltxoi,colchoya
bildumatu,bildumatu
kolera,colera
eseki,eſequi
eseki,eſequia
mukurutu,mucurutu
murrutu,murrutu
bildumatu,bildumatu
letagin,letaguina
mukuru,mucurua
kokatu,cocatú
kokatu,cocatua
kaiku,caicuá
apatz,apatza
maizter,maizterrá
gorri,gorria
gorritu,gorritu
koloreztatu,coloreztatu
koloreztatu,coloreztatu
zabu,zabua
koloma,coloma
habe,habea
amakide,amaquidea
emagin,emaguiña
erbinude,erbiñudea
agindu,aguindu
aldiri,aldiria
aldiritar,aldiritarra
gudu,gudua
gudari,gudaria
gudatu,gudatu
gudatu,gudatua
komedia,comedia
begirune,beguirunea
bitarte,bitartea
jale,jalea
tripontzi,triponcia
zintzurkoi,cintzurcoya
azaldu,azaldu
azaldu,azaldua
