qid	egileLabel	wd
Q756	Gidor Bilbao	Q12258485
Q1314	Gratien Adema	Q12258728
Q1376	Gregorio Arrue	Q12258729
Q1349	Gregorio Mujika	Q12258736
Q1367	Gurutz Sarasola	Q12258802
Q566	Ivan Igartua	Q12259943
Q1400	Jakes Oihenart	Q12260155
Q1421	Jean-Baptiste Larralde	Q12260169
Q1414	Jean-Baptiste Kamusarri	Q12260292
Q578	Jean Larrasket	Q12260310
Q1411	Jean Pierre Arbelbide	Q12260315
Q1357	Jean Baptiste Artxu	Q12260409
Q1370	Joan Batista Azkonagerre	Q12260411
Q1417	Juan Bautista Gamiz Ruiz de Oteo	Q12260413
Q1390	Bordel	Q12260418
Q1403	Joanes Haraneder	Q12260431
Q1397	Joanes Otxalde	Q12260434
Q1418	Joannes Haranburu	Q12260438
Q1299	Jose Antonio Uriarte	Q12260591
Q522	Jose Francisco Aizkibel Epelde	Q12260618
Q1380	Jose Ignazio Arana	Q12260633
Q1348	Jose Cruz Etxeberria	Q12260644
Q1325	Jose Manuel Etxeita	Q12260670
Q507	Jose Mari Etxebarria Lejarraga	Q12260677
Q1300	Joseba Zubimendi	Q12260769
Q1407	Jose Antonio Mikelestorena	Q12260785
Q1328	Juan Arana	Q12260945
Q1382	Juan Bautista Bilbao	Q12260951
Q1360	Joan Beriain	Q12260957
Q1359	Udarregi	Q12261001
Q1317	Juan Jose Mogel	Q12261009
Q1354	Jean-Martin Hiribarren	Q12261051
Q472	Julen Arriolabengoa	Q12261106
Q1398	Jusef Egiategi	Q12261166
Q1412	Klaudio Otaegi	Q12261507
Q1308	Kristobal Harizmendi	Q12261649
Q1358	Leon Leon	Q12262189
Q1383	Léonce Goihetxe	Q12262192
Q780	Luis Baraiazarra	Q12262654
Q1416	Manuel Antonio Antia	Q12262966
Q760	Manu Sota	Q12263001
Q759	Marijane Minaberri	Q12263083
Q1410	Martin Iturbe Balda	Q12263155
Q1366	Martin Maister	Q12263162
Q1392	Manex Etxamendi	Q12263296
Q783	Mikel Morris	Q12263626
Q1301	Mixel Elizanburu	Q12263722
Q1405	Michel Churio	Q12263735
Q1316	Domingo Azantza	Q12263782
Q1352	Nikolas Zubia	Q12264861
Q1369	Pablo Fermin Irigarai	Q12265428
Q540	Patri Urkizu	Q12265588
Q1342	Paulo Zamarripa	Q12265639
Q1387	Pedro Astarloa	Q12265664
Q1330	Pedro Migel Urruzuno	Q12265686
Q1355	Pedro Prudenzio Hualde Maio	Q12265694
Q1368	Pepe Artola	Q12265747
Q1389	Piarres Etxeberri Dorre	Q12265925
Q1374	Piarres Ibarrart	Q12265927
Q1324	Pierre Argainaratz	Q12265948
Q502	Pierre Urte	Q12265967
Q1288	Pillipa Zugatzaga	Q12265983
Q562	Plazido Muxika	Q12266041
Q1320	Ramos Azkarate	Q12266469
Q1322	Salvat Monho	Q12266821
Q490	Silvain Pouvreau	Q12267411
Q1415	Tomas Agirre	Q12268045
Q491	Voltoire	Q12268917
Q467	Xabier Artola Zubillaga	Q12269005
Q1345	Xenpelar	Q12269074
Q576	Francisco Javier Arraiza	Q14090982
Q469	Iñaki Alegria Loinaz	Q16517758
Q1302	Jean Baptiste Constantin	Q16517789
Q556	Oskar Reichmann	Q18339939
Q552	Jon Ortiz de Urbina	Q20582522
Q458	Fleury de Lécluse	Q21544603
Q1307	Arnauld François Maitie	Q23816883
Q546	Sylviane Granger	Q26923739
Q561	Juan Fernández Amador de los Ríos	Q28654432
Q526	Ana Etxaide	Q30044734
Q778	Gotzon Aurrekoetxea Olabarri	Q45781758
Q549	Sven-Göran Malmgren	Q48964222
Q569	Kepa Sarasola Gabiola	Q50177430
Q1305	Jean-Baptiste Althabe	Q51456894
Q523	Georg August Friedrich Goldmann	Q55123025
Q567	Victor Pierre Dubarat	Q55772720
Q512	Juan Oñatibia	Q56000318
Q461	Igor Leturia	Q57083734
Q572	Xabier Arregi Iparragirre	Q57083968
Q571	Eneko Agirre	Q57400796
Q1346	Jose Mendiage	Q57657334
Q478	David Lindemann	Q57694630
Q499	Elena Martinez de Madina Salazar	Q58096983
Q784	Txomin Solabarrieta	Q63214132
Q544	Stefan Evert	Q65312439
Q463	Antton Gurrutxaga Hernaiz	Q65659267
Q1413	Federiko Garralda	Q76854672
Q535	Joan Perotxegi	Q77238970
Q518	Luis Astigarraga Ugarte	Q84518294
Q574	Xabier Alberdi Lonbide	Q87111593
Q489	Lluïsa Gràcia	Q93387367
Q564	Klara Ceberio	Q95979318
Q470	Itziar Aduriz Agirre	Q102040060
Q460	Xabier Saralegi Urizar	Q105668997
Q462	Eli Pociello Irigoyen	Q105669149
Q570	Mikel Lersundi Ayestaran	Q105669165
Q468	Izaskun Aldezabal Roteta	Q105669199
Q758	Manuel Michelena Iguaran	Q106557627
Q568	Carmen Llamas-Sáiz	Q107296591
Q471	Ruben Urizar Enbeita	Q107851251
Q465	Jose Mari Arriola Egurrola	Q107903609
Q779	Rikardo Badiola Uriarte	Q107976519
Q781	Juan Luis Goikoetxea Arrieta	Q107976521
Q550	Martin Gellerstam	Q109280408
Q548	Lena Rogström	Q109389788
Q579	Christian Rohrer	Q112427898
Q545	Magali Paquot	Q112468737
Q485	Josu Zulaika Hernández	Q112474037
Q466	Nerea Ezeiza	Q113578318
Q459	Iñaki San Vicente Roncal	Q113578669
Q777	Jon Aurre	Q115590638
Q580	André Tournier	Q116871787
Q1306	Aranbillaga	Q132857544
