authorname	Wikidata_Qid	MLV_Qid
Bizenta Mogel	Q11705052	Q1419
Arturo Kanpion	Q2865943	Q1420
"Jean Baptiste Larralde - ""Bordaxuri"""	Q12260169	Q1421
Resurreccion Maria Azkue	Q3109903	Q475
Silvain Pouvreau	Q12267411	Q490
Voltoire	Q12268917	Q491
Arnaud Oihenart	Q2863280	Q495
Manuel Larramendi	Q4890298	Q498
Pedro Antonio Añibarro	Q4890107	Q504
Juan Ignazio Iztueta	Q9015632	Q505
Juan Antonio Mogel	Q3321878	Q508
Piarres Lafitte	Q3138345	Q509
Agosti Xaho	Q2871561	Q516
Pierre Lhande	Q3385966	Q517
Sabino Arana Goiri	Q332663	Q530
Wentworth Webster	Q3567291	Q538
Anonimoa		Q1422
Bertrand Goienetxe		Q1423
Emanuel Intxauspe		Q1424
Frai Bartolome		Q1425
Franzisko Goñi		Q1426
Ignazio K. Nuñez Arizmendi		Q1427
Jean Pierre Harispe		Q1428
Jean Pierre Xabalgoiti		Q1429
Jean Robin		Q1430
Kandido Basabe	Q81619422	Q1332
