item	izenburua	egile_izena	bertsioa	testu_orria	kodea
Q1695	Euskeraren berri onak	Agustin Kardaberaz	Q1694	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazBerrionak/TEI	KardaberazBerrionak
Q1775	Kristabaren bizitza (1. arg.)	Agustin Kardaberaz	Q1774	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazKristabaI/TEI	KardaberazKristabaI
Q1847	Justuen Ispillu argia	Agustin Kardaberaz	Q1846	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazIspillu/TEI	KardaberazIspillu
Q1877	Deboziño batzuk	Agustin Kardaberaz	Q1876	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazDebozino/TEI	KardaberazDebozino
Q1755	Aphezak soldado	Arnaut Abadia	Q1754	https://monumenta.wikibase.cloud/wiki/Testua:AbbadieAphezak/TEI	AbbadieAphezak
Q1669	San Benoaten bizitzea	Bazilio Joanategi	Q1668	https://monumenta.wikibase.cloud/wiki/Testua:JohanategiBenoat/TEI	JohanategiBenoat
Q1765	Ama euskeriaren liburu kantaria	Felipe Arrese Beitia	Q1764	https://monumenta.wikibase.cloud/wiki/Testua:ArreseBeitiaKantaria/TEI	ArreseBeitiaKantaria
Q1805	Josetxo	Jose Manuel Etxeita	Q1804	https://monumenta.wikibase.cloud/wiki/Testua:EtxeitaJosetxo/TEI	EtxeitaJosetxo
Q1841	Sermoiak-II	Juan Mateo Zabala	Q1840	https://monumenta.wikibase.cloud/wiki/Testua:ZabalaSermoiakII/TEI	ZabalaSermoiakII
Q1861	Fábulas en dialecto vizcaino	Juan Mateo Zabala	Q1860	https://monumenta.wikibase.cloud/wiki/Testua:ZabalaAlegiak/TEI	ZabalaAlegiak
Q1819	Testamentu Berriko Kondaira	Francisco Ignacio Lardizabal	Q1818	https://monumenta.wikibase.cloud/wiki/Testua:LardizabalBerriko/TEI	LardizabalBerriko
Q1825	Giristinoki bizitzeko eta hiltzeko moldea	André Baratziart	Q1824	https://monumenta.wikibase.cloud/wiki/Testua:BaraziartMeditazione/TEI	BaraziartMeditazione
Q1867	Andredena Mariaren imitazionea	Alexandre Mihura	Q1866	https://monumenta.wikibase.cloud/wiki/Testua:MihuraImitazionea/TEI	MihuraImitazionea
Q1869	Maietzeko illa	Gregorio Arrue	Q1868	https://monumenta.wikibase.cloud/wiki/Testua:ArrueGIlla/TEI	ArrueGIlla
Q1873	Patxiko Txerren	Antero Apaolaza	Q1872	https://monumenta.wikibase.cloud/wiki/Testua:ApaolazaTxerren/TEI	ApaolazaTxerren
Q1887	Kristau berri-ekarlea	Juan Antonio Ubillos	Q1886	https://monumenta.wikibase.cloud/wiki/Testua:UbillosEkarlea/TEI	UbillosEkarlea
Q1763	Irakasdearen eskugarria	Anonimoa	Q1762	https://monumenta.wikibase.cloud/wiki/Testua:AnonimIrakasdea/TEI	AnonimIrakasdea
Q1833	Ruth-en liburua Llodio-ko euskeran	Anonimoa	Q1832	https://monumenta.wikibase.cloud/wiki/Testua:AnonimRuthLlodio/TEI	AnonimRuthLlodio
Q1835	Kristiñau doktrinia - Laudio	Anonimoa	Q1834	https://monumenta.wikibase.cloud/wiki/Testua:AnonimKristi/TEI	AnonimKristi
Q1789	Marexalen liburia	Bertrand Goienetxe	Q1788	https://monumenta.wikibase.cloud/wiki/Testua:GoienetxeMarexal/TEI	GoienetxeMarexal
Q1769	Maria birjinaren hilabetia	Emanuel Intxauspe	Q1768	https://monumenta.wikibase.cloud/wiki/Testua:IntxauspeHilabetia/TEI	IntxauspeHilabetia
Q1689	Jaungoikoaren amar agindubeetako azkeneko bosteen ikasikizunak	Frai Bartolome	Q1688	https://monumenta.wikibase.cloud/wiki/Testua:FraiAzkeneko/TEI	FraiAzkeneko
Q1711	Koplak	Jean Robin	Q1710	https://monumenta.wikibase.cloud/wiki/Testua:RobinKoplak/TEI	RobinKoplak
Q1725	Doktrina kristiana	Nikolas Zubia	Q1724	https://monumenta.wikibase.cloud/wiki/Testua:ZubiaDoktrina/TEI	ZubiaDoktrina
Q1727	Txindor-egadak	Alejandro Bilbao	Q1726	https://monumenta.wikibase.cloud/wiki/Testua:MaruriTxindorEgadak/TEI	MaruriTxindorEgadak
Q1733	Montebideoko berriak	Jean-Martin Hiribarren	Q1732	https://monumenta.wikibase.cloud/wiki/Testua:HiribarrenMontebideo/TEI	HiribarrenMontebideo
Q1735	Kristiaiñaren Doktrinaren Introduzionia	Pedro Prudenzio Hualde Maio	Q1734	https://monumenta.wikibase.cloud/wiki/Testua:HualdeDoktrina/TEI	HualdeDoktrina
Q1809	Gore Jeinaren Ebanjelio Saintiua	Pedro Prudenzio Hualde Maio	Q1808	https://monumenta.wikibase.cloud/wiki/Testua:HualdeGore/TEI	HualdeGore
Q1739	Dotrina kristiana	Esteve Materra	Q1738	https://monumenta.wikibase.cloud/wiki/Testua:MaterreDotrina/TEI	MaterreDotrina
Q1747	Beste zenbait itzulpen	Jean Baptiste Artxu	Q1746	https://monumenta.wikibase.cloud/wiki/Testua:ArxuBonaparte/TEI	ArxuBonaparte
Q1781	La Fontainaren Aleghia berheziak neurt-hitzez	Jean Baptiste Artxu	Q1780	https://monumenta.wikibase.cloud/wiki/Testua:ArxuAlhegiak/TEI	ArxuAlhegiak
Q1749	Jesu-Kristoren imitazionea	Leon Leon	Q1748	https://monumenta.wikibase.cloud/wiki/Testua:LeonImitazionea/TEI	LeonImitazionea
Q1757	Tratazen da nola enzun bear den meza	Joan Beriain	Q1756	https://monumenta.wikibase.cloud/wiki/Testua:BeriainMeza/TEI	BeriainMeza
Q1875	Dotrina kristioarena euskaras	Joan Beriain	Q1874	https://monumenta.wikibase.cloud/wiki/Testua:BeriainDotrina/TEI	BeriainDotrina
Q1759	Dotrina Kistianea	Bartolome Olaetxea	Q1758	https://monumenta.wikibase.cloud/wiki/Testua:OlaetxeaDotrina/TEI	OlaetxeaDotrina
Q1767	Euskal dialogoak	Agustin Iturriaga	Q1766	https://monumenta.wikibase.cloud/wiki/Testua:IturriagaDialogoak/TEI	IturriagaDialogoak
Q1771	Bertso guztiak	Bilintx	Q1770	https://monumenta.wikibase.cloud/wiki/Testua:Bilintx/TEI	Bilintx
Q1785	Bigarrengo abarrak	Ebaristo Bustintza	Q1784	https://monumenta.wikibase.cloud/wiki/Testua:KirikinoBigarren/TEI	KirikinoBigarren
Q1865	Edo geuk edo iñok ez	Ebaristo Bustintza	Q1864	https://monumenta.wikibase.cloud/wiki/Testua:KirikinoEdoGeuk/TEI	KirikinoEdoGeuk
Q1787	Jesü-Kristen imitazionia	Martin Maister	Q1786	https://monumenta.wikibase.cloud/wiki/Testua:MaisterImitazionia/TEI	MaisterImitazionia
Q1801	Poemak	Gurutz Sarasola	Q1800	https://monumenta.wikibase.cloud/wiki/Testua:LotsatiPoemak/TEI	LotsatiPoemak
Q1811	Motxa erriyan	Pepe Artola	Q1810	https://monumenta.wikibase.cloud/wiki/Testua:ArtolaPMotxa/TEI	ArtolaPMotxa
Q1813	Nafarroatik	Pablo Fermin Irigarai	Q1812	https://monumenta.wikibase.cloud/wiki/Testua:LarrekoNafar/TEI	LarrekoNafar
Q1823	Lekukotasuna	Pablo Fermin Irigarai	Q1822	https://monumenta.wikibase.cloud/wiki/Testua:LarrekoLekuko/TEI	LarrekoLekuko
Q1817	Atheka gaitzeko oihartzunak	Joan Batista Azkonagerre	Q1816	https://monumenta.wikibase.cloud/wiki/Testua:DakonagerreAtheka/TEI	DakonagerreAtheka
Q1575	Ejerzizioak-I	Agustin Kardaberaz	Q1574	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazEjerzizioakI/TEI	KardaberazEjerzizioakI
Q1599	Senar emazte santuak	Agustin Kardaberaz	Q1598	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazSenarEmazte/TEI	KardaberazSenarEmazte
Q1651	Ejerzizioak-III	Agustin Kardaberaz	Q1650	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazOndoiltzen/TEI	KardaberazOndoiltzen
Q1577	Kantikak eta neurtitzak	Gratien Adema	Q1576	https://monumenta.wikibase.cloud/wiki/Testua:AdemaKantikak/TEI	AdemaKantikak
Q1585	Eskualdun pelegrinaren bidaltzailea	Gratien Adema	Q1584	https://monumenta.wikibase.cloud/wiki/Testua:AdemaPelegrin/TEI	AdemaPelegrin
Q1579	Laborarier	Arnaut Abadia	Q1578	https://monumenta.wikibase.cloud/wiki/Testua:AbbadieLaborarier/TEI	AbbadieLaborarier
Q1581	Laborarien abisua	Domingo Azantza	Q1580	https://monumenta.wikibase.cloud/wiki/Testua:DasanzaAbisua/TEI	DasanzaAbisua
Q1587	Baserritar nekezaleentzako eskolia	Juan Jose Mogel	Q1586	https://monumenta.wikibase.cloud/wiki/Testua:MogelJJEskolia/TEI	MogelJJEskolia
Q1597	Arraldea	Nemesio Etxaniz	Q1596	https://monumenta.wikibase.cloud/wiki/Testua:EtxanizArraldea/TEI	EtxanizArraldea
Q1603	Galtzaundi eta beste bertso asko	Ramos Azkarate	Q1602	https://monumenta.wikibase.cloud/wiki/Testua:AzkarateGaltzaundi/TEI	AzkarateGaltzaundi
Q1605	Sainduen bizitzea	Bazilio Joanategi	Q1604	https://monumenta.wikibase.cloud/wiki/Testua:JoanategiSainduen/TEI	JoanategiSainduen
Q1607	Olerkiak	Salvat Monho	Q1606	https://monumenta.wikibase.cloud/wiki/Testua:MonhoOlerkiak/TEI	MonhoOlerkiak
