authorname,name_recon,wikidata
"Pedro Agerre - ""Axular""",Pedro Axular,Q2874829
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Joakin Lizarraga,Joakin Lizarraga,Q4856112
Joseba Zubimendi,Joseba Zubimendi,Q12260769
Paulo Zamarripa,Paulo Zamarripa,Q12265639
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Frai Bartolome,Frai Bartolomeo,Q7780
Etiene Lapeire,Etienne Lapeyre,Q12257331
Jean Hiriart Urruti,Jean Hiriart Urruti,Q4890926
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
"Luis Jauregi - ""Jautarkol""",Luis Jauregi,Q4890116
Jose Antonio Uriarte,Jose Antonio Uriarte,Q12260591
Xenpelar,Xenpelar,Q12269074
Xabier Lizardi,Jose Mari Agirre,Q3757000
Jose Mendiage,Jose Mendiage,Q57657334
Jose Mari Iparragirre,Jose Maria Iparragirre,Q3186448
Jose Kruz Etxeberria,Jose Cruz Etxeberria,Q12260644
Jean Robin,Jean Robin,
Gregorio Mujika,Gregorio Mujika,Q12258736
Augustin Anabitarte,Augustin Anabitarte,Q12254472
"Jean Elizalde - ""Zerbitzari""",Jean Elizalde,Q3175862
Domingo Agirre,Domingo Agirre,Q3068808
Jean Barbier,Jean Barbier,Q3170595
Jose Antonio Uriarte,Jose Antonio Uriarte,Q12260591
Nikolas Zubia,Nikolas Zubia,Q12264861
"Alejandro Bilbao - ""Erramun Maruri""",Alejandro Bilbao,Q12253145
Jean Baptiste Althabe,Jean-Baptiste Althabe,Q51456894
Jean Baptiste Constantin,Jean Baptiste Constantin,Q16517789
Jean Martin Hiribarren,Jean-Martin Hiribarren,Q12261051
Pedro Prudenzio Hualde Maio,Pedro Prudenzio Hualde Maio,Q12265694
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Estebe Materre,Estebe Materre,
"Nikolas Ormaetxea - ""Orixe""",Nikolas Ormaetxea,Q3356420
Bernard Larregi,Bernard Larregi,Q12255114
"Estepan Urkiaga - ""Lauaxeta""",Estepan Urkiaga,Q4891594
Jean Baptiste Arxu,Jean Baptiste Artxu,Q12260409
Leon Leon,Leon Leon,
Udarregi,Udarregi,Q12261001
Paulo Zamarripa,Paulo Zamarripa,Q12265639
Arnaud Abbadie,Arnaud Abbadie,
Juan Beriain,Joan Beriain,Q12260957
Bartolome Olaetxea,Bartolome Olaetxea,Q12254805
Jean Pierre Duvoisin,Jean Duvoisin,Q3169265
Anonimoa,Anonimoa,
Felipe Arrese Beitia,Felipe Arrese Beitia,Q3752448
Agustin Paskual Iturriaga,Agustin Iturriaga,Q12252871
Emanuel Intxauspe,Emanuel Intxauspe,
Bilintx,Bilintx,Q4890200
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
Pedro Migel Urruzuno,Pedro Migel Urruzuno,Q12265686
"Estepan Urkiaga - ""Lauaxeta""",Estepan Urkiaga,Q4891594
Jean Baptiste Arxu,Jean Baptiste Artxu,Q12260409
Beñat Mardo,BeÃ±at Mardo,
"Ebaristo Bustintza - ""Kirikiño""",Ebaristo Bustintza,Q4890270
Martin Maister,Martin Maister,Q12263162
Bertrand Goienetxe,Bertrand Goienetxe,
Resurreccion Maria Azkue,Resurreccion Maria Azkue,Q3109903
Jose Antonio Uriarte,Jose Antonio Uriarte,Q12260591
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Pedro Migel Urruzuno,Pedro Migel Urruzuno,Q12265686
Domingo Agirre,Domingo Agirre,Q3068808
"Gurutz Sarasola - ""Lotsati""","Gurutz Sarasola - ""Lotsati""",
Domingo Agirre,Domingo Agirre,Q3068808
Jose Manuel Etxeita,Jose Manuel Etxeita,Q12260670
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Pedro Prudenzio Hualde Maio,Pedro Prudenzio Hualde Maio,Q12265694
Pepe Artola,Pepe Artola,Q12265747
"Pablo Fermin Irigarai - ""Larreko""","Pablo Fermin Irigarai - ""Larreko""",
Silvain Pouvreau,Silvain Pouvreau,Q12267411
Jean Baptiste Daskonagerre,Joan Batista Azkonagerre,Q12260411
Francisco Ignacio Lardizabal,Francisco Ignacio Lardizabal,Q8962397
Joakin Lizarraga,Joakin Lizarraga,Q4856112
"Pablo Fermin Irigarai - ""Larreko""","Pablo Fermin Irigarai - ""Larreko""",
Andre Baraziart,André Baratziart,Q12253505
Emeterio Arrese,Emeterio Arrese,Q11919124
Joanes Leizarraga,Joanes Leizarraga,Q2746075
"Jean Elizalde - ""Zerbitzari""",Jean Elizalde,Q3175862
Anonimoa,Anonimoa,
Anonimoa,Anonimoa,
Jean Baptiste Elizanburu,Jean-Baptiste Elizanburu,Q4890163
Pedro Migel Urruzuno,Pedro Migel Urruzuno,Q12265686
Juan Mateo Zabala,Juan Mateo Zabala,Q11929319
Jean Hiriart Urruti,Jean Hiriart Urruti,Q4890926
Juan Antonio Mogel,Juan Antonio Mogel,Q3321878
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
Xabier Lizardi,Jose Mari Agirre,Q3757000
Joakin Lizarraga,Joakin Lizarraga,Q4856112
Piarres Ibarrart,Piarres Ibarrart,Q12265927
Antonio Arruti,Antonio Arruti,Q12253643
Sebastian Mendiburu,Sebastian Mendiburu,Q11947956
Resurreccion Maria Azkue,Resurreccion Maria Azkue,Q3109903
Juan Mateo Zabala,Juan Mateo Zabala,Q11929319
Joanes Leizarraga,Joanes Leizarraga,Q2746075
"Ebaristo Bustintza - ""Kirikiño""",Ebaristo Bustintza,Q4890270
Alexander Mihura,Alexandre Mihura,Q12253162
Gregorio Arrue,Gregorio Arrue,Q12258729
Paulo Zamarripa,Paulo Zamarripa,Q12265639
Antero Apaolaza,Antero Apaolaza,Q12253616
Juan Beriain,Joan Beriain,Q12260957
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
