LAR_LEMMA_EGOKITUA	ANCHORTEXT	ANCHORLINK	EUS_CANDIDATES
descortezador	descortezador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descortezador	desazaldaria, desgalaztaria
descortezadura	descortezadura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descortezadura	desazaldea, desgalaztea
descortezar	descortezar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descortezar	desazaldu, desgalaztu
descortezado	descortezado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descortezado	desazaldua, &c
descosedura	descosedura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descosedura	deyjosturá
descoser	descoser	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descoser	deyjosi, josia ascatu
descosido	descosido	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descosido	deyjosia, esquerguero jan, edo edan, ur-
descosidamente	descosidamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descosidamente	esquergueró
descostillar	descostillar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descostillar	sayesbaguetu, sayescaiztu
descostillado	descostillado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descostillado	saye@sbaguetua, sayetsac autsia
descostrar	descostrar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descostrar	deslacaztu, deszacartu, lacazguetu, zacarguetu
descostrado	descostrado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descostrado	lacazguetua, deslacaztua, &c
descostumbre	descostumbre	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descostumbre	oitubaguea
descoyuntamiento	descoyuntamiento	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descoyuntamiento	guiltzaguea, locazurguea
descoyuntar	descoyuntar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descoyuntar	guiltzaguetu, locazurguetu
descoyuntado	descoyuntado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descoyuntado	guiltzaguetua, &c, @
descrecer	descrecer	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descrecer	desaci, desaunditu, chiquitu, chumetu
descrecimiento	descrecimiento	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descrecimiento	desacitea, desgueia, desandigoa, chiquiera
descredito	descredito	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descredito	desmenandea
descreencia	descreencia	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descreencia	siñisguea, dessinestea
descreer	descreer	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descreer	siñisguetu, dessinistu, dessinistatu, deysinetsi
descreido	descreido	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descreido	desrsinistua, &c
descreido	descreido2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descreido2	siñisguea, dessinistua, &c
descriar	descriar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descriar	desaci, desacitu
describir	describir	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#describir	ciazaldu
descrito	descrito	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descrito	ciazaldua
descripcion	descripcion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descripcion	ciazaldea
descriptivo	descriptivo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descriptivo	ciazalduna
descruzar	descruzar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descruzar	desgurutzetu
descuajar	descuajar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descuajar	ciaguetu, desciatu, desgatzatu
descuajado	descuajado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descuajado	ciaguetua, desciatua, &c
descubiertamente	descubiertamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descubiertamente	aguerian, aguerrian, estalgueró, desestalquiró
descubridor	descubridor	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descubridor	estalguetzallea, desestaltzallea, aguertzallea, salatzallea
descubrimiento	descubrimiento	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descubrimiento	estalguea, desestalgoa, aguertea
descubrir	descubrir	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descubrir	estalguetu, desestali, desetaldu, desezcutatu, desgaindu, aguertu
descubrir	descubrir2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descubrir2	icusi, dacust, &c, ver
descubrir	descubrir3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descubrir3	iragarri
descubrir	descubrir4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descubrir4	salatu
descubierto	descubierto	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descubierto	desestalia, aguertua, &c
descubierto	descubierto2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descubierto2	cerupea, odapea, euribea, contuetan zordun izatea, oraingo isillá aurqui izain da iscambilla
descuello	descuello	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descuello	burjasatea
descuento	descuento	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descuento	desambatea, descembatea, descontua
descuidadamente	descuidadamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descuidadamente	deslayan, deslairo, deslaiquiro, ajolacabero, nochalenquiro, ustecabean, ustecabero
descuidar	descuidar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descuidar	descuidatu, contugabetu, deslaitu, ajolacabetu, ardurabaguetu
descuidar	descuidar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descuidar2	descuidaraci, deslayerazo, arreta galerazo
descuida	descuida	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descuida	deslai adi, deslai zaite, deslai bidi
descuidado	descuidado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descuidado	deslaitua, &c, arretagabea
descuido	descuido	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descuido	deslaya, ustecabea, desart, ansicabea, deslai baña nai
descular	descular	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descular	epurcaiztu, ondaguetu, ondepaitu
desculado	desculado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desculado	epurcaiztua, ondaguetua, ondepaitua
descumplir	descumplir	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#descumplir	asquidacaiztu, asquidaguetu
desde	desde	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desde	etic, tic, eti, ti
desde	desde2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desde2	etic, eti, bazterretic, lurrctic, ondarretic, bazterreti, &c
desde	desde3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desde3	tic, ti, cerutic, echetic, itsasotic, ceruti, &c, can, bazterretican, cerutican, tican, ti, che, orticanche, ortiche, emendicanche, emetiche, andicanche, andiche, cerutic, cerutican, eceruticanche, cerutiche
desde	desde4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desde4	de aqui de alli, de
desde	desde5	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desde5	danic
desde	desde6	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desde6	oraindanic, bertatic
desde	desde7	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desde7	atzodanic gaurdanic, biardanic
desde	desde8	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desde8	igazdanic, aurtendanic
desde	desde9	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desde9	noizdanic, noiztic
desde	desde10	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desde10	orduandanic, ordutic, arrezquero, azquero, orduz gueroztic
desde	desde11	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desde11	etic
desde	desde12	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desde12	mundua mundu danetic, despues que
desdecir	desdecir	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdecir	etautsi, asurundu
desdecirse	desdecirse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdecirse	desesan, deserran, esabiurtu
desdecir	desdecir2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdecir2	egoqui, dagoquit, dagoquizu, dagoca, &c, eztagoquit, &c, quadrar
desdicho	desdicho	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdicho	desesana, deserrana, esabiurra
desden	desden	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desden	desdeño, desdiña, digno
desden	desden2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desden2	desdiña, ecoizcoa, begaiztea, damac ecoizcoró oi dirudite edertó, ez aitaric deu, ez aideric, dagoanac bearturic
desdentar	desdentar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdentar	orzbaguetu
desdentado	desdentado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdentado	orzbaguetua, orzbaguea, ortzic baguea
desdeñable	desdeñable	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdeñable	desdiñagarria, ecoizcagarria, begaiztegarria
desdeñador	desdeñador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdeñador	desdiñatzallea, ecoizcatzallea, begaiztetzallea
desdeñar	desdeñar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdeñar	desdiñatu, ecoizcatu, begaiztetu
desdeñarse	desdeñarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdeñarse	desdiñatu, ecoizcatu, begaiztetu
desdeñado	desdeñado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdeñado	desdiñatua, ecoizcatua, begaiztetua
desdeño	desdeño	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdeño	desden
desdeñosamente	desdeñosamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdeñosamente	des-, diñaquiro, ecoizcoró, begaiztequiro
desdeñoso	desdeñoso	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdeñoso	desdiñatsua, ecoicaria, begaiztaria, ecoizcatsua, ecoizcatia, begaizteduna
desdevanar	desdevanar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdevanar	desarildu, arillá deseguin
desdicha	desdicha	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdicha	doacabea, doacaitz, zoricaitza, atsecabea
desdichadamente	desdichadamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdichadamente	doacabero, doacaizquiro, zoricaizquiró, atsecaberó
desdichado	desdichado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdichado	doacabea, zoriongabea, atecabetia, guiza gaiso bat da
desdichado	desdichado2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdichado2	doain gaitz hiri, niri, guri, &c, doacaitz hiri, &c
desdoblar	desdoblar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdoblar	desbildu, bildaguetu, izurguetu, tolesguetu, destolestu
desdoblado	desdoblado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdoblado	destolestua, izurguetua, &c
desdonar	desdonar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdonar	deseman, emana quendu
desdorar	desdorar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdorar	itsustu, illundu, laidoztatu
desdorado	desdorado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdorado	urrezguetua, desurreztua
desdoro	desdoro	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desdoro	desorea, laidoa, illunquea
deseable	deseable	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#deseable	golosgarria, deseagarria
deseador	deseador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#deseador	oparia, goloscaria, deseatzallea
desear	desear	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desear	opatu, golostú, deseatu
deseado	deseado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#deseado	opatua, golostua, deseatua
desecar	desecar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desecar	idortu, leortu, legortu, iartu, igartu
desecante	desecante	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desecante	idortaria, idortzallea, &c
desechar	desechar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desechar	utsastu, auqueztu
desechado	desechado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desechado	utsastua, auqueztua, batec utsastu, besteac artu, ta sartu
desecho	desecho	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desecho	utsatsea, auquezta
desecho	desecho2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desecho2	condarra, condoa, ondarra, ondaquina, emparagua
desedificacion	desedificacion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desedificacion	desequida, desequidandea
desedificacion	desedificacion2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desedificacion2	gaizcarra, gaitzbidea, trebucandea
desedificar	desedificar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desedificar	gaitzbidatu, gaizcartu, trebucatu
destruere	destruere	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#destruere	
desedificado	desedificado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desedificado	gaizbidatua, gaizcartua, trebucatua
deseguida	deseguida	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#deseguida	emacume galotsa
desembanastar	desembanastar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembanastar	deszarestatu, zaretic, otarretic aterá
deiembanastado	deiembanastado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#deiembanastado	deszarestatua
desembarazadamente	desembarazadamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembarazadamente	arazoguero, de-, o
desembarazar	desembarazar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembarazar	arazoguetu, desarazotu, descatibatu, deseragotzi
desembarazado	desembarazado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembarazado	arazguetua, desarazotua, &c
desembarazo	desembarazo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembarazo	arazguea, desarazoa, descatibera, deseragozquia
desembarcadero	desembarcadero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembarcadero	itsasgueteguia, leorteguia
desembarcar	desembarcar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembarcar	itsasguetu, leorteguitu
desembarcado	desembarcado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembarcado	itsasguetua, leorteguitua, erditzen egote, edo aurguiteco zorian, urrean
desembarco	desembarco	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembarco	itsasguea, leorrera jaistea
desembargar	desembargar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembargar	descatibatu
desembargar	desembargar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembargar2	desemparatu
desembargo	desembargo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembargo	desempará
desembarrar	desembarrar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembarrar	loiguetu, desloitu
desembarrado	desembarrado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembarrado	desloitua, loiguetua
desembaular	desembaular	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembaular	descuchalabatu
desembaulado	desembaulado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembaulado	descuchalabatua
desembelesarse	desembelesarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembelesarse	
desembobarse	desembobarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembobarse	
desembocadero	desembocadero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembocadero	irtoquia, irtatea
desembocar	desembocar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembocar	irtatetu, ilcatetu, ilquersitu
desembolsar	desembolsar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembolsar	descizcutu, cizcutic atera
desembolso	desembolso	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembolso	decizcutea
desemborrachar	desemborrachar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desemborrachar	desembriagar
desemboscarse	desemboscarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desemboscarse	basoguetu, basotic irten, ilqui
desembozar	desembozar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembozar	descuculdu, igoztalguetu, desigoztaldu
desembozo	desembozo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembozo	descuculdea, igoztalgucea, desigozqueta
deiembravecer	deiembravecer	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#deiembravecer	dessucundetu
desembrazar	desembrazar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembrazar	desescutitu
desembriagarse	desembriagarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembriagarse	ordiguetu, desorditu
desembuchar	desembuchar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desembuchar	dessalbouchatu
desemmarañar	desemmarañar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desemmarañar	desenredar
desemmohecer	desemmohecer	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desemmohecer	deslizundu
desemmudecer	desemmudecer	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desemmudecer	desmututu
desempacarse	desempacarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempacarse	desenojarse
desempacharse	desempacharse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempacharse	lotsaguetu, deslotsatu, lotsacaiztu
desempacho	desempacho	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempacho	lotsaguea, deslotsa, lotsacaztea
desempalagar	desempalagar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempalagar	desigitu
desempañar	desempañar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempañar	destrosatu
desempañar	desempañar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempañar2	garbasquitu
desempapelar	desempapelar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempapelar	despapeldu, paperac desbildu
desemparejar	desemparejar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desemparejar	bacoititu
desemparvar	desemparvar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desemparvar	aparvar
desempatar	desempatar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempatar	igoalguetu, berdincaiztu, desambanatu
desempedrador	desempedrador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempedrador	desartalaria
desempedrar	desempedrar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempedrar	artalguetu, desartali
desempegar	desempegar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempegar	piquezguetu, despiqueztu, desbiqueztatu
desempeñar	desempeñar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempeñar	iguiiñarcaiztu, iguiñarguetu
desempeñado	desempeñado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempeñado	iguiñarcaiztua, iguiñarguetua
delempeñar	delempeñar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#delempeñar	desegocatu
desempeño	desempeño	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempeño	eguiñarguiea, desiguiñarta
desempeño	desempeño2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempeño2	desegocá
desempeorarse	desempeorarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempeorarse	mejorarse
desemperezar	desemperezar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desemperezar	desalpertu, desnaguitu
desempolvorar	desempolvorar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempolvorar	desautsatu
desemponzoñar	desemponzoñar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desemponzoñar	pozoiguetu, despozoitu
desempotrar	desempotrar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desempotrar	desezcolotu
desenalbardar	desenalbardar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenalbardar	debastatu, deschalmatu, basta, chalmá quendu
desenamorar	desenamorar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenamorar	desmaiterazo, desamodaraci, desoneserazo
desencabestrar	desencabestrar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencabestrar	descabrestatu
desencadenar	desencadenar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencadenar	catezguetu, descateztu
desencalabrinar	desencalabrinar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencalabrinar	dessortu, desaturditu
desencallar	desencallar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencallar	desarecallatu, desarecaildu, desencallatu
desencaminar	desencaminar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencaminar	descaminar
desencantar	desencantar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencantar	dessorguindu, desgaizquindu
desencanto	desencanto	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencanto	dessorguindea, desgaizquindea
desencapotar	desencapotar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencapotar	capersconguetu, caperscona, capotea quendu
desencapotarse	desencapotarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencapotarse	desenojarse
desencapotarse	desencapotarse2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencapotarse2	osgarbitn, odeigabetu, goibelcaiztu
dese	dese	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#dese	hisiaguetu, deshisiatu, burutacinoa, burujaira quendu
desencarcelar	desencarcelar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencarcelar	descarcelatu, gaistateguitic, presoindeguitic atera
desencarnar	desencarnar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencarnar	descarnar
desencastillar	desencastillar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencastillar	desgaztelutu
desencaxamiento	desencaxamiento	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencaxamiento	desenarta
desencaxar	desencaxar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencaxar	desencajar, desenartatu
desencaxonar	desencaxonar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencaxonar	descaxoitu, caoitic camporatu
desencerrar	desencerrar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencerrar	desichi, desertsi, deszarratu
desencintar	desencintar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencintar	deschingolatu, cintabaguetu
desenclavar	desenclavar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenclavar	iltzaguetu, desiltzatu
desenclavijar	desenclavijar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenclavijar	descabillatu
desencoger	desencoger	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencoger	descoger
desencolar	desencolar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencolar	deslitsaquitu
desencolorizarse	desencolorizarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencolorizarse	dessupitu, deserracitu
desenconar	desenconar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenconar	suancaiztu
desenconado	desenconado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenconado	suancaiztua
desencono	desencono	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencono	suancaizta
desencordar	desencordar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencordar	descuerdatu, cuerdac quendu
desencordelar	desencordelar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencordelar	desesgarritu
desencorvar	desencorvar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desencorvar	desmacurtu, desrlabetu
desendiablar	desendiablar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desendiablar	desdeabrutu
desendiosar	desendiosar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desendiosar	desjaincotu
desenfadar	desenfadar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenfadar	desmustaritu, desoldartu
desenfadarse	desenfadarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenfadarse	desertsitu, dessumindu, lasaitu
desenfadado	desenfadado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenfadado	desmusturitua, &c
desenfadado	desenfadado2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenfadado2	despejado
desenfado	desenfado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenfado	desejo
desenfardar	desenfardar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenfardar	desbilgoisin
desenfrenadamente	desenfrenadamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenfrenadamente	bridagaberó
desenfrenamiento	desenfrenamiento	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenfrenamiento	bridaguea, bridagabetasuna
desenfrenar	desenfrenar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenfrenar	bridaguetu, bridabaguetu
desenfrenado	desenfrenado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenfrenado	bridabaguetua, bridabaguea
desenfundar	desenfundar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenfundar	azalguetu, desazaldu
desenfurecerse	desenfurecerse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desenfurecerse	dessumindu, desotsaretu, desfuliatu
desengañadamente	desengañadamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desengañadamente	desengañaró
desengañadamente	desengañadamente2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desengañadamente2	gaizqui, deungaró
desengañador	desengañador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desengañador	desengañaria, desengañatzallea
desengañar	desengañar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desengañar	desengañatu, desenganatu
desengaño	desengaño	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desengaño	desengañua, desenganioa
desengaño	desengaño2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/D#desengaño2	claridaá
