LAR_LEMMA_EGOKITUA	ANCHORTEXT	ANCHORLINK	EUS_CANDIDATES
abarraganarse	abarraganarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abarraganarse	amancebarse, barragan
abarrancarse	abarrancarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abarrancarse	abéreac lur epaqui zulodúnetan sártzea, epaizulotú, centernatú, barranco
abarrisco	abarrisco	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abarrisco	barrizjo, u berrizjo, barrizco, berrizco, barritsu, berritsu
abarrisco	abarrisco2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abarrisco2	guciá era baterá
abastadamente	abastadamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abastadamente	naroro, ugari, mucuru, murú
abastanza	abastanza	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abastanza	naroa, ugaria, ioria, mucurua, murua
abasto	abasto	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abasto	otoranzá, beardanez ornitzea, jalariaren ornidurá
abastar	abastar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abastar	ornitu, bear, guciaz zuzquitu, beté
abastado	abastado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abastado	ondasiúnez ornituá, zuzquituá, beteá, ornitueguia
abastecer	abastecer	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abastecer	janariz ornitú, ondo ornitua dago
abatanar	abatanar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abatanar	Batan
abatanar	abatanar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abatanar2	Bollatú, oyalac túmpaca garbitu, ta trincatu
abatanado	abatanado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abatanado	bollatuá, trincatuá, bollatueguia
abatanador	abatanador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abatanador	bollatzallea, bollazaina, trincatzallea
abate	abate	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abate	apaiz soñeco laburduna
abate	abate2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abate2	beguiroc arrapatuco au
abatear	abatear	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abatear	
abatir	abatir	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abatir	
abatir	abatir2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abatir2	norbait azpirátzea, lurrerátzea, bceratzea
abatido	abatido	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abatido	azpiratua, lurreratua, beeratua, chit beeratua dáucate, azpiratueguia, &c
abatidor	abatidor	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abatidor	azpiratzallea lurreratzallea, beeratzallea
abatirse	abatirse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abatirse	lurreratú, beeatú, lurreratzen naiz, cera, da, lurreratzen guera, cerate, dira &c, ez naiz ni beeratzen charqueria orietara
abatire	abatire	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abatire	humillarse
abatimiento	abatimiento	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abatimiento	beeratzapena, beeratzea, beeratzapen aundienean, zpiratze andienean
abaxar	abaxar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abaxar	beeratu, beetitu, jachi, erachi, erautsi, jachierazo, &c
abaxarse	abaxarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abaxarse	beeratu, naiz, cera, da, jautsi
abaxo	abaxo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abaxo	bean, beera, beeti, bean, nago, beeti, nago, beera noa, beeti noa, beerago, beetiago, beecoa, azpicoa, baxo, beecoa goi, azpicoa gaiñ, Erregue ez beste gucien bildur naiz Erregueaz campora gucien bildur naiz, beeregui
abdicar	abdicar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abdicar	renunciar
abece	abece	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abece	beceá, Adbecea eztaqui, abecedarioa
abechucho	abechucho	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abechucho	ave
abeja	abeja	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abeja	erlea
abejaruco	abejaruco	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abejaruco	abejeruco
abejera	abejera	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abejera	
abejita	abejita	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abejita	erlechoa
abejero	abejero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abejero	erlezaia, erlezaina
abejeruco	abejeruco	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abejeruco	chori erlejale bat, erleen galgarria
abejon	abejon	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abejon	listorrá, erlabioa, listor jocoa, irurén ártean eguitenda, erdian dagoana listor, ta masallean jotzera, Ludus alaparumy, ludus empusae
abejorro	abejorro	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abejorro	listorra
abella	abella	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abella	
abemolar	abemolar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abemolar	otsa edo soñua gozatzea, gozoró ta emequi, ta leuncho austea, bemol
abemolado	abemolado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abemolado	gozatua, gozoró autsia
abeñuelas	abeñuelas	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abeñuelas	betuleac
abenuz	abenuz	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abenuz	aberat-, pecúniosos, pecus, aver, haver
aberengenado	aberengenado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aberengenado	berengenado
aberia	aberia	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aberia	
abernardarse	abernardarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abernardarse	
abertero	abertero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abertero	
abertura	abertura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abertura	hendedura, arracá, arracadá, jacá, edo beste soñecoric botoitu, lotamutu, ertsi, estutú, lotú, jaca hori estutu egutizu, lotú ezázu, botonar
abernuncio	abernuncio	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abernuncio	beguiroc
andalucia	andalucia	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#andalucia	uztarria
abesana	abesana	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abesana	lorrá
abestruz	abestruz	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abestruz	sayea
abeto	abeto	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abeto	abetoa
abetunar	abetunar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abetunar	embetunar
abezarse	abezarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abezarse	bezatú, oitu, aci, acitú, beceroa
abezado	abezado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abezado	oitua, acitua, gzizqui acia, gaizqu oitua dago, oitueguia
abiar	abiar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abiar	bialdu, bidaldu, egorri, Jndietara bialdu zuten
abiar	abiar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abiar2	norbait norabait ornituric bialdu egorri
abiado	abiado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abiado	bideraco ornitua, chit gaizqui ornitua bialdu deie, beti dabil ondo ornitua
abierta	abierta	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abierta	idiquia, idiquitua, zabala, zabaldua
