LAR_LEMMA	EGOKITUA	SARASOLA
achuri taldea	atxuri taldea	0
achuri zaya	atxuri zaia	0
achurlaria	atxurlaria	atxurlari
achurlea	atxurlea	0
achurquintza	atxurkintza	atxurkintza
achurquinzea	atxurkintzea	0
achurra	atxurra	0
achurrada	atxurrada	0
achurtu	atxurtu	0
achurtua	atxurtua	0
achurtza	atxurtza	0
achurtzea	atxurtzea	0
achurtzeaz arrotu	atxurtzeaz arrotu	0
aci	azi	0
acia	azia	0
aciá	aziá	0
aciac ereitea	aziac ereitea	0
aciagotu	aziagotu	0
acia quentzeco	azia kentzeko	0
aciarra	aziarra	0
acichoa	azitxoa	0
aci ciatua	azi ziatua	0
aci dana	azi dana	0
acienda	azienda	azienda
aciendachoa	aziendatxoa	0
aciendea	aziendea	0
aciendoa	aziendoa	0
aciera	aziera	0
acigoquia	azigokia	0
acimota bat	azimota bat	0
acisurtea	azisurtea	0
acitea	azitea	0
acitrailora	azitrailora	0
acitraya	azitraia	azitrai
acitroyá	azitroiá	0
acitú	azitú	0
acitua	azitua	0
acitzen dana	azitzen dana	0
acizorroa	azizorroa	0
aco	ako	0
acogida	akojida	0
acogimiento	akojimiento	0
acometer	akometer	0
acomodagarria	akomodagarria	0
acomodatu	akomodatu	0
acomodatua	akomodatua	0
acompañamiento	akonpainamiento	0
acopilatu	akopilatu	0
acopilatua	akopilatua	0
acopilatzalea	akopilatzalea	0
acopilatzallea	akopilatzailea	0
acopilatzea	akopilatzea	0
acorda	akorda	akord
acordaraci	akordarazi	0
acordaracia	akordarazia	0
acordaria	akordaria	0
acordatu	akordatu	akordatu
acordatua	akordatua	akordatu
acordatzallea	akordatzailea	0
acorderazo	akorderazo	0
acorderazoa	akorderazoa	0
acotá	akotá	0
acotaria	akotaria	0
acotariro	akotariro	0
acotatu	akotatu	0
ácPE	ácPE	0
acribaduras	acribaduras	0
actor	actor	0
acudir	akudir	0
acullá	akuilá	0
acullataria	akuilataria	0
aculloa	akuiloa	0
aculua	akulua	akulu
acusacioa	akusazioa	akusazio
acusaera	akusaera	0
acusatu	akusatu	akusatu
acusatua	akusatua	akusatu
acusatzallea	akusatzailea	akusatzaile
adacaitu	adakaitu	0
adacaitua	adakaitua	0
adacaitzea	adakaitzea	0
adar	adar	adar
adarbacocha	adarbakotxa	adarbakotx
adarbaguetu	adarbagetu	0
adarbea	adarbea	0
adarcada	adarkada	adarkada
adarcaiztu	adarkaiztu	0
adarcaria	adarkaria	adarkari
adarcatu	adarkatu	adarkatu
adarchoa	adartxoa	adartxo
adarchou quin dagoanean	adartxou kin dagoanean	0
adarduna	adarduna	adardun
adarga	adarga	0
adargaz estali	adargaz estali	0
adargaztatua	adargaztatua	0
adarguea	adargea	0
adargueaz	adargeaz	0
adarmea	adarmea	adarme
adaroá	adaroá	0
adar qirten duna	adar qirten duna	0
adarra	adarra	0
adarrac	adarrak	0
adarrac epaqui	adarrac epaki	0
adarras ebanos	adarras ebanos	0
adarraz jo	adarraz jo	0
adarráz joá	adarráz joá	0
adarren bat autsi	adarren bat autsi	0
adarrez	adarrez	0
adarreztatu	adarreztatu	0
adarreztatua	adarreztatua	0
adartsua	adartsua	adartsu
adartu	adartu	0
adartua	adartua	0
adarturunta	adarturunta	0
adasta	adasta	0
adastia	adastia	0
adastu	adastu	adastu
adastua	adastua	adastu
adatsa	adatsa	adats
adatsá	adatsá	0
adatsua	adatsua	0
adaurutsua	adaurutsua	0
Adbadeseá	Adbadeseá	0
adcrno	adcrno	0
ademana	ademana	0
aderea	aderea	0
aderreztatu	aderreztatu	0
adertir	adertir	0
adeudarse	adeudarse	0
adia	adia	adia
adiabiursa	adiabiursa	0
adiac	adiak	0
adiacaria	adiakaria	adiakari
adiacatu	adiakatu	adiakatu
adiaguillea	adiagilea	adiagile
adiaira	adiaira	0
adialduna	adialduna	0
adiaraci	adiarazi	adiarazi
adibac	adibak	0
adicrazoa	adicrazoa	0
adiemana	adiemana	0
adiera	adiera	adiera
adieraci	adierazi	adierazi
adieracia	adierazia	adierazi
adieragoia	adieragoia	0
adieragoiduna	adieragoiduna	0
adieragoiro	adieragoiro	0
adieragoitu	adieragoitu	0
adieraguin	adieragin	0
adie.rantza	adie.rantza	0
adieranza	adierantza	0
adieratsua	adieratsua	0
adieraz	adieraz	0
adierazcorra	adierazkorra	0
adierazlea	adierazlea	adierazle
adierazo	adierazo	adierazo
adierazoa	adierazoa	adierazo
adierazotzallea	adierazotzailea	0
adierazta	adierazta	0
adieraztea	adieraztea	0
adiezgarria	adiezgarria	0
adigarria	adigarria	adigarri
adimentarra	adimentarra	0
adimentua	adimentua	adimentu
adimen tua	adimen tua	0
adimentuaz	adimentuaz	0
adimentubaguea	adimentubagea	0
adimentucoa	adimentukoa	0
adimentuz	adimentuz	0
adimentuzco otoitza	adimentuzko otoitza	0
adimentu zorrotza izan	adimentu zorrotza izan	0
adina	adina	adina
adiná	adiná	0
adinandia	adinandia	0
adincaya	adinkaia	0
adindaria	adindaria	0
adindecoa	adindekoa	0
adindu	adindu	adindu
adinon	adinon	adinon
adiñona	adinona	adinon
adiñonchoa	adinontxoa	0
adiñondea	adinondea	0
adiñondo	adinondo	0
adiñongui	adinongi	0
adinquidea	adinkidea	adinkide
adintsuá	adintsuá	0
adintzea	adintzea	0
adipaitzatu	adipaitzatu	0
adipaquia	adipakia	0
adiquiña	adikina	0
adiquiro	adikiro	0
adiquizuna	adikizuna	0
adiragarria	adiragarria	adiragarri
adiragarriro	adiragarriro	0
adiraitziz	adiraitziz	0
adiraztea	adiraztea	0
adisquidea	adiskidea	adiskide
adisquideen guisá	adiskideen gisá	0
adisquideera	adiskideera	0
adisquidegarria	adiskidegarria	0
adisquidegarriró	adiskidegarriró	0
adisquidetasuna	adiskidetasuna	adiskidetasun
adisquidetu	adiskidetu	adiskidetu
adisquidetua	adiskidetua	adiskidetu
adisquiundea	adiskiundea	0
Adita antuaren goyendea	Adita antuaren goiendea	0
aditartetu	aditartetu	0
aditeciña	aditezina	aditezin
aditezgarria	aditezgarria	0
aditu	aditu	aditu
aditua	aditua	aditu
aditueztana	aditueztana	0
aditza	aditza	aditz
aditzacoa	aditzakoa	0
aditzallea	aditzailea	aditzaile
aditzalleac	aditzaileak	0
aditzallea enzunlea	aditzailea entzunlea	0
aditzalleen esalquia	aditzaileen esalkia	0
aditzalleen goyendea	aditzaileen goiendea	0
aditzaz	aditzaz	0
aditzea	aditzea	0
aditz ea	aditz ea	0
adiundea	adiundea	0
adiundeteguia	adiundetegia	0
adiurrea	adiurrea	adiurre
adizac	adizak	0
adizan	adizan	0
adizazu	adizazu	0
adjudicar	adjudikar	0
adlargaren érac	adlargaren érak	0
administracion	administrazion	0
administratua	administratua	administratu
administratzallea	administratzailea	administratzaile
admiracion	admirazion	0
admiratu	admiratu	admiratu
adobaquia	adobakia	adobaki
