LAR_LEMMA	EGOKITUA	SARASOLA
buruautsi	buruautsi	0
burua zorabiatu	burua zorabiatu	0
burubidea	burubidea	burubide
burubilchoa	burubiltxoa	0
burubilla quendu	burubila kendu	0
burubilla quendua	burubila kendua	0
burubillea	burubilea	0
buruca	buruka	buruka
burucada	burukada	burukada
burucardea	burukardea	0
buruchoa	burutxoa	burutxo
buruchuria	burutxuria	0
burucoa	burukoa	buruko
burucochoa	burukotxoa	0
buruco estalcai bat	buruko estalkai bat	0
buruco estalquia	buruko estalkia	0
burucoidea	burukoidea	0
burucoiquiró	burukoikiró	0
burucoiró	burukoiró	0
buruco lacatzac	buruko lakatzak	0
buruco miñandia	buruko minandia	0
burucoscochoa	burukoskotxoa	0
burucoya	burukoia	burukoi
buru eroria	buru eroria	0
burufiguillea	burufigilea	0
buruguetu	burugetu	0
buruguitea	burugitea	0
buruia	buruia	0
buruia goritu	buruia goritu	0
buruiaucia	buruiauzia	0
buruicatillua	buruikatilua	0
buruisquea	buruiskea	0
burujaira	burujaira	0
burujairatu	burujairatu	0
burujairra	burujairra	0
burujauztea	burujauztea	0
buruletea	buruletea	0
Burulla	Buruila	0
burulotea	burulotea	0
buru macurra	buru makurra	0
buru oquerra	buru okerra	0
buruorratza	buruorratza	buruorratz
buru orrondea	buru orrondea	0
burupea	burupea	burupe
burupetu	burupetu	0
burupetua	burupetua	0
buruquia	burukia	buruki
buruquiaren gandorra	burukiaren gandorra	0
buruquitua	burukitua	0
bururdiña	bururdina	0
bururtena	bururtena	0
bururtendic artu	bururtendic artu	0
bururtendic artua	bururtendic artua	0
buruscá	buruscá	0
buruscac bildu	buruskac bildu	0
buruscatu	buruskatu	0
burusian botatu	burusian botatu	0
burusian botat zea	burusian botat zea	0
burusiaz estali	burusiaz estali	0
burusiquia	burusikia	0
burusitua	burusitua	0
burusoca	burusoka	0
burutacinoa	burutazinoa	burutazino
burutaciñoa artu	burutazinoa artu	0
burutacioa	burutazioa	0
burutaldia	burutaldia	burutaldi
burutia	burutia	0
burutic jauci	burutic jauzi	0
burutontoitu	burutontoitu	0
burutontoitua	burutontoitua	0
burutontoya	burutontoia	0
burutsitu	burutsitu	0
burutu	burutu	0
burutua	burutua	0
buruzaguia	buruzagia	buruzagi
buruzaguiac	buruzagiak	0
buruzaguiera	buruzagiera	0
buruzaquegoa	buruzakegoa	0
buruzuta	buruzuta	buruzut
burzaya	burzaia	0
busca	buska	0
busencaya	busenkaia	0
busoildu	busoildu	0
bustaldia	bustaldia	0
bustana erabilli	bustana erabili	0
bustan epaitza	bustan epaitza	0
busti	busti	busti
bustia	bustia	busti
busticaya	bustikaia	0
bustiera , len	bustiera , len	0
bustigorria	bustigorria	0
bustiroa	bustiroa	bustiro
bustirotu	bustirotu	0
bustite andia aurtén	bustite andia aurtén	0
bustiuñ usai dunezco	bustiuin usai dunezko	0
butaica	butaika	0
butaira	butaira	0
bu tan otseguitea	bu tan otsegitea	0
butarguia	butargia	0
butarguitu	butargitu	0
butarogá	butarogá	0
butesá	butesá	0
butesalea	butesalea	0
butesatu	butesatu	0
butguia	butgia	0
buyasu	buiasu	0
buyatu	buiatu	buiatu
buyatua	buiatua	buiatu
buyatzea	buiatzea	0
buzcantzá	buzkantzá	0
buzcanzá bezala	buzkantzá bezala	0
buzo	buzo	0
buzoca	buzoka	buzoka
buzoc-eistaria	buzoc-eistaria	0
buztana epaqui	buztana epaki	0
buztana erabilli	buztana erabili	0
buztanari eraguin	buztanari eragin	0
buztan baguea	buztan bagea	0
buztan baguetu	buztan bagetu	0
buztanbaguetzea	buztanbagetzea	0
buztancaiztea	buztankaiztea	0
buztancaiztu	buztankaiztu	0
buztanchoa	buztantxoa	0
buztanchoa hopachoa	buztantxoa hopatxoa	0
buztanduna	buztanduna	buztandun
buztan epaqui	buztan epaki	0
buztan epaquia	buztan epakia	0
buztanicara	buztanikara	buztanikara
buztan laburra	buztan laburra	0
buztan lucea	buztan luzea	0
buztan motza	buztan motza	0
buztarpea	buztarpea	0
buztega	buztega	0
buztiña	buztina	buztin
buztina	buztina	buztin
buztinboillá	buztinboilá	0
buztindu	buztindu	0
buztiñercada	buztinerkada	0
buztiñercaiztu	buztinerkaiztu	0
buztiñerchoa	buztinertxoa	0
buztiñerra	buztinerra	0
buztiñerrazco maormá	buztinerrazko maormá	0
buztiñertaria	buztinertaria	0
buztiñertu	buztinertu	0
buztinezco gordairua	buztinezko gordairua	0
buztinguillea	buztingilea	buztingile
buztinola	buztinola	buztinola
buztinquia	buztinkia	buztinki
buztinquiarra	buztinkiarra	0
buztintsua	buztintsua	buztintsu
buztintzallea	buztintzailea	0
buztintzea	buztintzea	0
buztinzuria	buztintzuria	0
buztinzuritsua	buztintzuritsua	0
c	k	0
&c	&k	0
&c .	&c .	0
ca	ka	0
ca-	ka-	0
ca aa	ka aa	0
ca araztu	ka araztu	0
cabal	kabal	0
cabalá	kabalá	0
cabaldea	kabaldea	0
cabaldu	kabaldu	0
cabaldú	kabaldú	0
cabaleguin	kabalegin	0
caballeriza	kabaileriza	0
cabalqui	kabalki	0
cabalquiro	kabalkiro	0
cabalteac	kabalteak	0
cabestro	kabestro	0
cabia	kabia	0
cabiadiña	kabiadina	0
cabia eguin	kabia egin	0
cabiaguraya	kabiaguraia	0
cabialdia	kabialdia	0
cabiatu	kabiatu	0
cabiatua	kabiatua	0
cabicaiztu	kabikaiztu	0
cabicotu	kabikotu	0
cabicotua	kabikotua	0
cabiguetu	kabigetu	0
cabildea	kabildea	0
cabillatu	kabilatu	0
cabiratu	kabiratu	0
cabitic atera	kabitic atera	0
caboilchoa	kaboiltxoa	0
caboilla	kaboila	0
cabrestatu	kabrestatu	0
cabrestuguillea	kabrestugilea	0
cabrestuquiña	kabrestukina	0
cabrestuquintza	kabrestukintza	0
cabrestuteguia	kabrestutegia	0
cabriola	kabriola	0
cabriolatu	kabriolatu	0
cabu andiagoa	kabu andiagoa	0
cabuillá	kabuilá	0
cacá	kacá	0
cacalardoa	kakalardoa	kakalardo
cacaldia	kakaldia	0
cacaraza	kakaraza	0
cacarazaria	kakarazaria	0
cacateguia	kakategia	kakategi
cacatsua	kakatsua	kakatsu
cacatsu charra	kakatsu txarra	0
cacaz betea	kakaz betea	0
cacazeria	kakazeria	0
cachi-	katxi-	0
cachumbea	katxunbea	0
cachupina	katxupina	0
cacoa	kakoa	kako
cacoac	kakoak	0
cacoatu	kakoatu	kakoatu
cacoaz	kakoaz	0
cacoaz artu	kakoaz artu	0
cacoaz artua	kakoaz artua	0
cacoaz atzitu	kakoaz atzitu	0
cacoaz prestatu	kakoaz prestatu	0
cacoazprestatua	kakoazprestatua	0
cacoduna	kakoduna	kakodun
cacotea	kakotea	0
cada	kada	0
cadarchingola	kadartxingola	0
cadartzua	kadartzua	kadartzu
cadartzu naarra	kadartzu naarra	0
cadaver	kadaber	0
cadená	kadená	0
cadendea	kadendea	0
cadendero	kadendero	0
cadendu	kadendu	kadendu
cadirá	kadirá	0
cadirajabea	kadirajabea	0
caduratua	kaduratua	0
caelateguia	kaelategia	0
caelatzarra	kaelatzarra	0
cafeá	kafeá	0
cafeanza	kafeantza	0
cafeatu	kafeatu	0
cafeontzia	kafeontzia	kafeontzi
caicua	kaikua	kaiku
caicuá	kaikuá	0
caicuchoa	kaikutxoa	0
caicuicha	kaikuitxa	0
caiguiña	kaigina	0
caillarda	kailarda	0
caillardatu	kailardatu	0
cairua	kairua	0
caitsuquiro	kaitsukiro	0
caitzedoya	kaitzedoia	0
caitzodeya	kaitzodeia	0
caiztaria	kaiztaria	0
caiztea	kaiztea	0
caizteera	kaizteera	0
caiztu	kaiztu	0
caiztua	kaiztua	0
calá	kalá	0
calabaza	kalabaza	0
calabrotea	kalabrotea	0
calaeciña	kalaezina	0
calaezgarria	kalaezgarria	0
calafequintza	kalafekintza	0
calafetaria	kalafetaria	0
calafetatu	kalafetatu	0
calamacia	kalamazia	0
calamacoa	kalamakoa	0
calambucoa	kalanbukoa	0
calamua	kalamua	kalamu
calamua jo	kalamua jo	0
calamu erbatzá	kalamu erbatzá	0
calamulua	kalamulua	0
calamuquia	kalamukia	kalamuki
calamustia	kalamustia	0
calamuzco oinzolguillea	kalamuzko ointzolgilea	0
calatu	kalatu	0
calcaria	kalkaria	0
calcatu	kalkatu	0
calcatua	kalkatua	0
calcatuquiro	kalkatukiro	0
calcatzallea	kalkatzailea	0
caldatu	kaldatu	0
caldatzallea	kaldatzailea	0
calegiracoa	kalejirakoa	0
calentura	kalentura	0
calerna	kalerna	kalerna
calernatu	kalernatu	0
calesa	kalesa	0
calesaria	kalesaria	0
calesquia	kaleskia	0
calestua	kalestua	0
calestuchoa	kalestutxoa	0
caleszaya	kaleszaia	0
caletic cale ibilli	kaletic kale ibili	0
calezalea	kalezalea	0
calguiroa	kalgiroa	0
calguirotu	kalgirotu	0
calidad	kalidad	0
calizaren estalquichoa	kalizaren estalkitxoa	0
callameza	kailameza	0
callarda	kailarda	0
callardatu	kailardatu	0
calle	kaile	0
calleta	kaileta	0
calln	kailn	0
calloz bete	kailoz bete	0
calloz betea	kailoz betea	0
calluguindea	kailugindea	0
callutia	kailutia	0
callutrsua	kailutrsua	0
calostrachoa	kalostratxoa	0
caltagueta	kaltageta	0
caltaguetu	kaltagetu	0
caltaguetua	kaltagetua	0
caltar	kaltar	kaltar
caltaria	kaltaria	0
caltarquiro	kaltarkiro	0
caltarquitfua	kaltarkitfua	0
caltarraitaria	kaltarraitaria	0
caltarraitu	kaltarraitu	kaltarraitu
caltarraitua	kaltarraitua	kaltarraitu
caltarraitzallea	kaltarraitzailea	0
caltarraya	kaltarraia	0
caltartea	kaltartea	0
caltartu	kaltartu	0
caltartua	kaltartua	0
caltea	kaltea	kalte
calte artua	kalte artua	0
caltebaguea	kaltebagea	0
caltebaguetur	kaltebagetur	0
calteduna	kalteduna	kaltedun
calteeguin	kalteegin	0
calte eguin	kalte egin	0
calteeguiña	kalteegina	0
caltegarria	kaltegarria	kaltegarri
calteguillea	kaltegilea	kaltegile
calteric bague	kalteric bage	0
caltesquiro	kalteskiro	0
caltetaria	kaltetaria	0
caltetsia	kaltetsia	0
caltetsua	kaltetsua	kaltetsu
caltetu	kaltetu	kaltetu
caltetú	kaltetú	0
caltetua	kaltetua	kaltetu
calteztaria	kalteztaria	0
calteztu	kalteztu	0
calteztua	kalteztua	0
calzones justos	kaltzones justos	0
Camarada	Camarada	0
camaranchon	kamarantxon	0
camaras	kamaras	0
camarero	kamarero	0
cambiargbiigambiatu	kanbiargbiiganbiatu	0
cambio	kanbio	kanbio
camborra	kanborra	0
Cambraya	Canbraia	0
camiatu	kamiatu	0
camio errealá	kamio errealá	0
camiozabala	kamiozabala	0
camisachoa	kamisatxoa	0
camla	kamla	0
campaea	kanpaea	kanpae
campaeada	kanpaeada	0
campaechoa	kanpaetxoa	kanpaetxo
campaeguillea	kanpaegilea	kanpaegile
campaetorrea	kanpaetorrea	kanpaetorre
campisora	kanpisora	0
campoa	kanpoa	kanpo
campoan	kanpoan	0
campoarra	kanpoarra	0
campoau ori	kanpoau ori	0
campochoa	kanpotxoa	0
campocoa	kanpokoa	kanpoko
campocoro	kanpokoro	0
campoera	kanpoera	0
campora	kanpora	0
camporá	kanporá	0
camporacoen	kanporakoen	0
campora iguesdea	kanpora igesdea	0
camporatu	kanporatu	0
camporatua	kanporatua	0
camporatzea	kanporatzea	0
campotia	kanpotia	0
campotic datorrena	kanpotic datorrena	0
camutagarria	kamutagarria	0
camutea	kamutea	0
camutetu	kamutetu	0
camutzá	kamutzá	0
camuztu	kamuztu	0
camuztua	kamuztua	0
canabelatu	kanabelatu	0
canabelatua	kanabelatua	0
canabelatzea	kanabelatzea	0
cañaberada	kainaberada	0
cañaberadia	kainaberadia	0
cañaberatu	kainaberatu	0
cañaberatua	kainaberatua	0
cañaberatzea	kainaberatzea	0
cañaberaz	kainaberaz	0
cañaberazco quereta	kainaberazko kereta	0
cañaberaz esiac	kainaberaz esiak	0
cañaberaz josia	kainaberaz josia	0
canaberesia	kanaberesia	0
canalla	kanaila	0
canallea	kanailea	0
canasto	kanasto	0
canaz neurtz ea	kanaz neurtz ea	0
ca naztatu	ka naztatu	0
canaztea	kanaztea	0
cancelario	kantzelario	0
canchilla	kantxila	0
canchillatu	kantxilatu	0
cancillera	kantzilera	kantziler
candatu	kandatu	0
candela	kandela	kandela
candelachoa	kandelatxoa	kandelatxo
candelaguillea	kandelagilea	kandelagile
candelaisca	kandelaiska	0
candelalia	kandelalia	0
candelaquintza	kandelakintza	0
candelateguia	kandelategia	kandelategi
Candeleguaa	Candeleguaa	0
candeleroa	kandeleroa	0
candelero escuarra	kandelero eskuarra	0
candua	kandua	kandu
candura	kandura	0
canduran	kanduran	0
canduraro	kanduraro	0
candutu	kandutu	kandutu
candutua	kandutua	kandutu
canela	kanela	kanela
canelaztua	kanelaztua	0
cañibeta	kainibeta	0
canibeta	kanibeta	kanibet
canibetachoa	kanibetatxoa	0
canibetatua	kanibetatua	0
canibetaztua	kanibetaztua	0
canibetzarra	kanibetzarra	0
canoieria	kanoieria	0
canoitua	kanoitua	0
canonizacica	kanonizazika	0
canonizagarria	kanonizagarria	0
canonizatu	kanonizatu	kanonizatu
canonizatua	kanonizatua	kanonizatu
canorá	kanorá	0
cañou	kainou	0
canoyac	kanoiak	0
cansado	kansado	0
cansaera	kansaera	0
cansancio	kansantzio	0
cansarse	kansarse	0
cansatu	kansatu	0
cansatua	kansatua	0
cantá	kantá	0
cantachoa	kantatxoa	kantatxo
cantaera	kantaera	0
cantalá	kantalá	0
cantalatua	kantalatua	0
cantalburnia	kantalburnia	0
cantalcaiztu	kantalkaiztu	0
cantalcaiztua	kantalkaiztua	0
cantalchuloa	kantaltxuloa	0
cantaquida	kantakida	0
cantarera	kantarera	0
cantaria	kantaria	kantari
cantaslea	kantaslea	0
cantaslearen goyendea	kantaslearen goiendea	0
cantastea	kantastea	0
cantatua	kantatua	kantatu
cantera	kantera	0
cantoindua	kantoindua	0
cantoitua	kantoitua	0
cantoizalea	kantoizalea	0
cantoná	kantoná	0
canyuratu	kandduratu	0
caoea	kaoea	0
caoitic camporatu	kaoitic kanporatu	0
capacidad	kapazidad	0
capaguiiña	kapagiina	0
capaldia	kapaldia	0
capaz	kapaz	0
capela	kapela	kapela
capela belarra	kapela belarra	0
capela buruan sturo	kapela buruan sturo	0
capelad	kapelad	0
capela gorriá	kapela gorriá	0
capelaguillea	kapelagilea	0
capelagurra	kapelagurra	0
capelaqaintza	kapelaqaintza	0
capelaquiña	kapelakina	0
capellania	kapeilania	0
capellaua	kapeilaua	0
caperscochoa	kaperskotxoa	0
caperscona	kaperskona	0
capersconguetu	kaperskongetu	0
caperscontzarra	kaperskontzarra	0
caperuschoa	kaperustxoa	0
caperustzarra	kaperustzarra	0
capetechoa	kapetetxoa	0
capichola	kapitxola	0
capilla	kapila	0
capillachoa	kapilatxoa	0
capilla zaya	kapila zaia	0
capiriotu	kapiriotu	0
capitaná	kapitaná	0
capitandu	kapitandu	0
capitendea	kapitendea	0
capoeteguia	kapoetegia	0
capoldu	kapoldu	0
capon	kapon	kapon
capotea	kapotea	0
capotea quendu	kapotea kendu	0
capotetzarra	kapotetzarra	0
Capuchinoa	Caputxinoa	0
capusaya	kapusaia	kapusai
caqueguin	kakegin	0
caqueria	kakeria	kakeria
carabelá	karabelá	0
carabina	karabina	0
carabinada	karabinada	0
carabinaria	karabinaria	karabinari
caracol marino	karakol marino	0
caracter	karacter	0
caramarroa	karamarroa	karamarro
carameloa	karameloa	karamelo
carapata	karapata	0
carapaterazo	karapaterazo	0
cararria	kararria	kararri
cararrista	kararrista	0
cararritea	kararritea	0
caratosá	karatosá	0
caratosle	karatosle	0
caratostu	karatostu	0
caratostua	karatostua	0
carazá	karazá	0
carazcoa	karazkoa	karazko
carazcoro	karazkoro	0
carcaba	karkaba	karkaba
carcaba zaya	karkaba zaia	0
carcaisa	karkaisa	0
carcaisatu	karkaisatu	0
carcaistea	karkaistea	0
carcaisteguia	karkaistegia	0
carcaistia	karkaistia	0
carcarritu	karkarritu	0
carcelaria	karzelaria	0
carcelari saria	karzelari saria	0
carcelatu	karzelatu	0
carcelatua	karzelatua	0
carcela zaya	karzela zaia	0
carcela zayaren emaztea	karzela zaiaren emaztea	0
carceta	karzeta	0
carcetá	karzetá	0
carcetaduna	karzetaduna	0
carcetazurra	karzetazurra	0
carchoriac	kartxoriak	0
carchuria	kartxuria	0
carcorra	karkorra	0
cardaberaisca	kardaberaiska	0
cardaberastia	kardaberastia	0
cardador	kardador	0
cardaera	kardaera	0
cardamena	kardamena	0
cardamutu	kardamutu	0
cardaquintza	kardakintza	0
cardar	kardar	0
cardaria	kardaria	kardari
cardatu	kardatu	kardatu
cardatua	kardatua	kardatu
Cardenalaren goyendea	Cardenalaren goiendea	0
cardillauna	kardilauna	0
cardincha	kardintxa	0
cardincha-	kardintxa-	0
carea	karea	kare
carear	karear	0
carecha enora	karetxa enora	0
careguillea	karegilea	karegile
careisduna	kareisduna	0
carequiiña	karekiina	0
carestia	karestia	0
carezcoa	karezkoa	0
carezna	karezna	0
careztatu	kareztatu	kareztatu
careztatua	kareztatua	kareztatu
careztatzea	kareztatzea	0
carga	karga	karga
cargadia	kargadia	0
cargaria	kargaria	0
cargatu	kargatu	kargatu
cargatua	kargatua	kargatu
cargatzallea	kargatzailea	0
cargontzia	kargontzia	0
cargueramallea	kargeramailea	0
carguillea	kargilea	0
cargun	kargun	0
cariá	kariá	0
caricias	karizias	0
cariciatu	kariziatu	0
caridadequiro	karidadekiro	0
caridadetarra	karidadetarra	0
cariño,gogaberatu	karino,gogaberatu	0
cariñobaguetu	karinobagetu	0
cariños	karinos	0
cariñotia	karinotia	0
cariñotsoro	karinotsoro	0
cariñotsua	karinotsua	0
cariñotu	karinotu	0
cariñotua	karinotua	0
carmia	karmia	0
carmindu	karmindu	karmindu
carminduá quarastua	karminduá karastua	0
carmindura	karmindura	karmindura
carmintasuna	karmintasuna	karmintasun
carnaba	karnaba	karnaba
carnasia	karnasia	0
carnasiró	karnasiró	0
carobia	karobia	karobi
carontaria	karontaria	0
caroraitu	karoraitu	0
caroraitua	karoraitua	0
caroraya	karoraia	0
carra	karra	0
carracatu azcatu	karrakatu azkatu	0
carrada	karrada	0
carramea	karramea	0
carramicha	karramitxa	0
carramincha achaparcada	karramintxa atxaparkada	0
ca rras-	ka rras-	0
carrascal	karraskal	0
carrascotsa	karraskotsa	0
carrascots eguin	karraskots egin	0
carraspioa	karraspioa	karraspio
carreatu	karreatu	0
carrera	karrera	0
carrica ersia	karrika ersia	0
carroscatu	karroskatu	0
carroza	karroza	karroza
carsoilchoa	karsoiltxoa	0
carsoildu	karsoildu	karsoildu
carsoildua	karsoildua	karsoildu
carsoilquia	karsoilkia	0
carsoiltzarra	karsoiltzarra	0
cartá	kartá	0
cartac jaquiñeraz nastu	kartac jakineraz nastu	0
cartagaa	kartagaa	0
cartagaindua	kartagaindua	0
cartagaña	kartagaina	0
cartaguea	kartagea	0
cartaguetu	kartagetu	0
carta joco bat	karta joko bat	0
cartapacioa	kartapazioa	0
cartatzetea	kartatzetea	0
cartatzetu	kartatzetu	0
cartazaya	kartazaia	0
cartdzorroa	kartdzorroa	0
carteatzea	karteatzea	0
cartemallea	kartemailea	0
carterá	karterá	0
carterea	karterea	0
cartestalquia	kartestalkia	0
cartoea	kartoea	0
cartostetea	kartostetea	0
cartostetu	kartostetu	0
cartoya	kartoia	kartoi
cartu	kartu	0
cartú	kartú	0
cartua	kartua	0
cartuchorroa	kartutxorroa	0
cartzea	kartzea	0
carzelazaya	karzelazaia	0
casamiento	kasamiento	0
casarse	kasarse	0
cascabelá	kaskabelá	0
cascabelada	kaskabelada	0
cascabelchoa	kaskabeltxoa	0
cascajo	kaskajo	0
cascalarrua	kaskalarrua	0
cascalarrupea	kaskalarrupea	0
cascamotza	kaskamotza	kaskamotz
cascarela	kaskarela	0
&c.ascayac	&c.askaiak	0
caseria	kaseria	0
casero	kasero	0
casia	kasia	kasi
casjatorria	kasjatorria	0
casjatorriarra	kasjatorriarra	0
casjatorricoa	kasjatorrikoa	0
casquetaco	kasketako	0
casta	kasta	kasta
castanastea	kastanastea	0
casta onecoa	kasta onekoa	0
castidad	kastidad	0
castidadea	kastidadea	0
castigar	kastigar	0
castigatzallea	kastigatzailea	0
castizá	kastizá	0
casto eguin	kasto egin	0
castrado	kastrado	0
casua	kasua	kasu
casualidad	kasualidad	0
Casulla	Casuila	0
catabua	katabua	katabu
catacuisancha	katakuisantxa	0
catadia	katadia	0
catalogo	katalogo	katalogo
cataplasma	kataplasma	0
catatmotzaren guisa supitatu	katatmotzaren gisa supitatu	0
cataurrina	kataurrina	0
cataurrinaren icerdia	kataurrinaren izerdia	0
catavino	katabino	0
catazuloa	katazuloa	0
cateá	kateá	0
cateatu	kateatu	kateatu
cateatua	kateatua	kateatu
catechoa	katetxoa	0
catecismoa	katezismoa	0
catezguetu	katezgetu	0
catibatu	katibatu	0
catibatua	katibatua	0
catibngarria	katibngarria	0
catibu	katibu	0
catibu dagoena	katibu dagoena	0
catibu diranen eroslea	katibu diranen eroslea	0
catibuera	katibuera	0
catichimá	katitximá	0
catillua	katilua	katilu
catilluratu	katiluratu	0
cativuquidea	katibukidea	0
catrambildu	katranbildu	0
catrambilla	katranbila	katranbila
catrambillagarria	katranbilagarria	0
catrambillatu	katranbilatu	katranbilatu
catrambilquiro	katranbilkiro	0
catrtagaindu	katrtagaindu	0
catuarraya	katuarraia	katuarrai
catuchoa	katutxoa	katutxo
catutzarra	katutzarra	0
caucion	kauzion	0
caudala	kaudala	0
caudalchoa	kaudaltxoa	0
caudalduna	kaudalduna	0
caudaná	kaudaná	0
caudanaga	kaudanaga	0
causa danezcoa	kausa danezkoa	0
causalea	kausalea	0
causatu	kausatu	kausatu
causatzallea	kausatzailea	0
causitu	kausitu	kausitu
cautelarse reserarse	kautelarse reserarse	0
cauteloso	kauteloso	0
caxa	kaxa	kaxa
caxoitu	kaxoitu	0
caxoitua	kaxoitua	0
caxoya	kaxoia	0
caya	kaia	0
cayá	kaiá	0
cayan sartua	kaian sartua	0
cayo	kaio	kaio
cayoa	kaioa	kaio
cazcarrinto	kazkarrinto	0
cazoa	kazoa	0
cazochoa	kazotxoa	0
cazuela	kazuela	0
cazuelachoa	kazuelatxoa	0
cbegosqueta	cbegosketa	0
cbitoerazoa	cbitoerazoa	0
cboragalea	cboragalea	0
Cbristauen jaquinbearra	Cbristauen jakinbearra	0
Cbristoreu gorputzá	Cbristoreu gorputzá	0
cdeerchestá	cdeertxestá	0
cduratu	cduratu	0
ce-	ze-	0
cea	zea	ze
cea-	zea-	0
ceacorra	zeakorra	0
ceacoya	zeakoia	0
ceadigoa	zeadigoa	0
ceadigotia	zeadigotia	0
ceadigotu	zeadigotu	0
ceaguia	zeagia	zeagi
ceaguigurta	zeagigurta	0
ceaguigurtea	zeagigurtea	0
ceaguigurtu	zeagigurtu	0
ceala	zeala	0
cealdacoya	zealdakoia	0
cealdaria	zealdaria	0
cealdea	zealdea	0
cealdu	zealdu	0
cealdua	zealdua	0
cealquia	zealkia	0
cealquida	zealkida	0
ceaoderea	zeaoderea	0
ceapeatua	zeapeatua	0
ceaquera	zeakera	0
cear	zear	0
cearca	zearka	0
ceárca	zeárka	0
cearca ebaquitua	zearka ebakitua	0
cearcaya	zearkaia	0
cearduna,cearrecoa	zearduna,zearrekoa	0
cear epáitea	zear epáitea	0
cear epaqui	zear epaki	0
cearguitara erabeztatu	zeargitara erabeztatu	0
cearguitu	zeargitu	0
cearguitua	zeargitua	0
cearquiro	zearkiro	0
cearrecoa	zearrekoa	0
cearrera	zearrera	zearrera
ceárrera	zeárrera	0
cearreratua	zearreratua	0
cearresana	zearresana	0
cearrola	zearrola	0
cearruztayac	zearruztaiak	0
ceartasuna	zeartasuna	0
ceartu	zeartu	0
ceartua	zeartua	0
ceata	zeata	0
ceatu	zeatu	0
ceatu , jo	zeatu , jo	0
ceatua	zeatua	0
ceatua , joa	zeatua , joa	0
ceatzallea	zeatzailea	0
ceatzea	zeatzea	0
cebacaitza	zebakaitza	0
cebacorra	zebakorra	0
cebacoya	zebakoia	0
cebadera	zebadera	0
cebaderagaña	zebaderagaina	0
cebadilla	zebadila	0
cebaezcorra	zebaezkorra	0
cebaldernaria	zebaldernaria	0
cebaldernatu	zebaldernatu	0
cebalderua	zebalderua	0
cebata cebatez	zebata zebatez	0
cebatea	zebatea	0
cebateza	zebateza	0
cebat nquitua	zebat nkitua	0
cebatu	zebatu	zebatu
cebatuquitua	zebatukitua	0
cebatzallea	zebatzailea	0
ceberaz	zeberaz	0
cebetander	zebetander	0
cebetandua	zebetandua	0
cebetstea	zebetstea	0
cebetustero	zebetustero	0
cebidacaitu	zebidakaitu	0
cébiltzan	cébiltzan	0
cébilzquioten	cébiltzkioten	0
cebucatua	zebukatua	0
cecaa	zekaa	0
cecaiquiro	zekaikiro	0
cecairo	zekairo	0
cecalea	zekalea	zekale
cecaltetua	zekaltetua	0
cecaya	zekaia	0
ceceatu	zezeatu	0
ceceila	zezeila	zezeil
ceceiñatua	zezeinatua	0
cecenac beyá estaltzea	zezenac beiá estaltzea	0
cecenai isquincho eguitea	zezenai iskintxo egitea	0
ceceña pusca	zezeina puska	0
cecenaya	zezenaia	0
cecen beizaletua	zezen beizaletua	0
cecencoa	zezenkoa	zezenko
cecencochoa	zezenkotxoa	0
cecencodia	zezenkodia	0
cecendaquintza	zezendakintza	0
cecendaria	zezendaria	zezendari
cecendatu	zezendatu	0
cecendia	zezendia	0
cecen garañoa	zezen garainoa	0
cecen gudandea	zezen gudandea	0
cecen jaramarra	zezen jaramarra	0
cecentaldea	zezentaldea	0
ceceoa	zezeoa	0
ceceotsua	zezeotsua	0
cechaia	zetxaia	0
cechauqueta	zetxauketa	0
cecilleguia	zezilegia	0
cecilleguiro	zezilegiro	0
ceciñatu	zezinatu	zezinatu
ceciñatua	zezinatua	zezinatu
cecolocac	zekolokak	0
cecorquia	zekorkia	zekorki
cecorra	zekorra	0
cecorrá	zekorrá	0
cecusaten	zekusaten	0
cecusten	zekusten	0
cedabillac	zedabilak	0
cedala	zedala	0
cedalá	zedalá	0
cedalaria	zedalaria	0
cedaldu	zedaldu	0
cedalezgarria	zedalezgarria	0
cedali	zedali	0
cedalia	zedalia	0
cedalitu	zedalitu	0
cedalitua	zedalitua	0
cedalitzallea	zedalitzailea	0
cedalizquiro	zedalizkiro	0
cedaquiña	zedakina	0
cedaquindea	zedakindea	0
cedaquindia	zedakindia	0
cedastunquiro	zedastunkiro	0
cedatecoa	zedatekoa	0
cedazo	zedazo	0
cedena	zedena	zeden
cedenéz	zedenéz	0
cedeneztatu	zedeneztatu	0
cedeneztatua	zedeneztatua	0
cedonia	zedonia	0
cedroa	zedroa	zedro
cedroaren licurta	zedroaren likurta	0
cedro-ezcurra	zedro-ezkurra	0
Ceénerabilquiguten	Ceénerabilkiguten	0
ceénerabilzaten	zeénerabiltzaten	0
ceérabilquiguten	zeérabilkiguten	0
ceérrendu	zeérrendu	0
ceescugarria	zeeskugarria	0
ce ezpabere	ze ezpabere	0
cegaitu	zegaitu	0
cegaitua	zegaitua	0
cegalquidá	zegalkidá	0
cegarbia	zegarbia	0
cegarbiera	zegarbiera	0
cegarrega	zegarrega	0
cegarregá	zegarregá	0
cegarregáz	zegarregáz	0
cegauztia	zegauztia	0
cegauztoquia	zegauztokia	0
cegaya	zegaia	0
cegocana	zegokana	0
cegozaindu	zegozaindu	0
cegozaindua	zegozaindua	0
cegozquizuten	zegozkizuten	0
ceguedeigarria	zegedeigarria	0
ceguedeigarrro	zegedeigarrro	0
