ausmartu,ausmartua
austontzi,austoncia
austun,austuna
autsarri,autsarria
autsiabartza,autsiabarza
autsu,autsua
auzalan,auzalana
auzpetu,auzpetu
auzpetu,auzpetua
aierukor,ayerucorra
azalde,azaldea
azaldu,azaldu
azaldu,azaldua
azalpeko,azalpecoa
azao,azaoa
azkonar,azconarra
azerikeria,azeriqueria
azotaldi,azotaldia
azpikotu,azpicotu
azpikotu,azpicotua
azpildu,azpildu
azpildu,azpildua
aztarna,aztarna
aztarriaka,aztarriaca
aztiatu,aztiatu
aztiatu,aztiatú
aztinantza,aztinanza
babalarru,babalarrua
babalarrutu,babalarrutua
baberrum,baberrumac
babil,babilla
bakandu,bacandu
bakandu,bacandú
bakardade,bacardadea
bakartar,bacartarra
bakartegi,bacarteguia
bagai,bagaya
baimendu,baimendua
baira,baira
baira,bairá
bairatsu,bairatsua
balakari,balacaria
balazo,balazoa
balkoi,balcoya
baldan,baldana
baldankeria,baldanqueria
balekume,balecumea
balenka,balenca
baliobage,baliobaguea
baliobagetu,baliobaguetu
baliotsu,baliotsua
balioztatu,balioztatu
banaita,banaita
banaita,banaitá
baranda,barandá
barautu,barautu
barautzaile,barautzallea
barazki,barazquia
barkagarri,barcagarria
barkamen,barcamena
bardinkuntza,bardincunza
baresare,baresarea
barnari,barnaria
barnatu,barnatu
barnatu,barnatua
baroe,baroea
barrendu,barrendu
barrendu,barrendua
barrunbe,barrumbea
barruti,barrutia
barrutu,barrutu
basaku,basacua
basajende,basagendea
basakeria,basaqueria
basara,basara
basarto,basartoa
basati,basatia
baserritar,baserritarra
basoti,basotia
basozai,basozaya
bastagin,bastaguiña
bastagintza,bastaguintza
bastatu,bastatua
bateotegi,bateoteguia
batzaile,batzallea
batzaile,batzállea
batzarkide,batzarquidea
batzartar,batzartarra
baiezko,bayezcoa
baieztatu,bayeztatú
baieztatu,bayeztatua
baieztu,bayeztu
baieztu,bayeztú
baieztu,bayeztuá
baztanga,baztanga
baztertu,baztertu
beakurtu,beacurtu
beakurtu,beacurtua
bekalde,becaldea
bekaldetu,becaldetu
bekaldetu,becaldetua
bekaldu,becaldu
bekaldu,becaldua
bezero,beceroa
bezinta,becinta
bezint,becintac
bekosko,becoscoa
bekoskodun,becoscoduna
bedeikazio,bedeicacioa
begaldi,begaldia
begirada,beguirada
begirada,beguiradá
begirantza,beguiranza
begiratzaile,beguiratzallea
begirune,beguirunea
begitandu,beguitandu
begitandu,beguitandua
begizko,beguizcoa
beilari,beillaria
beiragile,beiraguillea
beirategi,beirateguia
belardi,belardia
belarrondoko,belarrondocoa
belartsu,belartsua
belartza,belartza
belaunkada,belauncada
belaunezur,belaunezurra
belukor,belucorra
belutu,belutu
belutu,belutua
beltzuntza,belzuntza
beltzuntza,belzunza
beltzurda,belzurda
benaz,benaz
benetan,benetan
berdalatz,berdalatza
berdinez,berdiñeza
berezita,berecitá
berezitu,berecitu
berezitu,berecitua
beregandu,beregandu
beregandu,beregandua
bereiztu,bereiztu
bereki,berequia
beresi,beresia
berjosi,berjosi
