LAR_LEMMA	UNIDECODE	EGOKITUA	SARASOLA	SARASOLA1745	WIKIDATA
acabatua	acabatua	akabatua	akabatu		akabatu
acabatzea	acabatzea	akabatzea			
acabera	acabera	akabera	akabera		akabera
acacia	acacia	akazia	akazia		akazia
acanalado	acanalado	akanalado			
acara	acara	akara	akara	akara	akara
acaraquia	acaraquia	akarakia			
acars	acars	akarts			
acastu	acastu	akastu	akastu	akastu	akastu
acastua	acastua	akastua	akastu	akastu	akastu
acatsa	acatsa	akatsa	akats	akats	akats
acatseguin	acatseguin	akatsegin			
acbapartu	acbapartu	acbapartu			
acbaquia	acbaquia	acbakia			
accidente	accidente	aczidente			
accidentea	accidentea	aczidentea			
accullatu	accullatu	ackuilatu			
acechanza	acechanza	azetxantza			
acechar	acechar	azetxar			
aceitnna	aceitnna	azeitnna			
acendatu	acendatu	azendatu			
acendatua	acendatua	azendatua			
acendrar	acendrar	azendrar			
acenduatu	acenduatu	azenduatu			
aceni	aceni	azeni			
acenia	acenia	azenia			
acerdotea	acerdotea	azerdotea			
acerolá	acerola	azerola			
acertadu	acertadu	azertadu			
acertadú	acertadu	azertadu			
acertaera	acertaera	azertaera			
achá	acha	atxa	atxa	atxa	
achacar	achacar	atxakar			
achaga	achaga	atxaga			
achagac	achagac	atxagak			
achapartu	achapartu	atxapartu			
achaquia	achaquia	atxakia	atxakia		
achaquiduna	achaquiduna	atxakiduna			
acheden	acheden	atxeden			
achedenlecua	achedenlecua	atxedenlekua	atxedenleku	atxedenleku	
acherea	acherea	atxerea			
achia	achia	atxia			
achiotea	achiotea	atxiotea			
achola	achola	atxola			
acholac erabilli	acholac erabilli	atxolac erabili			
acholaritu	acholaritu	atxolaritu			
acholdia	acholdia	atxoldia			
achordea	achordea	atxordea			
achorro	achorro	atxorro			
achorroa	achorroa	atxorroa			
achorroaga	achorroaga	atxorroaga			
achorrotua	achorrotua	atxorrotua			
achorrouillea	achorrouillea	atxorrouilea			
achrioa	achrioa	atxrioa			
achudarea	achudarea	atxudarea			
achurcada	achurcada	atxurkada	atxurkada	atxurkada	
achuri taldea	achuri taldea	atxuri taldea			
achuri zaya	achuri zaya	atxuri zaia			
achuria	achuria	atxuria			
achurichoa	achurichoa	atxuritxoa			
achurlaria	achurlaria	atxurlaria	atxurlari	atxurlari	
achurlea	achurlea	atxurlea			
achurquintza	achurquintza	atxurkintza	atxurkintza	atxurkintza	
achurquinzea	achurquinzea	atxurkintzea			
achurra	achurra	atxurra			
achurrada	achurrada	atxurrada			
achurtu	achurtu	atxurtu			
achurtua	achurtua	atxurtua			
achurtza	achurtza	atxurtza			
achurtzea	achurtzea	atxurtzea			
achurtzeaz arrotu	achurtzeaz arrotu	atxurtzeaz arrotu			
aci	aci	azi			
aci ciatua	aci ciatua	azi ziatua			
aci dana	aci dana	azi dana			
acia	acia	azia			
aciá	acia	azia			
acia quentzeco	acia quentzeco	azia kentzeko			
aciac ereitea	aciac ereitea	aziac ereitea			
aciagotu	aciagotu	aziagotu			
aciarra	aciarra	aziarra			
acichoa	acichoa	azitxoa			
acienda	acienda	azienda	azienda		azienda
aciendachoa	aciendachoa	aziendatxoa			
aciendea	aciendea	aziendea			
aciendoa	aciendoa	aziendoa			
aciera	aciera	aziera			
acigoquia	acigoquia	azigokia			
acimota bat	acimota bat	azimota bat			
acisurtea	acisurtea	azisurtea			
acitea	acitea	azitea			
acitrailora	acitrailora	azitrailora			
acitraya	acitraya	azitraia	azitrai	azitrai	
acitroyá	acitroya	azitroia			
acitú	acitu	azitu			
acitua	acitua	azitua			
acitzen dana	acitzen dana	azitzen dana			
acizorroa	acizorroa	azizorroa			
aco	aco	ako			
acogida	acogida	akojida			
acogimiento	acogimiento	akojimiento			
acometer	acometer	akometer			
acomodagarria	acomodagarria	akomodagarria			
acomodatu	acomodatu	akomodatu			akomodatu
