LAR_EUS_EGOK	LAR_EUS_UNIDECODE	LAR_EUS_ORIG	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
agur Maria	agur Maria	agur Maria					
salutazion	salutacion	ſalutacion					
utegaztia	utegaztia	utegaztia					
igeregaztia	igueregaztia	igueregaztia				igeregazti	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=igeregazti
egazti arraparia	egazti arraparia	egazti arraparia					
egazti otza	egazti otza	egazti otza					
egabera	egabera	egabera					
gelbera da	guelbera da	guelbera da					
ilauna gezantxa	illauna guezancha	illauna guezancha					
gezagea	guezaguea	guezaguea				gezage	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gezage
gaza	gaza	gazá			gaza	gaza	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gaza
geza	gueza	gueza	geza		geza	geza	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=geza
gatzbagea	gatzbaguea	gatzbaguea	gatzbage				
gautxoria	gauchoria	gauchoria	gautxori	gautxori	gautxori	gautxori	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gautxori
basatxoria	basachoria	baſachoria	basatxori	basatxori		basatxori	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=basatxori
txori itsusia	chori itsusia	chori itſuſia					
txarra	charra	charra	txar		txar	txar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txar
txoritxoa	chorichoa	chorichoa	txoritxo	txoritxo		txoritxo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txoritxo
urbildu	urbildu	urbildu					
urtu	urtu	urtu	urtu		urtu	urtu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urtu
erritartu	erritartu	erritartu					
erritartua	erritartua	erritartua					
aguretu	aguretu	aguretu	aguretu	aguretu	aguretu	aguretu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aguretu
atsotu	atsotu	atſotu	atsotu	atsotu	atsotu	atsotu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=atsotu
aguretua	aguretua	aguretua	aguretu	aguretu	aguretu	aguretu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aguretu
atsotua	atsotua	atſotua	atsotu	atsotu	atsotu	atsotu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=atsotu
abenenar	avenenar	avenenar					
urra	urra	urrá	urra		ur	ur	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ur
urrizaga	urrizaga	urrizaga					
urrizadia	urrizadia	urrizadia				urrizadi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urrizadi
urriztegia	urrizteguia	urrizteguia					
urra be	urra be	urrá bé					
idortu	idortu	idortú	idortu		idortu	idortu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=idortu
igartu	igartu	igartú					
leortu	leortu	leortú					
urreratua	urreratua	urrératua			urreratu		
urriza	urriza	urrizá					
oloa	oloa	oloa	olo		olo	olo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=olo
ero aldiaduna	ero aldiaduna	ero aldiaduna					
zoro alditsua	zoro alditsua	zoró alditſua					
oloaga	oloaga	oloaga					
enbenenar	envenenar	envenenar					
konkordia	concordia	concordia					
ujola	ujola	ujola					
ugoldea	ugoldea	ugoldea				ugolde	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ugolde
urtsobernak	ursobernac	urſobernac					
jendatzea	gendatzea	gendatzea					
jende-dia	gende-dia	gende-dia					
bideak	bideac	bideac	bide		bide	bide	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bide
bateratu	bateratu	bateratu	bateratu		bateratu	bateratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bateratu
elkar adituko gera	elcar adituco guera	elcar adituco guera					
bere burua	bere burua	bere burua					
bere kontua	bere contua	bere contua					
komundatua	comundatua	comundatua				komundatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=komundatu
gitxi ta berezi	guichi ta bereci	guichi ta bereci					
aizkina espartzuzkoa	aizquiña esparzuzcoa	aizquiña eſparzuzcoa					
eragindiro	eraguindiro	eraguindiró					
gainditu	gainditu	gainditu	gainditu		gainditu	gainditu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gainditu
eragin	eraguin	eraguin	eragin		eragin	eragin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eragin
diot	diot	diot					
diozu	diozu	diozu					
askoz eragiten dio	ascoz eraguiten dio	aſcoz eraguiten dio					
gaindi zai	gaindi zay	gaindi zay					
gainditzen zaio	gainditzen zayo	gainditzen zayo					
gainditua	gainditua	gainditua	gainditu		gainditu	gainditu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gainditu
eragina	eraguiña	eraguiña	eragin		eragin	eragin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eragin
aizatua	aizatua	aizatua					
mentura	mentura	mentura	mentura		mentura	mentura	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mentura
mentura	mentura	menturá	mentura		mentura	mentura	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mentura
gertakaria	guertacaria	guertacaria	gertakari		gertakari	gertakari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gertakari
gertapena	guertapena	guertapena				gertapen	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gertapen
suertaldia	suertaldia	ſuertaldia				suertaldi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=suertaldi
jazoera	jazoera	jazoera	jazoera	jazoera	jazoera	jazoera	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jazoera
menturatu	menturatu	menturatu	menturatu		menturatu	menturatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=menturatu
menturatua	menturatua	menturatua	menturatu		menturatu	menturatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=menturatu
doagaitza	doagaitza	doagaitza					
menturakoa	menturacoa	menturacoa				menturako	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=menturako
suertaldikoa	suertaldicoa	ſuertaldicoa				suertaldiko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=suertaldiko
gertapenekoa	guertapenecoa	guertapenecoa					
aberes	aberes	aberes					
artzekoa izan	artzecoa izan	artzecoa izan					
izanak	izanac	izanac	izan		izan	izan	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=izan
ta izankizunak	ta izanquizunac	ta izanquizunac					
urte bat bazan	urte bat bazan	urte bat bazan					
bazen	bacen	bacen					
asko adina baziran	asco adiña baciran	aſco adiña baciran					
haia	haya	haya					
oierio bada	oyerio bada	oyerio bada					
egin bear det	eguin bear det	eguin bear det					
zuk egin bear deu	zuc eguin bear deu	zuc eguin bear deu					
nik egin bear nuen	nic eguin bear nuen	nic eguin bear nuen					
egin bearko det	eguin bearco det	eguin bearco det					
egiatu	eguiatu	eguiatu					
ahalketu	ahalquetu	ahalquetu	ahalketu		ahalketu	ahalketu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ahalketu
ahalkatu	ahalcatu	ahalcatu	ahalkatu				
lotsatua	lotsatua	lotſatua	lotsatu		lotsatu	lotsatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lotsatu
lotsa	lotsa	lotſá	lotsa		lotsa	lotsa	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lotsa
ahalke izan	ahalque izan	ahalque izan	ahalke izan		ahalke izan	ahalke izan	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ahalke izan
lotsatzen naiz lotsa naiz	lotsatzen naiz lotsa naiz	lotſatzen naiz lotſa naiz					
au eria	au eria	au eria					
Aeria	Aeria	Aeria					
bilagarria	bllagarria	bllagarria				bilagarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bilagarri
jakinkizuna	jaquinquizuna	jaquinquizuna	jakinkizun			jakinkizun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jakinkizun
jakingarria	jaquingarria	jaquingarria	jakingarri		jakingarri	jakingarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jakingarri
bilakindea	billaquindea	billaquindea	bilakinde	bilakinde		bilakinde	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bilakinde
jakikindea	jaquiquindea	jaquiquindea					
lilakindez	lillaquindez	lillaquindez					
jakikindez	jaquiquindez	jaquiquindez					
bilakindaria	billaquindaria	billaquindaria					
bilakinlea	billaquinlea	billaquinlea					
jakikindaria	jaquiquindaria	jaquiquindaria					
jakikinlea	jaquiquinlea	jaquiquinlea					
bilakindetu	billaquindetu	billaquindetu	bilakindetu	bilakindetu			
jakikindetu	jaquiquindetu	jaquiquindetu					
bilakindetua	billaquindetua	billaquindetua	bilakindetu	bilakindetu		bilakindetu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bilakindetu
ezin buruatu	ecin buruatu	ecin buruatu					
bekaizkoa	becaizcoa	becaizcoa	bekaizkoa				
bekaitza	becaitza	becaitza	bekaitz		bekaitz	bekaitz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bekaitz
bekaiztua	becaiztua	becaiztua	bekaiztu		bekaiztu	bekaiztu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bekaiztu
bekaiztu	becaiztu	becaiztu	bekaiztu		bekaiztu	bekaiztu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bekaiztu
saoiea	saoyea	ſaoyea					
abezar	abezar	abezar					
abiar	abiar	abiar					
enbiziar	enviciar	enviciar					
zuzenbagez	zucembaguez	zucembaguez					
artezake	artezaque	artezaque					
biurriroo	biurriroo	biurriroó					
zuzenbagea	zucembaguea	zucembaguea	zuzenbage				
artezaka	artezaca	artezaca					
okertua	oquertua	oquertua	okertu	okertu	okertu	okertu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=okertu
biurria	biurria	biurria					
abil antustez	abil antustez	abil antuſtez					
abil antuz	abil antuz	abil antuz					
bilanteza	bilanteza	bilanteza					
osadia	osadia	oſadia					
atrebentzia	atrevencia	atrevencia	atrebentzia	atrebentzia	atrebentzia	atrebentzia	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=atrebentzia
landertu	landertu	landertú	landertu	landertu	landertu	landertu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=landertu
bilautu	villautu	villautu					
dolortu	dolortu	dolortú					
doilortu	dollortu	dollortu	doilortu		doilortu	doilortu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=doilortu
landertua	landertua	landertua	landertu	landertu	landertu	landertu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=landertu
bilautua	villautua	villautua				bilautu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bilautu
enbilezer	envilecer	envilecer					
beerazkiro	beerazquiro	beerazquiró					
beerazpetu	beerazpetu	beerazpetu					
beerazpetua	beerazpetua	beerazpetua					
ozpindu	ozpindu	ozpindu	ozpindu	ozpindu	ozpindu	ozpindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ozpindu
abion	abion	abion					
abisa	avisa	aviſa					
abisatu	avisatu	aviſatú	abisatu		abisatu	abisatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abisatu
gaztiga	gaztiga	gaztiga					
gaztigatu	gaztigatu	gaztigatu	gaztigatu		gaztigatu	gaztigatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gaztigatu
mezutu	mezutu	mezutu	mezutu				
abisatu	avisatu	aviſatu	abisatu		abisatu	abisatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abisatu
abisatua	avisatua	aviſatua	abisatu		abisatu	abisatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abisatu
adierazoa	adierazoa	adierazoa	adierazo				
abisua	avisua	aviſua	abisu		abisu	abisu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abisu
mezua	mezua	mezua	mezu		mezu	mezu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mezu
abisu-ontzia	avisu-ontzia	aviſu-ontzia					
berri-ontzia	berri-ontzia	berri-ontzia					
abispa	abispa	abiſpa					
gelkaiztu	guelcaiztu	guelcaiztu					
erresomindu	erresomindu	erreſomindu	erresomindu	erresomindu			
gelkaiztua dago	guelcaiztua dago	guelcaiztua dago					
erresomindua	erresomindua	erreſomindua	erresomindu	erresomindu			
ikusteratu	icusteratu	icuſteratu					
ikusteratua	icusteratua	icuſteratua				ikusteratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ikusteratu
zuzkitu janedariz	zuzquitu janedariz	zuzquitu janedariz					
ornitua	ornitua	ornitua					
zuzkitua janedariz	zuzquitua janedariz	zuzquitua janedariz					
biztu	biztu	biztu	biztu		biztu	biztu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=biztu
bizierazo	bicierazo	bicierazo					
piztarazi	piztaraci	piztaraci	piztarazi	piztarazi			
biztua	biztua	biztua	biztu		biztu	biztu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=biztu
zaikuslea	zaicuslea	zaicuslea					
zaikusi	zaicusi	zaicuſi					
gandeitu	gandeitu	gandeitu					
godeitu	godeitu	godeitu					
abolengo	abolengo	abolengo					
abolengo	avolengo	avolengo					
abukasta	abucasta	abucaſta					
abuela	abuela	abuela					
abutarda	abutarda	abutarda					
atxakes	achaques	achaques					
axes	axes	axes					
xakeka	xaqueca	xaqueca					
azitraia	acitraya	acitraya	azitrai	azitrai		azitrai	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azitrai
axedreza	axedreza	axedreza					
asentsioa	asensioa	aſenſioa	asentsio	asentsio		asentsio	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=asentsio
arrabal	arrabal	arrabal					
esakia	esaquia	eſaquia					
faroak	faroac	faroac	faro		faro	faro	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=faro
burnirrazkiak	burnirrazquiac	burnirrazquiac					
ajuagas	ajuagas	ajuagas					
ajuar	ajuar	ajuar					
ai enel ai niri	ay enel ay niri	ay enel ay niri					
doain gaitz niri	doain gaitz niri	doain gaitz niri					
ai hiri@l ai zuri	ay hiri@l ay zuri	ay hiri@l ay zuri					
doain gaitz hiri	doain gaitz hiri	doain gaitz hiri					
zuri	zuri	zuri	zuri		zuri	zuri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zuri
zori gaitz niri	zori gaitz niri	zori gaitz niri					
atzo	atzo	atzó	atzo		atzo	atzo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=atzo
ante	ante	ante			ante	ante	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ante
atzotik	atzotic	atzotic					
atzodanik	atzodanic	atzodanic					
eremutua	eremutua	eremutua				eremutu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eremutu
otaditua	otaditua	otaditua					
Zaia	Zaya	Zaya					
zaitu	zaitu	zaitu	zaitu	zaitu			
Aioa	Ayoa	Ayoa					
aurtzaia	aurzaya	aúrzaya					
seintzaina	seinzaina	ſeinzaina	seintzain	seintzain	seintzain	seintzain	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=seintzain
a a	a a	a a					
da	da	dá					
jeringa	geringa	geringa					
gela-laguna	guela-laguna	guela-laguna					
sarigeia	sarigueya	ſarigueya					
auzokoen laguntzaz	auzocoen laguntzaz	auzocoen laguntzaz					
auzalanez	auzalanez	auzalanez					
araldiaz	araldiaz	araldiaz					
Jainkoa talaguntza	Jaincoa talaguntza	Jaincoa talaguntza					
Meza lagundu	Meza lagundu	Meza lagundu					
erasan	erasan	eraſan	erasan	erasan	erasan	erasan	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erasan
Jainkoak lagun diezaznla	Jaincoac lagun diezaznla	Jaincoac lagun diezaznla					
dagizula	daguizula	daguizula					
el akigu	el aquigu	el aquigu					
lagungaitzak	lagungaitzac	lagungaitzac					
gaitzazu	gaitzazu	gaitzazu					
laguntzaguzu	lagunzaguzu	lagunzaguzu					
barautia	barautia	barautia					
barurtia	barurtia	barurtia					
barautzailea	barautzallea	barautzallea	barautzaile	barautzaile		barautzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=barautzaile
barurtzailea	barurtzallea	barurtzallea					
barautu	barautu	barautu	barautu	barautu			
barurtu	barurtu	barurtu	barurtu				
barau	barau	barau	barau		barau	barau	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=barau
barur	barur	barur	barur				
barau naiz	barau naiz	barau naiz					
ur	ur	ur	ur		ur	ur	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ur
ta ogi barau egin	ta ogui barau eguin	ta ogui barau eguin					
ostegunetik larunbat santuraino ezer jan bage barau ateratzea	ostegunetic larumbat santuraño ecer jan bague barau ateratzea	oſtegunetic larumbat ſanturaño ecer jan bague barau ateratzea					
jan zarrean	jan zarrean	jan zarrean					
baraua	baraua	baraua	barau		barau	barau	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=barau
barura	barura	barura	barur			barur	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=barur
baru	baru	baru					
barau nago	barau nago	barau nago					
barur naiz	barur naiz	barur naiz					
iunke	yunque	yunque					
batzarrea	batzarrea	batzarrea	batzarre				
bil guma	bil guma	bil guma					
batzarretxea	batzarrechea	batzarrechea					
bilguntegia	bilgunteguia	bilgunteguia					
aragizkobatzea	araguizcobatzea	araguizcobatzea					
juntar	juntar	juntar					
abaeo	abaeo	abaeo					
haza	haza	haza					
arbaltxa	arbalcha	arbalcha	arbaltx	arbaltx			
arbeltxa	arbelcha	arbelcha	arbeltx	arbeltx		arbeltx	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=arbeltx
azabatxe	azabache	azabache			azabatxe	azabatxe	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azabatxe
zabra	zabra	zabra					
fragata	fragata	fragata	fragata		fragata	fragata	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=fragata
aitzurra	aitzurra	aitzurra	aitzur		aitzur	aitzur	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aitzur
aintzurra	ainzurra	ainzurrá					
atxurra	achurra	achurra	atxur				
aitzurtu	aitzurtu	aitzurtu	aitzurtu		aitzurtu	aitzurtu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aitzurtu
aintzurtu	ainzurtu	ainzurtu					
atxurtu	achurtu	achurtu					
gorabila	gorabilla	gorabilla					
aitzur andiagoa	aitzur andiagoa	aitzur andiagoa					
aitzurrada	aitzurrada	aitzurrada					
atxurrada	achurrada	achurrada					
aitzurkada	aitzurcada	aitzurcada	aitzurkada	aitzurkada	aitzurkada	aitzurkada	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aitzurkada
atxurkada	achurcada	achurcada	atxurkada	atxurkada			
gastadores	gastadores	gaſtadores					
erreginaren apainketen zaitzailea	erreguiñaren apainqueten zaitzallea	erreguiñaren apáinqueten zaitzallea					
otarratxoa	otarrachoa	otarrachoa	otarratxo	otarratxo			
saskitxoa	sasquichoa	ſaſquichoa	saskitxo	saskitxo		saskitxo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=saskitxo
zisteratxoa	cisterachoa	ciſterachoa					
azafsraia	azafsraya	azafſraya					
azafraitegia	azafraiteguia	azafraiteguia					
azafraitu	azafraitu	azafraitu					
azafraitua	azafraitua	azafraitua					
atza	atza	atza					
dzagaia	dzagaya	dzagaya					
limoi lorea	limoi lorea	limoi lorea				limoi lore	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=limoi lore
hazaina	hazaña	hazaña					
zar	zar	zar	zar				
zarra	zarra	zarra	zar			zar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zar
honbre biejio	hombre viejio	hombre viejio					
sako de azares	saco de azares	ſaco de azares					
zara	zara	zará	zar			zar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zar
azarta	azarta	azartá					
gertakia	guertaquia	guertaquia				gertaki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gertaki
matxurea	machurea	machurea					
berunautsa	berunautsa	berunautſá					
azarkiro	azarquiro	azarquiró					
doakabero	doacabero	doacaberó					
ustekabero	ustecabero	uſtecaberó					
azartia	azartia	azartia				azarti	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azarti
matxuretia	machuretia	machuretia					
zarja	zarja	zarja					
azaia	azaya	azaya	azai				
azko-ona	azco-ona	azco-ona					
azebo	acebo	acebo					
azebutxe	acebuche	acebuche					
lubeltza	lubeltza	lubeltza	lubeltz			lubeltz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lubeltz
lubaltza	lubaltza	lubaltza				lubaltz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lubaltz
azedar	acedar	acedar					
azeite	aceite	aceite					
aze	ace	ace					
zorigaistokoa patugaitzekoa	zorigaistocoa patugaitzecoa	zorigaiſtocoa patugaitzecoa					
buztinerrazko maorma	buztiñerrazco maorma	buztiñerrazco maormá					
menastoria	menastoria	menaſtoria				menastori	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=menastori
plaza	plaza	plaza	plaza		plaza	plaza	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=plaza
zilar biziz	cillar biciz	cillar biciz					
azogeaz estali	azogueaz estali	azogueaz eſtali					
zilar biziaz estalia	cillar biciaz estalia	cillar biciaz eſtalia					
egokaiztu	egocaiztu	egocaiztu					
trabesatu	trabesatu	trabeſatu					
zeiotu	zeyotu	zeyotu					
trabesatua	trabesatua	trabeſatua					
zeiotua	zeyotua	zeyotua					
eo@rair ab	eo@rair ab	eo@rair ab					
urribatu	urribatu	urribatu					
abegortu	abegortu	abegortu					
urribatua	urribatua	urribatua				urribatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urribatu
abegortua	abegortua	abegortua				abegortu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abegortu
urribatza	urribatza	urribatza					
abegorra	abegorra	abegorra	abegor			abegor	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abegor
azora	azora	azorá					
azorea	azorea	azorea					
zora	zora	zora	zor		zor	zor	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zor
zoratu	zoratu	zoratu	zoratu		zoratu	zoratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zoratu
nabarbendu	navarbendu	navarbendu	nabarbendu				
zorro	zorro	zorró	zorro		zorro	zorro	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zorro
zorroa	zorroa	zorroa	zorro		zorro	zorro	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zorro
zorros	zorros	zorros					
Zorrotu	Zorrotu	Zorrotu					
zorro bat bezala egon	zorro bat bezala egon	zorró bat bezala egon					
zorrotua	zorrotua	zorrotua				zorrotu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zorrotu
zorro bat egina	zorro bat eguiña	zorro bat eguiña					
zealdu	cealdu	cealdu					
asti	asti	aſti	asti		asti	asti	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=asti
