LAR_EUS_EGOK	LAR_EUS_UNIDECODE	LAR_EUS_ORIG	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
zatitxoa	zatichoa	zatichoa	zatitxo	zatitxo		zatitxo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zatitxo
emagintza	emaguintza	emaguintza	emagintza		emagintza	emagintza	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=emagintza
partesana	partesana	parteſaná					
uzikaia	ucicaya	ucicaya				uzikai	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=uzikai
zatigarria	zatigarria	zatigarria			zatigarri	zatigarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zatigarri
zatikaia	zaticaya	zaticaya					
partigarria	partigarria	partigarria					
uzina	ucina	ucina					
uzitza	ucitza	ucitza					
uzkura	uzcura	uzcura	uzkur		uzkur	uzkur	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=uzkur
sartalea	sartalea	ſartalea					
partaria	partaria	partaria					
uzkuduna	uzcuduna	uzcuduna				uzkudun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=uzkudun
uziduna	uciduna	uciduna				uzidun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=uzidun
bereziduna	bereciduna	bereciduna					
abisar	avisar	aviſar					
partizionaro	particionaro	particionaro					
partartzea	partartzea	partartzea				partartze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=partartze
partale egitea	partale eguitea	partale eguitea				partale egite	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=partale egite
uzkuitzea	uzcuitzea	uzcuitzea					
partakida	partaquida	partaquida					
piska	pisca	piſca	piska				
berekia	berequia	berequia	bereki	bereki		bereki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bereki
bakantia	bacantia	bacantia					
banutsa	banutsa	banutſa					
bagokiro	bagoquiro	bagoquiró					
berekiro	berequiro	berequiro					
banatiro	banatiro	banatiro					
bakantiro	bacantiro	bacantiro					
bereziki	bereciqui	bereciqui	bereziki				
bagokida	bagoquida	bagoquida					
berekida	berequida	berequida					
bakantidea	bacantidea	bacantidea					
bagokidatu	bagoquidatu	bagoquidatu					
berekidatu	berequidatu	berequidatu					
bakantitu	bacantitu	bacantitu					
irakurtza egin	iracurtza eguin	iracurtza eguin					
en partikular	en particular	en particular					
parte	parte	parte	parte		parte	parte	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=parte
gizadia	guizadia	guizadia	gizadi	gizadi	gizadi	gizadi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gizadi
giza zenbatea	guiza cembatea	guiza cembatea					
kontitxeka	conticheca	conticheca					
piladia	pilladia	pilladia				piladi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=piladi
ha zer mentua	ha cer mentua	ha cer mentua					
ha de pota	ha de pota	ha de pota					
uzituro	ucituro	ucituro					
ebakiro	ebaquiro	ebaquiro					
diazaita	diazaita	diazaita					
al- rrara	al- rrara	al- rrara					
partekina	partequiña	partequiña					
jokaldekoak	jocaldecoac	jocaldecoac					
jokaldea	jocaldea	jocaldea					
kondizion	condicion	condición					
erbarrutia	erbarrutia	erbarrutia				erbarruti	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erbarruti
aldedaritu	aldedaritu	aldedaritu					
resolbertse	resolverse	reſolverſe					
partitzailea	partitzallea	partitzallea	partitzaile		partitzaile	partitzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=partitzaile
epaqnitzailea	epaqnitzallea	epaqnitzallea					
uzitzailea	ucitzailea	ucitzailea					
dbeisor	dveisor	dveiſor					
partizion	particion	particion					
partiron	partiron	partiron					
martxar	marchar	marchar					
desistir	desistir	deſiſtir					
deskartizar	desquartizar	deſquartizar					
uzindu	ucindu	ucindu					
erditza	erditza	erditza					
aurgitea aurgintza	aurguitea aurguintza	aurguitea aurguintza					
erdibaino len	erdibaño len	erdibaño len					
ta erdi ezkero aurgite baino len	ta erdi ezquero aurguite baiño len	ta erdi ezquero aurguite baiño len					
aurgite ezqnero	aurguite ezqnero	aurguite ezqnero					
aurgintza baino len	aurguintza baño len	aurguintza baño len					
aurgintzan	aurguintzan	aurguintzan					
aurgintza ezkero	aurguintza ezquero	aurguintza ezquero					
ab orto	ab orto	ab orto					
erditzakia	erditzaquia	erditzaquia					
aurgintzakia	aurguintzaquia	aurguintzaquia					
mendien aurgintza	mendien aurguintza	mendien aurguintza					
erditz	erditz	erditz					
anrjintzan da-	anrgintzan da-	anrgintzan da-					
peqneinez	peqneñez	peqneñez					
peke inito	peque iñito	peque iñito					
